2019-01-22 16:46:49,286 - INFO - rig - apache-ant-1.7.0
2019-01-22 16:46:49,387 - INFO - rig - Total Yes: 131 | Total No: 3967
2019-01-22 16:46:49,740 - INFO - fastread - 0, 0
2019-01-22 16:46:51,002 - INFO - fastread - 1, 10
2019-01-22 16:46:52,251 - INFO - fastread - 2, 20
2019-01-22 16:46:53,424 - INFO - fastread - 2, 30
2019-01-22 16:46:54,619 - INFO - fastread - 2, 40
2019-01-22 16:46:55,852 - INFO - fastread - 3, 50
2019-01-22 16:46:57,072 - INFO - fastread - 3, 60
2019-01-22 16:46:58,297 - INFO - fastread - 3, 70
2019-01-22 16:46:59,476 - INFO - fastread - 4, 80
2019-01-22 16:47:00,629 - INFO - fastread - 5, 89
2019-01-22 16:47:01,890 - INFO - fastread - 10, 99
2019-01-22 16:47:03,102 - INFO - fastread - 16, 109
2019-01-22 16:47:04,353 - INFO - fastread - 25, 119
2019-01-22 16:47:05,604 - INFO - fastread - 32, 129
2019-01-22 16:47:06,844 - INFO - fastread - 37, 139
2019-01-22 16:47:08,047 - INFO - fastread - 39, 149
2019-01-22 16:47:09,246 - INFO - fastread - 39, 159
2019-01-22 16:47:10,486 - INFO - fastread - 39, 169
2019-01-22 16:47:11,737 - INFO - fastread - 39, 179
2019-01-22 16:47:12,990 - INFO - fastread - 43, 189
2019-01-22 16:47:14,262 - INFO - fastread - 45, 199
2019-01-22 16:47:15,503 - INFO - fastread - 47, 209
2019-01-22 16:47:16,735 - INFO - fastread - 48, 219
2019-01-22 16:47:18,016 - INFO - fastread - 51, 229
2019-01-22 16:47:19,217 - INFO - fastread - 54, 239
2019-01-22 16:47:20,471 - INFO - fastread - 54, 249
2019-01-22 16:47:21,713 - INFO - fastread - 56, 259
2019-01-22 16:47:22,985 - INFO - fastread - 58, 269
2019-01-22 16:47:24,218 - INFO - fastread - 60, 279
2019-01-22 16:47:25,439 - INFO - fastread - 60, 289
2019-01-22 16:47:26,709 - INFO - fastread - 60, 299
2019-01-22 16:47:27,960 - INFO - fastread - 61, 309
2019-01-22 16:47:29,271 - INFO - fastread - 62, 319
2019-01-22 16:47:30,533 - INFO - fastread - 65, 329
2019-01-22 16:47:31,764 - INFO - fastread - 66, 339
2019-01-22 16:47:33,003 - INFO - fastread - 66, 349
2019-01-22 16:47:34,218 - INFO - fastread - 67, 359
2019-01-22 16:47:35,423 - INFO - fastread - 67, 369
2019-01-22 16:47:36,735 - INFO - fastread - 68, 379
2019-01-22 16:47:38,006 - INFO - fastread - 68, 389
2019-01-22 16:47:39,297 - INFO - fastread - 68, 399
2019-01-22 16:47:40,565 - INFO - fastread - 70, 409
2019-01-22 16:47:41,777 - INFO - fastread - 73, 419
2019-01-22 16:47:43,028 - INFO - fastread - 74, 429
2019-01-22 16:47:44,257 - INFO - fastread - 74, 439
2019-01-22 16:47:45,527 - INFO - fastread - 74, 449
2019-01-22 16:47:46,789 - INFO - fastread - 74, 459
2019-01-22 16:47:48,091 - INFO - fastread - 75, 469
2019-01-22 16:47:49,402 - INFO - fastread - 76, 479
2019-01-22 16:47:50,713 - INFO - fastread - 76, 489
2019-01-22 16:47:52,044 - INFO - fastread - 76, 499
2019-01-22 16:47:53,355 - INFO - fastread - 77, 509
2019-01-22 16:47:54,534 - INFO - fastread - 78, 519
2019-01-22 16:47:55,805 - INFO - fastread - 79, 529
2019-01-22 16:47:57,117 - INFO - fastread - 80, 539
2019-01-22 16:47:58,405 - INFO - fastread - 82, 549
2019-01-22 16:47:59,657 - INFO - fastread - 83, 559
2019-01-22 16:48:00,937 - INFO - fastread - 83, 569
2019-01-22 16:48:02,306 - INFO - fastread - 83, 579
2019-01-22 16:48:03,750 - INFO - fastread - 83, 589
2019-01-22 16:48:05,172 - INFO - fastread - 83, 599
2019-01-22 16:48:06,482 - INFO - fastread - 83, 609
2019-01-22 16:48:07,783 - INFO - fastread - 84, 619
2019-01-22 16:48:09,156 - INFO - fastread - 84, 629
2019-01-22 16:48:10,402 - INFO - fastread - 85, 639
2019-01-22 16:48:11,685 - INFO - fastread - 86, 649
2019-01-22 16:48:13,047 - INFO - fastread - 87, 659
2019-01-22 16:48:14,480 - INFO - fastread - 87, 669
2019-01-22 16:48:15,910 - INFO - fastread - 87, 679
2019-01-22 16:48:17,263 - INFO - fastread - 89, 689
2019-01-22 16:48:18,694 - INFO - fastread - 90, 699
2019-01-22 16:48:20,205 - INFO - fastread - 90, 709
2019-01-22 16:48:21,597 - INFO - fastread - 91, 719
