2019-01-22 16:46:48,942 - INFO - rig - columba-1.4-src
2019-01-22 16:46:49,026 - INFO - rig - Total Yes: 204 | Total No: 6264
2019-01-22 16:46:49,326 - INFO - fastread - 0, 0
2019-01-22 16:46:50,565 - INFO - fastread - 1, 10
2019-01-22 16:46:51,767 - INFO - fastread - 1, 20
2019-01-22 16:46:53,000 - INFO - fastread - 1, 30
2019-01-22 16:46:54,241 - INFO - fastread - 2, 39
2019-01-22 16:46:55,468 - INFO - fastread - 3, 49
2019-01-22 16:46:56,720 - INFO - fastread - 4, 59
2019-01-22 16:46:57,974 - INFO - fastread - 4, 69
2019-01-22 16:46:59,166 - INFO - fastread - 5, 79
2019-01-22 16:47:00,488 - INFO - fastread - 11, 89
2019-01-22 16:47:01,809 - INFO - fastread - 20, 99
2019-01-22 16:47:03,184 - INFO - fastread - 26, 109
2019-01-22 16:47:04,484 - INFO - fastread - 36, 119
2019-01-22 16:47:05,773 - INFO - fastread - 46, 129
2019-01-22 16:47:06,988 - INFO - fastread - 56, 139
2019-01-22 16:47:08,307 - INFO - fastread - 65, 149
2019-01-22 16:47:09,650 - INFO - fastread - 75, 159
2019-01-22 16:47:10,922 - INFO - fastread - 83, 169
2019-01-22 16:47:12,241 - INFO - fastread - 90, 179
2019-01-22 16:47:13,626 - INFO - fastread - 100, 189
2019-01-22 16:47:14,969 - INFO - fastread - 109, 199
2019-01-22 16:47:16,301 - INFO - fastread - 119, 209
2019-01-22 16:47:17,593 - INFO - fastread - 129, 219
2019-01-22 16:47:18,978 - INFO - fastread - 139, 229
2019-01-22 16:47:20,381 - INFO - fastread - 148, 239
2019-01-22 16:47:21,784 - INFO - fastread - 157, 249
2019-01-22 16:47:23,217 - INFO - fastread - 163, 259
2019-01-22 16:47:24,712 - INFO - fastread - 167, 269
2019-01-22 16:47:26,200 - INFO - fastread - 170, 279
2019-01-22 16:47:27,677 - INFO - fastread - 175, 289
2019-01-22 16:47:29,222 - INFO - fastread - 176, 299
2019-01-22 16:47:30,723 - INFO - fastread - 176, 309
2019-01-22 16:47:32,226 - INFO - fastread - 178, 319
2019-01-22 16:47:33,709 - INFO - fastread - 179, 329
2019-01-22 16:47:35,231 - INFO - fastread - 181, 339
2019-01-22 16:47:36,745 - INFO - fastread - 181, 349
2019-01-22 16:47:38,266 - INFO - fastread - 184, 359
2019-01-22 16:47:39,750 - INFO - fastread - 184, 369
2019-01-22 16:47:41,227 - INFO - fastread - 184, 379
2019-01-22 16:47:42,715 - INFO - fastread - 185, 389
2019-01-22 16:47:44,214 - INFO - fastread - 186, 399
2019-01-22 16:47:45,669 - INFO - fastread - 187, 409
2019-01-22 16:47:47,158 - INFO - fastread - 187, 419
2019-01-22 16:47:48,604 - INFO - fastread - 189, 429
2019-01-22 16:47:50,078 - INFO - fastread - 189, 439
2019-01-22 16:47:51,568 - INFO - fastread - 190, 449
2019-01-22 16:47:52,973 - INFO - fastread - 190, 459
2019-01-22 16:47:54,493 - INFO - fastread - 191, 469
2019-01-22 16:47:55,997 - INFO - fastread - 191, 479
2019-01-22 16:47:57,439 - INFO - fastread - 191, 489
2019-01-22 16:47:58,900 - INFO - fastread - 191, 499
2019-01-22 16:48:00,443 - INFO - fastread - 191, 509
2019-01-22 16:48:01,976 - INFO - fastread - 191, 519
2019-01-22 16:48:03,609 - INFO - fastread - 191, 529
2019-01-22 16:48:05,232 - INFO - fastread - 191, 539
2019-01-22 16:48:06,732 - INFO - fastread - 191, 549
2019-01-22 16:48:08,172 - INFO - fastread - 191, 559
2019-01-22 16:48:09,596 - INFO - fastread - 191, 569
2019-01-22 16:48:11,121 - INFO - fastread - 191, 579
2019-01-22 16:48:12,682 - INFO - fastread - 191, 589
2019-01-22 16:48:14,165 - INFO - fastread - 191, 599
2019-01-22 16:48:15,721 - INFO - fastread - 191, 609
2019-01-22 16:48:17,179 - INFO - fastread - 191, 619
2019-01-22 16:48:18,712 - INFO - fastread - 191, 629
2019-01-22 16:48:20,348 - INFO - fastread - 191, 639
2019-01-22 16:48:21,910 - INFO - fastread - 191, 649
2019-01-22 16:48:23,279 - INFO - fastread - 191, 659
2019-01-22 16:48:24,729 - INFO - fastread - 191, 669
2019-01-22 16:48:26,294 - INFO - fastread - 191, 679
2019-01-22 16:48:27,866 - INFO - fastread - 192, 689
2019-01-22 16:48:29,497 - INFO - fastread - 193, 699
