2019-01-22 17:23:07,510 - INFO - rig - argouml
2019-01-22 17:23:10,988 - INFO - fastread - Total Yes: 1413 | Total No: 8039
2019-01-22 17:23:48,924 - INFO - fastread - 8, 10
2019-01-22 17:23:48,940 - INFO - fastread - 15, 20
2019-01-22 17:23:48,954 - INFO - fastread - 23, 30
2019-01-22 17:23:48,969 - INFO - fastread - 33, 40
2019-01-22 17:23:48,984 - INFO - fastread - 41, 50
2019-01-22 17:23:48,999 - INFO - fastread - 49, 60
2019-01-22 17:23:49,014 - INFO - fastread - 57, 70
2019-01-22 17:23:49,029 - INFO - fastread - 66, 80
2019-01-22 17:23:49,044 - INFO - fastread - 75, 90
2019-01-22 17:23:49,059 - INFO - fastread - 83, 100
2019-01-22 17:23:49,074 - INFO - fastread - 90, 110
2019-01-22 17:23:49,089 - INFO - fastread - 99, 120
2019-01-22 17:23:49,104 - INFO - fastread - 108, 130
2019-01-22 17:23:49,119 - INFO - fastread - 115, 140
2019-01-22 17:23:49,134 - INFO - fastread - 123, 150
2019-01-22 17:23:49,149 - INFO - fastread - 132, 160
2019-01-22 17:23:49,164 - INFO - fastread - 140, 170
2019-01-22 17:23:49,179 - INFO - fastread - 146, 180
2019-01-22 17:23:49,194 - INFO - fastread - 153, 190
2019-01-22 17:23:49,209 - INFO - fastread - 161, 200
2019-01-22 17:23:49,223 - INFO - fastread - 169, 210
2019-01-22 17:23:49,238 - INFO - fastread - 178, 220
2019-01-22 17:23:49,253 - INFO - fastread - 186, 230
2019-01-22 17:23:49,268 - INFO - fastread - 195, 240
2019-01-22 17:23:49,284 - INFO - fastread - 204, 250
2019-01-22 17:23:49,298 - INFO - fastread - 209, 260
2019-01-22 17:23:49,313 - INFO - fastread - 215, 270
2019-01-22 17:23:49,328 - INFO - fastread - 225, 280
2019-01-22 17:23:49,343 - INFO - fastread - 231, 290
2019-01-22 17:23:49,358 - INFO - fastread - 238, 300
2019-01-22 17:23:49,373 - INFO - fastread - 244, 310
2019-01-22 17:23:49,388 - INFO - fastread - 251, 320
2019-01-22 17:23:49,403 - INFO - fastread - 258, 330
2019-01-22 17:23:49,418 - INFO - fastread - 265, 340
2019-01-22 17:23:49,433 - INFO - fastread - 272, 350
2019-01-22 17:23:49,448 - INFO - fastread - 279, 360
2019-01-22 17:23:49,463 - INFO - fastread - 289, 370
2019-01-22 17:23:49,478 - INFO - fastread - 299, 380
2019-01-22 17:23:49,493 - INFO - fastread - 308, 390
2019-01-22 17:23:49,508 - INFO - fastread - 315, 400
2019-01-22 17:23:49,523 - INFO - fastread - 323, 410
2019-01-22 17:23:49,538 - INFO - fastread - 331, 420
2019-01-22 17:23:49,553 - INFO - fastread - 341, 430
2019-01-22 17:23:49,568 - INFO - fastread - 350, 440
2019-01-22 17:23:49,583 - INFO - fastread - 358, 450
2019-01-22 17:23:49,598 - INFO - fastread - 365, 460
2019-01-22 17:23:49,614 - INFO - fastread - 373, 470
2019-01-22 17:23:49,629 - INFO - fastread - 380, 480
2019-01-22 17:23:49,644 - INFO - fastread - 388, 490
2019-01-22 17:23:49,659 - INFO - fastread - 398, 500
2019-01-22 17:23:49,674 - INFO - fastread - 408, 510
2019-01-22 17:23:49,689 - INFO - fastread - 416, 520
2019-01-22 17:23:49,704 - INFO - fastread - 424, 530
2019-01-22 17:23:49,719 - INFO - fastread - 432, 540
2019-01-22 17:23:49,734 - INFO - fastread - 440, 550
2019-01-22 17:23:49,749 - INFO - fastread - 449, 560
2019-01-22 17:23:49,764 - INFO - fastread - 459, 570
2019-01-22 17:23:49,779 - INFO - fastread - 468, 580
2019-01-22 17:23:49,795 - INFO - fastread - 475, 590
2019-01-22 17:23:49,810 - INFO - fastread - 482, 600
2019-01-22 17:23:49,825 - INFO - fastread - 490, 610
2019-01-22 17:23:49,840 - INFO - fastread - 499, 620
2019-01-22 17:23:49,856 - INFO - fastread - 508, 630
2019-01-22 17:23:49,871 - INFO - fastread - 516, 640
2019-01-22 17:23:49,886 - INFO - fastread - 525, 650
