2019-01-22 17:23:07,082 - INFO - rig - jruby-1.4.0
2019-01-22 17:23:10,585 - INFO - fastread - Total Yes: 622 | Total No: 4275
2019-01-22 17:24:01,428 - INFO - fastread - 8, 10
2019-01-22 17:24:01,440 - INFO - fastread - 17, 20
2019-01-22 17:24:01,452 - INFO - fastread - 27, 30
2019-01-22 17:24:01,464 - INFO - fastread - 35, 40
2019-01-22 17:24:01,475 - INFO - fastread - 44, 50
2019-01-22 17:24:01,487 - INFO - fastread - 53, 60
2019-01-22 17:24:01,499 - INFO - fastread - 62, 70
2019-01-22 17:24:01,511 - INFO - fastread - 69, 80
2019-01-22 17:24:01,522 - INFO - fastread - 77, 90
2019-01-22 17:24:01,534 - INFO - fastread - 87, 100
2019-01-22 17:24:01,546 - INFO - fastread - 95, 110
2019-01-22 17:24:01,557 - INFO - fastread - 102, 120
2019-01-22 17:24:01,569 - INFO - fastread - 110, 130
2019-01-22 17:24:01,581 - INFO - fastread - 119, 140
2019-01-22 17:24:01,593 - INFO - fastread - 127, 150
2019-01-22 17:24:01,604 - INFO - fastread - 135, 160
2019-01-22 17:24:01,616 - INFO - fastread - 143, 170
2019-01-22 17:24:01,628 - INFO - fastread - 152, 180
2019-01-22 17:24:01,640 - INFO - fastread - 162, 190
2019-01-22 17:24:01,652 - INFO - fastread - 171, 200
2019-01-22 17:24:01,663 - INFO - fastread - 179, 210
2019-01-22 17:24:01,675 - INFO - fastread - 186, 220
2019-01-22 17:24:01,687 - INFO - fastread - 196, 230
2019-01-22 17:24:01,698 - INFO - fastread - 205, 240
2019-01-22 17:24:01,710 - INFO - fastread - 214, 250
2019-01-22 17:24:01,722 - INFO - fastread - 222, 260
2019-01-22 17:24:01,734 - INFO - fastread - 232, 270
2019-01-22 17:24:01,746 - INFO - fastread - 240, 280
2019-01-22 17:24:01,757 - INFO - fastread - 250, 290
2019-01-22 17:24:01,769 - INFO - fastread - 257, 300
2019-01-22 17:24:01,781 - INFO - fastread - 266, 310
2019-01-22 17:24:01,793 - INFO - fastread - 275, 320
2019-01-22 17:24:01,805 - INFO - fastread - 284, 330
2019-01-22 17:24:01,816 - INFO - fastread - 294, 340
2019-01-22 17:24:01,828 - INFO - fastread - 303, 350
2019-01-22 17:24:01,840 - INFO - fastread - 311, 360
2019-01-22 17:24:01,852 - INFO - fastread - 319, 370
2019-01-22 17:24:01,864 - INFO - fastread - 328, 380
2019-01-22 17:24:01,876 - INFO - fastread - 336, 390
2019-01-22 17:24:01,888 - INFO - fastread - 344, 400
2019-01-22 17:24:01,900 - INFO - fastread - 352, 410
2019-01-22 17:24:01,912 - INFO - fastread - 360, 420
2019-01-22 17:24:01,924 - INFO - fastread - 370, 430
2019-01-22 17:24:01,936 - INFO - fastread - 380, 440
2019-01-22 17:24:01,948 - INFO - fastread - 389, 450
2019-01-22 17:24:01,960 - INFO - fastread - 398, 460
2019-01-22 17:24:01,971 - INFO - fastread - 408, 470
2019-01-22 17:24:01,983 - INFO - fastread - 416, 480
2019-01-22 17:24:01,995 - INFO - fastread - 426, 490
2019-01-22 17:24:02,007 - INFO - fastread - 434, 500
2019-01-22 17:24:02,019 - INFO - fastread - 444, 510
2019-01-22 17:24:02,031 - INFO - fastread - 452, 520
2019-01-22 17:24:02,043 - INFO - fastread - 461, 530
2019-01-22 17:24:02,055 - INFO - fastread - 470, 540
2019-01-22 17:24:02,067 - INFO - fastread - 477, 550
2019-01-22 17:24:02,079 - INFO - fastread - 486, 560
2019-01-22 17:24:02,091 - INFO - fastread - 495, 570
2019-01-22 17:24:02,103 - INFO - fastread - 505, 580
2019-01-22 17:24:02,115 - INFO - fastread - 513, 590
2019-01-22 17:24:02,127 - INFO - fastread - 522, 600
2019-01-22 17:24:02,139 - INFO - fastread - 531, 610
2019-01-22 17:24:02,151 - INFO - fastread - 539, 620
2019-01-22 17:24:02,163 - INFO - fastread - 547, 630
2019-01-22 17:24:02,175 - INFO - fastread - 554, 640
2019-01-22 17:24:02,187 - INFO - fastread - 554, 650
2019-01-22 17:24:02,199 - INFO - fastread - 554, 660
2019-01-22 17:24:02,212 - INFO - fastread - 554, 670
2019-01-22 17:24:02,224 - INFO - fastread - 554, 680
2019-01-22 17:24:02,236 - INFO - fastread - 554, 690
2019-01-22 17:24:02,248 - INFO - fastread - 554, 700
2019-01-22 17:24:02,260 - INFO - fastread - 554, 710
2019-01-22 17:24:02,272 - INFO - fastread - 554, 720
2019-01-22 17:24:02,284 - INFO - fastread - 554, 730
2019-01-22 17:24:02,296 - INFO - fastread - 554, 740
2019-01-22 17:24:02,308 - INFO - fastread - 554, 750
2019-01-22 17:24:02,321 - INFO - fastread - 554, 760
2019-01-22 17:24:02,333 - INFO - fastread - 555, 770
2019-01-22 17:24:02,345 - INFO - fastread - 555, 780
2019-01-22 17:24:02,357 - INFO - fastread - 555, 790
2019-01-22 17:24:02,369 - INFO - fastread - 555, 800
2019-01-22 17:24:02,381 - INFO - fastread - 555, 810
2019-01-22 17:24:02,394 - INFO - fastread - 555, 820
2019-01-22 17:24:02,406 - INFO - fastread - 555, 830
2019-01-22 17:24:02,418 - INFO - fastread - 555, 840
2019-01-22 17:24:02,430 - INFO - fastread - 555, 850
2019-01-22 17:24:02,442 - INFO - fastread - 556, 860
2019-01-22 17:24:02,455 - INFO - fastread - 556, 870
2019-01-22 17:24:02,467 - INFO - fastread - 556, 880
2019-01-22 17:24:02,479 - INFO - fastread - 556, 890
2019-01-22 17:24:02,492 - INFO - fastread - 556, 900
2019-01-22 17:24:02,504 - INFO - fastread - 557, 910
2019-01-22 17:24:02,516 - INFO - fastread - 557, 920
2019-01-22 17:24:02,528 - INFO - fastread - 557, 930
2019-01-22 17:24:02,540 - INFO - fastread - 557, 940
2019-01-22 17:24:02,553 - INFO - fastread - 557, 950
2019-01-22 17:24:02,565 - INFO - fastread - 558, 960
2019-01-22 17:24:02,577 - INFO - fastread - 558, 970
2019-01-22 17:24:02,589 - INFO - fastread - 558, 980
2019-01-22 17:24:02,602 - INFO - fastread - 558, 990
2019-01-22 17:24:02,614 - INFO - fastread - 559, 1000
2019-01-22 17:24:02,626 - INFO - fastread - 559, 1010
2019-01-22 17:24:02,639 - INFO - fastread - 559, 1020
2019-01-22 17:24:02,651 - INFO - fastread - 559, 1030
2019-01-22 17:24:02,663 - INFO - fastread - 559, 1040
2019-01-22 17:24:02,675 - INFO - fastread - 559, 1050
