2019-01-22 17:30:58,604 - INFO - rig - columba-1.4-src
2019-01-22 17:31:02,174 - INFO - fastread - Total Yes: 204 | Total No: 6264
2019-01-22 17:31:02,519 - INFO - fastread - 7, 10
2019-01-22 17:31:02,532 - INFO - fastread - 12, 20
2019-01-22 17:31:02,545 - INFO - fastread - 21, 30
2019-01-22 17:31:02,558 - INFO - fastread - 31, 40
2019-01-22 17:31:02,571 - INFO - fastread - 40, 50
2019-01-22 17:31:02,584 - INFO - fastread - 49, 60
2019-01-22 17:31:02,598 - INFO - fastread - 54, 70
2019-01-22 17:31:02,611 - INFO - fastread - 59, 80
2019-01-22 17:31:02,624 - INFO - fastread - 63, 90
2019-01-22 17:31:02,637 - INFO - fastread - 70, 100
2019-01-22 17:31:02,650 - INFO - fastread - 73, 110
2019-01-22 17:31:02,663 - INFO - fastread - 75, 120
2019-01-22 17:31:02,676 - INFO - fastread - 77, 130
2019-01-22 17:31:02,689 - INFO - fastread - 80, 140
2019-01-22 17:31:02,702 - INFO - fastread - 83, 150
2019-01-22 17:31:02,715 - INFO - fastread - 87, 160
2019-01-22 17:31:02,728 - INFO - fastread - 91, 170
2019-01-22 17:31:02,742 - INFO - fastread - 92, 180
2019-01-22 17:31:02,755 - INFO - fastread - 93, 190
2019-01-22 17:31:02,768 - INFO - fastread - 97, 200
2019-01-22 17:31:02,781 - INFO - fastread - 100, 210
2019-01-22 17:31:02,794 - INFO - fastread - 100, 220
2019-01-22 17:31:02,808 - INFO - fastread - 100, 230
2019-01-22 17:31:02,821 - INFO - fastread - 101, 240
2019-01-22 17:31:02,834 - INFO - fastread - 101, 250
2019-01-22 17:31:02,848 - INFO - fastread - 103, 260
2019-01-22 17:31:02,861 - INFO - fastread - 105, 270
2019-01-22 17:31:02,875 - INFO - fastread - 105, 280
2019-01-22 17:31:02,888 - INFO - fastread - 108, 290
2019-01-22 17:31:02,901 - INFO - fastread - 108, 300
2019-01-22 17:31:02,915 - INFO - fastread - 109, 310
2019-01-22 17:31:02,928 - INFO - fastread - 109, 320
2019-01-22 17:31:02,941 - INFO - fastread - 110, 330
2019-01-22 17:31:02,955 - INFO - fastread - 113, 340
2019-01-22 17:31:02,968 - INFO - fastread - 118, 350
2019-01-22 17:31:02,982 - INFO - fastread - 121, 360
2019-01-22 17:31:02,996 - INFO - fastread - 122, 370
2019-01-22 17:31:03,009 - INFO - fastread - 123, 380
2019-01-22 17:31:03,022 - INFO - fastread - 123, 390
2019-01-22 17:31:03,036 - INFO - fastread - 123, 400
2019-01-22 17:31:03,049 - INFO - fastread - 124, 410
2019-01-22 17:31:03,062 - INFO - fastread - 124, 420
2019-01-22 17:31:03,076 - INFO - fastread - 124, 430
2019-01-22 17:31:03,089 - INFO - fastread - 125, 440
2019-01-22 17:31:03,103 - INFO - fastread - 126, 450
2019-01-22 17:31:03,116 - INFO - fastread - 127, 460
2019-01-22 17:31:03,130 - INFO - fastread - 130, 470
2019-01-22 17:31:03,143 - INFO - fastread - 131, 480
2019-01-22 17:31:03,156 - INFO - fastread - 131, 490
2019-01-22 17:31:03,169 - INFO - fastread - 133, 500
2019-01-22 17:31:03,183 - INFO - fastread - 134, 510
2019-01-22 17:31:03,196 - INFO - fastread - 135, 520
2019-01-22 17:31:03,209 - INFO - fastread - 136, 530
2019-01-22 17:31:03,223 - INFO - fastread - 136, 540
2019-01-22 17:31:03,236 - INFO - fastread - 137, 550
2019-01-22 17:31:03,250 - INFO - fastread - 137, 560
2019-01-22 17:31:03,263 - INFO - fastread - 137, 570
2019-01-22 17:31:03,276 - INFO - fastread - 138, 580
2019-01-22 17:31:03,289 - INFO - fastread - 139, 590
2019-01-22 17:31:03,303 - INFO - fastread - 139, 600
2019-01-22 17:31:03,318 - INFO - fastread - 141, 610
2019-01-22 17:31:03,331 - INFO - fastread - 142, 620
2019-01-22 17:31:03,344 - INFO - fastread - 142, 630
2019-01-22 17:31:03,358 - INFO - fastread - 142, 640
2019-01-22 17:31:03,371 - INFO - fastread - 142, 650
2019-01-22 17:31:03,384 - INFO - fastread - 142, 660
2019-01-22 17:31:03,398 - INFO - fastread - 142, 670
2019-01-22 17:31:03,411 - INFO - fastread - 142, 680
2019-01-22 17:31:03,425 - INFO - fastread - 142, 690
2019-01-22 17:31:03,438 - INFO - fastread - 142, 700
2019-01-22 17:31:03,451 - INFO - fastread - 142, 710
2019-01-22 17:31:03,465 - INFO - fastread - 142, 720
2019-01-22 17:31:03,478 - INFO - fastread - 142, 730
2019-01-22 17:31:03,492 - INFO - fastread - 142, 740
2019-01-22 17:31:03,506 - INFO - fastread - 142, 750
2019-01-22 17:31:03,520 - INFO - fastread - 142, 760
2019-01-22 17:31:03,534 - INFO - fastread - 142, 770
2019-01-22 17:31:03,547 - INFO - fastread - 142, 780
2019-01-22 17:31:03,561 - INFO - fastread - 142, 790
2019-01-22 17:31:03,574 - INFO - fastread - 142, 800
2019-01-22 17:31:03,588 - INFO - fastread - 142, 810
2019-01-22 17:31:03,601 - INFO - fastread - 142, 820
2019-01-22 17:31:03,616 - INFO - fastread - 143, 830
2019-01-22 17:31:03,630 - INFO - fastread - 143, 840
2019-01-22 17:31:03,643 - INFO - fastread - 143, 850
2019-01-22 17:31:03,657 - INFO - fastread - 143, 860
2019-01-22 17:31:03,670 - INFO - fastread - 143, 870
2019-01-22 17:31:03,684 - INFO - fastread - 144, 880
2019-01-22 17:31:03,698 - INFO - fastread - 144, 890
2019-01-22 17:31:03,711 - INFO - fastread - 144, 900
2019-01-22 17:31:03,725 - INFO - fastread - 145, 910
2019-01-22 17:31:03,738 - INFO - fastread - 145, 920
2019-01-22 17:31:03,752 - INFO - fastread - 146, 930
2019-01-22 17:31:03,765 - INFO - fastread - 147, 940
2019-01-22 17:31:03,779 - INFO - fastread - 147, 950
2019-01-22 17:31:03,793 - INFO - fastread - 149, 960
2019-01-22 17:31:03,806 - INFO - fastread - 149, 970
2019-01-22 17:31:03,820 - INFO - fastread - 151, 980
2019-01-22 17:31:03,833 - INFO - fastread - 151, 990
2019-01-22 17:31:03,847 - INFO - fastread - 151, 1000
2019-01-22 17:31:03,861 - INFO - fastread - 151, 1010
2019-01-22 17:31:03,874 - INFO - fastread - 152, 1020
2019-01-22 17:31:03,888 - INFO - fastread - 152, 1030
2019-01-22 17:31:03,902 - INFO - fastread - 152, 1040
2019-01-22 17:31:03,915 - INFO - fastread - 153, 1050
2019-01-22 17:31:03,929 - INFO - fastread - 153, 1060
2019-01-22 17:31:03,943 - INFO - fastread - 154, 1070
2019-01-22 17:31:03,956 - INFO - fastread - 155, 1080
2019-01-22 17:31:03,970 - INFO - fastread - 156, 1090
2019-01-22 17:31:03,984 - INFO - fastread - 156, 1100
2019-01-22 17:31:03,998 - INFO - fastread - 156, 1110
2019-01-22 17:31:04,011 - INFO - fastread - 156, 1120
2019-01-22 17:31:04,025 - INFO - fastread - 156, 1130
2019-01-22 17:31:04,039 - INFO - fastread - 156, 1140
2019-01-22 17:31:04,052 - INFO - fastread - 157, 1150
2019-01-22 17:31:04,066 - INFO - fastread - 158, 1160
2019-01-22 17:31:04,080 - INFO - fastread - 158, 1170
2019-01-22 17:31:04,094 - INFO - fastread - 158, 1180
2019-01-22 17:31:04,107 - INFO - fastread - 158, 1190
2019-01-22 17:31:04,121 - INFO - fastread - 158, 1200
2019-01-22 17:31:04,135 - INFO - fastread - 159, 1210
2019-01-22 17:31:04,149 - INFO - fastread - 159, 1220
2019-01-22 17:31:04,162 - INFO - fastread - 160, 1230
2019-01-22 17:31:04,176 - INFO - fastread - 160, 1240
2019-01-22 17:31:04,190 - INFO - fastread - 161, 1250
2019-01-22 17:31:04,204 - INFO - fastread - 162, 1260
2019-01-22 17:31:04,218 - INFO - fastread - 162, 1270
2019-01-22 17:31:04,232 - INFO - fastread - 165, 1280
2019-01-22 17:31:04,245 - INFO - fastread - 165, 1290
2019-01-22 17:31:04,259 - INFO - fastread - 165, 1300
2019-01-22 17:31:04,273 - INFO - fastread - 165, 1310
2019-01-22 17:31:04,287 - INFO - fastread - 166, 1320
2019-01-22 17:31:04,301 - INFO - fastread - 166, 1330
2019-01-22 17:31:04,315 - INFO - fastread - 167, 1340
2019-01-22 17:31:04,328 - INFO - fastread - 167, 1350
2019-01-22 17:31:04,342 - INFO - fastread - 167, 1360
2019-01-22 17:31:04,356 - INFO - fastread - 169, 1370
2019-01-22 17:31:04,370 - INFO - fastread - 169, 1380
2019-01-22 17:31:04,384 - INFO - fastread - 170, 1390
2019-01-22 17:31:04,398 - INFO - fastread - 171, 1400
2019-01-22 17:31:04,412 - INFO - fastread - 171, 1410
2019-01-22 17:31:04,426 - INFO - fastread - 171, 1420
2019-01-22 17:31:04,439 - INFO - fastread - 171, 1430
2019-01-22 17:31:04,453 - INFO - fastread - 173, 1440
2019-01-22 17:31:04,467 - INFO - fastread - 173, 1450
2019-01-22 17:31:04,481 - INFO - fastread - 173, 1460
2019-01-22 17:31:04,495 - INFO - fastread - 173, 1470
2019-01-22 17:31:04,509 - INFO - fastread - 173, 1480
2019-01-22 17:31:04,523 - INFO - fastread - 173, 1490
2019-01-22 17:31:04,537 - INFO - fastread - 174, 1500
2019-01-22 17:31:04,551 - INFO - fastread - 174, 1510
2019-01-22 17:31:04,565 - INFO - fastread - 174, 1520
2019-01-22 17:31:04,579 - INFO - fastread - 174, 1530
2019-01-22 17:31:04,593 - INFO - fastread - 174, 1540
2019-01-22 17:31:04,607 - INFO - fastread - 174, 1550
2019-01-22 17:31:04,621 - INFO - fastread - 174, 1560
2019-01-22 17:31:04,635 - INFO - fastread - 175, 1570
2019-01-22 17:31:04,649 - INFO - fastread - 175, 1580
2019-01-22 17:31:04,663 - INFO - fastread - 175, 1590
2019-01-22 17:31:04,677 - INFO - fastread - 177, 1600
2019-01-22 17:31:04,691 - INFO - fastread - 177, 1610
2019-01-22 17:31:04,705 - INFO - fastread - 177, 1620
2019-01-22 17:31:04,719 - INFO - fastread - 177, 1630
2019-01-22 17:31:04,733 - INFO - fastread - 177, 1640
2019-01-22 17:31:04,747 - INFO - fastread - 177, 1650
2019-01-22 17:31:04,761 - INFO - fastread - 177, 1660
2019-01-22 17:31:04,775 - INFO - fastread - 177, 1670
2019-01-22 17:31:04,789 - INFO - fastread - 177, 1680
2019-01-22 17:31:04,803 - INFO - fastread - 177, 1690
2019-01-22 17:31:04,817 - INFO - fastread - 177, 1700
2019-01-22 17:31:04,831 - INFO - fastread - 177, 1710
2019-01-22 17:31:04,845 - INFO - fastread - 177, 1720
2019-01-22 17:31:04,859 - INFO - fastread - 177, 1730
2019-01-22 17:31:04,873 - INFO - fastread - 177, 1740
2019-01-22 17:31:04,887 - INFO - fastread - 178, 1750
2019-01-22 17:31:04,901 - INFO - fastread - 178, 1760
2019-01-22 17:31:04,915 - INFO - fastread - 178, 1770
2019-01-22 17:31:04,930 - INFO - fastread - 178, 1780
2019-01-22 17:31:04,944 - INFO - fastread - 180, 1790
2019-01-22 17:31:04,958 - INFO - fastread - 180, 1800
2019-01-22 17:31:04,972 - INFO - fastread - 180, 1810
2019-01-22 17:31:04,986 - INFO - fastread - 182, 1820
2019-01-22 17:31:05,000 - INFO - fastread - 182, 1830
2019-01-22 17:31:05,014 - INFO - fastread - 182, 1840
2019-01-22 17:31:05,029 - INFO - fastread - 182, 1850
2019-01-22 17:31:05,043 - INFO - fastread - 182, 1860
2019-01-22 17:31:05,057 - INFO - fastread - 182, 1870
2019-01-22 17:31:05,071 - INFO - fastread - 183, 1880
2019-01-22 17:31:05,085 - INFO - fastread - 184, 1890
2019-01-22 17:31:05,099 - INFO - fastread - 184, 1900
2019-01-22 17:31:05,114 - INFO - fastread - 184, 1910
2019-01-22 17:31:05,128 - INFO - fastread - 184, 1920
2019-01-22 17:31:05,142 - INFO - fastread - 184, 1930
2019-01-22 17:31:05,156 - INFO - fastread - 184, 1940
2019-01-22 17:31:05,170 - INFO - fastread - 185, 1950
2019-01-22 17:31:05,184 - INFO - fastread - 185, 1960
2019-01-22 17:31:05,199 - INFO - fastread - 185, 1970
2019-01-22 17:31:05,213 - INFO - fastread - 185, 1980
2019-01-22 17:31:05,227 - INFO - fastread - 185, 1990
2019-01-22 17:31:05,241 - INFO - fastread - 185, 2000
2019-01-22 17:31:05,256 - INFO - fastread - 185, 2010
2019-01-22 17:31:05,270 - INFO - fastread - 185, 2020
2019-01-22 17:31:05,284 - INFO - fastread - 185, 2030
2019-01-22 17:31:05,311 - INFO - fastread - 185, 2040
2019-01-22 17:31:05,326 - INFO - fastread - 185, 2050
2019-01-22 17:31:05,341 - INFO - fastread - 185, 2060
