2019-01-22 17:30:59,849 - INFO - rig - jruby-1.4.0
2019-01-22 17:31:03,374 - INFO - fastread - Total Yes: 622 | Total No: 4275
2019-01-22 17:31:03,684 - INFO - fastread - 9, 10
2019-01-22 17:31:03,696 - INFO - fastread - 14, 20
2019-01-22 17:31:03,708 - INFO - fastread - 18, 30
2019-01-22 17:31:03,719 - INFO - fastread - 27, 40
2019-01-22 17:31:03,731 - INFO - fastread - 35, 50
2019-01-22 17:31:03,743 - INFO - fastread - 44, 60
2019-01-22 17:31:03,755 - INFO - fastread - 50, 70
2019-01-22 17:31:03,767 - INFO - fastread - 55, 80
2019-01-22 17:31:03,779 - INFO - fastread - 64, 90
2019-01-22 17:31:03,791 - INFO - fastread - 69, 100
2019-01-22 17:31:03,802 - INFO - fastread - 75, 110
2019-01-22 17:31:03,814 - INFO - fastread - 81, 120
2019-01-22 17:31:03,826 - INFO - fastread - 87, 130
2019-01-22 17:31:03,838 - INFO - fastread - 92, 140
2019-01-22 17:31:03,850 - INFO - fastread - 101, 150
2019-01-22 17:31:03,862 - INFO - fastread - 105, 160
2019-01-22 17:31:03,874 - INFO - fastread - 114, 170
2019-01-22 17:31:03,886 - INFO - fastread - 118, 180
2019-01-22 17:31:03,897 - INFO - fastread - 121, 190
2019-01-22 17:31:03,909 - INFO - fastread - 127, 200
2019-01-22 17:31:03,921 - INFO - fastread - 134, 210
2019-01-22 17:31:03,933 - INFO - fastread - 140, 220
2019-01-22 17:31:03,945 - INFO - fastread - 143, 230
2019-01-22 17:31:03,957 - INFO - fastread - 145, 240
2019-01-22 17:31:03,969 - INFO - fastread - 151, 250
2019-01-22 17:31:03,981 - INFO - fastread - 156, 260
2019-01-22 17:31:03,993 - INFO - fastread - 160, 270
2019-01-22 17:31:04,005 - INFO - fastread - 166, 280
2019-01-22 17:31:04,017 - INFO - fastread - 172, 290
2019-01-22 17:31:04,029 - INFO - fastread - 178, 300
2019-01-22 17:31:04,041 - INFO - fastread - 184, 310
2019-01-22 17:31:04,053 - INFO - fastread - 187, 320
2019-01-22 17:31:04,065 - INFO - fastread - 197, 330
2019-01-22 17:31:04,077 - INFO - fastread - 207, 340
2019-01-22 17:31:04,089 - INFO - fastread - 217, 350
2019-01-22 17:31:04,101 - INFO - fastread - 227, 360
2019-01-22 17:31:04,113 - INFO - fastread - 237, 370
2019-01-22 17:31:04,125 - INFO - fastread - 247, 380
2019-01-22 17:31:04,137 - INFO - fastread - 257, 390
2019-01-22 17:31:04,149 - INFO - fastread - 263, 400
2019-01-22 17:31:04,161 - INFO - fastread - 265, 410
2019-01-22 17:31:04,173 - INFO - fastread - 268, 420
2019-01-22 17:31:04,185 - INFO - fastread - 269, 430
2019-01-22 17:31:04,197 - INFO - fastread - 270, 440
2019-01-22 17:31:04,209 - INFO - fastread - 276, 450
2019-01-22 17:31:04,221 - INFO - fastread - 282, 460
2019-01-22 17:31:04,233 - INFO - fastread - 285, 470
2019-01-22 17:31:04,245 - INFO - fastread - 292, 480
2019-01-22 17:31:04,258 - INFO - fastread - 295, 490
2019-01-22 17:31:04,270 - INFO - fastread - 300, 500
2019-01-22 17:31:04,282 - INFO - fastread - 306, 510
2019-01-22 17:31:04,294 - INFO - fastread - 308, 520
2019-01-22 17:31:04,306 - INFO - fastread - 313, 530
2019-01-22 17:31:04,318 - INFO - fastread - 318, 540
2019-01-22 17:31:04,331 - INFO - fastread - 321, 550
2019-01-22 17:31:04,343 - INFO - fastread - 324, 560
2019-01-22 17:31:04,355 - INFO - fastread - 327, 570
2019-01-22 17:31:04,367 - INFO - fastread - 330, 580
2019-01-22 17:31:04,379 - INFO - fastread - 335, 590
2019-01-22 17:31:04,391 - INFO - fastread - 339, 600
2019-01-22 17:31:04,404 - INFO - fastread - 340, 610
2019-01-22 17:31:04,416 - INFO - fastread - 344, 620
2019-01-22 17:31:04,428 - INFO - fastread - 349, 630
2019-01-22 17:31:04,440 - INFO - fastread - 350, 640
2019-01-22 17:31:04,452 - INFO - fastread - 351, 650
2019-01-22 17:31:04,464 - INFO - fastread - 353, 660
2019-01-22 17:31:04,477 - INFO - fastread - 354, 670
2019-01-22 17:31:04,489 - INFO - fastread - 357, 680
2019-01-22 17:31:04,501 - INFO - fastread - 358, 690
2019-01-22 17:31:04,513 - INFO - fastread - 360, 700
2019-01-22 17:31:04,526 - INFO - fastread - 364, 710
2019-01-22 17:31:04,538 - INFO - fastread - 368, 720
2019-01-22 17:31:04,550 - INFO - fastread - 371, 730
2019-01-22 17:31:04,562 - INFO - fastread - 373, 740
2019-01-22 17:31:04,575 - INFO - fastread - 376, 750
2019-01-22 17:31:04,587 - INFO - fastread - 381, 760
2019-01-22 17:31:04,599 - INFO - fastread - 384, 770
2019-01-22 17:31:04,612 - INFO - fastread - 385, 780
2019-01-22 17:31:04,624 - INFO - fastread - 388, 790
2019-01-22 17:31:04,636 - INFO - fastread - 388, 800
2019-01-22 17:31:04,649 - INFO - fastread - 388, 810
2019-01-22 17:31:04,661 - INFO - fastread - 393, 820
2019-01-22 17:31:04,673 - INFO - fastread - 393, 830
2019-01-22 17:31:04,686 - INFO - fastread - 393, 840
2019-01-22 17:31:04,698 - INFO - fastread - 393, 850
2019-01-22 17:31:04,710 - INFO - fastread - 393, 860
2019-01-22 17:31:04,723 - INFO - fastread - 393, 870
2019-01-22 17:31:04,735 - INFO - fastread - 393, 880
2019-01-22 17:31:04,747 - INFO - fastread - 393, 890
2019-01-22 17:31:04,760 - INFO - fastread - 393, 900
2019-01-22 17:31:04,772 - INFO - fastread - 393, 910
2019-01-22 17:31:04,784 - INFO - fastread - 393, 920
2019-01-22 17:31:04,797 - INFO - fastread - 393, 930
2019-01-22 17:31:04,809 - INFO - fastread - 393, 940
2019-01-22 17:31:04,822 - INFO - fastread - 393, 950
2019-01-22 17:31:04,834 - INFO - fastread - 393, 960
2019-01-22 17:31:04,847 - INFO - fastread - 393, 970
2019-01-22 17:31:04,859 - INFO - fastread - 393, 980
2019-01-22 17:31:04,872 - INFO - fastread - 393, 990
2019-01-22 17:31:04,884 - INFO - fastread - 393, 1000
2019-01-22 17:31:04,896 - INFO - fastread - 393, 1010
2019-01-22 17:31:04,909 - INFO - fastread - 393, 1020
2019-01-22 17:31:04,921 - INFO - fastread - 393, 1030
2019-01-22 17:31:04,934 - INFO - fastread - 393, 1040
2019-01-22 17:31:04,946 - INFO - fastread - 393, 1050
2019-01-22 17:31:04,959 - INFO - fastread - 393, 1060
2019-01-22 17:31:04,971 - INFO - fastread - 393, 1070
2019-01-22 17:31:04,984 - INFO - fastread - 394, 1080
2019-01-22 17:31:04,996 - INFO - fastread - 396, 1090
2019-01-22 17:31:05,009 - INFO - fastread - 399, 1100
2019-01-22 17:31:05,021 - INFO - fastread - 401, 1110
2019-01-22 17:31:05,034 - INFO - fastread - 401, 1120
2019-01-22 17:31:05,047 - INFO - fastread - 402, 1130
2019-01-22 17:31:05,059 - INFO - fastread - 404, 1140
2019-01-22 17:31:05,072 - INFO - fastread - 407, 1150
2019-01-22 17:31:05,084 - INFO - fastread - 408, 1160
2019-01-22 17:31:05,097 - INFO - fastread - 410, 1170
2019-01-22 17:31:05,109 - INFO - fastread - 411, 1180
2019-01-22 17:31:05,122 - INFO - fastread - 415, 1190
2019-01-22 17:31:05,134 - INFO - fastread - 417, 1200
2019-01-22 17:31:05,147 - INFO - fastread - 420, 1210
2019-01-22 17:31:05,160 - INFO - fastread - 426, 1220
2019-01-22 17:31:05,172 - INFO - fastread - 427, 1230
2019-01-22 17:31:05,185 - INFO - fastread - 430, 1240
2019-01-22 17:31:05,198 - INFO - fastread - 430, 1250
2019-01-22 17:31:05,210 - INFO - fastread - 435, 1260
2019-01-22 17:31:05,223 - INFO - fastread - 435, 1270
2019-01-22 17:31:05,235 - INFO - fastread - 438, 1280
