2019-01-22 16:43:00,047 - INFO - rig - emf-2.4.1
2019-01-22 16:43:03,528 - INFO - fastread - Total Yes: 104 | Total No: 4285
2019-01-22 17:07:49,650 - INFO - fastread - 0, 10
2019-01-22 17:07:49,662 - INFO - fastread - 5, 20
2019-01-22 17:07:49,673 - INFO - fastread - 15, 30
2019-01-22 17:07:49,684 - INFO - fastread - 25, 40
2019-01-22 17:07:49,695 - INFO - fastread - 31, 50
2019-01-22 17:07:49,706 - INFO - fastread - 39, 60
2019-01-22 17:07:49,716 - INFO - fastread - 39, 70
2019-01-22 17:07:49,727 - INFO - fastread - 41, 80
2019-01-22 17:07:49,738 - INFO - fastread - 44, 90
2019-01-22 17:07:49,749 - INFO - fastread - 47, 100
2019-01-22 17:07:49,760 - INFO - fastread - 51, 110
2019-01-22 17:07:49,770 - INFO - fastread - 55, 120
2019-01-22 17:07:49,781 - INFO - fastread - 57, 130
2019-01-22 17:07:49,793 - INFO - fastread - 57, 140
2019-01-22 17:07:49,803 - INFO - fastread - 61, 150
2019-01-22 17:07:49,814 - INFO - fastread - 65, 160
2019-01-22 17:07:49,825 - INFO - fastread - 65, 170
2019-01-22 17:07:49,836 - INFO - fastread - 67, 180
2019-01-22 17:07:49,847 - INFO - fastread - 68, 190
2019-01-22 17:07:49,858 - INFO - fastread - 70, 200
2019-01-22 17:07:49,869 - INFO - fastread - 71, 210
2019-01-22 17:07:49,880 - INFO - fastread - 73, 220
2019-01-22 17:07:49,891 - INFO - fastread - 74, 230
2019-01-22 17:07:49,901 - INFO - fastread - 75, 240
2019-01-22 17:07:49,912 - INFO - fastread - 75, 250
2019-01-22 17:07:49,923 - INFO - fastread - 75, 260
2019-01-22 17:07:49,934 - INFO - fastread - 75, 270
2019-01-22 17:07:49,945 - INFO - fastread - 76, 280
2019-01-22 17:07:49,956 - INFO - fastread - 76, 290
2019-01-22 17:07:49,967 - INFO - fastread - 76, 300
2019-01-22 17:07:49,978 - INFO - fastread - 76, 310
2019-01-22 17:07:49,989 - INFO - fastread - 76, 320
2019-01-22 17:07:50,000 - INFO - fastread - 76, 330
2019-01-22 17:07:50,011 - INFO - fastread - 76, 340
2019-01-22 17:07:50,022 - INFO - fastread - 76, 350
2019-01-22 17:07:50,033 - INFO - fastread - 76, 360
2019-01-22 17:07:50,044 - INFO - fastread - 76, 370
2019-01-22 17:07:50,055 - INFO - fastread - 76, 380
2019-01-22 17:07:50,066 - INFO - fastread - 76, 390
2019-01-22 17:07:50,077 - INFO - fastread - 76, 400
2019-01-22 17:07:50,087 - INFO - fastread - 76, 410
2019-01-22 17:07:50,098 - INFO - fastread - 76, 420
2019-01-22 17:07:50,110 - INFO - fastread - 76, 430
