2019-01-22 16:42:59,695 - INFO - rig - hibernate-distribution-3.3.2.GA
2019-01-22 16:43:03,184 - INFO - fastread - Total Yes: 472 | Total No: 2496
2019-01-22 17:06:01,386 - INFO - fastread - 5, 10
2019-01-22 17:06:01,398 - INFO - fastread - 10, 20
2019-01-22 17:06:01,408 - INFO - fastread - 19, 30
2019-01-22 17:06:01,418 - INFO - fastread - 28, 40
2019-01-22 17:06:01,428 - INFO - fastread - 38, 50
2019-01-22 17:06:01,439 - INFO - fastread - 48, 60
2019-01-22 17:06:01,449 - INFO - fastread - 58, 70
2019-01-22 17:06:01,459 - INFO - fastread - 68, 80
2019-01-22 17:06:01,469 - INFO - fastread - 76, 90
2019-01-22 17:06:01,479 - INFO - fastread - 86, 100
2019-01-22 17:06:01,490 - INFO - fastread - 96, 110
2019-01-22 17:06:01,500 - INFO - fastread - 106, 120
2019-01-22 17:06:01,510 - INFO - fastread - 116, 130
2019-01-22 17:06:01,520 - INFO - fastread - 126, 140
2019-01-22 17:06:01,531 - INFO - fastread - 136, 150
2019-01-22 17:06:01,541 - INFO - fastread - 145, 160
2019-01-22 17:06:01,551 - INFO - fastread - 154, 170
2019-01-22 17:06:01,561 - INFO - fastread - 164, 180
2019-01-22 17:06:01,571 - INFO - fastread - 174, 190
2019-01-22 17:06:01,582 - INFO - fastread - 184, 200
2019-01-22 17:06:01,592 - INFO - fastread - 194, 210
2019-01-22 17:06:01,602 - INFO - fastread - 204, 220
2019-01-22 17:06:01,612 - INFO - fastread - 214, 230
2019-01-22 17:06:01,623 - INFO - fastread - 224, 240
2019-01-22 17:06:01,633 - INFO - fastread - 234, 250
2019-01-22 17:06:01,643 - INFO - fastread - 244, 260
2019-01-22 17:06:01,653 - INFO - fastread - 253, 270
2019-01-22 17:06:01,664 - INFO - fastread - 260, 280
2019-01-22 17:06:01,674 - INFO - fastread - 270, 290
2019-01-22 17:06:01,684 - INFO - fastread - 280, 300
2019-01-22 17:06:01,695 - INFO - fastread - 290, 310
2019-01-22 17:06:01,705 - INFO - fastread - 299, 320
2019-01-22 17:06:01,715 - INFO - fastread - 309, 330
2019-01-22 17:06:01,726 - INFO - fastread - 319, 340
2019-01-22 17:06:01,736 - INFO - fastread - 329, 350
2019-01-22 17:06:01,746 - INFO - fastread - 339, 360
2019-01-22 17:06:01,757 - INFO - fastread - 344, 370
2019-01-22 17:06:01,767 - INFO - fastread - 352, 380
2019-01-22 17:06:01,777 - INFO - fastread - 355, 390
2019-01-22 17:06:01,788 - INFO - fastread - 359, 400
2019-01-22 17:06:01,798 - INFO - fastread - 365, 410
2019-01-22 17:06:01,808 - INFO - fastread - 367, 420
2019-01-22 17:06:01,819 - INFO - fastread - 370, 430
2019-01-22 17:06:01,829 - INFO - fastread - 375, 440
2019-01-22 17:06:01,839 - INFO - fastread - 375, 450
2019-01-22 17:06:01,850 - INFO - fastread - 377, 460
2019-01-22 17:06:01,860 - INFO - fastread - 378, 470
2019-01-22 17:06:01,871 - INFO - fastread - 380, 480
2019-01-22 17:06:01,881 - INFO - fastread - 382, 490
2019-01-22 17:06:01,892 - INFO - fastread - 386, 500
2019-01-22 17:06:01,902 - INFO - fastread - 386, 510
2019-01-22 17:06:01,912 - INFO - fastread - 389, 520
2019-01-22 17:06:01,923 - INFO - fastread - 394, 530
2019-01-22 17:06:01,933 - INFO - fastread - 396, 540
2019-01-22 17:06:01,944 - INFO - fastread - 398, 550
2019-01-22 17:06:01,954 - INFO - fastread - 401, 560
2019-01-22 17:06:01,965 - INFO - fastread - 401, 570
2019-01-22 17:06:01,975 - INFO - fastread - 401, 580
2019-01-22 17:06:01,986 - INFO - fastread - 403, 590
2019-01-22 17:06:01,996 - INFO - fastread - 404, 600
2019-01-22 17:06:02,007 - INFO - fastread - 406, 610
2019-01-22 17:06:02,017 - INFO - fastread - 408, 620
2019-01-22 17:06:02,028 - INFO - fastread - 410, 630
2019-01-22 17:06:02,038 - INFO - fastread - 413, 640
2019-01-22 17:06:02,049 - INFO - fastread - 416, 650
2019-01-22 17:06:02,059 - INFO - fastread - 418, 660
