2019-01-22 16:42:57,712 - INFO - rig - jEdit-4.2
2019-01-22 16:43:01,152 - INFO - fastread - Total Yes: 256 | Total No: 10066
2019-01-22 17:05:37,606 - INFO - fastread - 9, 10
2019-01-22 17:05:37,622 - INFO - fastread - 17, 20
2019-01-22 17:05:37,637 - INFO - fastread - 25, 30
2019-01-22 17:05:37,652 - INFO - fastread - 34, 40
2019-01-22 17:05:37,668 - INFO - fastread - 38, 50
2019-01-22 17:05:37,683 - INFO - fastread - 45, 60
2019-01-22 17:05:37,698 - INFO - fastread - 54, 70
2019-01-22 17:05:37,713 - INFO - fastread - 57, 80
2019-01-22 17:05:37,728 - INFO - fastread - 66, 90
2019-01-22 17:05:37,743 - INFO - fastread - 74, 100
2019-01-22 17:05:37,758 - INFO - fastread - 80, 110
2019-01-22 17:05:37,774 - INFO - fastread - 86, 120
2019-01-22 17:05:37,789 - INFO - fastread - 91, 130
2019-01-22 17:05:37,804 - INFO - fastread - 96, 140
2019-01-22 17:05:37,820 - INFO - fastread - 103, 150
2019-01-22 17:05:37,835 - INFO - fastread - 105, 160
2019-01-22 17:05:37,850 - INFO - fastread - 114, 170
2019-01-22 17:05:37,866 - INFO - fastread - 119, 180
2019-01-22 17:05:37,881 - INFO - fastread - 125, 190
2019-01-22 17:05:37,896 - INFO - fastread - 132, 200
2019-01-22 17:05:37,911 - INFO - fastread - 135, 210
2019-01-22 17:05:37,926 - INFO - fastread - 138, 220
2019-01-22 17:05:37,941 - INFO - fastread - 142, 230
2019-01-22 17:05:37,957 - INFO - fastread - 147, 240
2019-01-22 17:05:37,972 - INFO - fastread - 150, 250
2019-01-22 17:05:37,987 - INFO - fastread - 155, 260
2019-01-22 17:05:38,003 - INFO - fastread - 161, 270
2019-01-22 17:05:38,018 - INFO - fastread - 162, 280
2019-01-22 17:05:38,033 - INFO - fastread - 167, 290
2019-01-22 17:05:38,049 - INFO - fastread - 169, 300
2019-01-22 17:05:38,064 - INFO - fastread - 169, 310
2019-01-22 17:05:38,079 - INFO - fastread - 172, 320
2019-01-22 17:05:38,095 - INFO - fastread - 174, 330
2019-01-22 17:05:38,110 - INFO - fastread - 175, 340
2019-01-22 17:05:38,125 - INFO - fastread - 177, 350
2019-01-22 17:05:38,141 - INFO - fastread - 178, 360
2019-01-22 17:05:38,156 - INFO - fastread - 178, 370
2019-01-22 17:05:38,172 - INFO - fastread - 178, 380
2019-01-22 17:05:38,187 - INFO - fastread - 178, 390
2019-01-22 17:05:38,202 - INFO - fastread - 178, 400
2019-01-22 17:05:38,218 - INFO - fastread - 179, 410
2019-01-22 17:05:38,233 - INFO - fastread - 179, 420
2019-01-22 17:05:38,248 - INFO - fastread - 180, 430
2019-01-22 17:05:38,263 - INFO - fastread - 180, 440
2019-01-22 17:05:38,279 - INFO - fastread - 181, 450
2019-01-22 17:05:38,294 - INFO - fastread - 182, 460
2019-01-22 17:05:38,310 - INFO - fastread - 184, 470
2019-01-22 17:05:38,325 - INFO - fastread - 185, 480
2019-01-22 17:05:38,340 - INFO - fastread - 185, 490
2019-01-22 17:05:38,356 - INFO - fastread - 185, 500
2019-01-22 17:05:38,371 - INFO - fastread - 185, 510
2019-01-22 17:05:38,387 - INFO - fastread - 187, 520
2019-01-22 17:05:38,402 - INFO - fastread - 188, 530
2019-01-22 17:05:38,417 - INFO - fastread - 189, 540
2019-01-22 17:05:38,432 - INFO - fastread - 190, 550
2019-01-22 17:05:38,448 - INFO - fastread - 190, 560
2019-01-22 17:05:38,463 - INFO - fastread - 190, 570
2019-01-22 17:05:38,479 - INFO - fastread - 191, 580
2019-01-22 17:05:38,494 - INFO - fastread - 191, 590
2019-01-22 17:05:38,510 - INFO - fastread - 192, 600
2019-01-22 17:05:38,525 - INFO - fastread - 194, 610
2019-01-22 17:05:38,540 - INFO - fastread - 194, 620
2019-01-22 17:05:38,556 - INFO - fastread - 194, 630
2019-01-22 17:05:38,572 - INFO - fastread - 194, 640
2019-01-22 17:05:38,588 - INFO - fastread - 194, 650
2019-01-22 17:05:38,603 - INFO - fastread - 194, 660
2019-01-22 17:05:38,618 - INFO - fastread - 194, 670
2019-01-22 17:05:38,634 - INFO - fastread - 194, 680
2019-01-22 17:05:38,650 - INFO - fastread - 194, 690
2019-01-22 17:05:38,665 - INFO - fastread - 194, 700
2019-01-22 17:05:38,681 - INFO - fastread - 194, 710
2019-01-22 17:05:38,697 - INFO - fastread - 194, 720
2019-01-22 17:05:38,713 - INFO - fastread - 197, 730
2019-01-22 17:05:38,728 - INFO - fastread - 197, 740
2019-01-22 17:05:38,743 - INFO - fastread - 197, 750
2019-01-22 17:05:38,759 - INFO - fastread - 199, 760
2019-01-22 17:05:38,774 - INFO - fastread - 199, 770
2019-01-22 17:05:38,790 - INFO - fastread - 199, 780
2019-01-22 17:05:38,806 - INFO - fastread - 199, 790
2019-01-22 17:05:38,821 - INFO - fastread - 199, 800
2019-01-22 17:05:38,837 - INFO - fastread - 199, 810
2019-01-22 17:05:38,852 - INFO - fastread - 199, 820
2019-01-22 17:05:38,868 - INFO - fastread - 199, 830
2019-01-22 17:05:38,884 - INFO - fastread - 199, 840
2019-01-22 17:05:38,899 - INFO - fastread - 199, 850
2019-01-22 17:05:38,915 - INFO - fastread - 199, 860
2019-01-22 17:05:38,930 - INFO - fastread - 199, 870
2019-01-22 17:05:38,946 - INFO - fastread - 199, 880
2019-01-22 17:05:38,962 - INFO - fastread - 199, 890
2019-01-22 17:05:38,978 - INFO - fastread - 199, 900
2019-01-22 17:05:38,993 - INFO - fastread - 199, 910
2019-01-22 17:05:39,009 - INFO - fastread - 199, 920
2019-01-22 17:05:39,025 - INFO - fastread - 199, 930
2019-01-22 17:05:39,041 - INFO - fastread - 199, 940
2019-01-22 17:05:39,056 - INFO - fastread - 199, 950
2019-01-22 17:05:39,072 - INFO - fastread - 199, 960
2019-01-22 17:05:39,088 - INFO - fastread - 199, 970
2019-01-22 17:05:39,104 - INFO - fastread - 199, 980
2019-01-22 17:05:39,119 - INFO - fastread - 199, 990
2019-01-22 17:05:39,135 - INFO - fastread - 199, 1000
2019-01-22 17:05:39,151 - INFO - fastread - 199, 1010
2019-01-22 17:05:39,167 - INFO - fastread - 199, 1020
2019-01-22 17:05:39,183 - INFO - fastread - 199, 1030
2019-01-22 17:05:39,198 - INFO - fastread - 199, 1040
2019-01-22 17:05:39,214 - INFO - fastread - 201, 1050
2019-01-22 17:05:39,230 - INFO - fastread - 203, 1060
2019-01-22 17:05:39,245 - INFO - fastread - 205, 1070
2019-01-22 17:05:39,261 - INFO - fastread - 206, 1080
2019-01-22 17:05:39,277 - INFO - fastread - 206, 1090
2019-01-22 17:05:39,293 - INFO - fastread - 207, 1100
2019-01-22 17:05:39,309 - INFO - fastread - 208, 1110
2019-01-22 17:05:39,325 - INFO - fastread - 209, 1120
2019-01-22 17:05:39,341 - INFO - fastread - 210, 1130
2019-01-22 17:05:39,357 - INFO - fastread - 210, 1140
2019-01-22 17:05:39,373 - INFO - fastread - 211, 1150
2019-01-22 17:05:39,389 - INFO - fastread - 211, 1160
2019-01-22 17:05:39,405 - INFO - fastread - 211, 1170
2019-01-22 17:05:39,420 - INFO - fastread - 211, 1180
2019-01-22 17:05:39,436 - INFO - fastread - 211, 1190
2019-01-22 17:05:39,452 - INFO - fastread - 211, 1200
2019-01-22 17:05:39,468 - INFO - fastread - 212, 1210
2019-01-22 17:05:39,484 - INFO - fastread - 212, 1220
2019-01-22 17:05:39,500 - INFO - fastread - 212, 1230
2019-01-22 17:05:39,516 - INFO - fastread - 212, 1240
2019-01-22 17:05:39,532 - INFO - fastread - 212, 1250
2019-01-22 17:05:39,548 - INFO - fastread - 212, 1260
2019-01-22 17:05:39,564 - INFO - fastread - 212, 1270
2019-01-22 17:05:39,580 - INFO - fastread - 212, 1280
2019-01-22 17:05:39,596 - INFO - fastread - 213, 1290
2019-01-22 17:05:39,612 - INFO - fastread - 214, 1300
2019-01-22 17:05:39,628 - INFO - fastread - 215, 1310
2019-01-22 17:05:39,644 - INFO - fastread - 215, 1320
2019-01-22 17:05:39,660 - INFO - fastread - 215, 1330
2019-01-22 17:05:39,677 - INFO - fastread - 218, 1340
2019-01-22 17:05:39,693 - INFO - fastread - 218, 1350
2019-01-22 17:05:39,709 - INFO - fastread - 218, 1360
2019-01-22 17:05:39,725 - INFO - fastread - 218, 1370
2019-01-22 17:05:39,741 - INFO - fastread - 219, 1380
2019-01-22 17:05:39,757 - INFO - fastread - 219, 1390
2019-01-22 17:05:39,773 - INFO - fastread - 219, 1400
2019-01-22 17:05:39,789 - INFO - fastread - 219, 1410
2019-01-22 17:05:39,806 - INFO - fastread - 219, 1420
2019-01-22 17:05:39,821 - INFO - fastread - 220, 1430
2019-01-22 17:05:39,837 - INFO - fastread - 220, 1440
2019-01-22 17:05:39,854 - INFO - fastread - 220, 1450
2019-01-22 17:05:39,870 - INFO - fastread - 220, 1460
2019-01-22 17:05:39,886 - INFO - fastread - 220, 1470
2019-01-22 17:05:39,902 - INFO - fastread - 220, 1480
2019-01-22 17:05:39,917 - INFO - fastread - 220, 1490
2019-01-22 17:05:39,933 - INFO - fastread - 220, 1500
2019-01-22 17:05:39,948 - INFO - fastread - 220, 1510
2019-01-22 17:05:39,964 - INFO - fastread - 220, 1520
2019-01-22 17:05:39,980 - INFO - fastread - 220, 1530
2019-01-22 17:05:39,995 - INFO - fastread - 220, 1540
2019-01-22 17:05:40,011 - INFO - fastread - 220, 1550
2019-01-22 17:05:40,027 - INFO - fastread - 220, 1560
2019-01-22 17:05:40,042 - INFO - fastread - 220, 1570
2019-01-22 17:05:40,058 - INFO - fastread - 220, 1580
2019-01-22 17:05:40,074 - INFO - fastread - 220, 1590
2019-01-22 17:05:40,089 - INFO - fastread - 220, 1600
