2019-01-22 16:42:58,494 - INFO - rig - sql12
2019-01-22 16:43:01,909 - INFO - fastread - Total Yes: 286 | Total No: 6929
2019-01-22 17:04:57,986 - INFO - fastread - 1, 10
2019-01-22 17:04:58,001 - INFO - fastread - 2, 20
2019-01-22 17:04:58,014 - INFO - fastread - 12, 30
2019-01-22 17:04:58,026 - INFO - fastread - 22, 40
2019-01-22 17:04:58,039 - INFO - fastread - 31, 50
2019-01-22 17:04:58,052 - INFO - fastread - 40, 60
2019-01-22 17:04:58,065 - INFO - fastread - 50, 70
2019-01-22 17:04:58,078 - INFO - fastread - 60, 80
2019-01-22 17:04:58,091 - INFO - fastread - 70, 90
2019-01-22 17:04:58,104 - INFO - fastread - 79, 100
2019-01-22 17:04:58,117 - INFO - fastread - 88, 110
2019-01-22 17:04:58,130 - INFO - fastread - 97, 120
2019-01-22 17:04:58,143 - INFO - fastread - 107, 130
2019-01-22 17:04:58,155 - INFO - fastread - 116, 140
2019-01-22 17:04:58,168 - INFO - fastread - 123, 150
2019-01-22 17:04:58,181 - INFO - fastread - 123, 160
2019-01-22 17:04:58,194 - INFO - fastread - 123, 170
2019-01-22 17:04:58,207 - INFO - fastread - 128, 180
2019-01-22 17:04:58,220 - INFO - fastread - 133, 190
2019-01-22 17:04:58,233 - INFO - fastread - 133, 200
2019-01-22 17:04:58,246 - INFO - fastread - 134, 210
2019-01-22 17:04:58,259 - INFO - fastread - 135, 220
2019-01-22 17:04:58,272 - INFO - fastread - 135, 230
2019-01-22 17:04:58,285 - INFO - fastread - 135, 240
2019-01-22 17:04:58,298 - INFO - fastread - 135, 250
2019-01-22 17:04:58,311 - INFO - fastread - 135, 260
2019-01-22 17:04:58,324 - INFO - fastread - 135, 270
2019-01-22 17:04:58,338 - INFO - fastread - 135, 280
2019-01-22 17:04:58,350 - INFO - fastread - 135, 290
2019-01-22 17:04:58,364 - INFO - fastread - 136, 300
2019-01-22 17:04:58,377 - INFO - fastread - 136, 310
2019-01-22 17:04:58,390 - INFO - fastread - 136, 320
2019-01-22 17:04:58,403 - INFO - fastread - 136, 330
2019-01-22 17:04:58,416 - INFO - fastread - 136, 340
2019-01-22 17:04:58,429 - INFO - fastread - 137, 350
2019-01-22 17:04:58,442 - INFO - fastread - 138, 360
2019-01-22 17:04:58,455 - INFO - fastread - 138, 370
2019-01-22 17:04:58,468 - INFO - fastread - 138, 380
2019-01-22 17:04:58,481 - INFO - fastread - 139, 390
2019-01-22 17:04:58,495 - INFO - fastread - 139, 400
2019-01-22 17:04:58,508 - INFO - fastread - 139, 410
2019-01-22 17:04:58,521 - INFO - fastread - 139, 420
2019-01-22 17:04:58,534 - INFO - fastread - 139, 430
2019-01-22 17:04:58,547 - INFO - fastread - 139, 440
2019-01-22 17:04:58,560 - INFO - fastread - 139, 450
2019-01-22 17:04:58,574 - INFO - fastread - 139, 460
2019-01-22 17:04:58,587 - INFO - fastread - 139, 470
2019-01-22 17:04:58,600 - INFO - fastread - 139, 480
2019-01-22 17:04:58,613 - INFO - fastread - 139, 490
2019-01-22 17:04:58,626 - INFO - fastread - 139, 500
2019-01-22 17:04:58,639 - INFO - fastread - 139, 510
2019-01-22 17:04:58,653 - INFO - fastread - 139, 520
2019-01-22 17:04:58,666 - INFO - fastread - 139, 530
2019-01-22 17:04:58,679 - INFO - fastread - 139, 540
2019-01-22 17:04:58,692 - INFO - fastread - 139, 550
2019-01-22 17:04:58,705 - INFO - fastread - 139, 560
2019-01-22 17:04:58,718 - INFO - fastread - 139, 570
2019-01-22 17:04:58,732 - INFO - fastread - 139, 580
2019-01-22 17:04:58,745 - INFO - fastread - 139, 590
2019-01-22 17:04:58,758 - INFO - fastread - 139, 600
2019-01-22 17:04:58,771 - INFO - fastread - 139, 610
2019-01-22 17:04:58,784 - INFO - fastread - 139, 620
2019-01-22 17:04:58,798 - INFO - fastread - 140, 630
2019-01-22 17:04:58,811 - INFO - fastread - 140, 640
2019-01-22 17:04:58,824 - INFO - fastread - 140, 650
2019-01-22 17:04:58,837 - INFO - fastread - 140, 660
2019-01-22 17:04:58,850 - INFO - fastread - 140, 670
2019-01-22 17:04:58,864 - INFO - fastread - 140, 680
2019-01-22 17:04:58,877 - INFO - fastread - 140, 690
2019-01-22 17:04:58,890 - INFO - fastread - 140, 700
2019-01-22 17:04:58,903 - INFO - fastread - 140, 710
2019-01-22 17:04:58,917 - INFO - fastread - 140, 720
2019-01-22 17:04:58,930 - INFO - fastread - 141, 730
2019-01-22 17:04:58,943 - INFO - fastread - 142, 740
2019-01-22 17:04:58,957 - INFO - fastread - 142, 750
2019-01-22 17:04:58,970 - INFO - fastread - 142, 760
2019-01-22 17:04:58,983 - INFO - fastread - 142, 770
2019-01-22 17:04:58,997 - INFO - fastread - 142, 780
2019-01-22 17:04:59,010 - INFO - fastread - 142, 790
2019-01-22 17:04:59,023 - INFO - fastread - 142, 800
2019-01-22 17:04:59,037 - INFO - fastread - 142, 810
2019-01-22 17:04:59,050 - INFO - fastread - 142, 820
2019-01-22 17:04:59,064 - INFO - fastread - 142, 830
2019-01-22 17:04:59,077 - INFO - fastread - 142, 840
2019-01-22 17:04:59,090 - INFO - fastread - 142, 850
2019-01-22 17:04:59,104 - INFO - fastread - 142, 860
2019-01-22 17:04:59,117 - INFO - fastread - 142, 870
2019-01-22 17:04:59,131 - INFO - fastread - 142, 880
2019-01-22 17:04:59,144 - INFO - fastread - 142, 890
2019-01-22 17:04:59,158 - INFO - fastread - 142, 900
2019-01-22 17:04:59,171 - INFO - fastread - 142, 910
2019-01-22 17:04:59,185 - INFO - fastread - 142, 920
2019-01-22 17:04:59,198 - INFO - fastread - 142, 930
2019-01-22 17:04:59,211 - INFO - fastread - 142, 940
2019-01-22 17:04:59,225 - INFO - fastread - 142, 950
2019-01-22 17:04:59,238 - INFO - fastread - 142, 960
2019-01-22 17:04:59,251 - INFO - fastread - 142, 970
2019-01-22 17:04:59,265 - INFO - fastread - 142, 980
2019-01-22 17:04:59,278 - INFO - fastread - 142, 990
2019-01-22 17:04:59,292 - INFO - fastread - 143, 1000
2019-01-22 17:04:59,305 - INFO - fastread - 143, 1010
2019-01-22 17:04:59,319 - INFO - fastread - 143, 1020
2019-01-22 17:04:59,332 - INFO - fastread - 143, 1030
2019-01-22 17:04:59,346 - INFO - fastread - 143, 1040
2019-01-22 17:04:59,359 - INFO - fastread - 143, 1050
2019-01-22 17:04:59,372 - INFO - fastread - 143, 1060
2019-01-22 17:04:59,386 - INFO - fastread - 143, 1070
2019-01-22 17:04:59,399 - INFO - fastread - 143, 1080
2019-01-22 17:04:59,413 - INFO - fastread - 143, 1090
2019-01-22 17:04:59,426 - INFO - fastread - 143, 1100
2019-01-22 17:04:59,440 - INFO - fastread - 143, 1110
2019-01-22 17:04:59,453 - INFO - fastread - 143, 1120
2019-01-22 17:04:59,467 - INFO - fastread - 143, 1130
2019-01-22 17:04:59,480 - INFO - fastread - 143, 1140
2019-01-22 17:04:59,494 - INFO - fastread - 143, 1150
2019-01-22 17:04:59,507 - INFO - fastread - 143, 1160
2019-01-22 17:04:59,521 - INFO - fastread - 143, 1170
2019-01-22 17:04:59,534 - INFO - fastread - 143, 1180
2019-01-22 17:04:59,547 - INFO - fastread - 143, 1190
2019-01-22 17:04:59,561 - INFO - fastread - 144, 1200
2019-01-22 17:04:59,575 - INFO - fastread - 144, 1210
2019-01-22 17:04:59,588 - INFO - fastread - 144, 1220
2019-01-22 17:04:59,602 - INFO - fastread - 144, 1230
2019-01-22 17:04:59,615 - INFO - fastread - 144, 1240
2019-01-22 17:04:59,629 - INFO - fastread - 147, 1250
2019-01-22 17:04:59,642 - INFO - fastread - 148, 1260
2019-01-22 17:04:59,656 - INFO - fastread - 148, 1270
2019-01-22 17:04:59,669 - INFO - fastread - 148, 1280
2019-01-22 17:04:59,683 - INFO - fastread - 148, 1290
2019-01-22 17:04:59,697 - INFO - fastread - 148, 1300
2019-01-22 17:04:59,710 - INFO - fastread - 149, 1310
2019-01-22 17:04:59,724 - INFO - fastread - 149, 1320
2019-01-22 17:04:59,738 - INFO - fastread - 149, 1330
2019-01-22 17:04:59,751 - INFO - fastread - 149, 1340
2019-01-22 17:04:59,765 - INFO - fastread - 149, 1350
2019-01-22 17:04:59,778 - INFO - fastread - 149, 1360
2019-01-22 17:04:59,792 - INFO - fastread - 150, 1370
2019-01-22 17:04:59,806 - INFO - fastread - 150, 1380
2019-01-22 17:04:59,819 - INFO - fastread - 150, 1390
2019-01-22 17:04:59,833 - INFO - fastread - 150, 1400
