2019-01-24 14:48:49,869 - INFO - rig - hibernate-distribution-3.3.2.GA
2019-01-24 14:48:49,970 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-24 14:48:49,970 - INFO - fastread - Total Yes: 236 | Total No: 1248
2019-01-24 14:48:50,344 - INFO - fastread - 0, 0
2019-01-24 14:48:51,406 - INFO - fastread - 4, 10
2019-01-24 14:48:52,629 - INFO - fastread - 5, 20
2019-01-24 14:48:53,940 - INFO - fastread - 11, 30
2019-01-24 14:48:55,165 - INFO - fastread - 21, 40
2019-01-24 14:48:56,476 - INFO - fastread - 31, 50
2019-01-24 14:48:57,658 - INFO - fastread - 41, 60
2019-01-24 14:48:58,839 - INFO - fastread - 51, 70
2019-01-24 14:49:00,011 - INFO - fastread - 61, 80
2019-01-24 14:49:01,194 - INFO - fastread - 71, 90
2019-01-24 14:49:02,346 - INFO - fastread - 78, 100
2019-01-24 14:49:03,495 - INFO - fastread - 88, 110
2019-01-24 14:49:04,731 - INFO - fastread - 97, 120
2019-01-24 14:49:05,994 - INFO - fastread - 107, 130
2019-01-24 14:49:07,204 - INFO - fastread - 117, 140
2019-01-24 14:49:08,316 - INFO - fastread - 127, 150
2019-01-24 14:49:09,528 - INFO - fastread - 136, 160
2019-01-24 14:49:10,617 - INFO - fastread - 140, 170
2019-01-24 14:49:11,759 - INFO - fastread - 150, 180
2019-01-24 14:49:13,074 - INFO - fastread - 158, 190
2019-01-24 14:49:14,367 - INFO - fastread - 163, 200
2019-01-24 14:49:15,667 - INFO - fastread - 167, 210
2019-01-24 14:49:16,912 - INFO - fastread - 174, 220
2019-01-24 14:49:18,215 - INFO - fastread - 176, 230
2019-01-24 14:49:19,468 - INFO - fastread - 177, 240
2019-01-24 14:49:20,822 - INFO - fastread - 180, 250
2019-01-24 14:49:22,175 - INFO - fastread - 182, 260
2019-01-24 14:49:23,479 - INFO - fastread - 182, 270
2019-01-24 14:49:24,803 - INFO - fastread - 182, 280
2019-01-24 14:49:26,126 - INFO - fastread - 186, 290
2019-01-24 14:49:27,531 - INFO - fastread - 186, 300
2019-01-24 14:49:28,855 - INFO - fastread - 187, 310
2019-01-24 14:49:30,087 - INFO - fastread - 189, 320
2019-01-24 14:49:31,540 - INFO - fastread - 190, 330
2019-01-24 14:49:33,043 - INFO - fastread - 190, 340
2019-01-24 14:49:34,539 - INFO - fastread - 191, 350
