2019-01-24 14:46:06,288 - INFO - rig - jEdit-4.2
2019-01-24 14:46:06,435 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-24 14:46:06,435 - INFO - fastread - Total Yes: 128 | Total No: 5033
2019-01-24 14:46:06,801 - INFO - fastread - 0, 0
2019-01-24 14:46:08,136 - INFO - fastread - 0, 10
2019-01-24 14:46:09,371 - INFO - fastread - 2, 20
2019-01-24 14:46:10,605 - INFO - fastread - 3, 30
2019-01-24 14:46:11,860 - INFO - fastread - 3, 40
2019-01-24 14:46:13,096 - INFO - fastread - 3, 50
2019-01-24 14:46:14,313 - INFO - fastread - 3, 60
2019-01-24 14:46:15,507 - INFO - fastread - 3, 70
2019-01-24 14:46:16,732 - INFO - fastread - 3, 80
2019-01-24 14:46:17,924 - INFO - fastread - 3, 89
2019-01-24 14:46:19,188 - INFO - fastread - 3, 98
2019-01-24 14:46:20,441 - INFO - fastread - 4, 108
2019-01-24 14:46:21,715 - INFO - fastread - 4, 117
2019-01-24 14:46:22,957 - INFO - fastread - 4, 127
2019-01-24 14:46:24,163 - INFO - fastread - 4, 137
2019-01-24 14:46:25,322 - INFO - fastread - 4, 147
2019-01-24 14:46:26,535 - INFO - fastread - 5, 157
2019-01-24 14:46:27,779 - INFO - fastread - 9, 167
2019-01-24 14:46:29,033 - INFO - fastread - 13, 177
2019-01-24 14:46:30,276 - INFO - fastread - 16, 187
2019-01-24 14:46:31,540 - INFO - fastread - 23, 197
2019-01-24 14:46:32,822 - INFO - fastread - 29, 207
2019-01-24 14:46:34,086 - INFO - fastread - 34, 217
2019-01-24 14:46:35,288 - INFO - fastread - 39, 227
2019-01-24 14:46:36,512 - INFO - fastread - 40, 237
2019-01-24 14:46:37,756 - INFO - fastread - 43, 247
2019-01-24 14:46:38,999 - INFO - fastread - 45, 257
2019-01-24 14:46:40,260 - INFO - fastread - 46, 267
2019-01-24 14:46:41,525 - INFO - fastread - 49, 277
2019-01-24 14:46:42,800 - INFO - fastread - 54, 287
2019-01-24 14:46:44,153 - INFO - fastread - 61, 297
2019-01-24 14:46:45,467 - INFO - fastread - 65, 307
2019-01-24 14:46:46,782 - INFO - fastread - 68, 317
2019-01-24 14:46:48,045 - INFO - fastread - 72, 327
2019-01-24 14:46:49,309 - INFO - fastread - 75, 337
2019-01-24 14:46:50,632 - INFO - fastread - 77, 347
2019-01-24 14:46:51,976 - INFO - fastread - 77, 357
2019-01-24 14:46:53,250 - INFO - fastread - 81, 367
2019-01-24 14:46:54,555 - INFO - fastread - 83, 377
2019-01-24 14:46:55,910 - INFO - fastread - 84, 387
2019-01-24 14:46:57,220 - INFO - fastread - 84, 397
2019-01-24 14:46:58,536 - INFO - fastread - 84, 407
2019-01-24 14:46:59,972 - INFO - fastread - 84, 417
2019-01-24 14:47:01,274 - INFO - fastread - 85, 427
2019-01-24 14:47:02,637 - INFO - fastread - 87, 437
2019-01-24 14:47:03,983 - INFO - fastread - 87, 447
2019-01-24 14:47:05,317 - INFO - fastread - 88, 457
2019-01-24 14:47:06,611 - INFO - fastread - 88, 467
2019-01-24 14:47:08,035 - INFO - fastread - 88, 477
2019-01-24 14:47:09,398 - INFO - fastread - 88, 487
2019-01-24 14:47:10,711 - INFO - fastread - 89, 497
2019-01-24 14:47:12,122 - INFO - fastread - 91, 507
2019-01-24 14:47:13,529 - INFO - fastread - 93, 517
2019-01-24 14:47:14,953 - INFO - fastread - 93, 527
2019-01-24 14:47:16,427 - INFO - fastread - 93, 537
2019-01-24 14:47:17,770 - INFO - fastread - 94, 547
2019-01-24 14:47:19,114 - INFO - fastread - 94, 557
2019-01-24 14:47:20,510 - INFO - fastread - 94, 567
2019-01-24 14:47:21,870 - INFO - fastread - 95, 577
2019-01-24 14:47:23,196 - INFO - fastread - 95, 587
2019-01-24 14:47:24,561 - INFO - fastread - 95, 597
2019-01-24 14:47:25,993 - INFO - fastread - 96, 607
2019-01-24 14:47:27,357 - INFO - fastread - 98, 617
2019-01-24 14:47:28,720 - INFO - fastread - 99, 627
2019-01-24 14:47:30,144 - INFO - fastread - 99, 637
2019-01-24 14:47:31,567 - INFO - fastread - 100, 647
2019-01-24 14:47:32,940 - INFO - fastread - 100, 657
2019-01-24 14:47:34,312 - INFO - fastread - 100, 667
2019-01-24 14:47:35,637 - INFO - fastread - 100, 677
2019-01-24 14:47:36,980 - INFO - fastread - 100, 687
2019-01-24 14:47:38,393 - INFO - fastread - 100, 697
2019-01-24 14:47:39,767 - INFO - fastread - 100, 707
2019-01-24 14:47:41,249 - INFO - fastread - 100, 717
