2019-01-24 14:47:52,047 - INFO - rig - jruby-1.4.0
2019-01-24 14:47:52,160 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-24 14:47:52,160 - INFO - fastread - Total Yes: 311 | Total No: 2137
2019-01-24 14:47:52,545 - INFO - fastread - 0, 0
2019-01-24 14:47:53,596 - INFO - fastread - 3, 10
2019-01-24 14:47:54,837 - INFO - fastread - 6, 20
2019-01-24 14:47:55,927 - INFO - fastread - 8, 30
2019-01-24 14:47:57,058 - INFO - fastread - 11, 40
2019-01-24 14:47:58,288 - INFO - fastread - 20, 50
2019-01-24 14:47:59,490 - INFO - fastread - 30, 60
2019-01-24 14:48:00,681 - INFO - fastread - 40, 70
2019-01-24 14:48:02,053 - INFO - fastread - 50, 80
2019-01-24 14:48:03,328 - INFO - fastread - 60, 90
2019-01-24 14:48:04,521 - INFO - fastread - 70, 100
2019-01-24 14:48:05,649 - INFO - fastread - 80, 110
2019-01-24 14:48:06,933 - INFO - fastread - 89, 120
2019-01-24 14:48:08,077 - INFO - fastread - 99, 130
2019-01-24 14:48:09,380 - INFO - fastread - 107, 140
2019-01-24 14:48:10,773 - INFO - fastread - 117, 150
2019-01-24 14:48:11,968 - INFO - fastread - 126, 160
2019-01-24 14:48:13,138 - INFO - fastread - 135, 170
2019-01-24 14:48:14,307 - INFO - fastread - 141, 180
2019-01-24 14:48:15,554 - INFO - fastread - 148, 190
2019-01-24 14:48:16,806 - INFO - fastread - 151, 200
2019-01-24 14:48:18,048 - INFO - fastread - 159, 210
2019-01-24 14:48:19,374 - INFO - fastread - 166, 220
2019-01-24 14:48:20,909 - INFO - fastread - 175, 230
2019-01-24 14:48:22,171 - INFO - fastread - 184, 240
2019-01-24 14:48:23,443 - INFO - fastread - 192, 250
2019-01-24 14:48:24,827 - INFO - fastread - 202, 260
2019-01-24 14:48:26,280 - INFO - fastread - 212, 270
2019-01-24 14:48:27,595 - INFO - fastread - 219, 280
2019-01-24 14:48:28,968 - INFO - fastread - 229, 290
2019-01-24 14:48:30,392 - INFO - fastread - 238, 300
2019-01-24 14:48:31,927 - INFO - fastread - 248, 310
2019-01-24 14:48:33,461 - INFO - fastread - 257, 320
2019-01-24 14:48:34,926 - INFO - fastread - 262, 330
2019-01-24 14:48:36,390 - INFO - fastread - 267, 340
2019-01-24 14:48:37,776 - INFO - fastread - 272, 350
2019-01-24 14:48:39,189 - INFO - fastread - 273, 360
2019-01-24 14:48:40,643 - INFO - fastread - 273, 370
2019-01-24 14:48:42,004 - INFO - fastread - 276, 380
2019-01-24 14:48:43,440 - INFO - fastread - 278, 390
2019-01-24 14:48:44,843 - INFO - fastread - 279, 400
2019-01-24 14:48:46,236 - INFO - fastread - 280, 410
2019-01-24 14:48:47,730 - INFO - fastread - 282, 420
2019-01-24 14:48:49,336 - INFO - fastread - 283, 430
2019-01-24 14:48:51,081 - INFO - fastread - 285, 440
2019-01-24 14:48:52,649 - INFO - fastread - 289, 450
2019-01-24 14:48:54,326 - INFO - fastread - 289, 460
2019-01-24 14:48:56,183 - INFO - fastread - 291, 470
2019-01-24 14:48:57,891 - INFO - fastread - 292, 480
2019-01-24 14:48:59,536 - INFO - fastread - 293, 490
2019-01-24 14:49:01,174 - INFO - fastread - 293, 500
2019-01-24 14:49:02,861 - INFO - fastread - 294, 510
2019-01-24 14:49:04,519 - INFO - fastread - 294, 520
2019-01-24 14:49:06,135 - INFO - fastread - 294, 530
2019-01-24 14:49:07,739 - INFO - fastread - 295, 540
2019-01-24 14:49:08,254 - INFO - rig - ++++NEW CLF++++ NBM
2019-01-24 14:49:08,256 - INFO - fastread - Total Yes: 311 | Total No: 2137
2019-01-24 14:49:08,276 - INFO - fastread - 10, 10
2019-01-24 14:49:08,276 - INFO - fastread - 20, 20
2019-01-24 14:49:08,286 - INFO - fastread - 30, 30
2019-01-24 14:49:08,286 - INFO - fastread - 40, 40
2019-01-24 14:49:08,294 - INFO - fastread - 49, 50
2019-01-24 14:49:08,296 - INFO - fastread - 57, 60
2019-01-24 14:49:08,296 - INFO - fastread - 66, 70
2019-01-24 14:49:08,296 - INFO - fastread - 70, 80
2019-01-24 14:49:08,304 - INFO - fastread - 77, 90
2019-01-24 14:49:08,306 - INFO - fastread - 85, 100
2019-01-24 14:49:08,306 - INFO - fastread - 95, 110
2019-01-24 14:49:08,306 - INFO - fastread - 102, 120
2019-01-24 14:49:08,316 - INFO - fastread - 110, 130
2019-01-24 14:49:08,316 - INFO - fastread - 118, 140
2019-01-24 14:49:08,316 - INFO - fastread - 126, 150
2019-01-24 14:49:08,324 - INFO - fastread - 134, 160
2019-01-24 14:49:08,326 - INFO - fastread - 139, 170
2019-01-24 14:49:08,326 - INFO - fastread - 144, 180
2019-01-24 14:49:08,326 - INFO - fastread - 148, 190
2019-01-24 14:49:08,326 - INFO - fastread - 152, 200
2019-01-24 14:49:08,337 - INFO - fastread - 160, 210
2019-01-24 14:49:08,337 - INFO - fastread - 167, 220
