2019-01-24 14:00:33,897 - INFO - rig - apache-ant-1.7.0
2019-01-24 14:00:34,016 - INFO - fastread - Total Yes: 65 | Total No: 1984
2019-01-24 14:00:34,098 - INFO - fastread - 7, 10
2019-01-24 14:00:34,108 - INFO - fastread - 13, 20
2019-01-24 14:00:34,108 - INFO - fastread - 21, 30
2019-01-24 14:00:34,118 - INFO - fastread - 26, 40
2019-01-24 14:00:34,118 - INFO - fastread - 27, 50
2019-01-24 14:00:34,118 - INFO - fastread - 27, 60
2019-01-24 14:00:34,128 - INFO - fastread - 27, 70
2019-01-24 14:00:34,128 - INFO - fastread - 27, 80
2019-01-24 14:00:34,136 - INFO - fastread - 27, 90
2019-01-24 14:00:34,138 - INFO - fastread - 28, 100
2019-01-24 14:00:34,138 - INFO - fastread - 29, 110
2019-01-24 14:00:34,148 - INFO - fastread - 29, 120
2019-01-24 14:00:34,148 - INFO - fastread - 29, 130
2019-01-24 14:00:34,148 - INFO - fastread - 29, 140
2019-01-24 14:00:34,159 - INFO - fastread - 29, 150
2019-01-24 14:00:34,159 - INFO - fastread - 29, 160
2019-01-24 14:00:34,159 - INFO - fastread - 29, 170
2019-01-24 14:00:34,169 - INFO - fastread - 29, 180
2019-01-24 14:00:34,169 - INFO - fastread - 30, 190
2019-01-24 14:00:34,169 - INFO - fastread - 30, 200
2019-01-24 14:00:34,179 - INFO - fastread - 30, 210
2019-01-24 14:00:34,179 - INFO - fastread - 30, 220
2019-01-24 14:00:34,179 - INFO - fastread - 30, 230
2019-01-24 14:00:34,189 - INFO - fastread - 30, 240
2019-01-24 14:00:34,189 - INFO - fastread - 30, 250
2019-01-24 14:00:34,197 - INFO - fastread - 30, 260
2019-01-24 14:00:34,199 - INFO - fastread - 30, 270
2019-01-24 14:00:34,199 - INFO - fastread - 30, 280
2019-01-24 14:00:34,207 - INFO - fastread - 32, 290
2019-01-24 14:00:34,209 - INFO - fastread - 32, 300
2019-01-24 14:00:34,209 - INFO - fastread - 32, 310
2019-01-24 14:00:34,217 - INFO - fastread - 32, 320
2019-01-24 14:00:34,219 - INFO - fastread - 33, 330
2019-01-24 14:00:34,219 - INFO - fastread - 33, 340
2019-01-24 14:00:34,219 - INFO - fastread - 33, 350
2019-01-24 14:00:34,229 - INFO - fastread - 34, 360
2019-01-24 14:00:34,229 - INFO - fastread - 35, 370
2019-01-24 14:00:34,237 - INFO - fastread - 35, 380
2019-01-24 14:00:34,239 - INFO - fastread - 35, 390
2019-01-24 14:00:34,239 - INFO - fastread - 35, 400
2019-01-24 14:00:34,247 - INFO - fastread - 35, 410
2019-01-24 14:00:34,249 - INFO - fastread - 35, 420
2019-01-24 14:00:34,249 - INFO - fastread - 35, 430
2019-01-24 14:00:34,257 - INFO - fastread - 36, 440
2019-01-24 14:00:34,259 - INFO - fastread - 36, 450
2019-01-24 14:00:34,259 - INFO - fastread - 36, 460
2019-01-24 14:00:34,259 - INFO - fastread - 36, 470
2019-01-24 14:00:34,267 - INFO - fastread - 36, 480
2019-01-24 14:00:34,269 - INFO - fastread - 36, 490
