2019-01-24 14:00:35,005 - INFO - rig - argouml
2019-01-24 14:00:35,328 - INFO - fastread - Total Yes: 706 | Total No: 4020
2019-01-24 14:00:35,729 - INFO - fastread - 8, 10
2019-01-24 14:00:35,731 - INFO - fastread - 17, 20
2019-01-24 14:00:35,740 - INFO - fastread - 27, 30
2019-01-24 14:00:35,742 - INFO - fastread - 35, 40
2019-01-24 14:00:35,750 - INFO - fastread - 44, 50
2019-01-24 14:00:35,752 - INFO - fastread - 52, 60
2019-01-24 14:00:35,760 - INFO - fastread - 61, 70
2019-01-24 14:00:35,762 - INFO - fastread - 70, 80
2019-01-24 14:00:35,770 - INFO - fastread - 78, 90
2019-01-24 14:00:35,772 - INFO - fastread - 86, 100
2019-01-24 14:00:35,772 - INFO - fastread - 96, 110
2019-01-24 14:00:35,782 - INFO - fastread - 106, 120
2019-01-24 14:00:35,782 - INFO - fastread - 114, 130
2019-01-24 14:00:35,792 - INFO - fastread - 123, 140
2019-01-24 14:00:35,792 - INFO - fastread - 133, 150
2019-01-24 14:00:35,800 - INFO - fastread - 142, 160
2019-01-24 14:00:35,802 - INFO - fastread - 151, 170
2019-01-24 14:00:35,802 - INFO - fastread - 160, 180
2019-01-24 14:00:35,812 - INFO - fastread - 167, 190
2019-01-24 14:00:35,820 - INFO - fastread - 176, 200
2019-01-24 14:00:35,822 - INFO - fastread - 185, 210
2019-01-24 14:00:35,822 - INFO - fastread - 194, 220
2019-01-24 14:00:35,822 - INFO - fastread - 204, 230
2019-01-24 14:00:35,832 - INFO - fastread - 213, 240
2019-01-24 14:00:35,832 - INFO - fastread - 221, 250
2019-01-24 14:00:35,842 - INFO - fastread - 230, 260
2019-01-24 14:00:35,842 - INFO - fastread - 237, 270
2019-01-24 14:00:35,850 - INFO - fastread - 245, 280
2019-01-24 14:00:35,852 - INFO - fastread - 255, 290
2019-01-24 14:00:35,860 - INFO - fastread - 263, 300
2019-01-24 14:00:35,862 - INFO - fastread - 273, 310
2019-01-24 14:00:35,873 - INFO - fastread - 282, 320
2019-01-24 14:00:35,873 - INFO - fastread - 290, 330
2019-01-24 14:00:35,881 - INFO - fastread - 298, 340
2019-01-24 14:00:35,883 - INFO - fastread - 308, 350
2019-01-24 14:00:35,893 - INFO - fastread - 318, 360
2019-01-24 14:00:35,893 - INFO - fastread - 327, 370
2019-01-24 14:00:35,903 - INFO - fastread - 335, 380
2019-01-24 14:00:35,911 - INFO - fastread - 344, 390
2019-01-24 14:00:35,913 - INFO - fastread - 352, 400
2019-01-24 14:00:35,923 - INFO - fastread - 362, 410
2019-01-24 14:00:35,923 - INFO - fastread - 371, 420
2019-01-24 14:00:35,933 - INFO - fastread - 380, 430
2019-01-24 14:00:35,941 - INFO - fastread - 390, 440
2019-01-24 14:00:35,943 - INFO - fastread - 398, 450
2019-01-24 14:00:35,953 - INFO - fastread - 407, 460
2019-01-24 14:00:35,953 - INFO - fastread - 416, 470
2019-01-24 14:00:35,961 - INFO - fastread - 425, 480
2019-01-24 14:00:35,963 - INFO - fastread - 435, 490
2019-01-24 14:00:35,963 - INFO - fastread - 445, 500
2019-01-24 14:00:35,973 - INFO - fastread - 455, 510
2019-01-24 14:00:35,973 - INFO - fastread - 464, 520
2019-01-24 14:00:35,983 - INFO - fastread - 471, 530
