2019-01-24 14:00:33,396 - INFO - rig - columba-1.4-src
2019-01-24 14:00:33,550 - INFO - fastread - Total Yes: 102 | Total No: 3132
2019-01-24 14:00:33,597 - INFO - fastread - 8, 10
2019-01-24 14:00:33,597 - INFO - fastread - 15, 20
2019-01-24 14:00:33,612 - INFO - fastread - 22, 30
2019-01-24 14:00:33,612 - INFO - fastread - 28, 40
2019-01-24 14:00:33,612 - INFO - fastread - 36, 50
2019-01-24 14:00:33,612 - INFO - fastread - 45, 60
2019-01-24 14:00:33,612 - INFO - fastread - 55, 70
2019-01-24 14:00:33,628 - INFO - fastread - 63, 80
2019-01-24 14:00:33,628 - INFO - fastread - 72, 90
2019-01-24 14:00:33,634 - INFO - fastread - 81, 100
2019-01-24 14:00:33,634 - INFO - fastread - 84, 110
2019-01-24 14:00:33,634 - INFO - fastread - 84, 120
2019-01-24 14:00:33,634 - INFO - fastread - 84, 130
2019-01-24 14:00:33,634 - INFO - fastread - 84, 140
2019-01-24 14:00:33,650 - INFO - fastread - 84, 150
2019-01-24 14:00:33,650 - INFO - fastread - 84, 160
2019-01-24 14:00:33,650 - INFO - fastread - 84, 170
2019-01-24 14:00:33,650 - INFO - fastread - 84, 180
2019-01-24 14:00:33,666 - INFO - fastread - 84, 190
2019-01-24 14:00:33,666 - INFO - fastread - 84, 200
2019-01-24 14:00:33,666 - INFO - fastread - 84, 210
2019-01-24 14:00:33,666 - INFO - fastread - 84, 220
2019-01-24 14:00:33,666 - INFO - fastread - 84, 230
2019-01-24 14:00:33,666 - INFO - fastread - 84, 240
2019-01-24 14:00:33,666 - INFO - fastread - 84, 250
2019-01-24 14:00:33,666 - INFO - fastread - 84, 260
2019-01-24 14:00:33,681 - INFO - fastread - 84, 270
2019-01-24 14:00:33,681 - INFO - fastread - 84, 280
2019-01-24 14:00:33,681 - INFO - fastread - 84, 290
2019-01-24 14:00:33,681 - INFO - fastread - 84, 300
2019-01-24 14:00:33,697 - INFO - fastread - 84, 310
2019-01-24 14:00:33,697 - INFO - fastread - 84, 320
2019-01-24 14:00:33,697 - INFO - fastread - 84, 330
2019-01-24 14:00:33,697 - INFO - fastread - 84, 340
2019-01-24 14:00:33,712 - INFO - fastread - 84, 350
2019-01-24 14:00:33,712 - INFO - fastread - 85, 360
2019-01-24 14:00:33,712 - INFO - fastread - 85, 370
2019-01-24 14:00:33,712 - INFO - fastread - 85, 380
2019-01-24 14:00:33,728 - INFO - fastread - 85, 390
2019-01-24 14:00:33,728 - INFO - fastread - 85, 400
2019-01-24 14:00:33,735 - INFO - fastread - 86, 410
2019-01-24 14:00:33,735 - INFO - fastread - 86, 420
2019-01-24 14:00:33,735 - INFO - fastread - 86, 430
2019-01-24 14:00:33,735 - INFO - fastread - 86, 440
2019-01-24 14:00:33,750 - INFO - fastread - 86, 450
2019-01-24 14:00:33,750 - INFO - fastread - 86, 460
2019-01-24 14:00:33,750 - INFO - fastread - 86, 470
2019-01-24 14:00:33,750 - INFO - fastread - 86, 480
2019-01-24 14:00:33,766 - INFO - fastread - 86, 490
2019-01-24 14:00:33,766 - INFO - fastread - 86, 500
2019-01-24 14:00:33,766 - INFO - fastread - 86, 510
2019-01-24 14:00:33,766 - INFO - fastread - 86, 520
2019-01-24 14:00:33,766 - INFO - fastread - 86, 530
2019-01-24 14:00:33,782 - INFO - fastread - 86, 540
2019-01-24 14:00:33,782 - INFO - fastread - 86, 550
2019-01-24 14:00:33,782 - INFO - fastread - 86, 560
2019-01-24 14:00:33,782 - INFO - fastread - 86, 570
2019-01-24 14:00:33,797 - INFO - fastread - 86, 580
2019-01-24 14:00:33,797 - INFO - fastread - 86, 590
2019-01-24 14:00:33,797 - INFO - fastread - 86, 600
