2019-01-24 13:54:20,248 - INFO - rig - argouml
2019-01-24 13:54:20,569 - INFO - fastread - Total Yes: 706 | Total No: 4020
2019-01-24 13:54:22,247 - INFO - fastread - 10, 10
2019-01-24 13:54:22,247 - INFO - fastread - 20, 20
2019-01-24 13:54:22,255 - INFO - fastread - 28, 30
2019-01-24 13:54:22,257 - INFO - fastread - 38, 40
2019-01-24 13:54:22,257 - INFO - fastread - 47, 50
2019-01-24 13:54:22,265 - INFO - fastread - 54, 60
2019-01-24 13:54:22,267 - INFO - fastread - 64, 70
2019-01-24 13:54:22,267 - INFO - fastread - 73, 80
2019-01-24 13:54:22,277 - INFO - fastread - 83, 90
2019-01-24 13:54:22,277 - INFO - fastread - 93, 100
2019-01-24 13:54:22,277 - INFO - fastread - 103, 110
2019-01-24 13:54:22,288 - INFO - fastread - 111, 120
2019-01-24 13:54:22,290 - INFO - fastread - 119, 130
2019-01-24 13:54:22,290 - INFO - fastread - 125, 140
2019-01-24 13:54:22,296 - INFO - fastread - 133, 150
2019-01-24 13:54:22,298 - INFO - fastread - 142, 160
2019-01-24 13:54:22,298 - INFO - fastread - 146, 170
2019-01-24 13:54:22,298 - INFO - fastread - 152, 180
2019-01-24 13:54:22,298 - INFO - fastread - 158, 190
2019-01-24 13:54:22,308 - INFO - fastread - 163, 200
2019-01-24 13:54:22,308 - INFO - fastread - 169, 210
2019-01-24 13:54:22,316 - INFO - fastread - 175, 220
2019-01-24 13:54:22,318 - INFO - fastread - 183, 230
2019-01-24 13:54:22,318 - INFO - fastread - 189, 240
2019-01-24 13:54:22,328 - INFO - fastread - 195, 250
2019-01-24 13:54:22,328 - INFO - fastread - 201, 260
2019-01-24 13:54:22,328 - INFO - fastread - 208, 270
2019-01-24 13:54:22,338 - INFO - fastread - 215, 280
2019-01-24 13:54:22,338 - INFO - fastread - 220, 290
2019-01-24 13:54:22,338 - INFO - fastread - 224, 300
2019-01-24 13:54:22,338 - INFO - fastread - 232, 310
2019-01-24 13:54:22,348 - INFO - fastread - 241, 320
2019-01-24 13:54:22,348 - INFO - fastread - 248, 330
2019-01-24 13:54:22,348 - INFO - fastread - 254, 340
2019-01-24 13:54:22,356 - INFO - fastread - 256, 350
2019-01-24 13:54:22,359 - INFO - fastread - 257, 360
2019-01-24 13:54:22,359 - INFO - fastread - 257, 370
2019-01-24 13:54:22,359 - INFO - fastread - 257, 380
2019-01-24 13:54:22,359 - INFO - fastread - 257, 390
2019-01-24 13:54:22,367 - INFO - fastread - 259, 400
2019-01-24 13:54:22,369 - INFO - fastread - 260, 410
2019-01-24 13:54:22,369 - INFO - fastread - 261, 420
2019-01-24 13:54:22,369 - INFO - fastread - 261, 430
2019-01-24 13:54:22,377 - INFO - fastread - 261, 440
2019-01-24 13:54:22,379 - INFO - fastread - 263, 450
2019-01-24 13:54:22,379 - INFO - fastread - 265, 460
2019-01-24 13:54:22,379 - INFO - fastread - 266, 470
2019-01-24 13:54:22,379 - INFO - fastread - 267, 480
2019-01-24 13:54:22,388 - INFO - fastread - 267, 490
2019-01-24 13:54:22,390 - INFO - fastread - 267, 500
2019-01-24 13:54:22,392 - INFO - fastread - 267, 510
2019-01-24 13:54:22,394 - INFO - fastread - 269, 520
2019-01-24 13:54:22,396 - INFO - fastread - 271, 530
2019-01-24 13:54:22,398 - INFO - fastread - 273, 540
2019-01-24 13:54:22,399 - INFO - fastread - 273, 550
2019-01-24 13:54:22,399 - INFO - fastread - 273, 560
2019-01-24 13:54:22,399 - INFO - fastread - 274, 570
2019-01-24 13:54:22,399 - INFO - fastread - 274, 580
2019-01-24 13:54:22,407 - INFO - fastread - 276, 590
2019-01-24 13:54:22,409 - INFO - fastread - 277, 600
2019-01-24 13:54:22,409 - INFO - fastread - 278, 610
2019-01-24 13:54:22,409 - INFO - fastread - 279, 620
2019-01-24 13:54:22,409 - INFO - fastread - 279, 630
2019-01-24 13:54:22,417 - INFO - fastread - 281, 640
2019-01-24 13:54:22,420 - INFO - fastread - 283, 650
2019-01-24 13:54:22,420 - INFO - fastread - 284, 660
2019-01-24 13:54:22,420 - INFO - fastread - 285, 670
2019-01-24 13:54:22,420 - INFO - fastread - 288, 680
2019-01-24 13:54:22,428 - INFO - fastread - 290, 690
2019-01-24 13:54:22,430 - INFO - fastread - 292, 700
2019-01-24 13:54:22,430 - INFO - fastread - 294, 710
2019-01-24 13:54:22,430 - INFO - fastread - 296, 720
2019-01-24 13:54:22,430 - INFO - fastread - 297, 730
