2019-01-24 13:54:18,248 - INFO - rig - columba-1.4-src
2019-01-24 13:54:18,402 - INFO - fastread - Total Yes: 102 | Total No: 3132
2019-01-24 13:54:19,064 - INFO - fastread - 9, 10
2019-01-24 13:54:19,066 - INFO - fastread - 18, 20
2019-01-24 13:54:19,066 - INFO - fastread - 26, 30
2019-01-24 13:54:19,066 - INFO - fastread - 34, 40
2019-01-24 13:54:19,066 - INFO - fastread - 38, 50
2019-01-24 13:54:19,074 - INFO - fastread - 45, 60
2019-01-24 13:54:19,076 - INFO - fastread - 45, 70
2019-01-24 13:54:19,076 - INFO - fastread - 45, 80
2019-01-24 13:54:19,076 - INFO - fastread - 45, 90
2019-01-24 13:54:19,076 - INFO - fastread - 45, 100
2019-01-24 13:54:19,085 - INFO - fastread - 45, 110
2019-01-24 13:54:19,087 - INFO - fastread - 45, 120
2019-01-24 13:54:19,087 - INFO - fastread - 45, 130
2019-01-24 13:54:19,095 - INFO - fastread - 45, 140
2019-01-24 13:54:19,097 - INFO - fastread - 45, 150
2019-01-24 13:54:19,097 - INFO - fastread - 46, 160
2019-01-24 13:54:19,105 - INFO - fastread - 46, 170
2019-01-24 13:54:19,107 - INFO - fastread - 46, 180
2019-01-24 13:54:19,107 - INFO - fastread - 47, 190
2019-01-24 13:54:19,116 - INFO - fastread - 47, 200
2019-01-24 13:54:19,118 - INFO - fastread - 48, 210
2019-01-24 13:54:19,118 - INFO - fastread - 48, 220
2019-01-24 13:54:19,126 - INFO - fastread - 49, 230
2019-01-24 13:54:19,128 - INFO - fastread - 49, 240
2019-01-24 13:54:19,128 - INFO - fastread - 49, 250
2019-01-24 13:54:19,136 - INFO - fastread - 49, 260
2019-01-24 13:54:19,138 - INFO - fastread - 49, 270
2019-01-24 13:54:19,138 - INFO - fastread - 49, 280
2019-01-24 13:54:19,146 - INFO - fastread - 49, 290
2019-01-24 13:54:19,148 - INFO - fastread - 49, 300
2019-01-24 13:54:19,148 - INFO - fastread - 49, 310
2019-01-24 13:54:19,156 - INFO - fastread - 49, 320
2019-01-24 13:54:19,158 - INFO - fastread - 49, 330
2019-01-24 13:54:19,158 - INFO - fastread - 49, 340
2019-01-24 13:54:19,168 - INFO - fastread - 49, 350
2019-01-24 13:54:19,168 - INFO - fastread - 49, 360
2019-01-24 13:54:19,176 - INFO - fastread - 49, 370
2019-01-24 13:54:19,178 - INFO - fastread - 49, 380
2019-01-24 13:54:19,178 - INFO - fastread - 49, 390
2019-01-24 13:54:19,186 - INFO - fastread - 49, 400
2019-01-24 13:54:19,188 - INFO - fastread - 49, 410
2019-01-24 13:54:19,188 - INFO - fastread - 49, 420
2019-01-24 13:54:19,196 - INFO - fastread - 49, 430
2019-01-24 13:54:19,198 - INFO - fastread - 50, 440
2019-01-24 13:54:19,198 - INFO - fastread - 51, 450
2019-01-24 13:54:19,198 - INFO - fastread - 51, 460
2019-01-24 13:54:19,208 - INFO - fastread - 51, 470
2019-01-24 13:54:19,208 - INFO - fastread - 51, 480
2019-01-24 13:54:19,216 - INFO - fastread - 51, 490
2019-01-24 13:54:19,218 - INFO - fastread - 53, 500
2019-01-24 13:54:19,218 - INFO - fastread - 53, 510
2019-01-24 13:54:19,228 - INFO - fastread - 53, 520
2019-01-24 13:54:19,228 - INFO - fastread - 53, 530
2019-01-24 13:54:19,236 - INFO - fastread - 53, 540
2019-01-24 13:54:19,238 - INFO - fastread - 54, 550
2019-01-24 13:54:19,238 - INFO - fastread - 54, 560
2019-01-24 13:54:19,248 - INFO - fastread - 54, 570
2019-01-24 13:54:19,248 - INFO - fastread - 54, 580
2019-01-24 13:54:19,248 - INFO - fastread - 55, 590
2019-01-24 13:54:19,256 - INFO - fastread - 55, 600
2019-01-24 13:54:19,258 - INFO - fastread - 55, 610
2019-01-24 13:54:19,258 - INFO - fastread - 55, 620
2019-01-24 13:54:19,266 - INFO - fastread - 55, 630
2019-01-24 13:54:19,268 - INFO - fastread - 55, 640
2019-01-24 13:54:19,268 - INFO - fastread - 56, 650
2019-01-24 13:54:19,268 - INFO - fastread - 57, 660
2019-01-24 13:54:19,268 - INFO - fastread - 57, 670
2019-01-24 13:54:19,276 - INFO - fastread - 57, 680
2019-01-24 13:54:19,279 - INFO - fastread - 57, 690
2019-01-24 13:54:19,279 - INFO - fastread - 57, 700
