2019-01-24 13:54:21,580 - INFO - rig - emf-2.4.1
2019-01-24 13:54:21,701 - INFO - fastread - Total Yes: 52 | Total No: 2142
2019-01-24 13:54:22,024 - INFO - fastread - 8, 10
2019-01-24 13:54:22,024 - INFO - fastread - 16, 20
2019-01-24 13:54:22,024 - INFO - fastread - 21, 30
2019-01-24 13:54:22,032 - INFO - fastread - 21, 40
2019-01-24 13:54:22,032 - INFO - fastread - 21, 50
2019-01-24 13:54:22,034 - INFO - fastread - 21, 60
2019-01-24 13:54:22,034 - INFO - fastread - 21, 70
2019-01-24 13:54:22,034 - INFO - fastread - 21, 80
2019-01-24 13:54:22,034 - INFO - fastread - 21, 90
2019-01-24 13:54:22,034 - INFO - fastread - 21, 100
2019-01-24 13:54:22,042 - INFO - fastread - 21, 110
2019-01-24 13:54:22,044 - INFO - fastread - 21, 120
2019-01-24 13:54:22,044 - INFO - fastread - 21, 130
2019-01-24 13:54:22,044 - INFO - fastread - 21, 140
2019-01-24 13:54:22,052 - INFO - fastread - 21, 150
2019-01-24 13:54:22,052 - INFO - fastread - 21, 160
2019-01-24 13:54:22,054 - INFO - fastread - 21, 170
2019-01-24 13:54:22,054 - INFO - fastread - 21, 180
2019-01-24 13:54:22,054 - INFO - fastread - 21, 190
2019-01-24 13:54:22,054 - INFO - fastread - 21, 200
2019-01-24 13:54:22,054 - INFO - fastread - 22, 210
2019-01-24 13:54:22,062 - INFO - fastread - 22, 220
2019-01-24 13:54:22,065 - INFO - fastread - 23, 230
2019-01-24 13:54:22,065 - INFO - fastread - 23, 240
2019-01-24 13:54:22,065 - INFO - fastread - 23, 250
2019-01-24 13:54:22,065 - INFO - fastread - 23, 260
2019-01-24 13:54:22,065 - INFO - fastread - 23, 270
2019-01-24 13:54:22,073 - INFO - fastread - 23, 280
2019-01-24 13:54:22,075 - INFO - fastread - 23, 290
2019-01-24 13:54:22,075 - INFO - fastread - 23, 300
2019-01-24 13:54:22,075 - INFO - fastread - 23, 310
2019-01-24 13:54:22,075 - INFO - fastread - 23, 320
2019-01-24 13:54:22,075 - INFO - fastread - 23, 330
2019-01-24 13:54:22,083 - INFO - fastread - 23, 340
2019-01-24 13:54:22,085 - INFO - fastread - 23, 350
2019-01-24 13:54:22,085 - INFO - fastread - 23, 360
2019-01-24 13:54:22,085 - INFO - fastread - 23, 370
2019-01-24 13:54:22,085 - INFO - fastread - 23, 380
2019-01-24 13:54:22,085 - INFO - fastread - 23, 390
2019-01-24 13:54:22,095 - INFO - fastread - 23, 400
2019-01-24 13:54:22,095 - INFO - fastread - 23, 410
2019-01-24 13:54:22,095 - INFO - fastread - 23, 420
2019-01-24 13:54:22,105 - INFO - fastread - 23, 430
2019-01-24 13:54:22,105 - INFO - fastread - 24, 440
2019-01-24 13:54:22,105 - INFO - fastread - 24, 450
2019-01-24 13:54:22,113 - INFO - fastread - 24, 460
2019-01-24 13:54:22,115 - INFO - fastread - 24, 470
2019-01-24 13:54:22,115 - INFO - fastread - 24, 480
2019-01-24 13:54:22,115 - INFO - fastread - 24, 490
2019-01-24 13:54:22,124 - INFO - fastread - 24, 500
2019-01-24 13:54:22,126 - INFO - fastread - 24, 510
2019-01-24 13:54:22,126 - INFO - fastread - 24, 520
2019-01-24 13:54:22,126 - INFO - fastread - 24, 530
2019-01-24 13:54:22,126 - INFO - fastread - 24, 540
2019-01-24 13:54:22,134 - INFO - fastread - 24, 550
2019-01-24 13:54:22,136 - INFO - fastread - 24, 560
2019-01-24 13:54:22,136 - INFO - fastread - 24, 570
2019-01-24 13:54:22,136 - INFO - fastread - 24, 580
2019-01-24 13:54:22,136 - INFO - fastread - 24, 590
2019-01-24 13:54:22,136 - INFO - fastread - 24, 600
2019-01-24 13:54:22,144 - INFO - fastread - 25, 610
2019-01-24 13:54:22,146 - INFO - fastread - 25, 620
2019-01-24 13:54:22,146 - INFO - fastread - 25, 630
2019-01-24 13:54:22,146 - INFO - fastread - 26, 640
2019-01-24 13:54:22,146 - INFO - fastread - 26, 650
2019-01-24 13:54:22,154 - INFO - fastread - 27, 660
2019-01-24 13:54:22,156 - INFO - fastread - 28, 670
2019-01-24 13:54:22,156 - INFO - fastread - 29, 680
2019-01-24 13:54:22,156 - INFO - fastread - 29, 690
2019-01-24 13:54:22,156 - INFO - fastread - 29, 700
2019-01-24 13:54:22,164 - INFO - fastread - 30, 710
2019-01-24 13:54:22,166 - INFO - fastread - 30, 720
2019-01-24 13:54:22,166 - INFO - fastread - 30, 730
2019-01-24 13:54:22,174 - INFO - fastread - 30, 740
2019-01-24 13:54:22,176 - INFO - fastread - 30, 750
2019-01-24 13:54:22,176 - INFO - fastread - 30, 760
2019-01-24 13:54:22,185 - INFO - fastread - 31, 770
2019-01-24 13:54:22,187 - INFO - fastread - 31, 780
2019-01-24 13:54:22,187 - INFO - fastread - 31, 790
2019-01-24 13:54:22,197 - INFO - fastread - 31, 800
2019-01-24 13:54:22,197 - INFO - fastread - 31, 810
2019-01-24 13:54:22,205 - INFO - fastread - 31, 820
2019-01-24 13:54:22,207 - INFO - fastread - 31, 830
2019-01-24 13:54:22,207 - INFO - fastread - 31, 840
2019-01-24 13:54:22,207 - INFO - fastread - 31, 850
2019-01-24 13:54:22,207 - INFO - fastread - 31, 860
2019-01-24 13:54:22,207 - INFO - fastread - 31, 870
2019-01-24 13:54:22,215 - INFO - fastread - 31, 880
2019-01-24 13:54:22,217 - INFO - fastread - 31, 890
2019-01-24 13:54:22,217 - INFO - fastread - 31, 900
2019-01-24 13:54:22,217 - INFO - fastread - 31, 910
2019-01-24 13:54:22,217 - INFO - fastread - 31, 920
2019-01-24 13:54:22,217 - INFO - fastread - 33, 930
2019-01-24 13:54:22,225 - INFO - fastread - 33, 940
2019-01-24 13:54:22,227 - INFO - fastread - 33, 950
2019-01-24 13:54:22,227 - INFO - fastread - 33, 960
2019-01-24 13:54:22,227 - INFO - fastread - 34, 970
2019-01-24 13:54:22,227 - INFO - fastread - 35, 980
2019-01-24 13:54:22,227 - INFO - fastread - 35, 990
2019-01-24 13:54:22,235 - INFO - fastread - 35, 1000
2019-01-24 13:54:22,237 - INFO - fastread - 35, 1010
2019-01-24 13:54:22,237 - INFO - fastread - 35, 1020
2019-01-24 13:54:22,237 - INFO - fastread - 35, 1030
2019-01-24 13:54:22,237 - INFO - fastread - 35, 1040
2019-01-24 13:54:22,237 - INFO - fastread - 36, 1050
2019-01-24 13:54:22,247 - INFO - fastread - 36, 1060
2019-01-24 13:54:22,247 - INFO - fastread - 36, 1070
2019-01-24 13:54:22,247 - INFO - fastread - 36, 1080
2019-01-24 13:54:22,257 - INFO - fastread - 36, 1090
2019-01-24 13:54:22,257 - INFO - fastread - 36, 1100
2019-01-24 13:54:22,257 - INFO - fastread - 36, 1110
2019-01-24 13:54:22,265 - INFO - fastread - 36, 1120
2019-01-24 13:54:22,267 - INFO - fastread - 36, 1130
2019-01-24 13:54:22,267 - INFO - fastread - 36, 1140
2019-01-24 13:54:22,275 - INFO - fastread - 36, 1150
2019-01-24 13:54:22,277 - INFO - fastread - 36, 1160
2019-01-24 13:54:22,277 - INFO - fastread - 36, 1170
2019-01-24 13:54:22,286 - INFO - fastread - 36, 1180
2019-01-24 13:54:22,289 - INFO - fastread - 37, 1190
2019-01-24 13:54:22,290 - INFO - fastread - 37, 1200
2019-01-24 13:54:22,290 - INFO - fastread - 38, 1210
2019-01-24 13:54:22,290 - INFO - fastread - 39, 1220
2019-01-24 13:54:22,296 - INFO - fastread - 40, 1230
2019-01-24 13:54:22,298 - INFO - fastread - 40, 1240
2019-01-24 13:54:22,298 - INFO - fastread - 40, 1250
2019-01-24 13:54:22,298 - INFO - fastread - 40, 1260
2019-01-24 13:54:22,298 - INFO - fastread - 40, 1270
2019-01-24 13:54:22,308 - INFO - fastread - 41, 1280
2019-01-24 13:54:22,308 - INFO - fastread - 41, 1290
2019-01-24 13:54:22,316 - INFO - fastread - 41, 1300
2019-01-24 13:54:22,318 - INFO - fastread - 41, 1310
2019-01-24 13:54:22,318 - INFO - fastread - 42, 1320
2019-01-24 13:54:22,326 - INFO - fastread - 42, 1330
2019-01-24 13:54:22,328 - INFO - fastread - 42, 1340
2019-01-24 13:54:22,328 - INFO - fastread - 42, 1350
2019-01-24 13:54:22,336 - INFO - fastread - 42, 1360
