2019-01-24 13:54:18,320 - INFO - rig - jfreechart-1.0.19
2019-01-24 13:54:18,402 - INFO - fastread - Total Yes: 104 | Total No: 2100
2019-01-24 13:54:18,734 - INFO - fastread - 10, 10
2019-01-24 13:54:18,742 - INFO - fastread - 20, 20
2019-01-24 13:54:18,744 - INFO - fastread - 30, 30
2019-01-24 13:54:18,744 - INFO - fastread - 40, 40
2019-01-24 13:54:18,744 - INFO - fastread - 46, 50
2019-01-24 13:54:18,752 - INFO - fastread - 55, 60
2019-01-24 13:54:18,754 - INFO - fastread - 63, 70
2019-01-24 13:54:18,754 - INFO - fastread - 68, 80
2019-01-24 13:54:18,754 - INFO - fastread - 68, 90
2019-01-24 13:54:18,754 - INFO - fastread - 68, 100
2019-01-24 13:54:18,762 - INFO - fastread - 68, 110
2019-01-24 13:54:18,764 - INFO - fastread - 69, 120
2019-01-24 13:54:18,764 - INFO - fastread - 70, 130
2019-01-24 13:54:18,764 - INFO - fastread - 70, 140
2019-01-24 13:54:18,772 - INFO - fastread - 70, 150
2019-01-24 13:54:18,774 - INFO - fastread - 70, 160
2019-01-24 13:54:18,774 - INFO - fastread - 70, 170
2019-01-24 13:54:18,774 - INFO - fastread - 70, 180
2019-01-24 13:54:18,774 - INFO - fastread - 70, 190
2019-01-24 13:54:18,784 - INFO - fastread - 70, 200
2019-01-24 13:54:18,792 - INFO - fastread - 70, 210
2019-01-24 13:54:18,794 - INFO - fastread - 70, 220
2019-01-24 13:54:18,794 - INFO - fastread - 70, 230
2019-01-24 13:54:18,794 - INFO - fastread - 70, 240
2019-01-24 13:54:18,794 - INFO - fastread - 70, 250
2019-01-24 13:54:18,802 - INFO - fastread - 70, 260
2019-01-24 13:54:18,804 - INFO - fastread - 70, 270
2019-01-24 13:54:18,804 - INFO - fastread - 70, 280
2019-01-24 13:54:18,804 - INFO - fastread - 70, 290
2019-01-24 13:54:18,804 - INFO - fastread - 70, 300
2019-01-24 13:54:18,812 - INFO - fastread - 70, 310
2019-01-24 13:54:18,814 - INFO - fastread - 71, 320
2019-01-24 13:54:18,814 - INFO - fastread - 71, 330
2019-01-24 13:54:18,814 - INFO - fastread - 71, 340
2019-01-24 13:54:18,822 - INFO - fastread - 71, 350
2019-01-24 13:54:18,824 - INFO - fastread - 71, 360
2019-01-24 13:54:18,824 - INFO - fastread - 71, 370
2019-01-24 13:54:18,832 - INFO - fastread - 71, 380
2019-01-24 13:54:18,834 - INFO - fastread - 71, 390
2019-01-24 13:54:18,834 - INFO - fastread - 71, 400
2019-01-24 13:54:18,842 - INFO - fastread - 71, 410
2019-01-24 13:54:18,844 - INFO - fastread - 71, 420
2019-01-24 13:54:18,844 - INFO - fastread - 71, 430
2019-01-24 13:54:18,844 - INFO - fastread - 71, 440
2019-01-24 13:54:18,853 - INFO - fastread - 72, 450
2019-01-24 13:54:18,855 - INFO - fastread - 72, 460
2019-01-24 13:54:18,855 - INFO - fastread - 72, 470
2019-01-24 13:54:18,855 - INFO - fastread - 72, 480
2019-01-24 13:54:18,855 - INFO - fastread - 72, 490
2019-01-24 13:54:18,865 - INFO - fastread - 72, 500
2019-01-24 13:54:18,865 - INFO - fastread - 72, 510
2019-01-24 13:54:18,873 - INFO - fastread - 72, 520
2019-01-24 13:54:18,875 - INFO - fastread - 73, 530
2019-01-24 13:54:18,875 - INFO - fastread - 73, 540
2019-01-24 13:54:18,883 - INFO - fastread - 73, 550
2019-01-24 13:54:18,885 - INFO - fastread - 73, 560
2019-01-24 13:54:18,885 - INFO - fastread - 73, 570
2019-01-24 13:54:18,893 - INFO - fastread - 76, 580
2019-01-24 13:54:18,895 - INFO - fastread - 76, 590
2019-01-24 13:54:18,895 - INFO - fastread - 76, 600
2019-01-24 13:54:18,905 - INFO - fastread - 76, 610
2019-01-24 13:54:18,905 - INFO - fastread - 77, 620
2019-01-24 13:54:18,913 - INFO - fastread - 77, 630
2019-01-24 13:54:18,915 - INFO - fastread - 77, 640
2019-01-24 13:54:18,915 - INFO - fastread - 77, 650
2019-01-24 13:54:18,925 - INFO - fastread - 77, 660
2019-01-24 13:54:18,925 - INFO - fastread - 79, 670
2019-01-24 13:54:18,933 - INFO - fastread - 79, 680
2019-01-24 13:54:18,935 - INFO - fastread - 79, 690
2019-01-24 13:54:18,935 - INFO - fastread - 79, 700
2019-01-24 13:54:18,945 - INFO - fastread - 79, 710
2019-01-24 13:54:18,945 - INFO - fastread - 79, 720
2019-01-24 13:54:18,953 - INFO - fastread - 79, 730
2019-01-24 13:54:18,955 - INFO - fastread - 79, 740
2019-01-24 13:54:18,955 - INFO - fastread - 79, 750
2019-01-24 13:54:18,964 - INFO - fastread - 79, 760
2019-01-24 13:54:18,966 - INFO - fastread - 79, 770
2019-01-24 13:54:18,966 - INFO - fastread - 79, 780
2019-01-24 13:54:18,966 - INFO - fastread - 79, 790
2019-01-24 13:54:18,974 - INFO - fastread - 79, 800
2019-01-24 13:54:18,976 - INFO - fastread - 79, 810
2019-01-24 13:54:18,976 - INFO - fastread - 79, 820
2019-01-24 13:54:18,984 - INFO - fastread - 79, 830
2019-01-24 13:54:18,986 - INFO - fastread - 79, 840
2019-01-24 13:54:18,986 - INFO - fastread - 81, 850
2019-01-24 13:54:18,994 - INFO - fastread - 81, 860
2019-01-24 13:54:18,996 - INFO - fastread - 81, 870
2019-01-24 13:54:18,996 - INFO - fastread - 81, 880
2019-01-24 13:54:18,996 - INFO - fastread - 82, 890
2019-01-24 13:54:19,006 - INFO - fastread - 82, 900
2019-01-24 13:54:19,006 - INFO - fastread - 82, 910
2019-01-24 13:54:19,006 - INFO - fastread - 82, 920
2019-01-24 13:54:19,006 - INFO - fastread - 82, 930
2019-01-24 13:54:19,014 - INFO - fastread - 83, 940
2019-01-24 13:54:19,016 - INFO - fastread - 83, 950
2019-01-24 13:54:19,016 - INFO - fastread - 84, 960
2019-01-24 13:54:19,016 - INFO - fastread - 84, 970
2019-01-24 13:54:19,016 - INFO - fastread - 84, 980
2019-01-24 13:54:19,016 - INFO - fastread - 84, 990
2019-01-24 13:54:19,026 - INFO - fastread - 84, 1000
2019-01-24 13:54:19,026 - INFO - fastread - 84, 1010
2019-01-24 13:54:19,026 - INFO - fastread - 84, 1020
2019-01-24 13:54:19,034 - INFO - fastread - 84, 1030
2019-01-24 13:54:19,036 - INFO - fastread - 84, 1040
2019-01-24 13:54:19,036 - INFO - fastread - 84, 1050
2019-01-24 13:54:19,036 - INFO - fastread - 84, 1060
2019-01-24 13:54:19,044 - INFO - fastread - 84, 1070
2019-01-24 13:54:19,046 - INFO - fastread - 84, 1080
2019-01-24 13:54:19,046 - INFO - fastread - 84, 1090
2019-01-24 13:54:19,046 - INFO - fastread - 84, 1100
2019-01-24 13:54:19,054 - INFO - fastread - 84, 1110
2019-01-24 13:54:19,056 - INFO - fastread - 84, 1120
2019-01-24 13:54:19,056 - INFO - fastread - 84, 1130
2019-01-24 13:54:19,056 - INFO - fastread - 85, 1140
2019-01-24 13:54:19,066 - INFO - fastread - 85, 1150
2019-01-24 13:54:19,066 - INFO - fastread - 85, 1160
2019-01-24 13:54:19,066 - INFO - fastread - 85, 1170
2019-01-24 13:54:19,074 - INFO - fastread - 85, 1180
2019-01-24 13:54:19,076 - INFO - fastread - 85, 1190
2019-01-24 13:54:19,076 - INFO - fastread - 85, 1200
2019-01-24 13:54:19,085 - INFO - fastread - 85, 1210
2019-01-24 13:54:19,087 - INFO - fastread - 85, 1220
2019-01-24 13:54:19,087 - INFO - fastread - 85, 1230
