2019-01-24 14:02:35,052 - INFO - rig - emf-2.4.1
2019-01-24 14:02:35,165 - INFO - fastread - Total Yes: 52 | Total No: 2142
2019-01-24 14:02:35,183 - INFO - fastread - 5, 10
2019-01-24 14:02:35,185 - INFO - fastread - 9, 20
2019-01-24 14:02:35,185 - INFO - fastread - 11, 30
2019-01-24 14:02:35,185 - INFO - fastread - 11, 40
2019-01-24 14:02:35,195 - INFO - fastread - 11, 50
2019-01-24 14:02:35,195 - INFO - fastread - 13, 60
2019-01-24 14:02:35,195 - INFO - fastread - 14, 70
2019-01-24 14:02:35,203 - INFO - fastread - 14, 80
2019-01-24 14:02:35,205 - INFO - fastread - 16, 90
2019-01-24 14:02:35,205 - INFO - fastread - 16, 100
2019-01-24 14:02:35,205 - INFO - fastread - 16, 110
2019-01-24 14:02:35,215 - INFO - fastread - 16, 120
2019-01-24 14:02:35,215 - INFO - fastread - 17, 130
2019-01-24 14:02:35,215 - INFO - fastread - 18, 140
2019-01-24 14:02:35,215 - INFO - fastread - 19, 150
2019-01-24 14:02:35,223 - INFO - fastread - 19, 160
2019-01-24 14:02:35,225 - INFO - fastread - 19, 170
2019-01-24 14:02:35,225 - INFO - fastread - 19, 180
2019-01-24 14:02:35,225 - INFO - fastread - 19, 190
2019-01-24 14:02:35,225 - INFO - fastread - 19, 200
2019-01-24 14:02:35,225 - INFO - fastread - 19, 210
2019-01-24 14:02:35,233 - INFO - fastread - 19, 220
2019-01-24 14:02:35,235 - INFO - fastread - 19, 230
2019-01-24 14:02:35,235 - INFO - fastread - 19, 240
2019-01-24 14:02:35,235 - INFO - fastread - 19, 250
2019-01-24 14:02:35,235 - INFO - fastread - 19, 260
2019-01-24 14:02:35,243 - INFO - fastread - 19, 270
2019-01-24 14:02:35,245 - INFO - fastread - 19, 280
2019-01-24 14:02:35,245 - INFO - fastread - 19, 290
2019-01-24 14:02:35,245 - INFO - fastread - 19, 300
2019-01-24 14:02:35,245 - INFO - fastread - 19, 310
2019-01-24 14:02:35,245 - INFO - fastread - 19, 320
2019-01-24 14:02:35,253 - INFO - fastread - 19, 330
2019-01-24 14:02:35,255 - INFO - fastread - 19, 340
2019-01-24 14:02:35,255 - INFO - fastread - 19, 350
2019-01-24 14:02:35,255 - INFO - fastread - 21, 360
2019-01-24 14:02:35,255 - INFO - fastread - 21, 370
2019-01-24 14:02:35,255 - INFO - fastread - 22, 380
2019-01-24 14:02:35,264 - INFO - fastread - 22, 390
2019-01-24 14:02:35,266 - INFO - fastread - 23, 400
2019-01-24 14:02:35,266 - INFO - fastread - 23, 410
2019-01-24 14:02:35,266 - INFO - fastread - 23, 420
2019-01-24 14:02:35,266 - INFO - fastread - 23, 430
2019-01-24 14:02:35,266 - INFO - fastread - 24, 440
2019-01-24 14:02:35,274 - INFO - fastread - 25, 450
2019-01-24 14:02:35,276 - INFO - fastread - 26, 460
2019-01-24 14:02:35,276 - INFO - fastread - 26, 470
2019-01-24 14:02:35,284 - INFO - fastread - 26, 480
2019-01-24 14:02:35,286 - INFO - fastread - 26, 490
2019-01-24 14:02:35,286 - INFO - fastread - 28, 500
2019-01-24 14:02:35,286 - INFO - fastread - 28, 510
2019-01-24 14:02:35,294 - INFO - fastread - 29, 520
2019-01-24 14:02:35,296 - INFO - fastread - 29, 530
2019-01-24 14:02:35,296 - INFO - fastread - 29, 540
2019-01-24 14:02:35,296 - INFO - fastread - 30, 550
2019-01-24 14:02:35,296 - INFO - fastread - 30, 560
2019-01-24 14:02:35,304 - INFO - fastread - 30, 570
2019-01-24 14:02:35,306 - INFO - fastread - 31, 580
2019-01-24 14:02:35,306 - INFO - fastread - 31, 590
2019-01-24 14:02:35,306 - INFO - fastread - 31, 600
2019-01-24 14:02:35,306 - INFO - fastread - 32, 610
2019-01-24 14:02:35,314 - INFO - fastread - 32, 620
2019-01-24 14:02:35,314 - INFO - fastread - 34, 630
2019-01-24 14:02:35,316 - INFO - fastread - 34, 640
2019-01-24 14:02:35,316 - INFO - fastread - 34, 650
2019-01-24 14:02:35,316 - INFO - fastread - 35, 660
2019-01-24 14:02:35,316 - INFO - fastread - 35, 670
2019-01-24 14:02:35,324 - INFO - fastread - 35, 680
2019-01-24 14:02:35,324 - INFO - fastread - 35, 690
2019-01-24 14:02:35,326 - INFO - fastread - 36, 700
2019-01-24 14:02:35,326 - INFO - fastread - 36, 710
2019-01-24 14:02:35,326 - INFO - fastread - 36, 720
2019-01-24 14:02:35,326 - INFO - fastread - 36, 730
2019-01-24 14:02:35,326 - INFO - fastread - 36, 740
2019-01-24 14:02:35,334 - INFO - fastread - 36, 750
2019-01-24 14:02:35,336 - INFO - fastread - 36, 760
2019-01-24 14:02:35,336 - INFO - fastread - 36, 770
2019-01-24 14:02:35,336 - INFO - fastread - 36, 780
2019-01-24 14:02:35,336 - INFO - fastread - 36, 790
2019-01-24 14:02:35,336 - INFO - fastread - 36, 800
2019-01-24 14:02:35,344 - INFO - fastread - 36, 810
2019-01-24 14:02:35,346 - INFO - fastread - 36, 820
2019-01-24 14:02:35,346 - INFO - fastread - 36, 830
2019-01-24 14:02:35,346 - INFO - fastread - 36, 840
2019-01-24 14:02:35,346 - INFO - fastread - 37, 850
2019-01-24 14:02:35,346 - INFO - fastread - 37, 860
2019-01-24 14:02:35,354 - INFO - fastread - 37, 870
2019-01-24 14:02:35,357 - INFO - fastread - 37, 880
2019-01-24 14:02:35,357 - INFO - fastread - 37, 890
2019-01-24 14:02:35,357 - INFO - fastread - 37, 900
2019-01-24 14:02:35,357 - INFO - fastread - 37, 910
2019-01-24 14:02:35,357 - INFO - fastread - 37, 920
2019-01-24 14:02:35,365 - INFO - fastread - 37, 930
2019-01-24 14:02:35,365 - INFO - fastread - 37, 940
2019-01-24 14:02:35,367 - INFO - fastread - 37, 950
2019-01-24 14:02:35,367 - INFO - fastread - 37, 960
2019-01-24 14:02:35,367 - INFO - fastread - 37, 970
2019-01-24 14:02:35,367 - INFO - fastread - 37, 980
2019-01-24 14:02:35,367 - INFO - fastread - 37, 990
2019-01-24 14:02:35,376 - INFO - fastread - 37, 1000
2019-01-24 14:02:35,378 - INFO - fastread - 37, 1010
2019-01-24 14:02:35,379 - INFO - fastread - 37, 1020
2019-01-24 14:02:35,382 - INFO - fastread - 38, 1030
2019-01-24 14:02:35,384 - INFO - fastread - 38, 1040
2019-01-24 14:02:35,385 - INFO - fastread - 38, 1050
2019-01-24 14:02:35,387 - INFO - fastread - 38, 1060
2019-01-24 14:02:35,389 - INFO - fastread - 38, 1070
2019-01-24 14:02:35,391 - INFO - fastread - 38, 1080
2019-01-24 14:02:35,392 - INFO - fastread - 38, 1090
2019-01-24 14:02:35,394 - INFO - fastread - 38, 1100
2019-01-24 14:02:35,396 - INFO - fastread - 38, 1110
2019-01-24 14:02:35,398 - INFO - fastread - 38, 1120
2019-01-24 14:02:35,400 - INFO - fastread - 38, 1130
2019-01-24 14:02:35,401 - INFO - fastread - 38, 1140
2019-01-24 14:02:35,403 - INFO - fastread - 38, 1150
2019-01-24 14:02:35,405 - INFO - fastread - 38, 1160
2019-01-24 14:02:35,407 - INFO - fastread - 38, 1170
2019-01-24 14:02:35,409 - INFO - fastread - 39, 1180
2019-01-24 14:02:35,410 - INFO - fastread - 39, 1190
2019-01-24 14:02:35,412 - INFO - fastread - 40, 1200
2019-01-24 14:02:35,414 - INFO - fastread - 40, 1210
2019-01-24 14:02:35,415 - INFO - fastread - 40, 1220
2019-01-24 14:02:35,417 - INFO - fastread - 40, 1230
2019-01-24 14:02:35,417 - INFO - fastread - 40, 1240
2019-01-24 14:02:35,417 - INFO - fastread - 40, 1250
2019-01-24 14:02:35,417 - INFO - fastread - 40, 1260
