2019-01-24 14:02:34,681 - INFO - rig - hibernate-distribution-3.3.2.GA
2019-01-24 14:02:34,770 - INFO - fastread - Total Yes: 236 | Total No: 1248
2019-01-24 14:02:34,782 - INFO - fastread - 5, 10
2019-01-24 14:02:34,782 - INFO - fastread - 15, 20
2019-01-24 14:02:34,792 - INFO - fastread - 25, 30
2019-01-24 14:02:34,792 - INFO - fastread - 35, 40
2019-01-24 14:02:34,792 - INFO - fastread - 45, 50
2019-01-24 14:02:34,800 - INFO - fastread - 54, 60
2019-01-24 14:02:34,802 - INFO - fastread - 63, 70
2019-01-24 14:02:34,802 - INFO - fastread - 70, 80
2019-01-24 14:02:34,802 - INFO - fastread - 73, 90
2019-01-24 14:02:34,802 - INFO - fastread - 79, 100
2019-01-24 14:02:34,802 - INFO - fastread - 84, 110
2019-01-24 14:02:34,812 - INFO - fastread - 94, 120
2019-01-24 14:02:34,812 - INFO - fastread - 98, 130
2019-01-24 14:02:34,812 - INFO - fastread - 101, 140
2019-01-24 14:02:34,812 - INFO - fastread - 108, 150
2019-01-24 14:02:34,812 - INFO - fastread - 109, 160
2019-01-24 14:02:34,820 - INFO - fastread - 112, 170
2019-01-24 14:02:34,822 - INFO - fastread - 116, 180
2019-01-24 14:02:34,822 - INFO - fastread - 118, 190
2019-01-24 14:02:34,822 - INFO - fastread - 119, 200
2019-01-24 14:02:34,822 - INFO - fastread - 122, 210
2019-01-24 14:02:34,830 - INFO - fastread - 126, 220
2019-01-24 14:02:34,832 - INFO - fastread - 127, 230
2019-01-24 14:02:34,832 - INFO - fastread - 128, 240
2019-01-24 14:02:34,832 - INFO - fastread - 128, 250
2019-01-24 14:02:34,840 - INFO - fastread - 128, 260
2019-01-24 14:02:34,842 - INFO - fastread - 132, 270
2019-01-24 14:02:34,842 - INFO - fastread - 133, 280
2019-01-24 14:02:34,842 - INFO - fastread - 135, 290
2019-01-24 14:02:34,842 - INFO - fastread - 136, 300
2019-01-24 14:02:34,850 - INFO - fastread - 138, 310
2019-01-24 14:02:34,852 - INFO - fastread - 138, 320
