2019-01-24 14:02:34,036 - INFO - rig - jruby-1.4.0
2019-01-24 14:02:34,146 - INFO - fastread - Total Yes: 311 | Total No: 2137
2019-01-24 14:02:34,167 - INFO - fastread - 10, 10
2019-01-24 14:02:34,177 - INFO - fastread - 20, 20
2019-01-24 14:02:34,177 - INFO - fastread - 30, 30
2019-01-24 14:02:34,177 - INFO - fastread - 40, 40
2019-01-24 14:02:34,187 - INFO - fastread - 47, 50
2019-01-24 14:02:34,187 - INFO - fastread - 57, 60
2019-01-24 14:02:34,187 - INFO - fastread - 66, 70
2019-01-24 14:02:34,195 - INFO - fastread - 75, 80
2019-01-24 14:02:34,197 - INFO - fastread - 84, 90
2019-01-24 14:02:34,197 - INFO - fastread - 94, 100
2019-01-24 14:02:34,205 - INFO - fastread - 103, 110
2019-01-24 14:02:34,207 - INFO - fastread - 107, 120
2019-01-24 14:02:34,207 - INFO - fastread - 113, 130
2019-01-24 14:02:34,217 - INFO - fastread - 120, 140
2019-01-24 14:02:34,217 - INFO - fastread - 126, 150
2019-01-24 14:02:34,217 - INFO - fastread - 134, 160
2019-01-24 14:02:34,227 - INFO - fastread - 141, 170
2019-01-24 14:02:34,227 - INFO - fastread - 149, 180
2019-01-24 14:02:34,227 - INFO - fastread - 152, 190
2019-01-24 14:02:34,237 - INFO - fastread - 155, 200
2019-01-24 14:02:34,237 - INFO - fastread - 163, 210
2019-01-24 14:02:34,237 - INFO - fastread - 165, 220
2019-01-24 14:02:34,245 - INFO - fastread - 171, 230
2019-01-24 14:02:34,247 - INFO - fastread - 176, 240
2019-01-24 14:02:34,247 - INFO - fastread - 179, 250
2019-01-24 14:02:34,247 - INFO - fastread - 183, 260
2019-01-24 14:02:34,255 - INFO - fastread - 188, 270
2019-01-24 14:02:34,257 - INFO - fastread - 193, 280
2019-01-24 14:02:34,257 - INFO - fastread - 196, 290
2019-01-24 14:02:34,257 - INFO - fastread - 197, 300
2019-01-24 14:02:34,257 - INFO - fastread - 198, 310
2019-01-24 14:02:34,257 - INFO - fastread - 201, 320
2019-01-24 14:02:34,265 - INFO - fastread - 205, 330
2019-01-24 14:02:34,267 - INFO - fastread - 210, 340
2019-01-24 14:02:34,267 - INFO - fastread - 213, 350
2019-01-24 14:02:34,267 - INFO - fastread - 215, 360
2019-01-24 14:02:34,267 - INFO - fastread - 215, 370
2019-01-24 14:02:34,275 - INFO - fastread - 217, 380
2019-01-24 14:02:34,277 - INFO - fastread - 217, 390
2019-01-24 14:02:34,277 - INFO - fastread - 217, 400
2019-01-24 14:02:34,277 - INFO - fastread - 217, 410
2019-01-24 14:02:34,277 - INFO - fastread - 217, 420
2019-01-24 14:02:34,287 - INFO - fastread - 217, 430
2019-01-24 14:02:34,289 - INFO - fastread - 217, 440
2019-01-24 14:02:34,292 - INFO - fastread - 217, 450
2019-01-24 14:02:34,294 - INFO - fastread - 220, 460
2019-01-24 14:02:34,297 - INFO - fastread - 222, 470
2019-01-24 14:02:34,301 - INFO - fastread - 223, 480
2019-01-24 14:02:34,304 - INFO - fastread - 224, 490
2019-01-24 14:02:34,306 - INFO - fastread - 224, 500
2019-01-24 14:02:34,308 - INFO - fastread - 229, 510
2019-01-24 14:02:34,309 - INFO - fastread - 230, 520
2019-01-24 14:02:34,309 - INFO - fastread - 231, 530
2019-01-24 14:02:34,309 - INFO - fastread - 234, 540
2019-01-24 14:02:34,316 - INFO - fastread - 234, 550
2019-01-24 14:02:34,318 - INFO - fastread - 237, 560
2019-01-24 14:02:34,318 - INFO - fastread - 240, 570
2019-01-24 14:02:34,318 - INFO - fastread - 242, 580
2019-01-24 14:02:34,318 - INFO - fastread - 245, 590
2019-01-24 14:02:34,318 - INFO - fastread - 245, 600
2019-01-24 14:02:34,328 - INFO - fastread - 245, 610
2019-01-24 14:02:34,328 - INFO - fastread - 246, 620
2019-01-24 14:02:34,328 - INFO - fastread - 247, 630
2019-01-24 14:02:34,328 - INFO - fastread - 248, 640
2019-01-24 14:02:34,336 - INFO - fastread - 250, 650
2019-01-24 14:02:34,338 - INFO - fastread - 253, 660
2019-01-24 14:02:34,338 - INFO - fastread - 255, 670
2019-01-24 14:02:34,338 - INFO - fastread - 255, 680
2019-01-24 14:02:34,338 - INFO - fastread - 256, 690
2019-01-24 14:02:34,346 - INFO - fastread - 257, 700
2019-01-24 14:02:34,348 - INFO - fastread - 258, 710
2019-01-24 14:02:34,348 - INFO - fastread - 260, 720
2019-01-24 14:02:34,348 - INFO - fastread - 260, 730
2019-01-24 14:02:34,348 - INFO - fastread - 261, 740
2019-01-24 14:02:34,358 - INFO - fastread - 262, 750
2019-01-24 14:02:34,358 - INFO - fastread - 269, 760
2019-01-24 14:02:34,358 - INFO - fastread - 271, 770
2019-01-24 14:02:34,358 - INFO - fastread - 271, 780
2019-01-24 14:02:34,366 - INFO - fastread - 273, 790
2019-01-24 14:02:34,368 - INFO - fastread - 273, 800
2019-01-24 14:02:34,368 - INFO - fastread - 274, 810
2019-01-24 14:02:34,368 - INFO - fastread - 275, 820
2019-01-24 14:02:34,378 - INFO - fastread - 276, 830
2019-01-24 14:02:34,378 - INFO - fastread - 276, 840
2019-01-24 14:02:34,378 - INFO - fastread - 277, 850
2019-01-24 14:02:34,389 - INFO - fastread - 277, 860
2019-01-24 14:02:34,389 - INFO - fastread - 277, 870
2019-01-24 14:02:34,389 - INFO - fastread - 278, 880
2019-01-24 14:02:34,389 - INFO - fastread - 280, 890
2019-01-24 14:02:34,397 - INFO - fastread - 281, 900
2019-01-24 14:02:34,399 - INFO - fastread - 281, 910
2019-01-24 14:02:34,399 - INFO - fastread - 281, 920
2019-01-24 14:02:34,399 - INFO - fastread - 281, 930
2019-01-24 14:02:34,399 - INFO - fastread - 282, 940
2019-01-24 14:02:34,407 - INFO - fastread - 282, 950
2019-01-24 14:02:34,409 - INFO - fastread - 284, 960
2019-01-24 14:02:34,409 - INFO - fastread - 284, 970
2019-01-24 14:02:34,419 - INFO - fastread - 284, 980
2019-01-24 14:02:34,419 - INFO - fastread - 285, 990
2019-01-24 14:02:34,419 - INFO - fastread - 285, 1000
2019-01-24 14:02:34,429 - INFO - fastread - 285, 1010
2019-01-24 14:02:34,429 - INFO - fastread - 285, 1020
2019-01-24 14:02:34,429 - INFO - fastread - 285, 1030
2019-01-24 14:02:34,439 - INFO - fastread - 287, 1040
2019-01-24 14:02:34,439 - INFO - fastread - 288, 1050
2019-01-24 14:02:34,439 - INFO - fastread - 289, 1060
2019-01-24 14:02:34,449 - INFO - fastread - 289, 1070
2019-01-24 14:02:34,449 - INFO - fastread - 290, 1080
2019-01-24 14:02:34,449 - INFO - fastread - 290, 1090
2019-01-24 14:02:34,449 - INFO - fastread - 291, 1100
2019-01-24 14:02:34,457 - INFO - fastread - 291, 1110
2019-01-24 14:02:34,459 - INFO - fastread - 291, 1120
2019-01-24 14:02:34,459 - INFO - fastread - 292, 1130
2019-01-24 14:02:34,459 - INFO - fastread - 293, 1140
2019-01-24 14:02:34,459 - INFO - fastread - 294, 1150
2019-01-24 14:02:34,469 - INFO - fastread - 296, 1160
