2019-01-24 13:58:40,411 - INFO - rig - argouml
2019-01-24 13:58:40,701 - INFO - fastread - Total Yes: 706 | Total No: 4020
2019-01-24 13:58:45,662 - INFO - fastread - 6, 10
2019-01-24 13:58:45,665 - INFO - fastread - 16, 20
2019-01-24 13:58:45,665 - INFO - fastread - 26, 30
2019-01-24 13:58:45,665 - INFO - fastread - 34, 40
2019-01-24 13:58:45,665 - INFO - fastread - 35, 50
2019-01-24 13:58:45,673 - INFO - fastread - 42, 60
2019-01-24 13:58:45,673 - INFO - fastread - 51, 70
2019-01-24 13:58:45,673 - INFO - fastread - 61, 80
2019-01-24 13:58:45,673 - INFO - fastread - 71, 90
2019-01-24 13:58:45,673 - INFO - fastread - 81, 100
2019-01-24 13:58:45,673 - INFO - fastread - 91, 110
2019-01-24 13:58:45,683 - INFO - fastread - 98, 120
2019-01-24 13:58:45,685 - INFO - fastread - 101, 130
2019-01-24 13:58:45,685 - INFO - fastread - 110, 140
2019-01-24 13:58:45,685 - INFO - fastread - 118, 150
2019-01-24 13:58:45,685 - INFO - fastread - 125, 160
2019-01-24 13:58:45,693 - INFO - fastread - 132, 170
2019-01-24 13:58:45,693 - INFO - fastread - 140, 180
2019-01-24 13:58:45,693 - INFO - fastread - 148, 190
2019-01-24 13:58:45,693 - INFO - fastread - 156, 200
2019-01-24 13:58:45,693 - INFO - fastread - 166, 210
2019-01-24 13:58:45,693 - INFO - fastread - 174, 220
2019-01-24 13:58:45,703 - INFO - fastread - 183, 230
2019-01-24 13:58:45,705 - INFO - fastread - 192, 240
2019-01-24 13:58:45,705 - INFO - fastread - 200, 250
2019-01-24 13:58:45,705 - INFO - fastread - 208, 260
2019-01-24 13:58:45,705 - INFO - fastread - 216, 270
2019-01-24 13:58:45,705 - INFO - fastread - 225, 280
2019-01-24 13:58:45,713 - INFO - fastread - 232, 290
2019-01-24 13:58:45,715 - INFO - fastread - 242, 300
2019-01-24 13:58:45,715 - INFO - fastread - 250, 310
2019-01-24 13:58:45,715 - INFO - fastread - 260, 320
2019-01-24 13:58:45,715 - INFO - fastread - 269, 330
2019-01-24 13:58:45,724 - INFO - fastread - 276, 340
2019-01-24 13:58:45,726 - INFO - fastread - 284, 350
2019-01-24 13:58:45,726 - INFO - fastread - 294, 360
2019-01-24 13:58:45,726 - INFO - fastread - 303, 370
2019-01-24 13:58:45,726 - INFO - fastread - 312, 380
2019-01-24 13:58:45,726 - INFO - fastread - 321, 390
2019-01-24 13:58:45,734 - INFO - fastread - 330, 400
2019-01-24 13:58:45,736 - INFO - fastread - 337, 410
2019-01-24 13:58:45,736 - INFO - fastread - 347, 420
2019-01-24 13:58:45,736 - INFO - fastread - 357, 430
2019-01-24 13:58:45,736 - INFO - fastread - 367, 440
2019-01-24 13:58:45,736 - INFO - fastread - 374, 450
2019-01-24 13:58:45,744 - INFO - fastread - 383, 460
2019-01-24 13:58:45,746 - INFO - fastread - 392, 470
2019-01-24 13:58:45,746 - INFO - fastread - 400, 480
2019-01-24 13:58:45,746 - INFO - fastread - 407, 490
2019-01-24 13:58:45,746 - INFO - fastread - 417, 500
2019-01-24 13:58:45,754 - INFO - fastread - 425, 510
2019-01-24 13:58:45,756 - INFO - fastread - 435, 520
2019-01-24 13:58:45,756 - INFO - fastread - 445, 530
2019-01-24 13:58:45,756 - INFO - fastread - 455, 540
2019-01-24 13:58:45,756 - INFO - fastread - 463, 550
2019-01-24 13:58:45,756 - INFO - fastread - 471, 560
2019-01-24 13:58:45,764 - INFO - fastread - 479, 570
2019-01-24 13:58:45,767 - INFO - fastread - 486, 580
2019-01-24 13:58:45,767 - INFO - fastread - 495, 590
2019-01-24 13:58:45,767 - INFO - fastread - 504, 600
2019-01-24 13:58:45,767 - INFO - fastread - 513, 610
2019-01-24 13:58:45,775 - INFO - fastread - 521, 620
2019-01-24 13:58:45,775 - INFO - fastread - 528, 630
2019-01-24 13:58:45,777 - INFO - fastread - 538, 640
2019-01-24 13:58:45,777 - INFO - fastread - 546, 650
2019-01-24 13:58:45,777 - INFO - fastread - 555, 660
2019-01-24 13:58:45,777 - INFO - fastread - 563, 670
2019-01-24 13:58:45,785 - INFO - fastread - 573, 680
2019-01-24 13:58:45,787 - INFO - fastread - 582, 690
2019-01-24 13:58:45,787 - INFO - fastread - 591, 700
2019-01-24 13:58:45,787 - INFO - fastread - 598, 710
2019-01-24 13:58:45,787 - INFO - fastread - 604, 720
2019-01-24 13:58:45,787 - INFO - fastread - 612, 730
2019-01-24 13:58:45,795 - INFO - fastread - 619, 740
2019-01-24 13:58:45,797 - INFO - fastread - 625, 750
2019-01-24 13:58:45,797 - INFO - fastread - 633, 760
2019-01-24 13:58:45,797 - INFO - fastread - 637, 770
2019-01-24 13:58:45,797 - INFO - fastread - 641, 780
2019-01-24 13:58:45,805 - INFO - fastread - 644, 790
2019-01-24 13:58:45,807 - INFO - fastread - 648, 800
2019-01-24 13:58:45,807 - INFO - fastread - 651, 810
2019-01-24 13:58:45,807 - INFO - fastread - 656, 820
2019-01-24 13:58:45,807 - INFO - fastread - 661, 830
2019-01-24 13:58:45,807 - INFO - fastread - 666, 840
2019-01-24 13:58:45,815 - INFO - fastread - 668, 850
2019-01-24 13:58:45,817 - INFO - fastread - 671, 860
