2019-01-24 13:58:41,420 - INFO - rig - emf-2.4.1
2019-01-24 13:58:41,531 - INFO - fastread - Total Yes: 52 | Total No: 2142
2019-01-24 13:58:41,732 - INFO - fastread - 8, 10
2019-01-24 13:58:41,732 - INFO - fastread - 17, 20
2019-01-24 13:58:41,740 - INFO - fastread - 25, 30
2019-01-24 13:58:41,742 - INFO - fastread - 33, 40
2019-01-24 13:58:41,742 - INFO - fastread - 34, 50
2019-01-24 13:58:41,742 - INFO - fastread - 37, 60
2019-01-24 13:58:41,750 - INFO - fastread - 37, 70
2019-01-24 13:58:41,752 - INFO - fastread - 37, 80
2019-01-24 13:58:41,752 - INFO - fastread - 39, 90
2019-01-24 13:58:41,752 - INFO - fastread - 40, 100
2019-01-24 13:58:41,752 - INFO - fastread - 40, 110
2019-01-24 13:58:41,760 - INFO - fastread - 41, 120
2019-01-24 13:58:41,762 - INFO - fastread - 41, 130
2019-01-24 13:58:41,762 - INFO - fastread - 41, 140
2019-01-24 13:58:41,762 - INFO - fastread - 41, 150
2019-01-24 13:58:41,762 - INFO - fastread - 41, 160
2019-01-24 13:58:41,770 - INFO - fastread - 41, 170
2019-01-24 13:58:41,770 - INFO - fastread - 41, 180
2019-01-24 13:58:41,772 - INFO - fastread - 41, 190
2019-01-24 13:58:41,772 - INFO - fastread - 41, 200
2019-01-24 13:58:41,772 - INFO - fastread - 41, 210
2019-01-24 13:58:41,772 - INFO - fastread - 41, 220
2019-01-24 13:58:41,780 - INFO - fastread - 41, 230
2019-01-24 13:58:41,782 - INFO - fastread - 41, 240
2019-01-24 13:58:41,782 - INFO - fastread - 41, 250
2019-01-24 13:58:41,782 - INFO - fastread - 41, 260
2019-01-24 13:58:41,782 - INFO - fastread - 41, 270
2019-01-24 13:58:41,782 - INFO - fastread - 41, 280
2019-01-24 13:58:41,790 - INFO - fastread - 41, 290
2019-01-24 13:58:41,792 - INFO - fastread - 42, 300
2019-01-24 13:58:41,792 - INFO - fastread - 43, 310
2019-01-24 13:58:41,792 - INFO - fastread - 43, 320
2019-01-24 13:58:41,792 - INFO - fastread - 43, 330
2019-01-24 13:58:41,792 - INFO - fastread - 43, 340
2019-01-24 13:58:41,800 - INFO - fastread - 44, 350
2019-01-24 13:58:41,802 - INFO - fastread - 44, 360
2019-01-24 13:58:41,802 - INFO - fastread - 45, 370
2019-01-24 13:58:41,810 - INFO - fastread - 45, 380
2019-01-24 13:58:41,812 - INFO - fastread - 45, 390
2019-01-24 13:58:41,812 - INFO - fastread - 45, 400
2019-01-24 13:58:41,812 - INFO - fastread - 45, 410
2019-01-24 13:58:41,812 - INFO - fastread - 45, 420
2019-01-24 13:58:41,812 - INFO - fastread - 45, 430
2019-01-24 13:58:41,821 - INFO - fastread - 45, 440
2019-01-24 13:58:41,823 - INFO - fastread - 45, 450
2019-01-24 13:58:41,823 - INFO - fastread - 45, 460
2019-01-24 13:58:41,823 - INFO - fastread - 46, 470
2019-01-24 13:58:41,823 - INFO - fastread - 46, 480
2019-01-24 13:58:41,823 - INFO - fastread - 46, 490
2019-01-24 13:58:41,831 - INFO - fastread - 46, 500
2019-01-24 13:58:41,831 - INFO - fastread - 46, 510
2019-01-24 13:58:41,833 - INFO - fastread - 46, 520
2019-01-24 13:58:41,833 - INFO - fastread - 46, 530
2019-01-24 13:58:41,833 - INFO - fastread - 46, 540
2019-01-24 13:58:41,833 - INFO - fastread - 46, 550
2019-01-24 13:58:41,841 - INFO - fastread - 46, 560
2019-01-24 13:58:41,843 - INFO - fastread - 46, 570
2019-01-24 13:58:41,843 - INFO - fastread - 46, 580
2019-01-24 13:58:41,843 - INFO - fastread - 46, 590
2019-01-24 13:58:41,843 - INFO - fastread - 46, 600
2019-01-24 13:58:41,843 - INFO - fastread - 46, 610
2019-01-24 13:58:41,851 - INFO - fastread - 46, 620
2019-01-24 13:58:41,853 - INFO - fastread - 47, 630
2019-01-24 13:58:41,853 - INFO - fastread - 47, 640
2019-01-24 13:58:41,853 - INFO - fastread - 47, 650
2019-01-24 13:58:41,853 - INFO - fastread - 47, 660
2019-01-24 13:58:41,861 - INFO - fastread - 47, 670
2019-01-24 13:58:41,863 - INFO - fastread - 47, 680
2019-01-24 13:58:41,863 - INFO - fastread - 47, 690
2019-01-24 13:58:41,863 - INFO - fastread - 47, 700
2019-01-24 13:58:41,871 - INFO - fastread - 47, 710
2019-01-24 13:58:41,873 - INFO - fastread - 47, 720
2019-01-24 13:58:41,873 - INFO - fastread - 47, 730
2019-01-24 13:58:41,873 - INFO - fastread - 47, 740
2019-01-24 13:58:41,883 - INFO - fastread - 47, 750
2019-01-24 13:58:41,883 - INFO - fastread - 47, 760
2019-01-24 13:58:41,883 - INFO - fastread - 47, 770
2019-01-24 13:58:41,883 - INFO - fastread - 47, 780
2019-01-24 13:58:41,883 - INFO - fastread - 47, 790
2019-01-24 13:58:41,891 - INFO - fastread - 47, 800
2019-01-24 13:58:41,893 - INFO - fastread - 47, 810
2019-01-24 13:58:41,893 - INFO - fastread - 47, 820
2019-01-24 13:58:41,893 - INFO - fastread - 47, 830
2019-01-24 13:58:41,893 - INFO - fastread - 47, 840
2019-01-24 13:58:41,893 - INFO - fastread - 47, 850
2019-01-24 13:58:41,903 - INFO - fastread - 47, 860
2019-01-24 13:58:41,903 - INFO - fastread - 47, 870
2019-01-24 13:58:41,903 - INFO - fastread - 47, 880
2019-01-24 13:58:41,911 - INFO - fastread - 47, 890
2019-01-24 13:58:41,913 - INFO - fastread - 47, 900
2019-01-24 13:58:41,913 - INFO - fastread - 47, 910
2019-01-24 13:58:41,913 - INFO - fastread - 47, 920
2019-01-24 13:58:41,921 - INFO - fastread - 47, 930
2019-01-24 13:58:41,924 - INFO - fastread - 47, 940
2019-01-24 13:58:41,924 - INFO - fastread - 47, 950
2019-01-24 13:58:41,924 - INFO - fastread - 47, 960
2019-01-24 13:58:41,924 - INFO - fastread - 47, 970
2019-01-24 13:58:41,932 - INFO - fastread - 47, 980
2019-01-24 13:58:41,934 - INFO - fastread - 47, 990
2019-01-24 13:58:41,934 - INFO - fastread - 47, 1000
2019-01-24 13:58:41,934 - INFO - fastread - 47, 1010
2019-01-24 13:58:41,934 - INFO - fastread - 47, 1020
2019-01-24 13:58:41,942 - INFO - fastread - 47, 1030
2019-01-24 13:58:41,944 - INFO - fastread - 47, 1040
2019-01-24 13:58:41,944 - INFO - fastread - 47, 1050
2019-01-24 13:58:41,944 - INFO - fastread - 47, 1060
2019-01-24 13:58:41,944 - INFO - fastread - 47, 1070
2019-01-24 13:58:41,952 - INFO - fastread - 47, 1080
2019-01-24 13:58:41,952 - INFO - fastread - 47, 1090
2019-01-24 13:58:41,954 - INFO - fastread - 47, 1100
2019-01-24 13:58:41,954 - INFO - fastread - 47, 1110
2019-01-24 13:58:41,954 - INFO - fastread - 47, 1120
2019-01-24 13:58:41,954 - INFO - fastread - 47, 1130
2019-01-24 13:58:41,962 - INFO - fastread - 47, 1140
2019-01-24 13:58:41,964 - INFO - fastread - 47, 1150
2019-01-24 13:58:41,964 - INFO - fastread - 47, 1160
2019-01-24 13:58:41,964 - INFO - fastread - 47, 1170
2019-01-24 13:58:41,964 - INFO - fastread - 47, 1180
2019-01-24 13:58:41,964 - INFO - fastread - 47, 1190
2019-01-24 13:58:41,972 - INFO - fastread - 47, 1200
2019-01-24 13:58:41,974 - INFO - fastread - 47, 1210
2019-01-24 13:58:41,974 - INFO - fastread - 47, 1220
2019-01-24 13:58:41,974 - INFO - fastread - 47, 1230
2019-01-24 13:58:41,974 - INFO - fastread - 47, 1240
2019-01-24 13:58:41,974 - INFO - fastread - 47, 1250
2019-01-24 13:58:41,982 - INFO - fastread - 47, 1260
2019-01-24 13:58:41,984 - INFO - fastread - 47, 1270
2019-01-24 13:58:41,984 - INFO - fastread - 47, 1280
2019-01-24 13:58:41,984 - INFO - fastread - 49, 1290
2019-01-24 13:58:41,984 - INFO - fastread - 49, 1300
2019-01-24 13:58:41,992 - INFO - fastread - 49, 1310
2019-01-24 13:58:41,994 - INFO - fastread - 49, 1320
2019-01-24 13:58:41,994 - INFO - fastread - 49, 1330
2019-01-24 13:58:41,994 - INFO - fastread - 49, 1340
2019-01-24 13:58:41,994 - INFO - fastread - 49, 1350
2019-01-24 13:58:41,994 - INFO - fastread - 49, 1360
2019-01-24 13:58:42,004 - INFO - fastread - 49, 1370
2019-01-24 13:58:42,004 - INFO - fastread - 49, 1380
2019-01-24 13:58:42,014 - INFO - fastread - 49, 1390
2019-01-24 13:58:42,014 - INFO - fastread - 49, 1400
2019-01-24 13:58:42,022 - INFO - fastread - 49, 1410
2019-01-24 13:58:42,024 - INFO - fastread - 49, 1420
2019-01-24 13:58:42,024 - INFO - fastread - 49, 1430
2019-01-24 13:58:42,033 - INFO - fastread - 49, 1440
2019-01-24 13:58:42,035 - INFO - fastread - 49, 1450
2019-01-24 13:58:42,035 - INFO - fastread - 49, 1460
2019-01-24 13:58:42,035 - INFO - fastread - 49, 1470
2019-01-24 13:58:42,043 - INFO - fastread - 49, 1480
2019-01-24 13:58:42,045 - INFO - fastread - 49, 1490
2019-01-24 13:58:42,045 - INFO - fastread - 49, 1500
2019-01-24 13:58:42,045 - INFO - fastread - 49, 1510
2019-01-24 13:58:42,045 - INFO - fastread - 49, 1520
2019-01-24 13:58:42,053 - INFO - fastread - 49, 1530
2019-01-24 13:58:42,055 - INFO - fastread - 49, 1540
2019-01-24 13:58:42,055 - INFO - fastread - 49, 1550
2019-01-24 13:58:42,055 - INFO - fastread - 49, 1560
2019-01-24 13:58:42,055 - INFO - fastread - 49, 1570
2019-01-24 13:58:42,063 - INFO - fastread - 49, 1580
2019-01-24 13:58:42,065 - INFO - fastread - 49, 1590
2019-01-24 13:58:42,065 - INFO - fastread - 49, 1600
2019-01-24 13:58:42,065 - INFO - fastread - 49, 1610
2019-01-24 13:58:42,075 - INFO - fastread - 49, 1620
2019-01-24 13:58:42,075 - INFO - fastread - 49, 1630
2019-01-24 13:58:42,075 - INFO - fastread - 49, 1640
2019-01-24 13:58:42,083 - INFO - fastread - 49, 1650
