2019-01-24 13:58:41,198 - INFO - rig - hibernate-distribution-3.3.2.GA
2019-01-24 13:58:41,301 - INFO - fastread - Total Yes: 236 | Total No: 1248
2019-01-24 13:58:41,964 - INFO - fastread - 5, 10
2019-01-24 13:58:41,964 - INFO - fastread - 15, 20
2019-01-24 13:58:41,964 - INFO - fastread - 24, 30
2019-01-24 13:58:41,972 - INFO - fastread - 33, 40
2019-01-24 13:58:41,974 - INFO - fastread - 43, 50
2019-01-24 13:58:41,974 - INFO - fastread - 53, 60
2019-01-24 13:58:41,974 - INFO - fastread - 63, 70
2019-01-24 13:58:41,974 - INFO - fastread - 73, 80
2019-01-24 13:58:41,974 - INFO - fastread - 83, 90
2019-01-24 13:58:41,982 - INFO - fastread - 93, 100
2019-01-24 13:58:41,982 - INFO - fastread - 102, 110
2019-01-24 13:58:41,984 - INFO - fastread - 112, 120
2019-01-24 13:58:41,984 - INFO - fastread - 120, 130
2019-01-24 13:58:41,984 - INFO - fastread - 130, 140
2019-01-24 13:58:41,984 - INFO - fastread - 139, 150
2019-01-24 13:58:41,984 - INFO - fastread - 147, 160
2019-01-24 13:58:41,992 - INFO - fastread - 157, 170
2019-01-24 13:58:41,994 - INFO - fastread - 167, 180
2019-01-24 13:58:41,994 - INFO - fastread - 175, 190
2019-01-24 13:58:41,994 - INFO - fastread - 181, 200
2019-01-24 13:58:41,994 - INFO - fastread - 185, 210
2019-01-24 13:58:41,994 - INFO - fastread - 189, 220
2019-01-24 13:58:42,002 - INFO - fastread - 194, 230
2019-01-24 13:58:42,004 - INFO - fastread - 195, 240
2019-01-24 13:58:42,004 - INFO - fastread - 196, 250
2019-01-24 13:58:42,012 - INFO - fastread - 198, 260
2019-01-24 13:58:42,014 - INFO - fastread - 202, 270
2019-01-24 13:58:42,014 - INFO - fastread - 204, 280
2019-01-24 13:58:42,024 - INFO - fastread - 205, 290
2019-01-24 13:58:42,024 - INFO - fastread - 206, 300
2019-01-24 13:58:42,024 - INFO - fastread - 206, 310
2019-01-24 13:58:42,033 - INFO - fastread - 208, 320
2019-01-24 13:58:42,035 - INFO - fastread - 212, 330
2019-01-24 13:58:42,035 - INFO - fastread - 212, 340
2019-01-24 13:58:42,035 - INFO - fastread - 214, 350
2019-01-24 13:58:42,045 - INFO - fastread - 214, 360
2019-01-24 13:58:42,045 - INFO - fastread - 214, 370
2019-01-24 13:58:42,045 - INFO - fastread - 216, 380
2019-01-24 13:58:42,045 - INFO - fastread - 217, 390
2019-01-24 13:58:42,053 - INFO - fastread - 218, 400
2019-01-24 13:58:42,055 - INFO - fastread - 218, 410
2019-01-24 13:58:42,055 - INFO - fastread - 218, 420
2019-01-24 13:58:42,055 - INFO - fastread - 219, 430
2019-01-24 13:58:42,063 - INFO - fastread - 219, 440
2019-01-24 13:58:42,065 - INFO - fastread - 219, 450
2019-01-24 13:58:42,065 - INFO - fastread - 219, 460
2019-01-24 13:58:42,065 - INFO - fastread - 220, 470
2019-01-24 13:58:42,073 - INFO - fastread - 220, 480
2019-01-24 13:58:42,075 - INFO - fastread - 221, 490
2019-01-24 13:58:42,075 - INFO - fastread - 222, 500
2019-01-24 13:58:42,075 - INFO - fastread - 222, 510
2019-01-24 13:58:42,085 - INFO - fastread - 222, 520
2019-01-24 13:58:42,085 - INFO - fastread - 222, 530
2019-01-24 13:58:42,085 - INFO - fastread - 222, 540
2019-01-24 13:58:42,085 - INFO - fastread - 224, 550
2019-01-24 13:58:42,093 - INFO - fastread - 225, 560
