2019-01-24 13:58:39,250 - INFO - rig - jEdit-4.2
2019-01-24 13:58:39,400 - INFO - fastread - Total Yes: 128 | Total No: 5033
2019-01-24 13:58:40,076 - INFO - fastread - 9, 10
2019-01-24 13:58:40,078 - INFO - fastread - 17, 20
2019-01-24 13:58:40,086 - INFO - fastread - 26, 30
2019-01-24 13:58:40,088 - INFO - fastread - 35, 40
2019-01-24 13:58:40,088 - INFO - fastread - 39, 50
2019-01-24 13:58:40,098 - INFO - fastread - 43, 60
2019-01-24 13:58:40,098 - INFO - fastread - 46, 70
2019-01-24 13:58:40,108 - INFO - fastread - 52, 80
2019-01-24 13:58:40,108 - INFO - fastread - 57, 90
2019-01-24 13:58:40,108 - INFO - fastread - 62, 100
2019-01-24 13:58:40,118 - INFO - fastread - 66, 110
2019-01-24 13:58:40,118 - INFO - fastread - 71, 120
2019-01-24 13:58:40,126 - INFO - fastread - 76, 130
2019-01-24 13:58:40,128 - INFO - fastread - 78, 140
2019-01-24 13:58:40,128 - INFO - fastread - 83, 150
2019-01-24 13:58:40,136 - INFO - fastread - 85, 160
2019-01-24 13:58:40,138 - INFO - fastread - 87, 170
2019-01-24 13:58:40,138 - INFO - fastread - 88, 180
2019-01-24 13:58:40,148 - INFO - fastread - 88, 190
2019-01-24 13:58:40,148 - INFO - fastread - 90, 200
2019-01-24 13:58:40,148 - INFO - fastread - 92, 210
2019-01-24 13:58:40,156 - INFO - fastread - 94, 220
2019-01-24 13:58:40,158 - INFO - fastread - 94, 230
2019-01-24 13:58:40,158 - INFO - fastread - 97, 240
2019-01-24 13:58:40,169 - INFO - fastread - 97, 250
2019-01-24 13:58:40,170 - INFO - fastread - 98, 260
2019-01-24 13:58:40,170 - INFO - fastread - 100, 270
2019-01-24 13:58:40,170 - INFO - fastread - 100, 280
2019-01-24 13:58:40,176 - INFO - fastread - 100, 290
2019-01-24 13:58:40,178 - INFO - fastread - 101, 300
2019-01-24 13:58:40,178 - INFO - fastread - 102, 310
2019-01-24 13:58:40,178 - INFO - fastread - 103, 320
2019-01-24 13:58:40,187 - INFO - fastread - 103, 330
2019-01-24 13:58:40,189 - INFO - fastread - 105, 340
2019-01-24 13:58:40,189 - INFO - fastread - 106, 350
2019-01-24 13:58:40,199 - INFO - fastread - 107, 360
2019-01-24 13:58:40,199 - INFO - fastread - 107, 370
2019-01-24 13:58:40,207 - INFO - fastread - 107, 380
2019-01-24 13:58:40,209 - INFO - fastread - 107, 390
2019-01-24 13:58:40,217 - INFO - fastread - 107, 400
2019-01-24 13:58:40,219 - INFO - fastread - 108, 410
2019-01-24 13:58:40,219 - INFO - fastread - 109, 420
2019-01-24 13:58:40,229 - INFO - fastread - 109, 430
2019-01-24 13:58:40,229 - INFO - fastread - 110, 440
2019-01-24 13:58:40,239 - INFO - fastread - 110, 450
2019-01-24 13:58:40,239 - INFO - fastread - 110, 460
2019-01-24 13:58:40,239 - INFO - fastread - 110, 470
2019-01-24 13:58:40,249 - INFO - fastread - 110, 480
2019-01-24 13:58:40,249 - INFO - fastread - 110, 490
2019-01-24 13:58:40,259 - INFO - fastread - 110, 500
2019-01-24 13:58:40,259 - INFO - fastread - 110, 510
2019-01-24 13:58:40,267 - INFO - fastread - 110, 520
2019-01-24 13:58:40,269 - INFO - fastread - 110, 530
2019-01-24 13:58:40,277 - INFO - fastread - 110, 540
2019-01-24 13:58:40,279 - INFO - fastread - 110, 550
2019-01-24 13:58:40,279 - INFO - fastread - 113, 560
2019-01-24 13:58:40,291 - INFO - fastread - 113, 570
2019-01-24 13:58:40,295 - INFO - fastread - 113, 580
2019-01-24 13:58:40,302 - INFO - fastread - 113, 590
2019-01-24 13:58:40,302 - INFO - fastread - 113, 600
2019-01-24 13:58:40,310 - INFO - fastread - 113, 610
2019-01-24 13:58:40,318 - INFO - fastread - 113, 620
2019-01-24 13:58:40,320 - INFO - fastread - 113, 630
2019-01-24 13:58:40,320 - INFO - fastread - 113, 640
2019-01-24 13:58:40,320 - INFO - fastread - 113, 650
2019-01-24 13:58:40,328 - INFO - fastread - 113, 660
2019-01-24 13:58:40,330 - INFO - fastread - 113, 670
2019-01-24 13:58:40,330 - INFO - fastread - 113, 680
2019-01-24 13:58:40,340 - INFO - fastread - 113, 690
2019-01-24 13:58:40,340 - INFO - fastread - 113, 700
2019-01-24 13:58:40,350 - INFO - fastread - 113, 710
2019-01-24 13:58:40,350 - INFO - fastread - 115, 720
2019-01-24 13:58:40,360 - INFO - fastread - 115, 730
2019-01-24 13:58:40,360 - INFO - fastread - 115, 740
2019-01-24 13:58:40,360 - INFO - fastread - 115, 750
2019-01-24 13:58:40,370 - INFO - fastread - 115, 760
2019-01-24 13:58:40,370 - INFO - fastread - 116, 770
2019-01-24 13:58:40,370 - INFO - fastread - 116, 780
2019-01-24 13:58:40,378 - INFO - fastread - 116, 790
2019-01-24 13:58:40,380 - INFO - fastread - 116, 800
2019-01-24 13:58:40,388 - INFO - fastread - 116, 810
2019-01-24 13:58:40,391 - INFO - fastread - 116, 820
2019-01-24 13:58:40,399 - INFO - fastread - 116, 830
2019-01-24 13:58:40,401 - INFO - fastread - 116, 840
2019-01-24 13:58:40,401 - INFO - fastread - 116, 850
2019-01-24 13:58:40,411 - INFO - fastread - 116, 860
2019-01-24 13:58:40,411 - INFO - fastread - 116, 870
2019-01-24 13:58:40,421 - INFO - fastread - 116, 880
2019-01-24 13:58:40,421 - INFO - fastread - 116, 890
2019-01-24 13:58:40,431 - INFO - fastread - 116, 900
2019-01-24 13:58:40,431 - INFO - fastread - 116, 910
2019-01-24 13:58:40,431 - INFO - fastread - 116, 920
2019-01-24 13:58:40,431 - INFO - fastread - 116, 930
2019-01-24 13:58:40,441 - INFO - fastread - 116, 940
2019-01-24 13:58:40,441 - INFO - fastread - 116, 950
2019-01-24 13:58:40,451 - INFO - fastread - 116, 960
2019-01-24 13:58:40,451 - INFO - fastread - 116, 970
2019-01-24 13:58:40,459 - INFO - fastread - 116, 980
2019-01-24 13:58:40,461 - INFO - fastread - 116, 990
2019-01-24 13:58:40,461 - INFO - fastread - 116, 1000
2019-01-24 13:58:40,461 - INFO - fastread - 116, 1010
2019-01-24 13:58:40,471 - INFO - fastread - 116, 1020
2019-01-24 13:58:40,471 - INFO - fastread - 116, 1030
2019-01-24 13:58:40,471 - INFO - fastread - 116, 1040
2019-01-24 13:58:40,479 - INFO - fastread - 116, 1050
2019-01-24 13:58:40,481 - INFO - fastread - 116, 1060
2019-01-24 13:58:40,489 - INFO - fastread - 116, 1070
2019-01-24 13:58:40,491 - INFO - fastread - 116, 1080
2019-01-24 13:58:40,491 - INFO - fastread - 116, 1090
2019-01-24 13:58:40,501 - INFO - fastread - 116, 1100
2019-01-24 13:58:40,501 - INFO - fastread - 116, 1110
2019-01-24 13:58:40,509 - INFO - fastread - 116, 1120
2019-01-24 13:58:40,512 - INFO - fastread - 116, 1130
2019-01-24 13:58:40,520 - INFO - fastread - 116, 1140
2019-01-24 13:58:40,522 - INFO - fastread - 116, 1150
2019-01-24 13:58:40,522 - INFO - fastread - 116, 1160
2019-01-24 13:58:40,532 - INFO - fastread - 116, 1170
2019-01-24 13:58:40,532 - INFO - fastread - 116, 1180
2019-01-24 13:58:40,542 - INFO - fastread - 116, 1190
2019-01-24 13:58:40,550 - INFO - fastread - 116, 1200
2019-01-24 13:58:40,552 - INFO - fastread - 116, 1210
2019-01-24 13:58:40,560 - INFO - fastread - 116, 1220
2019-01-24 13:58:40,560 - INFO - fastread - 116, 1230
2019-01-24 13:58:40,570 - INFO - fastread - 116, 1240
2019-01-24 13:58:40,572 - INFO - fastread - 117, 1250
2019-01-24 13:58:40,572 - INFO - fastread - 117, 1260
2019-01-24 13:58:40,572 - INFO - fastread - 117, 1270
2019-01-24 13:58:40,582 - INFO - fastread - 117, 1280
2019-01-24 13:58:40,582 - INFO - fastread - 117, 1290
2019-01-24 13:58:40,582 - INFO - fastread - 117, 1300
2019-01-24 13:58:40,590 - INFO - fastread - 117, 1310
2019-01-24 13:58:40,592 - INFO - fastread - 117, 1320
2019-01-24 13:58:40,592 - INFO - fastread - 117, 1330
2019-01-24 13:58:40,592 - INFO - fastread - 117, 1340
2019-01-24 13:58:40,601 - INFO - fastread - 117, 1350
2019-01-24 13:58:40,603 - INFO - fastread - 117, 1360
2019-01-24 13:58:40,603 - INFO - fastread - 117, 1370
2019-01-24 13:58:40,613 - INFO - fastread - 117, 1380
2019-01-24 13:58:40,613 - INFO - fastread - 117, 1390
2019-01-24 13:58:40,623 - INFO - fastread - 117, 1400
2019-01-24 13:58:40,623 - INFO - fastread - 117, 1410
2019-01-24 13:58:40,633 - INFO - fastread - 117, 1420
2019-01-24 13:58:40,633 - INFO - fastread - 117, 1430
2019-01-24 13:58:40,643 - INFO - fastread - 117, 1440
2019-01-24 13:58:40,643 - INFO - fastread - 117, 1450
2019-01-24 13:58:40,643 - INFO - fastread - 117, 1460
2019-01-24 13:58:40,651 - INFO - fastread - 117, 1470
2019-01-24 13:58:40,653 - INFO - fastread - 117, 1480
2019-01-24 13:58:40,653 - INFO - fastread - 117, 1490
2019-01-24 13:58:40,661 - INFO - fastread - 117, 1500
2019-01-24 13:58:40,663 - INFO - fastread - 117, 1510
2019-01-24 13:58:40,663 - INFO - fastread - 117, 1520
2019-01-24 13:58:40,673 - INFO - fastread - 117, 1530
2019-01-24 13:58:40,673 - INFO - fastread - 117, 1540
2019-01-24 13:58:40,683 - INFO - fastread - 117, 1550
2019-01-24 13:58:40,683 - INFO - fastread - 117, 1560
2019-01-24 13:58:40,683 - INFO - fastread - 117, 1570
2019-01-24 13:58:40,683 - INFO - fastread - 117, 1580
2019-01-24 13:58:40,693 - INFO - fastread - 117, 1590
2019-01-24 13:58:40,693 - INFO - fastread - 117, 1600
2019-01-24 13:58:40,693 - INFO - fastread - 117, 1610
2019-01-24 13:58:40,693 - INFO - fastread - 117, 1620
2019-01-24 13:58:40,703 - INFO - fastread - 117, 1630
2019-01-24 13:58:40,703 - INFO - fastread - 117, 1640
2019-01-24 13:58:40,713 - INFO - fastread - 117, 1650
2019-01-24 13:58:40,713 - INFO - fastread - 117, 1660
