2019-01-24 13:58:39,846 - INFO - rig - jruby-1.4.0
2019-01-24 13:58:39,977 - INFO - fastread - Total Yes: 311 | Total No: 2137
2019-01-24 13:58:41,228 - INFO - fastread - 10, 10
2019-01-24 13:58:41,228 - INFO - fastread - 20, 20
2019-01-24 13:58:41,228 - INFO - fastread - 29, 30
2019-01-24 13:58:41,238 - INFO - fastread - 39, 40
2019-01-24 13:58:41,238 - INFO - fastread - 49, 50
2019-01-24 13:58:41,238 - INFO - fastread - 58, 60
2019-01-24 13:58:41,249 - INFO - fastread - 64, 70
2019-01-24 13:58:41,249 - INFO - fastread - 73, 80
2019-01-24 13:58:41,257 - INFO - fastread - 82, 90
2019-01-24 13:58:41,259 - INFO - fastread - 91, 100
2019-01-24 13:58:41,259 - INFO - fastread - 98, 110
2019-01-24 13:58:41,259 - INFO - fastread - 107, 120
2019-01-24 13:58:41,269 - INFO - fastread - 116, 130
2019-01-24 13:58:41,269 - INFO - fastread - 125, 140
2019-01-24 13:58:41,269 - INFO - fastread - 135, 150
2019-01-24 13:58:41,269 - INFO - fastread - 144, 160
2019-01-24 13:58:41,277 - INFO - fastread - 151, 170
2019-01-24 13:58:41,279 - INFO - fastread - 158, 180
2019-01-24 13:58:41,279 - INFO - fastread - 168, 190
2019-01-24 13:58:41,279 - INFO - fastread - 176, 200
2019-01-24 13:58:41,279 - INFO - fastread - 186, 210
2019-01-24 13:58:41,288 - INFO - fastread - 195, 220
2019-01-24 13:58:41,291 - INFO - fastread - 202, 230
2019-01-24 13:58:41,293 - INFO - fastread - 211, 240
2019-01-24 13:58:41,295 - INFO - fastread - 219, 250
2019-01-24 13:58:41,297 - INFO - fastread - 228, 260
2019-01-24 13:58:41,301 - INFO - fastread - 236, 270
2019-01-24 13:58:41,301 - INFO - fastread - 244, 280
2019-01-24 13:58:41,301 - INFO - fastread - 252, 290
2019-01-24 13:58:41,307 - INFO - fastread - 258, 300
2019-01-24 13:58:41,309 - INFO - fastread - 267, 310
2019-01-24 13:58:41,309 - INFO - fastread - 273, 320
2019-01-24 13:58:41,309 - INFO - fastread - 278, 330
2019-01-24 13:58:41,319 - INFO - fastread - 283, 340
2019-01-24 13:58:41,319 - INFO - fastread - 287, 350
2019-01-24 13:58:41,319 - INFO - fastread - 290, 360
2019-01-24 13:58:41,329 - INFO - fastread - 290, 370
2019-01-24 13:58:41,329 - INFO - fastread - 291, 380
2019-01-24 13:58:41,329 - INFO - fastread - 291, 390
2019-01-24 13:58:41,337 - INFO - fastread - 293, 400
2019-01-24 13:58:41,339 - INFO - fastread - 293, 410
2019-01-24 13:58:41,339 - INFO - fastread - 293, 420
2019-01-24 13:58:41,347 - INFO - fastread - 293, 430
2019-01-24 13:58:41,349 - INFO - fastread - 294, 440
2019-01-24 13:58:41,349 - INFO - fastread - 295, 450
2019-01-24 13:58:41,357 - INFO - fastread - 295, 460
2019-01-24 13:58:41,360 - INFO - fastread - 297, 470
