2019-01-24 13:58:39,523 - INFO - rig - sql12
2019-01-24 13:58:39,693 - INFO - fastread - Total Yes: 143 | Total No: 3464
2019-01-24 13:58:40,713 - INFO - fastread - 0, 10
2019-01-24 13:58:40,713 - INFO - fastread - 10, 20
2019-01-24 13:58:40,723 - INFO - fastread - 20, 30
2019-01-24 13:58:40,723 - INFO - fastread - 30, 40
2019-01-24 13:58:40,723 - INFO - fastread - 39, 50
2019-01-24 13:58:40,733 - INFO - fastread - 49, 60
2019-01-24 13:58:40,733 - INFO - fastread - 59, 70
2019-01-24 13:58:40,742 - INFO - fastread - 68, 80
2019-01-24 13:58:40,744 - INFO - fastread - 77, 90
2019-01-24 13:58:40,744 - INFO - fastread - 85, 100
2019-01-24 13:58:40,752 - INFO - fastread - 91, 110
2019-01-24 13:58:40,754 - INFO - fastread - 95, 120
2019-01-24 13:58:40,754 - INFO - fastread - 96, 130
2019-01-24 13:58:40,754 - INFO - fastread - 101, 140
2019-01-24 13:58:40,754 - INFO - fastread - 104, 150
2019-01-24 13:58:40,762 - INFO - fastread - 108, 160
2019-01-24 13:58:40,764 - INFO - fastread - 108, 170
2019-01-24 13:58:40,764 - INFO - fastread - 109, 180
2019-01-24 13:58:40,764 - INFO - fastread - 110, 190
2019-01-24 13:58:40,764 - INFO - fastread - 111, 200
2019-01-24 13:58:40,772 - INFO - fastread - 111, 210
2019-01-24 13:58:40,774 - INFO - fastread - 113, 220
2019-01-24 13:58:40,774 - INFO - fastread - 117, 230
2019-01-24 13:58:40,774 - INFO - fastread - 118, 240
2019-01-24 13:58:40,782 - INFO - fastread - 119, 250
2019-01-24 13:58:40,784 - INFO - fastread - 119, 260
2019-01-24 13:58:40,784 - INFO - fastread - 119, 270
2019-01-24 13:58:40,784 - INFO - fastread - 119, 280
2019-01-24 13:58:40,784 - INFO - fastread - 120, 290
2019-01-24 13:58:40,792 - INFO - fastread - 120, 300
2019-01-24 13:58:40,794 - INFO - fastread - 120, 310
2019-01-24 13:58:40,794 - INFO - fastread - 122, 320
2019-01-24 13:58:40,794 - INFO - fastread - 122, 330
2019-01-24 13:58:40,794 - INFO - fastread - 123, 340
2019-01-24 13:58:40,804 - INFO - fastread - 123, 350
2019-01-24 13:58:40,804 - INFO - fastread - 123, 360
2019-01-24 13:58:40,804 - INFO - fastread - 123, 370
2019-01-24 13:58:40,814 - INFO - fastread - 123, 380
2019-01-24 13:58:40,814 - INFO - fastread - 125, 390
2019-01-24 13:58:40,814 - INFO - fastread - 125, 400
2019-01-24 13:58:40,824 - INFO - fastread - 125, 410
2019-01-24 13:58:40,824 - INFO - fastread - 125, 420
2019-01-24 13:58:40,824 - INFO - fastread - 125, 430
2019-01-24 13:58:40,824 - INFO - fastread - 125, 440
2019-01-24 13:58:40,832 - INFO - fastread - 125, 450
2019-01-24 13:58:40,834 - INFO - fastread - 125, 460
2019-01-24 13:58:40,834 - INFO - fastread - 125, 470
2019-01-24 13:58:40,834 - INFO - fastread - 125, 480
2019-01-24 13:58:40,834 - INFO - fastread - 125, 490
2019-01-24 13:58:40,842 - INFO - fastread - 126, 500
2019-01-24 13:58:40,844 - INFO - fastread - 126, 510
2019-01-24 13:58:40,844 - INFO - fastread - 126, 520
2019-01-24 13:58:40,844 - INFO - fastread - 126, 530
2019-01-24 13:58:40,852 - INFO - fastread - 126, 540
2019-01-24 13:58:40,854 - INFO - fastread - 126, 550
2019-01-24 13:58:40,854 - INFO - fastread - 126, 560
2019-01-24 13:58:40,854 - INFO - fastread - 126, 570
2019-01-24 13:58:40,854 - INFO - fastread - 126, 580
2019-01-24 13:58:40,863 - INFO - fastread - 126, 590
2019-01-24 13:58:40,865 - INFO - fastread - 126, 600
2019-01-24 13:58:40,865 - INFO - fastread - 126, 610
2019-01-24 13:58:40,875 - INFO - fastread - 126, 620
2019-01-24 13:58:40,875 - INFO - fastread - 127, 630
2019-01-24 13:58:40,875 - INFO - fastread - 127, 640
2019-01-24 13:58:40,885 - INFO - fastread - 127, 650
2019-01-24 13:58:40,885 - INFO - fastread - 128, 660
2019-01-24 13:58:40,893 - INFO - fastread - 128, 670
2019-01-24 13:58:40,895 - INFO - fastread - 128, 680
2019-01-24 13:58:40,895 - INFO - fastread - 129, 690
2019-01-24 13:58:40,905 - INFO - fastread - 129, 700
2019-01-24 13:58:40,905 - INFO - fastread - 130, 710
2019-01-24 13:58:40,915 - INFO - fastread - 130, 720
2019-01-24 13:58:40,915 - INFO - fastread - 130, 730
2019-01-24 13:58:40,923 - INFO - fastread - 130, 740
2019-01-24 13:58:40,925 - INFO - fastread - 130, 750
2019-01-24 13:58:40,933 - INFO - fastread - 130, 760
2019-01-24 13:58:40,935 - INFO - fastread - 131, 770
2019-01-24 13:58:40,935 - INFO - fastread - 131, 780
2019-01-24 13:58:40,935 - INFO - fastread - 131, 790
2019-01-24 13:58:40,953 - INFO - fastread - 131, 800
2019-01-24 13:58:40,955 - INFO - fastread - 131, 810
2019-01-24 13:58:40,955 - INFO - fastread - 133, 820
2019-01-24 13:58:40,955 - INFO - fastread - 133, 830
2019-01-24 13:58:40,965 - INFO - fastread - 134, 840
2019-01-24 13:58:40,965 - INFO - fastread - 134, 850
2019-01-24 13:58:40,973 - INFO - fastread - 134, 860
2019-01-24 13:58:40,975 - INFO - fastread - 134, 870
2019-01-24 13:58:40,983 - INFO - fastread - 134, 880
2019-01-24 13:58:40,985 - INFO - fastread - 134, 890
2019-01-24 13:58:40,985 - INFO - fastread - 135, 900
2019-01-24 13:58:40,995 - INFO - fastread - 135, 910
2019-01-24 13:58:40,995 - INFO - fastread - 135, 920
2019-01-24 13:58:41,003 - INFO - fastread - 135, 930
2019-01-24 13:58:41,006 - INFO - fastread - 135, 940
2019-01-24 13:58:41,006 - INFO - fastread - 135, 950
2019-01-24 13:58:41,014 - INFO - fastread - 135, 960
2019-01-24 13:58:41,016 - INFO - fastread - 135, 970
2019-01-24 13:58:41,016 - INFO - fastread - 135, 980
2019-01-24 13:58:41,024 - INFO - fastread - 135, 990
2019-01-24 13:58:41,026 - INFO - fastread - 135, 1000
2019-01-24 13:58:41,026 - INFO - fastread - 135, 1010
2019-01-24 13:58:41,036 - INFO - fastread - 135, 1020
2019-01-24 13:58:41,036 - INFO - fastread - 135, 1030
2019-01-24 13:58:41,036 - INFO - fastread - 135, 1040
2019-01-24 13:58:41,046 - INFO - fastread - 135, 1050
2019-01-24 13:58:41,046 - INFO - fastread - 135, 1060
2019-01-24 13:58:41,054 - INFO - fastread - 136, 1070
