,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba
0,columba-1.4-src,DEFECT,// does not work: r.getFolderName() // does not work: r.getMessage().getUID(),yes,undetermined,0,0,0,no,0.17622787831795714,no,0.17637715904820367,no,0.16824187788270006,no,0.16765019347664475
1,columba-1.4-src,DEFECT,// TODO: key can't be null,yes,undetermined,0,0,0,yes,0.9814809640140096,yes,0.9930393959464916,yes,0.9931462483484019,yes,0.993575008987289
2,columba-1.4-src,DEFECT,"// bug #997560 (fdietz): CC: should be in Cc:, instead of To: //toList.addAll(Arrays.asList(rfcHeader.getCc()));",yes,undetermined,0,0,0,yes,0.744026472149892,yes,0.9018465506858017,yes,0.993139439789669,yes,0.9935691359151476
3,columba-1.4-src,DEFECT,// TODO check if we have to manually set the folder/uid in  // message controller to make this work,yes,undetermined,0,0,0,yes,0.9788517423019071,yes,0.9930307082745703,yes,0.9931249950749089,yes,0.9935613857729263
4,columba-1.4-src,DEFECT,"// bug #997560 (fdietz): CC: should be in Cc:, instead of To:",yes,undetermined,0,0,0,yes,0.9227456906578222,yes,0.9930503163258916,yes,0.9931293356095898,yes,0.9935714622342262
5,columba-1.4-src,DEFECT,// FIXME this is not correct,yes,undetermined,0,0,0,yes,0.9999988517855453,yes,0.999999296950479,yes,0.9999993655819122,yes,0.9999994776017324
6,columba-1.4-src,DEFECT,// FIXME correct year calculation,yes,undetermined,0,0,0,yes,0.8372182039573957,yes,0.833490083016575,yes,0.8316902129440199,yes,0.8359307180233081
7,columba-1.4-src,DEFECT,// FIXME check if the id is a correct file name! ,yes,undetermined,0,0,0,yes,0.9764182995563585,yes,0.9930473868441365,yes,0.9931311185649638,yes,0.9935752404999799
8,columba-1.4-src,DEFECT,"// TODO: newUID, generate correctly formatted date string",yes,undetermined,0,0,0,yes,0.9742886023485441,yes,0.9930423111495439,yes,0.9931180850220115,yes,0.9935811413372343
9,columba-1.4-src,DEFECT,// TODO fix doctype,yes,undetermined,0,0,0,yes,0.959365353706997,yes,0.9930348542537575,yes,0.9931347205133216,yes,0.993562870021148
10,columba-1.4-src,DEFECT,// TODO: key can't be null,yes,undetermined,0,0,0,yes,0.9814809640140096,yes,0.9930393959464916,yes,0.9931462483484019,yes,0.993575008987289
11,columba-1.4-src,DEFECT,// TODO: fix parser exception,yes,undetermined,0,0,0,yes,0.9880269580065031,yes,0.993036764181271,yes,0.9931315081564651,yes,0.9935620136022261
12,columba-1.4-src,DEFECT,"/**
 * FIXME:
 * 
 * @author fdietz: No locking of folders currently implemented!
 * 
 * @author frd
 */",yes,undetermined,0,0,0,yes,0.9894956112110297,yes,0.9930426155448275,yes,0.9931441877920391,yes,0.9935668914689106
13,columba-1.4-src,DESIGN,// TODO (@author fdietz): should be removed if we only use // Streams!,yes,undetermined,0,0,0,yes,0.9999922271051199,yes,0.9969348168477311,yes,0.9970156120579465,yes,0.9972339464717517
14,columba-1.4-src,DESIGN,// FIXME (@author karlpeder): Is 3.2 the proper version of html to refer to?,yes,undetermined,0,0,0,yes,0.9893329486707261,yes,0.9930376699450001,yes,0.9931287989651353,yes,0.9935842726107385
15,columba-1.4-src,DESIGN,// this is a hack for the multiline column,yes,undetermined,0,0,0,yes,0.9999999143808097,yes,0.9999999410600278,yes,0.9999999482014291,yes,0.9999999584624135
16,columba-1.4-src,DESIGN,//TODO (@author tstich): do something,yes,undetermined,0,0,0,yes,0.9999990091070994,yes,0.9999985265390132,yes,0.9999985922696766,yes,0.9999988298131631
17,columba-1.4-src,DESIGN,// TODO (@author fdietz): i18n,yes,undetermined,0,0,0,yes,0.9999999155141408,yes,0.9999998806803654,yes,0.9999998883256331,yes,0.9999999096046969
18,columba-1.4-src,DESIGN,// FIXME remove method // toolbarPane.add(c);,yes,undetermined,0,0,0,yes,0.9448472853859413,yes,0.9930529201706664,yes,0.993145095090086,yes,0.9935780636613114
19,columba-1.4-src,DESIGN,//TODO (@author fdietz): i18n,yes,undetermined,0,0,0,yes,0.9999999155141408,yes,0.9999998806803654,yes,0.9999998883256331,yes,0.9999999096046969
20,columba-1.4-src,DESIGN,//TODO (@author fdietz): i18n,yes,undetermined,0,0,0,yes,0.9999999155141408,yes,0.9999998806803654,yes,0.9999998883256331,yes,0.9999999096046969
21,columba-1.4-src,DESIGN,// TODO @author hubms: copied from frederiks search builder,yes,undetermined,0,0,0,yes,0.9956885310590282,yes,0.9930456944329725,yes,0.9931395872771496,yes,0.9935679767911747
22,columba-1.4-src,DESIGN,// real stupid recreation of whole list model // -> replace with id-based listmodel update,yes,undetermined,0,0,0,no,0.19996104064638004,no,0.15071869204056818,no,0.14265312884752368,no,0.14226186450393025
23,columba-1.4-src,DESIGN,// TODO (@author karlpeder): Extend handling of special entities as in restoreSpecialCharacters,yes,undetermined,0,0,0,yes,0.996697786296552,yes,0.9973999643776199,yes,0.9974617000638503,yes,0.9999833042159112
24,columba-1.4-src,DESIGN,"/**
     * Transforms email-addresses into HTML just as
     * substituteEmailAddress(String), but tries to ignore email-addresses,
     * which are already links, if the ignore links flag is set.
     * <br>
     * This extended functionality is necessary when parsing a text which
     * is already (partly) html.
     * <br>
     * FIXME: Can this be done smarter, i.e. directly with reg. expr. without manual parsing??
     *
     * @param         s                                input text
     * @param        ignoreLinks                if true link tags are ignored. This gives a
     *                                                         wrong result if some e-mail adresses are
     *                                                         already links (but uses reg. expr. directly,
     *                                                         and is therefore faster)
     * @return        text with email-adresses transformed to links
     */",yes,undetermined,0,0,0,no,0.36307201257035887,no,0.2824851131628047,no,0.27253403089593725,no,0.2708109933604349
25,columba-1.4-src,DESIGN,//TODO: Return content encoding according to the mime part in the mail,yes,undetermined,0,0,0,yes,0.6462423129296017,yes,0.6325406799126964,yes,0.617206775492747,yes,0.6215388852739311
26,columba-1.4-src,DESIGN,//TODO: Return content type according to the mime part in the mail,yes,undetermined,0,0,0,yes,0.8847613108976747,yes,0.8811609741623372,yes,0.8765697164851087,yes,0.8801738134146221
27,columba-1.4-src,DESIGN,// hack to support dockable view title update // TODO replace with listener pattern,yes,undetermined,0,0,0,yes,0.9999999657808271,yes,0.999999976739549,yes,0.9999999799270183,yes,0.9999999840382909
28,columba-1.4-src,DESIGN,/*TODO stop polling thread?! */,yes,undetermined,0,0,0,yes,0.9671788831102347,yes,0.9930301676957973,yes,0.9931213244752676,yes,0.9935708043526736
29,columba-1.4-src,DESIGN,// TODO @author hubms: bad: if there is a icon it is tagged or // not,yes,undetermined,0,0,0,yes,0.9950328199988103,yes,0.9955374945820832,yes,0.9956761611742699,yes,0.9959712826181241
30,columba-1.4-src,DESIGN,// TODO categoryEnumeration,yes,undetermined,0,0,0,no,0.011206070593410784,no,0.010847783264603875,no,0.009949125655923464,no,0.009589262705977023
31,columba-1.4-src,DESIGN,// hack: if start and end time is at 00:00:00:000 it is // an all day event,yes,undetermined,0,0,0,no,0.1689700907813418,no,0.15301778902984817,no,0.14641799794872504,no,0.14544678084587837
32,columba-1.4-src,DESIGN,// register interest on store changes // TODO the dependency should be the other way around,yes,undetermined,0,0,0,yes,0.9952095739794882,yes,0.995057795216923,yes,0.9951865706768951,yes,0.9955389150516207
33,columba-1.4-src,DESIGN,"// TODO: fix layout to look good, even if there's not enough information provided",yes,undetermined,0,0,0,yes,0.9517879335986538,yes,0.9930331134760545,yes,0.9931362891817027,yes,0.993573400792506
34,columba-1.4-src,DESIGN,// TODO (@author fdietz): i18n,yes,undetermined,0,0,0,yes,0.9999999155141408,yes,0.9999998806803654,yes,0.9999998883256331,yes,0.9999999096046969
35,columba-1.4-src,DESIGN,// FIXME: ugly cast to ContactModel,yes,undetermined,0,0,0,yes,0.9999999010172635,yes,0.9999999278835584,yes,0.9999999351542684,yes,0.9999999485246776
36,columba-1.4-src,DESIGN,// @TODO dont use deprecated method,yes,undetermined,0,0,0,yes,0.9899045665877576,yes,0.9930449868632404,yes,0.9931382621806537,yes,0.9935673937455203
37,columba-1.4-src,DESIGN,/* TODO must get polling interval from config file */,yes,undetermined,0,0,0,yes,0.9125120115249526,yes,0.9930601367533788,yes,0.9931375175880373,yes,0.9935712186508074
38,columba-1.4-src,DESIGN,//      TODO: reactivate when feature is supported,yes,undetermined,0,0,0,yes,0.9884699295282008,yes,0.9930343395543232,yes,0.9931247919710309,yes,0.9935743246553117
39,columba-1.4-src,DESIGN,// If this folder has children add them // TODO: In the future we should try to fetch additional children on demand // when the tree of the dialog is opened,yes,undetermined,0,0,0,yes,0.8210539396088695,yes,0.7414272745630006,yes,0.7262291729543947,yes,0.7315921806493084
40,columba-1.4-src,DESIGN,// TODO (@author fdietz): Add more special entities - e.g. accenture chars such as ?,yes,undetermined,0,0,0,yes,0.978357975295851,yes,0.9930458689774854,yes,0.9931316852170529,yes,0.9935756239316835
41,columba-1.4-src,DESIGN,"// TODO (@author waffel): encrypt AND sign dosN#t work. The message is // always only // encrypted. We need a function that knows, here // is an encrypted AND signed Message. Thus first encyrpt and then // verifySign the message // if this message is signed/encrypted we have to use // GnuPG to extract the decrypted bodypart // - multipart/encrypted // - multipart/signed",yes,undetermined,0,0,0,yes,0.9365748221030709,yes,0.9930408172074662,yes,0.9931455495548948,yes,0.9935720821856862
42,columba-1.4-src,DESIGN,"/**
     * Transforms urls into HTML just as substituteURL(String),
     * but tries to ignore urls, which are already links, if the ignore
     * links flag is set.
     * <br>
     * This extended functionality is necessary when parsing a text which
     * is already (partly) html.
     * <br>
     * FIXME: Can this be done smarter, i.e. directly with reg. expr. without manual parsing??
     *
     * @param         s                                input text
     * @param        ignoreLinks                if true link tags are ignored. This gives a
     *                                                         wrong result if some urls are already links
     *                                                         (but uses reg. expr. directly, and is
     *                                                         therefore faster)
     * @return        text with urls
     */",yes,undetermined,0,0,0,no,0.3944227520725082,no,0.3022353476111115,no,0.2932494093790728,no,0.2916051055207349
43,columba-1.4-src,DESIGN,// TODO @author fdietz: ensure that we don't fetch individual // headers // to reduce client/server roundtrips,yes,undetermined,0,0,0,yes,0.8464085198342212,yes,0.859528977792001,yes,0.8526617015340836,yes,0.856674551141775
44,columba-1.4-src,DESIGN,// ??? bad to have release hardocoded here. Fix later...right.,yes,undetermined,0,0,0,yes,0.6628358233702623,yes,0.651544195196757,yes,0.6507592064388663,yes,0.6552648836080801
45,columba-1.4-src,DESIGN,// TODO (@author fdietz): i18n,yes,undetermined,0,0,0,yes,0.9999999155141408,yes,0.9999998806803654,yes,0.9999998883256331,yes,0.9999999096046969
46,columba-1.4-src,DESIGN,// TODO (@author fdietz): i18n,yes,undetermined,0,0,0,yes,0.9999999155141408,yes,0.9999998806803654,yes,0.9999998883256331,yes,0.9999999096046969
47,columba-1.4-src,DESIGN,// hack: if start and end time is at 00:00:00:000 it is // an all day event,yes,undetermined,0,0,0,no,0.1689700907813418,no,0.15301778902984817,no,0.14641799794872504,no,0.14544678084587837
48,columba-1.4-src,DESIGN,//TODO: Open stream from the mime part specified by contentID of the  //currently viewed mail,yes,undetermined,0,0,0,yes,0.7424150185835725,yes,0.7194996936583417,yes,0.7071232201504231,yes,0.7116936745686523
49,columba-1.4-src,DESIGN,// something is very wrong here,yes,undetermined,0,0,0,yes,0.8900168586758664,yes,0.8695962813505042,yes,0.8676681561930771,yes,0.8713675843622941
50,columba-1.4-src,DESIGN,// its maybe better to leave this option out of the dialog // -> make it configurable in the xml file anyway,yes,undetermined,0,0,0,no,0.5,no,0.48758593589845156,no,0.479890739358403,no,0.4836472330091807
51,columba-1.4-src,DESIGN,// TODO (@author fdietz): i18n,yes,undetermined,0,0,0,yes,0.9999999155141408,yes,0.9999998806803654,yes,0.9999998883256331,yes,0.9999999096046969
52,columba-1.4-src,DESIGN,// TODO: Make this hack more i18n compatible,yes,undetermined,0,0,0,yes,0.9999999998890733,yes,0.9999999999362663,yes,0.9999999999464156,yes,0.9999999999599537
53,columba-1.4-src,DESIGN,// TODO (@author fdietz): i18n,yes,undetermined,0,0,0,yes,0.9999999155141408,yes,0.9999998806803654,yes,0.9999998883256331,yes,0.9999999096046969
54,columba-1.4-src,DESIGN,/*TODO move resources to a resource file */,yes,undetermined,0,0,0,yes,0.9761290177052427,yes,0.9930352915120991,yes,0.9931301279825967,yes,0.9935685254421464
55,columba-1.4-src,DESIGN,// TODO: use UndoableEditEvent to make this really work,yes,undetermined,0,0,0,yes,0.9999995928532542,yes,0.9999997718060187,yes,0.9999997922889089,yes,0.9999998295688141
56,columba-1.4-src,DESIGN,// TODO: Should we take some action to ensure signature is valid // html?,yes,undetermined,0,0,0,yes,0.9932631852089698,yes,0.9930415052095709,yes,0.9931345714871149,yes,0.9935681255744938
57,columba-1.4-src,DESIGN,/* XXX should this be fired by a different thread? */,yes,undetermined,0,0,0,yes,0.8198705694373534,yes,0.8057726927409211,yes,0.8026389638594771,yes,0.8066379774793405
58,columba-1.4-src,DESIGN,//TODO:add a configuration of the cache size,yes,undetermined,0,0,0,yes,0.9864588901441415,yes,0.9930369840903239,yes,0.9931356628409247,yes,0.9935723980183017
59,columba-1.4-src,DESIGN,"/**
	 * Command executes the search.
	 * <p>
	 * In case new result results arrive, it ensures that all interested
	 * listeners are notified from inside the EDT.
	 * <p>
	 * FIXME: fdietz: No locking of folders currently implemented! TODO: fdietz:
	 * create new Command for every provider to introduce real ""parallel"" search
	 * 
	 * @author fdietz
	 */",yes,undetermined,0,0,0,yes,0.9707161998732367,yes,0.9930465067871834,yes,0.9931253036584206,yes,0.9935698381885116
60,columba-1.4-src,DESIGN,"/*XXX this is not thread-safe, though luck. It isn't supposed to be. */",yes,undetermined,0,0,0,yes,0.8708665563450191,yes,0.8739831169371116,yes,0.872803959010972,yes,0.8764734494580354
61,columba-1.4-src,DESIGN,// TODO (@author fdietz): move this to AbstractMessageFolder constructor,yes,undetermined,0,0,0,yes,0.9999999899439656,yes,0.9999999826136399,yes,0.9999999847062981,yes,0.9999999878592875
62,columba-1.4-src,DESIGN,//TODO: Should this be renamed to cLoc or something more appropriate than clock?,yes,undetermined,0,0,0,yes,0.9938810257396584,yes,0.994358643714013,yes,0.9944045009015867,yes,0.9947802215703266
63,columba-1.4-src,DESIGN,"/*
         * TODO (@author karlpeder): Guess that right thing to do is to get height as getDrawingSize().getHeight(),
         * since this should take top- and bottom margin of this print
         * object into account. But the height seems not to be set
         * correctly in computePositionAndSize() (*20030604, karlpeder*)
         */",yes,undetermined,0,0,0,yes,0.976225601735033,yes,0.9930537809370368,yes,0.9931473106184676,yes,0.9935566293492478
64,columba-1.4-src,DESIGN,"// we can't use SystemClassLoader here, because that // wouldn't work with java webstart, // ResourceBundle uses its own internal classloader // if no classloader is given //  -> set classloader = null",yes,undetermined,0,0,0,no,0.25830056897125014,no,0.17006521106975922,no,0.16327464121974458,no,0.16282092399854817
65,columba-1.4-src,DESIGN,"//  // Note: We intentionally don't remember internal plugins, because // we don't want them to appear in the plugin manager currently. //  // TODO: improve plugin manager dialog to support internal plugins // which can't be removed, etc.",yes,undetermined,0,0,0,yes,0.7185056924304823,yes,0.7246828590739074,yes,0.7223696877430869,yes,0.726951548650284
66,columba-1.4-src,DESIGN,// FIXME calendar?,yes,undetermined,0,0,0,yes,0.5898552106820342,yes,0.5854221348597249,yes,0.5792139095963018,yes,0.5836381252476336
67,columba-1.4-src,DESIGN,"// TODO @author hubms have this flags, until the speed of the entitymanager // is improved",yes,undetermined,0,0,0,yes,0.9999961406723653,yes,0.9999956884872836,yes,0.9999959941590496,yes,0.9999966225049056
68,columba-1.4-src,DESIGN,// cleanup: remove port number file,yes,undetermined,0,0,0,no,0.013642621447589764,yes,0.993039484512558,yes,0.9931409878849243,yes,0.9935784146030895
