,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba,svm_pred_4,svm_pred_4_proba
0,apache-ant-1.7.0,DEFECT,// FIXME formatters are not thread-safe,yes,undetermined,0,0,0,yes,0.9546246269508833,yes,0.9877190532816926,yes,0.9879373100077279,yes,0.988248231668133,yes,0.9896661860718685
1,apache-ant-1.7.0,DEFECT,"// XXX: (Jon Skeet) The comment ""if it hasn't been done already"" may // not be strictly true. wrapper.maybeConfigure() won't configure the same // attributes/text more than once, but it may well add the children again, // unless I've missed something.",yes,undetermined,0,0,0,no,0.4187811421979011,no,0.30630247931651505,yes,0.5632645400114288,yes,0.5612024345710788,yes,0.5702001784448406
2,apache-ant-1.7.0,DEFECT,"// I hate to admit it, but we don't know what happened // here.  Throw the Exception.",yes,undetermined,0,0,0,no,0.19726040778245432,no,0.21232807993837427,no,0.22118154200539536,no,0.22041379017552815,no,0.22229994380621135
3,apache-ant-1.7.0,DEFECT,"// Just a note: StarTeam has a status for NEW which implies // that there is an item  on your local machine that is not // in the repository.  These are the items that show up as // NOT IN VIEW in the Starteam GUI. // One would think that we would want to perhaps checkin the // NEW items (not in all cases! - Steve Cohen 15 Dec 2001) // Unfortunately, the sdk doesn't really work, and we can't // actually see  anything with a status of NEW. That is why // we can just check out  everything here without worrying // about losing anything.",yes,undetermined,0,0,0,no,0.3289241037888953,no,0.272879834209555,no,0.19819963846456015,no,0.1899864513435952,no,0.19224975129026775
4,apache-ant-1.7.0,DEFECT,// the generated classes must not be added in the generic JAR! // is that buggy on old JOnAS (2.4) ??,yes,undetermined,0,0,0,no,0.00793470945564722,yes,0.9876897191089538,yes,0.9879052161617913,yes,0.9882477871045343,yes,0.9896944173141246
5,apache-ant-1.7.0,DEFECT,// todo: is this comment still relevant ?? // FIXME: need to use a SAXSource as the source for the transform // so we can plug in our own entity resolver,yes,undetermined,0,0,0,yes,0.9999991970436065,yes,0.9999984955896991,yes,0.9999983102404405,yes,0.9999984462173509,yes,0.9999989358993505
6,apache-ant-1.7.0,DEFECT,"// This is turned off temporarily. There appears to be a bug // in SelectorUtils.matchPattern() where it is recursive on // Windows even if no ** is in pattern. //assertEquals(""FFFTFFFFFFFF"", results); // Unix // vs //assertEquals(""FFFTFFFFTFFF"", results); // Windows",yes,undetermined,0,0,0,no,0.2698971457554826,no,0.20895352748115478,no,0.17993416723931013,no,0.1779425843785858,no,0.17911111958885112
7,apache-ant-1.7.0,DEFECT,// pattern now holds ** while string is not exhausted // this will generate false positives but we can live with that.,yes,undetermined,0,0,0,no,0.004903120654237395,yes,0.9876945752600945,yes,0.9879385873190611,yes,0.9882774170061057,yes,0.9896879500459346
8,apache-ant-1.7.0,DEFECT,"// FIXME: Is ""No Namespace is Empty Namespace"" really OK?",yes,undetermined,0,0,0,yes,0.9847788883172203,yes,0.9876998236749555,yes,0.9879199684137903,yes,0.9882651997360076,yes,0.9896506894481512
9,apache-ant-1.7.0,DEFECT,// FIXME this is actually not very cpu cycles friendly as we are converting from // dos to java while the underlying Sun implementation will convert // from java to dos time for internal storage...,yes,undetermined,0,0,0,no,0.21878143811494374,no,0.18511990445233092,no,0.14430543034790652,no,0.1417660647327919,no,0.14257116944458784
10,apache-ant-1.7.0,DEFECT,// check first that it is not already loaded otherwise // consecutive runs seems to end into an OutOfMemoryError // or it fails when there is a native library to load // several times. // this is far from being perfect but should work // in most cases.,yes,undetermined,0,0,0,no,0.00995786921172854,yes,0.9877033630829858,yes,0.9879299832750051,yes,0.9882673348171224,yes,0.9896640121028839
11,apache-ant-1.7.0,DEFECT,"// TODO: // A warning line, that shows code, which contains a variable // error will cause some trouble. The parser should definitely // be much better.",yes,undetermined,0,0,0,yes,0.9788770901880751,yes,0.9877002691796284,yes,0.9879283391718781,yes,0.9882786161658905,yes,0.9896721342105125
12,apache-ant-1.7.0,DEFECT,// todo: is this comment still relevant ?? // FIXME: need to use a SAXSource as the source for the transform // so we can plug in our own entity resolver,yes,undetermined,0,0,0,yes,0.9999991970436065,yes,0.9999984955896991,yes,0.9999983102404405,yes,0.9999984462173509,yes,0.9999989358993505
13,apache-ant-1.7.0,DESIGN,"/** XXX I really don't like this - the XML processor is still
             * too 'involved' in the processing. A better solution (IMO)
             * would be to create UE for Project and Target too, and
             * then process the tree and have Project/Target deal with
             * its attributes ( similar with Description ).
             *
             * If we eventually switch to ( or add support for ) DOM,
             * things will work smoothly - UE can be avoided almost completely
             * ( it could still be created on demand, for backward compatibility )
             */",yes,undetermined,0,0,0,yes,0.8341962583001494,yes,0.5292564537461127,yes,0.5159249605876398,yes,0.5122196625392001,yes,0.5207518147073495
14,apache-ant-1.7.0,DESIGN,// JUnit 4 wraps solo tests this way. We can extract // the original test name with a little hack.,yes,undetermined,0,0,0,yes,0.9517818331183109,yes,0.9877138182765572,yes,0.9879249331711862,yes,0.9882645637959079,yes,0.9896650920693963
15,apache-ant-1.7.0,DESIGN,// XXX ignore attributes in a different NS ( maybe store them ? ),yes,undetermined,0,0,0,yes,0.7570630075233065,yes,0.7011056159009335,yes,0.7674357267862681,yes,0.7689160725210312,yes,0.7812105498617092
16,apache-ant-1.7.0,DESIGN,//borrowed from TokenFilterTest,yes,undetermined,0,0,0,no,0.0052360339445687515,yes,0.9877134443870097,yes,0.9879207719516879,yes,0.9882786372786666,yes,0.9896670689619737
17,apache-ant-1.7.0,DESIGN,// XXX Move to Project ( so it is shared by all helpers ),yes,undetermined,0,0,0,no,0.14134072906409959,no,0.10088706424537561,no,0.13743271362085024,no,0.13992685338663288,no,0.14036403389136562
18,apache-ant-1.7.0,DESIGN,// What is the property supposed to be?,yes,undetermined,0,0,0,no,0.06219823234442642,yes,0.9877000699025288,yes,0.987897195430587,yes,0.9882615560492215,yes,0.9896541965304474
