,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba,svm_pred_4,svm_pred_4_proba,svm_pred_5,svm_pred_5_proba,svm_pred_6,svm_pred_6_proba
0,argouml,DEFECT,"// TODO: This brute force approach of updating listeners on each // and every event, without checking the event type or any other // information is going to cause lots of InvalidElementExceptions // in subclasses implementations of updateListeners (and they // won't have the event information to make their own decisions)",yes,undetermined,0,0,0,yes,0.750801047895634,yes,0.8393678699628999,yes,0.9031457172580502,yes,0.9950982871563859,yes,0.9958577129103172,yes,0.9951909642096463,yes,0.9952871725756095
1,argouml,DEFECT,"/* TODO: The above statement also refreshes when 
                         * we are not shown (to be verified) - hence 
                         * not entirely correct. */",yes,undetermined,0,0,0,yes,0.9999841547600048,yes,0.9918807957893421,yes,0.996194391000182,yes,0.9967872733846889,yes,0.9972810995274672,yes,0.9968681739442495,yes,0.9969175679085683
2,argouml,DEFECT,"/**
 * Class to display graphics for a UML SynchState in a diagram. <p>
 * 
 * TODO: If the font increases, the circle should grow, too.
 *
 * @author pepargouml@yahoo.es
 */",yes,undetermined,0,0,0,yes,0.9397753798458703,yes,0.9880725406610253,yes,0.994760607571932,yes,0.9950996231655842,yes,0.9958560621381669,yes,0.9951823605246185,yes,0.9952833922060265
3,argouml,DEFECT,"/* TODO: If this is an ordered list, then you have to
                        add in the right location! */",yes,undetermined,0,0,0,yes,0.9953305482906805,yes,0.9880398926522928,yes,0.9947770620607082,yes,0.9950870174090387,yes,0.9958517593115749,yes,0.9951888648553862,yes,0.9952878375397507
4,argouml,DEFECT,"/**
     * Rank the nodes depending on their level (position in hierarchy) and set
     * their weight to achieve a proper node-sequence for the layout. Rows
     * exceeding the maximum row width are split, if standalone nodes are
     * available.
     * <p>
     * Weight the other nodes to determine their columns.
     * <p>
     * TODO: Weighting doesn't appear to be working as intended because multiple
     * groups of children/specializations get intermixed in name order rather
     * than being grouped by their parent/generalization. - tfm - 20070314
     */",yes,undetermined,0,0,0,no,0.5512425627148442,yes,0.5250535838602253,no,0.6055031387785083,yes,0.6501084045501283,yes,0.6576940114411227,yes,0.6556765708576556,yes,0.6553163544183325
5,argouml,DEFECT,// TODO: This is a tagged value name which will never trigger an event,yes,undetermined,0,0,0,yes,0.9999890687929521,yes,0.9938081852737083,yes,0.996842825216904,yes,0.9973494021313445,yes,0.999988708380066,yes,0.999992561058561,yes,0.9999929502512269
6,argouml,DEFECT,"/**
     * Tests CopyHelper without using stereotypes.
     * <p>
     * The test is using the tree of objects:
     * 
     * <pre>
     *              model
     *              /   \
     *            p1     p2
     *           /  \
     *      class_  nestedPackage
     *                \
     *                interface_
     *                  \
     *                  attribute
     * </pre>
     * 
     * TODO: This test doesn't match the MDR implementation because it expects
     * the contents of a namespace to be copied.  It is disabled until it can
     * be fixed to run with both MDR and eUML. - tfm 20070820
     * 
     * @author Bogdan
     */",yes,undetermined,0,0,0,yes,0.8793283106346681,yes,0.8850125026913818,yes,0.9374963133590445,yes,0.9950895668713948,yes,0.9958592927390963,yes,0.9951964123402666,yes,0.9952853397078554
7,argouml,DEFECT,"/* TODO: correctly implement next function 
         * in the model subsystem for 
         * issue 1942: */",yes,undetermined,0,0,0,yes,0.9954333254688187,yes,0.988067959811432,yes,0.99476494837814,yes,0.9955351563618362,yes,0.9965599312645806,yes,0.9960667208275864,yes,0.9961555011255409
8,argouml,DEFECT,"/*
     * TODO: The code implementing this method is from 2003 (see issue 2171) -
     * mechanically integrated by tfmorris in May 2007. Needs to be
     * reviewed/updated.
     * 
     * @author Decki,Endi,Yayan, Politechnic of Bandung. Computer Departement
     * method for changing text of Message
     */",yes,undetermined,0,0,0,yes,0.9999825309877756,yes,0.9895110731257581,yes,0.9958913103261947,yes,0.996097240850258,yes,0.9968652222075176,yes,0.9971930974121669,yes,0.9972250290299042
9,argouml,DEFECT,/* TODO: Why does the next part not work? */,yes,undetermined,0,0,0,yes,0.9999999997765844,yes,0.9950562075598566,yes,0.9999869718863629,yes,0.9999870966958964,yes,0.9999910081555727,yes,0.9999880549446746,yes,0.9999884357060176
