,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba,svm_pred_4,svm_pred_4_proba
0,emf-2.4.1,DEFECT,"// Bug 124306: we should rely on XMLCalendar to normalize Dave value, to ensure that all Date value // fields are taken into account.",yes,undetermined,0,0,0,no,0.03367657963270197,yes,0.9895410015123003,yes,0.9916527547922545,yes,0.9917450553256711,yes,0.991167026300123
1,emf-2.4.1,DEFECT,// is this an error???,yes,undetermined,0,0,0,no,0.013234112494503758,no,0.013205022833369757,no,0.01191430778618375,no,0.011489479473494766,no,0.011096289879930445
2,emf-2.4.1,DEFECT,//FB Won't compile with VAJ or NO_JIKES  //FB Object adapter = adapterFactory.adapt(mapping);,yes,undetermined,0,0,0,no,0.01126016061045521,yes,0.9895151939417063,yes,0.991665628996084,yes,0.9917427356779558,yes,0.9911645546662786
3,emf-2.4.1,DEFECT,// EATM must fix isSet bits.,yes,undetermined,0,0,0,no,0.019825912429477028,yes,0.9895394782291909,yes,0.9916517554948,yes,0.9917392862852309,yes,0.9911608792712776
4,emf-2.4.1,DEFECT,// EATM must fix isSet bits.,yes,undetermined,0,0,0,no,0.019825912429477028,yes,0.9895394782291909,yes,0.9916517554948,yes,0.9917392862852309,yes,0.9911608792712776
5,emf-2.4.1,DEFECT,// is this an error???,yes,undetermined,0,0,0,no,0.013234112494503758,no,0.013205022833369757,no,0.01191430778618375,no,0.011489479473494766,no,0.011096289879930445
6,emf-2.4.1,DEFECT,// line comments at the end of annotations are not a part of the range of annotation // TODO is not including line comments at the end of annotations a bug?,yes,undetermined,0,0,0,no,0.41341248326535207,no,0.5116962976086218,no,0.5373036696562642,no,0.5328441587809426,no,0.5200074780704226
7,emf-2.4.1,DEFECT,// EATM in JDK 1.4 there will be an indexOf on StringBuffer. //,yes,undetermined,0,0,0,no,0.033897377564366116,yes,0.9895364835578703,yes,0.9916705322722285,yes,0.9917544108192179,yes,0.9911769948105991
8,emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl //,yes,undetermined,0,0,0,yes,0.999998357923571,yes,0.9999975003929209,yes,0.9999986611705081,yes,0.9999986992988584,yes,0.9999984813579487
9,emf-2.4.1,DESIGN,// EATM Call the deprecated method which does the same thing  // but might have an override in older code.,yes,undetermined,0,0,0,no,0.24503014471855894,no,0.10327647379454236,no,0.14494203529165453,no,0.14004045688074418,no,0.13477454829844474
