,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba
0,apache-ant-1.7.0,DEFECT,// FIXME formatters are not thread-safe,yes,undetermined,0,0,0,yes,0.9548742376436686
1,apache-ant-1.7.0,DEFECT,"// XXX: (Jon Skeet) The comment ""if it hasn't been done already"" may // not be strictly true. wrapper.maybeConfigure() won't configure the same // attributes/text more than once, but it may well add the children again, // unless I've missed something.",yes,undetermined,0,0,0,no,0.36846818856959956
2,apache-ant-1.7.0,DEFECT,"// I hate to admit it, but we don't know what happened // here.  Throw the Exception.",yes,undetermined,0,0,0,no,0.20136056163145025
3,apache-ant-1.7.0,DEFECT,"// Just a note: StarTeam has a status for NEW which implies // that there is an item  on your local machine that is not // in the repository.  These are the items that show up as // NOT IN VIEW in the Starteam GUI. // One would think that we would want to perhaps checkin the // NEW items (not in all cases! - Steve Cohen 15 Dec 2001) // Unfortunately, the sdk doesn't really work, and we can't // actually see  anything with a status of NEW. That is why // we can just check out  everything here without worrying // about losing anything.",yes,undetermined,0,0,0,no,0.3196371343866083
4,apache-ant-1.7.0,DEFECT,// the generated classes must not be added in the generic JAR! // is that buggy on old JOnAS (2.4) ??,yes,undetermined,0,0,0,no,0.009060332001498002
5,apache-ant-1.7.0,DEFECT,// todo: is this comment still relevant ?? // FIXME: need to use a SAXSource as the source for the transform // so we can plug in our own entity resolver,yes,undetermined,0,0,0,yes,0.9999991884570356
6,apache-ant-1.7.0,DEFECT,"// This is turned off temporarily. There appears to be a bug // in SelectorUtils.matchPattern() where it is recursive on // Windows even if no ** is in pattern. //assertEquals(""FFFTFFFFFFFF"", results); // Unix // vs //assertEquals(""FFFTFFFFTFFF"", results); // Windows",yes,undetermined,0,0,0,no,0.23702343740345327
7,apache-ant-1.7.0,DEFECT,// pattern now holds ** while string is not exhausted // this will generate false positives but we can live with that.,yes,undetermined,0,0,0,no,0.005349516235252656
8,apache-ant-1.7.0,DEFECT,"// FIXME: Is ""No Namespace is Empty Namespace"" really OK?",yes,undetermined,0,0,0,yes,0.9853449954356991
9,apache-ant-1.7.0,DEFECT,// FIXME this is actually not very cpu cycles friendly as we are converting from // dos to java while the underlying Sun implementation will convert // from java to dos time for internal storage...,yes,undetermined,0,0,0,no,0.2399403675614066
10,apache-ant-1.7.0,DEFECT,// check first that it is not already loaded otherwise // consecutive runs seems to end into an OutOfMemoryError // or it fails when there is a native library to load // several times. // this is far from being perfect but should work // in most cases.,yes,undetermined,0,0,0,no,0.010390780496124468
11,apache-ant-1.7.0,DEFECT,"// TODO: // A warning line, that shows code, which contains a variable // error will cause some trouble. The parser should definitely // be much better.",yes,undetermined,0,0,0,yes,0.9790942269925095
12,apache-ant-1.7.0,DEFECT,// todo: is this comment still relevant ?? // FIXME: need to use a SAXSource as the source for the transform // so we can plug in our own entity resolver,yes,undetermined,0,0,0,yes,0.9999991884570356
13,apache-ant-1.7.0,DESIGN,"/** XXX I really don't like this - the XML processor is still
             * too 'involved' in the processing. A better solution (IMO)
             * would be to create UE for Project and Target too, and
             * then process the tree and have Project/Target deal with
             * its attributes ( similar with Description ).
             *
             * If we eventually switch to ( or add support for ) DOM,
             * things will work smoothly - UE can be avoided almost completely
             * ( it could still be created on demand, for backward compatibility )
             */",yes,undetermined,0,0,0,yes,0.8148122683420552
14,apache-ant-1.7.0,DESIGN,// JUnit 4 wraps solo tests this way. We can extract // the original test name with a little hack.,yes,undetermined,0,0,0,yes,0.9507496619048905
15,apache-ant-1.7.0,DESIGN,// XXX ignore attributes in a different NS ( maybe store them ? ),yes,undetermined,0,0,0,yes,0.7363784341377742
16,apache-ant-1.7.0,DESIGN,//borrowed from TokenFilterTest,yes,undetermined,0,0,0,no,0.006165555260788054
17,apache-ant-1.7.0,DESIGN,// XXX Move to Project ( so it is shared by all helpers ),yes,undetermined,0,0,0,no,0.14298215628421207
18,apache-ant-1.7.0,DESIGN,// What is the property supposed to be?,yes,undetermined,0,0,0,no,0.06197351030561282
19,apache-ant-1.7.0,DESIGN,"// PR: Hack for ant-type value //  an ant-type is a component name which can // be namespaced, need to extract the name // and convert from qualified name to uri/name",yes,undetermined,0,0,0,yes,0.819949749726736
20,apache-ant-1.7.0,DESIGN,// there's a convenient xsltc class version but data are // private so use package information,yes,undetermined,0,0,0,no,0.04610267103359904
21,apache-ant-1.7.0,DESIGN,// stolen from org.apache.xerces.impl.XMLEntityManager#getUserDir() // of the Xerces-J team // which ASCII characters need to be escaped,yes,undetermined,0,0,0,no,0.051559699571125044
22,apache-ant-1.7.0,DESIGN,// bingo append it. (this should normally not be done here),yes,undetermined,0,0,0,no,0.010087585976186995
23,apache-ant-1.7.0,DESIGN,// This is faintly ridiculous:,yes,undetermined,0,0,0,no,0.0068997027626548175
24,apache-ant-1.7.0,DESIGN,//cannot remove underscores due to protected visibility >:(,yes,undetermined,0,0,0,no,0.026339663418864605
25,apache-ant-1.7.0,DESIGN,"// TODO not read, yet in a public setter",yes,undetermined,0,0,0,yes,0.9371777181310316
26,apache-ant-1.7.0,DESIGN,//  PR: I do not know what to do if the object class //      has multiple defines //      but this is for logging only...,yes,undetermined,0,0,0,no,0.06463676224176473
27,apache-ant-1.7.0,DESIGN,// not sure what could be the need of this...,yes,undetermined,0,0,0,no,0.11242099463137144
28,apache-ant-1.7.0,DESIGN,// XXX: (Jon Skeet) Any reason for writing a message and then using a bare // RuntimeException rather than just using a BuildException here? Is it // in case the message could end up being written to no loggers (as the // loggers could have failed to be created due to this failure)?,yes,undetermined,0,0,0,no,0.20582425641753055
29,apache-ant-1.7.0,DESIGN,"// Experimental/Testing, will be removed",yes,undetermined,0,0,0,no,0.01013720233468609
30,apache-ant-1.7.0,DESIGN,// XXX should instead make a new ProtectionDomain with a CodeSource // corresponding to container.toURI().toURL() and the same // PermissionCollection as Project.class.protectionDomain had,yes,undetermined,0,0,0,no,0.2341715340999652
31,apache-ant-1.7.0,DESIGN,//this is really irritating; we need a way to set stuff,yes,undetermined,0,0,0,yes,0.6462921512232086
32,apache-ant-1.7.0,DESIGN,//XXX // All this to convert source to destination directory according // to weblogic standards Can be written better... this is too hacky!,yes,undetermined,0,0,0,yes,0.7808924978634789
33,apache-ant-1.7.0,DESIGN,//silly hack to avoid stack overflow...,yes,undetermined,0,0,0,yes,0.9723331496365272
34,apache-ant-1.7.0,DESIGN,"// -------------------- Access to property tables  -------------------- // This is used to support ant call and similar tasks. It should be // deprecated, it is possible to use a better (more efficient) // mechanism to preserve the context.",yes,undetermined,0,0,0,yes,0.683849775062651
35,apache-ant-1.7.0,DESIGN,// XXX - should throw an exception instead?,yes,undetermined,0,0,0,yes,0.5943249751264212
36,apache-ant-1.7.0,DESIGN,// Temporary - until we figure a better API,yes,undetermined,0,0,0,yes,0.6175562815941087
37,apache-ant-1.7.0,DESIGN,"// There is a better way to save the context. This shouldn't // delegate to next, it's for backward compatibility only.",yes,undetermined,0,0,0,no,0.38834682391479697
38,apache-ant-1.7.0,DESIGN,// quick fix for Ant.java use of property before // initializing the project,yes,undetermined,0,0,0,no,0.05724802545926814
39,apache-ant-1.7.0,DESIGN,// XXX: we should use JCVS (www.ice.com/JCVS) instead of // command line execution so that we don't rely on having // native CVS stuff around (SM),yes,undetermined,0,0,0,no,0.18695995124468315
40,apache-ant-1.7.0,DESIGN,"/*
             * two reasons are mentioned in the API docs for File.list
             * (1) dir is not a directory. This is impossible as
             *     we wouldn't get here in this case.
             * (2) an IO error occurred (why doesn't it throw an exception
             *     then???)
             */",yes,undetermined,0,0,0,no,0.11887237679031551
