,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba
0,jfreechart-1.0.19,DEFECT,// result = this.workingCalendar.getTimeInMillis(); // preceding code won't work with JDK 1.3,yes,undetermined,0,0,0,no,0.28297414501426993
1,jfreechart-1.0.19,DEFECT,// TODO: Check this result...,yes,undetermined,0,0,0,yes,0.9999821196422306
2,jfreechart-1.0.19,DEFECT,// TODO: Check this result...,yes,undetermined,0,0,0,yes,0.9999821196422306
3,jfreechart-1.0.19,DEFECT,//return cal.getTimeInMillis(); // preceding code won't work with JDK 1.3,yes,undetermined,0,0,0,no,0.17293927123164832
4,jfreechart-1.0.19,DEFECT,// TODO: we didn't check the height yet,yes,undetermined,0,0,0,yes,0.9864932461321673
5,jfreechart-1.0.19,DEFECT,"// FIXME: we've cloned the chart, but the dataset(s) aren't cloned // and we should do that",yes,undetermined,0,0,0,yes,0.7835521378080057
6,jfreechart-1.0.19,DEFECT,// todo: not serialized yet,yes,undetermined,0,0,0,yes,0.9889598140752963
7,jfreechart-1.0.19,DEFECT,// FIRST_MONDAY_AFTER_1900 = cal.getTime().getTime(); // preceding code won't work with JDK 1.3,yes,undetermined,0,0,0,no,0.10722626615638592
8,jfreechart-1.0.19,DEFECT,// TODO: we didn't check the height yet,yes,undetermined,0,0,0,yes,0.9864932461321673
9,jfreechart-1.0.19,DESIGN,// this may be negative,yes,undetermined,0,0,0,no,0.016110110111191168
10,jfreechart-1.0.19,DESIGN,// TODO: to be implemented,yes,undetermined,0,0,0,yes,0.9999999999597027
11,jfreechart-1.0.19,DESIGN,// TODO:  the subplot areas needs to be moved out of the plot into the plot //        state,yes,undetermined,0,0,0,yes,0.9895289710392349
12,jfreechart-1.0.19,DESIGN,//TODO: shift block down to bottom,yes,undetermined,0,0,0,yes,0.9909285747474804
13,jfreechart-1.0.19,DESIGN,"// TODO: it might be a good idea to keep a reference to the color // specified in setPaint() or setColor(), rather than creating a // new object every time getPaint() is called.",yes,undetermined,0,0,0,yes,0.9175213626604416
14,jfreechart-1.0.19,DESIGN,// TODO: for now we are ignoring the height constraint,yes,undetermined,0,0,0,yes,0.9836098368212202
15,jfreechart-1.0.19,DESIGN,// first determine the size of the chart rendering area... // TODO workout insets for SWT,yes,undetermined,0,0,0,yes,0.6663533513414526
16,jfreechart-1.0.19,DESIGN,// TODO: implement properly,yes,undetermined,0,0,0,yes,0.9999996619786496
