,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba
0,argouml,DEFECT,"// TODO: This brute force approach of updating listeners on each // and every event, without checking the event type or any other // information is going to cause lots of InvalidElementExceptions // in subclasses implementations of updateListeners (and they // won't have the event information to make their own decisions)",yes,undetermined,0,0,0,no,0.6937143825169236
1,argouml,DEFECT,"/* TODO: The above statement also refreshes when 
                         * we are not shown (to be verified) - hence 
                         * not entirely correct. */",yes,undetermined,0,0,0,no,0.9949392203107577
2,argouml,DEFECT,"/**
 * Class to display graphics for a UML SynchState in a diagram. <p>
 * 
 * TODO: If the font increases, the circle should grow, too.
 *
 * @author pepargouml@yahoo.es
 */",yes,undetermined,0,0,0,no,0.9365738989857854
3,argouml,DEFECT,"/* TODO: If this is an ordered list, then you have to
                        add in the right location! */",yes,undetermined,0,0,0,no,0.9970841303093557
4,argouml,DEFECT,"/**
     * Rank the nodes depending on their level (position in hierarchy) and set
     * their weight to achieve a proper node-sequence for the layout. Rows
     * exceeding the maximum row width are split, if standalone nodes are
     * available.
     * <p>
     * Weight the other nodes to determine their columns.
     * <p>
     * TODO: Weighting doesn't appear to be working as intended because multiple
     * groups of children/specializations get intermixed in name order rather
     * than being grouped by their parent/generalization. - tfm - 20070314
     */",yes,undetermined,0,0,0,no,0.3879744463128046
5,argouml,DEFECT,// TODO: This is a tagged value name which will never trigger an event,yes,undetermined,0,0,0,no,0.9999869201208382
6,argouml,DEFECT,"/**
     * Tests CopyHelper without using stereotypes.
     * <p>
     * The test is using the tree of objects:
     * 
     * <pre>
     *              model
     *              /   \
     *            p1     p2
     *           /  \
     *      class_  nestedPackage
     *                \
     *                interface_
     *                  \
     *                  attribute
     * </pre>
     * 
     * TODO: This test doesn't match the MDR implementation because it expects
     * the contents of a namespace to be copied.  It is disabled until it can
     * be fixed to run with both MDR and eUML. - tfm 20070820
     * 
     * @author Bogdan
     */",yes,undetermined,0,0,0,no,0.7276580247445971
7,argouml,DEFECT,"/* TODO: correctly implement next function 
         * in the model subsystem for 
         * issue 1942: */",yes,undetermined,0,0,0,no,0.9844883105471154
8,argouml,DEFECT,"/*
     * TODO: The code implementing this method is from 2003 (see issue 2171) -
     * mechanically integrated by tfmorris in May 2007. Needs to be
     * reviewed/updated.
     * 
     * @author Decki,Endi,Yayan, Politechnic of Bandung. Computer Departement
     * method for changing text of Message
     */",yes,undetermined,0,0,0,no,0.8694385589849245
9,argouml,DEFECT,/* TODO: Why does the next part not work? */,yes,undetermined,0,0,0,no,0.9999999998610191
10,argouml,DEFECT,"// TODO: We don't really want this to be filled, but if it's not then // the user can't double click in the compartment to add a new literal // Apparently GEF thinks unfilled figs are only selectable by border //        setFilled(false);",yes,undetermined,0,0,0,no,0.8374654937550814
11,argouml,DEFECT,"// TODO: We can't have a global ""current"" language // NotationProviderFactory2.setCurrentLanguage(newLanguage);",yes,undetermined,0,0,0,no,0.9999985208850547
12,argouml,DEFECT,// TODO: We should warn the user we have removed something - tfm,yes,undetermined,0,0,0,no,0.9999994026372693
13,argouml,DEFECT,// If we are not visible most likely we're being deleted. // TODO: This indicates a more fundamental problem that  // should be investigated - tfm - 20061230,yes,undetermined,0,0,0,no,0.9906458682508217
14,argouml,DEFECT,"// FIXME: the following throws: // org.argouml.model.InvalidElementException:  // javax.jmi.reflect.InvalidObjectException: Object with  // MOFID 127-0-1-1-(...)000E75 no longer exists. //        applicableTagDefs = tagDefCBModel.getApplicableTagDefinitions(aClass); //        assertNotNull(""Tag Definition wasn't found in return value of "" //            + ""tagDefCBModel.getApplicableTagDefinitions(aClass), "" //            + ""after loading the project."", //            TestStereotypeUtility.findModelElementNamed( //                ProfileMother.TAG_DEFINITION_NAME_TD, applicableTagDefs));",yes,undetermined,0,0,0,no,0.1518119694331328
15,argouml,DEFECT,//TODO i18n: GEF needs to pass us back the description // of what is being done.,yes,undetermined,0,0,0,no,0.9999976835510809
16,argouml,DEFECT,// make it stretch vertically // TODO: The curBody must notify modification,yes,undetermined,0,0,0,no,0.9943396500286577
17,argouml,DEFECT,// TODO: Is this next line safe? What happens if there is just one // comment edge or a comment edge and a single message?,yes,undetermined,0,0,0,no,0.8442345739417307
18,argouml,DEFECT,// TODO: Considering all delete events to be valid like below // is going to cause lots of unecessary work and some problems,yes,undetermined,0,0,0,no,0.928900470450367
19,argouml,DEFECT,"// else if the y coordinate is outside of the classifier role, // we fix the y in the max y of the classifier role. // FIXME: We should increase the height of the classifier role,  // don't???",yes,undetermined,0,0,0,no,0.12019826434302747
20,argouml,DEFECT,"// TODO: This appears to expect that the UML 1.3 tag name // will appear as a property name in an event, but with the // UML 1.4 switch to TagDefinitions, this won't work",yes,undetermined,0,0,0,no,0.9638671954116368
21,argouml,DEFECT,// TODO: not in UML 2,yes,undetermined,0,0,0,no,0.9999999999999699
22,argouml,DEFECT,// TODO: Removed from UML2 //$NON-NLS-1$,yes,undetermined,0,0,0,no,0.9999999995393202
23,argouml,DEFECT,// TODO: Only occurrence of isConcurrent in UML 2.1.1 is in index // it's not on the page that is indexed,yes,undetermined,0,0,0,no,0.9940743668888208
24,argouml,DEFECT,"// TODO: This works for 90 degree angles, but is suboptimal // for other angles. It should reflect the angle, rather // than just using a negative offset along the same vector",yes,undetermined,0,0,0,no,0.8645068924958557
25,argouml,DEFECT,// TODO: map UML2 names to UML1.x names //$NON-NLS-1$ //$NON-NLS-1$,yes,undetermined,0,0,0,no,0.9905451095607092
26,argouml,DEFECT,"// TODO: Except this won't work because the names are different which // will cause a test in CheckUMLModelHelper to fail //        remap.put(""Core:Permission"", ""Core:PackageImport"");",yes,undetermined,0,0,0,no,0.8732037224923322
27,argouml,DEFECT,// This doesn't work in UML2: both owner and property needed!,yes,undetermined,0,0,0,no,0.03831270151496056
28,argouml,DEFECT,"// FIXME: fails here. // The current behavior appears intentional (ie the test is wrong) - tfm //        assertNull(""The profile stereotype named \"""" //            + ProfileMother.STEREOTYPE_NAME_ST + ""\"" shouldn't be found."", //            findModelElementFromNamespace( //                StereotypeUtility.getAvailableStereotypes(aClass), //                ProfileMother.STEREOTYPE_NAME_ST, profileModel));",yes,undetermined,0,0,0,no,0.2394850009629705
29,argouml,DEFECT,// TODO: This looks backwards. Left over from issue 2034?,yes,undetermined,0,0,0,no,0.9957863762143764
30,argouml,DEFECT,"// TODO: This doesn't work, but should //        Collection elements = Model.getFacade().getRootElements(); //        Model.getUmlHelper().deleteCollection(elements); //        elements = Model.getFacade().getRootElements(); //        assertTrue(""Failed to create clean environment"", elements.isEmpty());",yes,undetermined,0,0,0,no,0.43816925300051257
31,argouml,DEFECT,// TODO: Issue 6144. It is proposed to allow any paclage to return as a potential // namespace. Commenting out until this is reviewed and clearly accepted by all.,yes,undetermined,0,0,0,no,0.8546616543688604
32,argouml,DEFECT,// TODO: Something might go wrong during processing. We don't really // want to create the model element until the user releases the mouse // in the place expected.,yes,undetermined,0,0,0,no,0.9170739807067145
33,argouml,DEFECT,"/* Strange, but the Link.getConnection()
         * returns a Collection, not a List!
         * This is a bug, compared to the UML standard (IMHO, mvw).
         * Hence, the LinkEnd is added to the end instead... */",yes,undetermined,0,0,0,no,0.03690916015072097
34,argouml,DEFECT,// TODO: synchronized is required here as there can be some  // concurrent modification problems when drawing a call message and // having that automatically draw the reply. Maybe fixing the TODO // below will resolve this and the synch can go.,yes,undetermined,0,0,0,no,0.9965519270796492
35,argouml,DEFECT,"/* These next lines for the case that the current namespace
         * is not a valid one... Which of course should not happen,
         * but it does - see the project attached to issue 3772.
         */",yes,undetermined,0,0,0,no,0.03805534828211071
36,argouml,DEFECT,// TODO: In UML2.x Event has no parameters. // TODO: Treat ObjectFlowState (this doesn't exist anymore in UML2) // and Classifier,yes,undetermined,0,0,0,no,0.9999999917481204
37,argouml,DEFECT,"/* TODO: If this is an ordered list, then you have to
                        add in the right location! */",yes,undetermined,0,0,0,no,0.9970841303093557
38,argouml,DEFECT,// Appears to be gone from UML 2.x,yes,undetermined,0,0,0,no,0.043119018232115384
39,argouml,DEFECT,/* TODO: This does not work - no event arrives. */,yes,undetermined,0,0,0,no,0.9999824423157767
40,argouml,DEFECT,// TODO: This is only checking immediate siblings when it needs // to be checking all imported elements both here and by our // parents and also taking into account visibility,yes,undetermined,0,0,0,no,0.9277580767686864
41,argouml,DEFECT,"/* This does not work (anymore/yet?),
	 * since we never have a FigText here: */",yes,undetermined,0,0,0,no,0.03971283747556178
42,argouml,DEFECT,"/**
     * Utility function to localize the given string with help text, and show it
     * in the status bar of the ArgoUML window. This function is used in favour
     * of the inline call to enable later improvements; e.g. it would be
     * possible to show a help-balloon.
     * <p>
     * TODO: Work this out. One matter to possibly improve: show multiple lines.
     *
     * @param s the given string to be localized and shown
     */",yes,undetermined,0,0,0,no,0.4941510747925153
43,argouml,DEFECT,// TODO: Monitor is getting dismissed before layout is complete,yes,undetermined,0,0,0,no,0.9947014904903296
44,argouml,DEFECT,"// TODO: We currently don't support per-fig settings for most stuff, so // we can just use the defaults that we were given. //        settings = new DiagramSettings(renderSettings);",yes,undetermined,0,0,0,no,0.9524312229465363
45,argouml,DEFECT,// TODO: Not yet working for UML2,yes,undetermined,0,0,0,no,0.9999999999162985
46,argouml,DEFECT,"// This triggers some warnings (in logs) because some elements are // created without an owner (and eResource is null) // TODO: fix this // The warning log (if we would not add the EObject to a resource) would // looks like this: ""...WARN [AWT-EventQueue-0] Encountered deleted // object during delete of...""",yes,undetermined,0,0,0,no,0.7193701805043097
47,argouml,DEFECT,// TODO: Shouldn't we throw an exception here?!?!,yes,undetermined,0,0,0,no,0.9999996854031947
48,argouml,DEFECT,//TODO: algorithm is n^2 in number of nodes,yes,undetermined,0,0,0,no,0.9999993057213726
49,argouml,DEFECT,// Update attached node figures // TODO: Presumably this should only happen on a add or remove event,yes,undetermined,0,0,0,no,0.9774654490073152
50,argouml,DEFECT,// FIXME: depends on internal behavior of XmiReaderImpl. // Needed for solving issue 5017.,yes,undetermined,0,0,0,no,0.4250016564993796
51,argouml,DEFECT,// TODO: Allow adding models to a diagram - issue 4172.,yes,undetermined,0,0,0,no,0.9951091873203229
52,argouml,DEFECT,"/* TODO: Update the old and new node above this!
                 * This is issue 5079.
                 * The old and new UML namespaces are in the event, but
                 * how do we know which nodes to refresh?
                 * And how to refresh? 
                 * Not necessarily the namespaces, 
                 * depending on the perspective. */",yes,undetermined,0,0,0,no,0.6020345797039467
53,argouml,DEFECT,// TODO: This should only be building list up to 'index',yes,undetermined,0,0,0,no,0.9999993909056087
54,argouml,DEFECT,// TODO: The following can be removed if selectAll gets fixed,yes,undetermined,0,0,0,no,0.990655461334163
55,argouml,DEFECT,// FIXME: Boundary condition at end of image for non-integral // multiples of BUFFER_HEIGHT,yes,undetermined,0,0,0,no,0.2624072587297517
56,argouml,DEFECT,// TODO: not in UML 2,yes,undetermined,0,0,0,no,0.9999999999999699
57,argouml,DEFECT,"// TODO: We can't have a global ""current"" language // NotationProviderFactory2.setCurrentLanguage(oldLanguage);",yes,undetermined,0,0,0,no,0.9999985208850547
58,argouml,DEFECT,"// XXX this seems to be a bug of the parser, // it always requires a context",yes,undetermined,0,0,0,no,0.07549231025083573
59,argouml,DEFECT,// TODO: Use Model.getModelManagementHelper().getPathList(modelElement); // TODO: This will fail with nested Models,yes,undetermined,0,0,0,no,0.9999999997097738
60,argouml,DEFECT,// If we are not visible most likely // we're being deleted. // TODO: This indicates a more fundamental problem that // should be investigated - tfm - 20061230,yes,undetermined,0,0,0,no,0.9906458682508217
61,argouml,DEFECT,"/* TODO: We should have all the information that is required in the
         * NotationSettings object */",yes,undetermined,0,0,0,no,0.9999999379797523
62,argouml,DEFECT,"/**
     * Parse a transition description line of the form:<pre>
     *    ""event-signature [guard-condition] / action-expression"".
     * </pre>
     *
     * A "";"" is not interpreted as having any special meaning. <p>
     *
     * The ""event-signature"" may be one of the 4
     * formats:<ul>
     * <li> ChangeEvent: ""when(condition)""
     * <li> TimeEvent: ""after(duration)""
     * <li> CallEvent: ""a(parameter-list)"".
     * <li> SignalEvent: any string without ().
     * </ul>
     *
     * Remark: The UML standard does not make a distinction between
     * the syntax of a CallEvent and SignalEvent:
     * both may have parameters between ().
     * For simplicity and user-friendliness, we chose for this distinction.
     * If a user wants parameters for a SignalEvent,
     * then he may add them in the properties panels, but not on the diagram.
     * <p>
     *
     * An alternative solution would be to create a CallEvent by default,
     * and when editing an existing event, do not change the type.<p>
     *
     * TODO: This function fails when the event-signature contains a ""[""
     * or a ""/"". See issue 5983 for other cases that were 
     * a problem in the past.
     *
     * @param trans the transition object to which this string applies
     * @param s     the string to be parsed
     * @return      the transition object
     * @throws ParseException when no matching [] are found
     */",yes,undetermined,0,0,0,no,0.16110526720417695
63,argouml,DEFECT,// TODO: This whole block can be deleted when issue 6266 is resolved,yes,undetermined,0,0,0,no,0.9967871842905924
64,argouml,DEFECT,// TODO: not in UML 2,yes,undetermined,0,0,0,no,0.9999999999999699
65,argouml,DEFECT,"/* Dirty fix for issue 1758 (Needs to be amended
             * when we start supporting parameters):
             */",yes,undetermined,0,0,0,no,0.04419377166800032
66,argouml,DEFECT,// TODO: not in UML 2,yes,undetermined,0,0,0,no,0.9999999999999699
67,argouml,DEFECT,"/* TODO: This does not work! (MVW)
                 Model.getFacade().setBody(expr,guard);
                 Model.getFacade().setExpression(g,expr); */",yes,undetermined,0,0,0,no,0.8970668060953025
68,argouml,DEFECT,// TODO: not in UML 2,yes,undetermined,0,0,0,no,0.9999999999999699
69,argouml,DEFECT,"/* TODO: In this case, the properties panel
                 is not updated with the changed expression! */",yes,undetermined,0,0,0,no,0.9939506071005946
70,argouml,DEFECT,// TODO: not in UML 2,yes,undetermined,0,0,0,no,0.9999999999999699
71,argouml,DEFECT,// WARNING: the OutputStream version of this doesn't work! - tfm,yes,undetermined,0,0,0,no,0.04117220191545072
72,argouml,DEFECT,"// else if the y coordinate is outside of the classifier role, // we fix the y in the max y of the classifier role. // FIXME: We should increase the height of the classifier role,  // don't???",yes,undetermined,0,0,0,no,0.12019826434302747
73,argouml,DEFECT,// WARNING: The GEF implementation of the OutputStream version of  // this method doesn't work - tfm - 20070531,yes,undetermined,0,0,0,no,0.041253221318023225
74,argouml,DEFECT,"// TODO do tests for allInstances (8.5.11), // even though it is not yet supported",yes,undetermined,0,0,0,no,0.9999984426302336
75,argouml,DEFECT,// TODO: Not implemented by eUML,yes,undetermined,0,0,0,no,0.9999999999996286
76,argouml,DEFECT,"// TODO: This only works if the item is visible // (all its parents are expanded) // getExpandedDescendants, makeVisible",yes,undetermined,0,0,0,no,0.9911133608970826
77,argouml,DEFECT,// This will have problems if the smallest possible // data segment is smaller than the size of the buffer // needed for regex matching,yes,undetermined,0,0,0,no,0.036134624214894065
78,argouml,DEFECT,// TODO: not in UML 2,yes,undetermined,0,0,0,no,0.9999999999999699
79,argouml,DEFECT,// TODO: Why is this throwing a generic runtime exception?!?!,yes,undetermined,0,0,0,no,0.9960246019577539
80,argouml,DEFECT,"// TODO: This exception will be thrown during autoscrolling // when the edge of the canvas is reached causing either // the width or height to be ""adjusted"" to a negative value",yes,undetermined,0,0,0,no,0.8724855898753869
81,argouml,DEFECT,"/* Disabled since it gives various problems: e.g. the toolbar icons
         * get too wide. Also the default does not give the new java 5.0 looks.
        Component tree = ProjectBrowser.getInstance();
        SwingUtilities.updateComponentTreeUI(SwingUtilities.getRootPane(tree));
        */",yes,undetermined,0,0,0,no,0.03794935082652198
82,argouml,DEFECT,// if this is a feature get the owner of that feature // TODO: Does anything actually make use of this? It can // cause unexpected behaviour.,yes,undetermined,0,0,0,no,0.9135990145400186
83,argouml,DEFECT,// TODO: This error needs to be reported!,yes,undetermined,0,0,0,no,0.9999994704370673
84,argouml,DEFECT,// TODO: not in UML 2,yes,undetermined,0,0,0,no,0.9999999999999699
85,argouml,DEFECT,// TODO: We should be giving the user more direct feedback,yes,undetermined,0,0,0,no,0.9908579187096268
86,argouml,DEFECT,// TODO: This should be using internalGetAllRealizedInterfaces(),yes,undetermined,0,0,0,no,0.9999999999999452
87,argouml,DEFECT,/* Many many of these events .. this slows things down: */,yes,undetermined,0,0,0,no,0.035315134671183905
88,argouml,DEFECT,"// TODO: This doesn't perform well enough with large models to have // it enabled by default. If the performance can't be improved, // perhaps we can introduce a manual ""find in explorer tree"" action. // selectAll(targets);",yes,undetermined,0,0,0,no,0.7879652001446676
89,argouml,DEFECT,// Really ought to have a CriticException to throw here.,yes,undetermined,0,0,0,no,0.048145924339459606
90,argouml,DEFECT,// TODO: Considering all delete events to be valid like below // is going to cause lots of unecessary work and some problems,yes,undetermined,0,0,0,no,0.928900470450367
91,argouml,DEFECT,// TODO: This is never executed as Ludos DI work was never // finished.,yes,undetermined,0,0,0,no,0.9924241660819558
92,argouml,DEFECT,"// TODO: When the attribute isn't in the diagram // , for exemple: select attribut by Explorer // Then, the refresh isn't auto: we had to click !!",yes,undetermined,0,0,0,no,0.925361928811326
93,argouml,DEFECT,// TODO: This is probably an undesirable side effect unless the user // confirms it.  Placing an element on a second diagram is going to // potentially change its namespace. - tfm 20061208,yes,undetermined,0,0,0,no,0.9518590598125866
94,argouml,DEFECT,"// TODO: The below is not strictly correct, but should // cover the case we deal with.  Using a real XML parser // would be better. // Look for XML document has just a single root element",yes,undetermined,0,0,0,no,0.8294357356562785
95,argouml,DEFECT,// TODO: assumes public // TODO: This is probably an undesirable side effect unless the user // confirms it.  Placing an element on a second diagram is going to // potentially change its namespace. - tfm 20061208,yes,undetermined,0,0,0,no,0.999999164827486
96,argouml,DEFECT,"// TODO: uncomment the following to get the failure. //        assertLoadModel(ISSUE5946_BASE_DIR + ""zipped-uml14"" //            + ""/andromda-profile-datatype/3.3/andromda-profile-datatype-3.3.xml.zip"", //            null, ""testReadCompressedAndroMDAProfileFileIssue5946"");",yes,undetermined,0,0,0,no,0.8227515404398121
97,argouml,DEFECT,"// Status as of Nov. 2008 - Figs created, property panels exist, more // work required on explorer and assumptions about models not being // nested - tfm",yes,undetermined,0,0,0,no,0.03664456330131378
