,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba
0,emf-2.4.1,DEFECT,"// Bug 124306: we should rely on XMLCalendar to normalize Dave value, to ensure that all Date value // fields are taken into account.",yes,undetermined,0,0,0,no,0.04082988800986393
1,emf-2.4.1,DEFECT,// is this an error???,yes,undetermined,0,0,0,no,0.03982337929627802
2,emf-2.4.1,DEFECT,//FB Won't compile with VAJ or NO_JIKES  //FB Object adapter = adapterFactory.adapt(mapping);,yes,undetermined,0,0,0,no,0.04046776771492506
3,emf-2.4.1,DEFECT,// EATM must fix isSet bits.,yes,undetermined,0,0,0,no,0.0436934792856452
4,emf-2.4.1,DEFECT,// EATM must fix isSet bits.,yes,undetermined,0,0,0,no,0.0436934792856452
5,emf-2.4.1,DEFECT,// is this an error???,yes,undetermined,0,0,0,no,0.03982337929627802
6,emf-2.4.1,DEFECT,// line comments at the end of annotations are not a part of the range of annotation // TODO is not including line comments at the end of annotations a bug?,yes,undetermined,0,0,0,no,0.5853924430230276
7,emf-2.4.1,DEFECT,// EATM in JDK 1.4 there will be an indexOf on StringBuffer. //,yes,undetermined,0,0,0,no,0.040395461047742505
8,emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl //,yes,undetermined,0,0,0,no,0.9999998551905085
9,emf-2.4.1,DESIGN,// EATM Call the deprecated method which does the same thing  // but might have an override in older code.,yes,undetermined,0,0,0,no,0.04499243463344747
10,emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl //,yes,undetermined,0,0,0,no,0.9999998551905085
11,emf-2.4.1,DESIGN,// Unused?,yes,undetermined,0,0,0,no,0.0473750648141842
12,emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl? //,yes,undetermined,0,0,0,no,0.9999998551905085
13,emf-2.4.1,DESIGN,// call workaround,yes,undetermined,0,0,0,no,0.12951902911845997
14,emf-2.4.1,DESIGN,// TODO deprecate (since getPluginClass() is no longer called) //,yes,undetermined,0,0,0,no,0.9926780613536157
15,emf-2.4.1,DESIGN,// Ensure that this race condition is thread safe; it doesn't matter who wins the race. //,yes,undetermined,0,0,0,no,0.03924181111053903
16,emf-2.4.1,DESIGN,// TODO factor up into GenBaseImpl? //,yes,undetermined,0,0,0,no,0.9999998551905085
17,emf-2.4.1,DESIGN,"// TODO // This assumes we only get a SET notification, which isn't a good assumption. //",yes,undetermined,0,0,0,no,0.941316271245659
18,emf-2.4.1,DESIGN,//DMS handle this well.,yes,undetermined,0,0,0,no,0.040759798639642374
19,emf-2.4.1,DESIGN,// Unused?,yes,undetermined,0,0,0,no,0.0473750648141842
20,emf-2.4.1,DESIGN,//FB TBD can we come up with a better algorithm for choosing the default label feature?,yes,undetermined,0,0,0,no,0.053297325768408246
21,emf-2.4.1,DESIGN,//DMS should we let this exception out?,yes,undetermined,0,0,0,no,0.03764765325325868
22,emf-2.4.1,DESIGN,"//DMS What if Eclipse is running, but an invalid facade has been specified?  We still should format code, use encoding,...",yes,undetermined,0,0,0,no,0.03969711059540445
23,emf-2.4.1,DESIGN,//DMS  Do a better job with specific exceptions? Just use chained RuntimeExceptions?,yes,undetermined,0,0,0,no,0.0601310010152706
24,emf-2.4.1,DESIGN,"// If the delegate URI can be handled as a file,  // we'll hope that renaming it will be really efficient. //",yes,undetermined,0,0,0,no,0.05657457776160343
25,emf-2.4.1,DESIGN,"//DMS Why not this? //new SubProgressMonitor(progressMonitor, 1));",yes,undetermined,0,0,0,no,0.041430904676871536
26,emf-2.4.1,DESIGN,// Assume that it's an attribute for now. // It will/could become a reference if the type resolves to an EClass. //,yes,undetermined,0,0,0,no,0.040284449181904526
27,emf-2.4.1,DESIGN,"// Do nothing for now, and avoid propagating the exception.   // How should builders handle cancel?",yes,undetermined,0,0,0,no,0.04016435063022167
28,emf-2.4.1,DESIGN,"// this is a fall-back, however, this should never be called",yes,undetermined,0,0,0,no,0.03792470823318831
29,emf-2.4.1,DESIGN,// TODO fix the space above,yes,undetermined,0,0,0,no,0.9999992744455001
30,emf-2.4.1,DESIGN,// TODO REMOVE THIS BOGUS EMPTY LINE,yes,undetermined,0,0,0,no,0.9972406440802324
31,emf-2.4.1,DESIGN,// TODO handle class cast exception better.,yes,undetermined,0,0,0,no,0.9943549024762697
32,emf-2.4.1,DESIGN,// I don't know if we should be run this deferred  // because we might have to give the editor a chance to process the viewer update events  // and hence to update the views first. //  //,yes,undetermined,0,0,0,no,0.038370624527045455
33,emf-2.4.1,DESIGN,// This is a big festering hack to make the images the right size from the start. //,yes,undetermined,0,0,0,no,0.09757095645746465
34,emf-2.4.1,DESIGN,// EATM Demand create metadata; needs to depend on processing mode...,yes,undetermined,0,0,0,no,0.04805150055972755
35,emf-2.4.1,DESIGN,// TODO This is really quite attrocious since there is code that will assume an iterator that returns strings!,yes,undetermined,0,0,0,no,0.948911994953659
36,emf-2.4.1,DESIGN,//TBD return (user selected subset?) of referenced packages that contain super classes of classes in this package.,yes,undetermined,0,0,0,no,0.04016755156911282
37,emf-2.4.1,DESIGN,// call the workaround,yes,undetermined,0,0,0,no,0.12951902911845997
38,emf-2.4.1,DESIGN,// //TBD rethink where exactly some of the following methods belong (GenModel or GenPackage) //,yes,undetermined,0,0,0,no,0.04201011671917799
39,emf-2.4.1,DESIGN,"// if there are multiple variables in declaration,  // separate this variable fragment into a separate declaration",yes,undetermined,0,0,0,no,0.04067811840345505
40,emf-2.4.1,DESIGN,// EATM this would be wrong.,yes,undetermined,0,0,0,no,0.04128532768355477
41,emf-2.4.1,DESIGN,// call workaround,yes,undetermined,0,0,0,no,0.12951902911845997
42,emf-2.4.1,DESIGN,// REVISIT: Remove this code.,yes,undetermined,0,0,0,no,0.04298342976126812
43,emf-2.4.1,DESIGN,// The label is not used. //,yes,undetermined,0,0,0,no,0.03927352957703391
44,emf-2.4.1,DESIGN,"//DMS Why not this? //new SubProgressMonitor(progressMonitor, 1));",yes,undetermined,0,0,0,no,0.041430904676871536
45,emf-2.4.1,DESIGN,// Motif kludge: we would get something random instead of null. //,yes,undetermined,0,0,0,no,0.053136515604297156
