,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba
0,jEdit-4.2,DEFECT,// Technically incorrect here - we need to wrap null values // as bsh.Primitive.NULL.  However the This.invokeMethod() // will do that much for us. // We need to generate a conditional here to test for null // and return Primitive.NULL,yes,undetermined,0,0,0,no,0.03935901638686263
1,jEdit-4.2,DEFECT,"// looks bad with the OS X L&F, apparently...",yes,undetermined,0,0,0,no,0.04269849836148738
2,jEdit-4.2,DEFECT,"// very subtle... if we leave this for // ensurePhysicalLineIsVisible(), an // extra line will be added to the // scroll line count.",yes,undetermined,0,0,0,no,0.03944533101650903
3,jEdit-4.2,DEFECT,// only works for jEdit plugins,yes,undetermined,0,0,0,no,0.043620212489534085
4,jEdit-4.2,DEFECT,// Warning: Null callstack here.  Don't think we need // a stack trace to indicate how we sourced the method.,yes,undetermined,0,0,0,no,0.04481473493700455
5,jEdit-4.2,DEFECT,// does it matter that this doesn't set the type correctly?,yes,undetermined,0,0,0,no,0.04338695441838989
6,jEdit-4.2,DEFECT,// Jun 9 2004 12:40 PM // waitFor() hangs on some Java // implementations.,yes,undetermined,0,0,0,no,0.04196792244091445
7,jEdit-4.2,DEFECT,// Feb 4 2000 5:30 PM // Catch Throwable here rather than Exception. // Kaffe's implementation of Runtime.exec throws java.lang.InternalError.,yes,undetermined,0,0,0,no,0.04124771318705353
8,jEdit-4.2,DEFECT,"// looks bad with the OS X L&F, apparently...",yes,undetermined,0,0,0,no,0.04269849836148738
9,jEdit-4.2,DEFECT,/* two plugins provide same class! */,yes,undetermined,0,0,0,no,0.0428993318555294
10,jEdit-4.2,DEFECT,"// This really should be Long.decode, but there isn't one. As a result, // hex and octal literals ending in 'l' or 'L' don't work.",yes,undetermined,0,0,0,no,0.0465749005338124
11,jEdit-4.2,DEFECT,//{{{ Broken class,yes,undetermined,0,0,0,no,0.04355596376035475
12,jEdit-4.2,DEFECT,"// while its broken to have a null // symlinkPath, some older plugins // might...",yes,undetermined,0,0,0,no,0.04330462116904322
13,jEdit-4.2,DEFECT,"// This is not good... // need a way to update eval without re-installing... // so that we can re-eval params, etc. when classloader changes // look into this",yes,undetermined,0,0,0,no,0.04581972401811735
14,jEdit-4.2,DEFECT,// this seems to make nested readLock() calls work okay. // but I have no idea if it actually fixes things or not.,yes,undetermined,0,0,0,no,0.05159955975756681
15,jEdit-4.2,DEFECT,"// ... but if HyperSearch results window is floating, // the workaround causes problems!",yes,undetermined,0,0,0,no,0.06554629262983441
16,jEdit-4.2,DEFECT,//{{{ Set the buffer's path // Caveat: won't work if save() called with a relative path. // But I don't think anyone calls it like that anyway.,yes,undetermined,0,0,0,no,0.04493605697865626
17,jEdit-4.2,DEFECT,// TODO: move(x) shouldn't rely on calling next() x times,yes,undetermined,0,0,0,no,0.9722556768360198
18,jEdit-4.2,DEFECT,"// BUG: if there are multiple selections in different // contexts, the wrong comment strings will be inserted.",yes,undetermined,0,0,0,no,0.04865642412072927
19,jEdit-4.2,DEFECT,// TODO: move(x) shouldn't rely on calling next() x times,yes,undetermined,0,0,0,no,0.9722556768360198
20,jEdit-4.2,DEFECT,// Feb 4 2000 5:30 PM // Catch Throwable here rather than Exception. // Kaffe's implementation of Runtime.exec throws java.lang.InternalError.,yes,undetermined,0,0,0,no,0.04124771318705353
21,jEdit-4.2,DEFECT,// Fix for this bug: // -- Put a mode into the user dir with the same name as one //    on the system dir. // -- Reload edit modes. // -- Old mode from system dir still used for highlighting //    until jEdit restart.,yes,undetermined,0,0,0,no,0.04799921455996598
22,jEdit-4.2,DEFECT,"// looks bad with the OS X L&F, apparently...",yes,undetermined,0,0,0,no,0.04269849836148738
23,jEdit-4.2,DEFECT,"/* 
		Apparently in some environments you can't catch the security exception
		at all...  e.g. as an applet in IE  ... will probably have to work 
		around 
	*/",yes,undetermined,0,0,0,no,0.050894750886581505
