,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba
0,jfreechart-1.0.19,DEFECT,// result = this.workingCalendar.getTimeInMillis(); // preceding code won't work with JDK 1.3,yes,undetermined,0,0,0,no,0.04112434485815779
1,jfreechart-1.0.19,DEFECT,// TODO: Check this result...,yes,undetermined,0,0,0,no,0.9999999742073197
2,jfreechart-1.0.19,DEFECT,// TODO: Check this result...,yes,undetermined,0,0,0,no,0.9999999742073197
3,jfreechart-1.0.19,DEFECT,//return cal.getTimeInMillis(); // preceding code won't work with JDK 1.3,yes,undetermined,0,0,0,no,0.041177855129953075
4,jfreechart-1.0.19,DEFECT,// TODO: we didn't check the height yet,yes,undetermined,0,0,0,no,0.9961916648726414
5,jfreechart-1.0.19,DEFECT,"// FIXME: we've cloned the chart, but the dataset(s) aren't cloned // and we should do that",yes,undetermined,0,0,0,no,0.11731371672024336
6,jfreechart-1.0.19,DEFECT,// todo: not serialized yet,yes,undetermined,0,0,0,no,0.9999969363071128
7,jfreechart-1.0.19,DEFECT,// FIRST_MONDAY_AFTER_1900 = cal.getTime().getTime(); // preceding code won't work with JDK 1.3,yes,undetermined,0,0,0,no,0.04021590237254932
8,jfreechart-1.0.19,DEFECT,// TODO: we didn't check the height yet,yes,undetermined,0,0,0,no,0.9961916648726414
9,jfreechart-1.0.19,DESIGN,// this may be negative,yes,undetermined,0,0,0,no,0.037955194367309916
10,jfreechart-1.0.19,DESIGN,// TODO: to be implemented,yes,undetermined,0,0,0,no,0.999999999664673
11,jfreechart-1.0.19,DESIGN,// TODO:  the subplot areas needs to be moved out of the plot into the plot //        state,yes,undetermined,0,0,0,no,0.9819291952118055
12,jfreechart-1.0.19,DESIGN,//TODO: shift block down to bottom,yes,undetermined,0,0,0,no,0.9999900864797779
13,jfreechart-1.0.19,DESIGN,"// TODO: it might be a good idea to keep a reference to the color // specified in setPaint() or setColor(), rather than creating a // new object every time getPaint() is called.",yes,undetermined,0,0,0,no,0.7450591431653174
14,jfreechart-1.0.19,DESIGN,// TODO: for now we are ignoring the height constraint,yes,undetermined,0,0,0,no,0.9861300856967117
15,jfreechart-1.0.19,DESIGN,// first determine the size of the chart rendering area... // TODO workout insets for SWT,yes,undetermined,0,0,0,no,0.8309723432701009
16,jfreechart-1.0.19,DESIGN,// TODO: implement properly,yes,undetermined,0,0,0,no,0.9999985355795804
17,jfreechart-1.0.19,DESIGN,// TODO: this must be wrong...,yes,undetermined,0,0,0,no,0.9999999921547204
18,jfreechart-1.0.19,DESIGN,// TODO: we didn't check the width yet,yes,undetermined,0,0,0,no,0.9961431165034509
19,jfreechart-1.0.19,DESIGN,// hack to ensure the newly created awt fonts will be rendered with the // same height as the swt one,yes,undetermined,0,0,0,no,0.07598076205762266
20,jfreechart-1.0.19,DESIGN,//TODO: shift block right by half,yes,undetermined,0,0,0,no,0.9741405625507916
21,jfreechart-1.0.19,DESIGN,// FIXME: need a locale as well as a timezone,yes,undetermined,0,0,0,no,0.27839878528615886
22,jfreechart-1.0.19,DESIGN,//TODO: shift block over to right,yes,undetermined,0,0,0,no,0.9937436823511527
23,jfreechart-1.0.19,DESIGN,// do we need to update the crosshair values?,yes,undetermined,0,0,0,no,0.03777892924475065
24,jfreechart-1.0.19,DESIGN,// TODO find a better localization key,yes,undetermined,0,0,0,no,0.9944743382088099
25,jfreechart-1.0.19,DESIGN,// TODO:  this attribute should be transferred to the renderer state.,yes,undetermined,0,0,0,no,0.964035364149385
26,jfreechart-1.0.19,DESIGN,"// FIXME: implement this, low priority",yes,undetermined,0,0,0,no,0.3230544191211808
27,jfreechart-1.0.19,DESIGN,// FIXME: the XYItemRenderer interface doesn't specify the // getAnnotations() method but it should,yes,undetermined,0,0,0,no,0.3325331373939631
28,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes,undetermined,0,0,0,no,0.036700831395461736
29,jfreechart-1.0.19,DESIGN,"// calculate the adjusted data area taking into account the 3D effect... // this assumes that there is a 3D renderer, all this 3D effect is a // bit of an ugly hack...",yes,undetermined,0,0,0,no,0.06227307885420992
30,jfreechart-1.0.19,DESIGN,// TODO:  add constructors for combinations of number and date formatters.,yes,undetermined,0,0,0,no,0.901830977342387
31,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes,undetermined,0,0,0,no,0.036700831395461736
32,jfreechart-1.0.19,DESIGN,// TODO: move to plot state,yes,undetermined,0,0,0,no,0.999999999523141
33,jfreechart-1.0.19,DESIGN,// here we tweak the notify flag on the plot so that only // one notification happens even though we update multiple // axes...,yes,undetermined,0,0,0,no,0.03813003451398194
34,jfreechart-1.0.19,DESIGN,// defer argument checking,yes,undetermined,0,0,0,no,0.036700831395461736
35,jfreechart-1.0.19,DESIGN,//FIXME we should really assert a value here,yes,undetermined,0,0,0,no,0.36898154840626346
36,jfreechart-1.0.19,DESIGN,"// TO DO:  these annotations only work with XYPlot, see if it is possible to // make ContourPlot a subclass of XYPlot (DG);",yes,undetermined,0,0,0,no,0.04158231554304623
37,jfreechart-1.0.19,DESIGN,//FIXME we should really assert a value,yes,undetermined,0,0,0,no,0.36898154840626346
38,jfreechart-1.0.19,DESIGN,// do we need to update the crosshair values?,yes,undetermined,0,0,0,no,0.03777892924475065
39,jfreechart-1.0.19,DESIGN,"// not strictly necessary, since the // renderer set for the // parent plot is not used",yes,undetermined,0,0,0,no,0.038348598382028164
40,jfreechart-1.0.19,DESIGN,// do we need to update the crosshair values?,yes,undetermined,0,0,0,no,0.03777892924475065
41,jfreechart-1.0.19,DESIGN,// TODO : complete this,yes,undetermined,0,0,0,no,0.9999999950290691
42,jfreechart-1.0.19,DESIGN,// TODO: to be implemented,yes,undetermined,0,0,0,no,0.999999999664673
43,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes,undetermined,0,0,0,no,0.036700831395461736
44,jfreechart-1.0.19,DESIGN,// TODO: to be implemented,yes,undetermined,0,0,0,no,0.999999999664673
45,jfreechart-1.0.19,DESIGN,// defer argument checking,yes,undetermined,0,0,0,no,0.036700831395461736
46,jfreechart-1.0.19,DESIGN,// TODO: to be implemented,yes,undetermined,0,0,0,no,0.999999999664673
47,jfreechart-1.0.19,DESIGN,// do we need to update the crosshair values?,yes,undetermined,0,0,0,no,0.03777892924475065
48,jfreechart-1.0.19,DESIGN,// TODO: fix output when this flag is set to true,yes,undetermined,0,0,0,no,0.9882146475848989
49,jfreechart-1.0.19,DESIGN,// TODO: for now we are ignoring the height constraint,yes,undetermined,0,0,0,no,0.9861300856967117
50,jfreechart-1.0.19,DESIGN,// TODO:  move the above to the plot state,yes,undetermined,0,0,0,no,0.999999999523141
51,jfreechart-1.0.19,DESIGN,// defer argument checking...,yes,undetermined,0,0,0,no,0.036700831395461736
