,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba
0,sql12,DEFECT,"/**
	 * TODO: this is a bug in the code at the moment.  If table ""test"" isn't qualified then this test passes - 
	 * so we need to beef up qualified tablename handling.
	 */",yes,undetermined,0,0,0,no,0.6686521256640391
1,sql12,DEFECT,"// Cast to int required as Dimension::setSize(double,double) // doesn't appear to do anything in JDK1.2.2.",yes,undetermined,0,0,0,no,0.03209293560703161
2,sql12,DEFECT,"/*
       * This won't work on Derby where non-varchar columns cannot be altered
       * among other restrictions.
       * 
       * TableColumnInfo nullintVC = getVarcharColumn(""nullint"", true, ""defVal"",
       * ""A varchar comment""); String alterColTypeSQL =
       * dialect.getColumnTypeAlterSQL(firstCol, nullintVC); runSQL(session,
       * alterColTypeSQL);
       */",yes,undetermined,0,0,0,no,0.037247719079738534
3,sql12,DEFECT,"// The following query produces a result that should be editable, but it currently isn't",yes,undetermined,0,0,0,no,0.03656012013278859
4,sql12,DEFECT,// We know this fails - Bug# 1700093,yes,undetermined,0,0,0,no,0.04375320182054891
5,sql12,DEFECT,// installColorsAndFont needs to be run twice. Background and foreground // colors only work if run after the super call but font only works if run // before the super call. May be a bug in JDK 1.4,yes,undetermined,0,0,0,no,0.04238810566513603
6,sql12,DEFECT,"// TODO: Remove this when Frontbase bug gets fixed. // For some reason, Frontbase renames the unique indexes to a generated value.  Since we don't  // know what that new name for the index is, skip dropping it for now.",yes,undetermined,0,0,0,no,0.5
7,sql12,DEFECT,"/*
            * Fails on DB2 8.1 for Linux 
            * However, Windows 8.1 fixpak 14 driver (2.10.52) works without 
            * exception
            * Also, Linux 9.0.1 server with 3.1.57 driver works fine as well
            */",yes,undetermined,0,0,0,no,0.03762222695346981
8,sql12,DEFECT,"// Bug #1995728 // MS-SQL is inconsistent with regard to setting the current catalog. If you have a database with // periods or spaces, then in some cases you must surround the catalog with quotes. For example,  // if you have a catalog named 'db with spaces' you must execute the following SQL: //  // use ""db with spaces"" // // However, the same is not always true for the JDBC API method Connection.setCatalog. For some old // versions of Microsoft drivers, you must quote the catalog as well. But for newer versions of the // driver, you must not quote the catalog. So here, we attempt to use the unquoted version first, then // if that fails, we will try quoting it.",yes,undetermined,0,0,0,no,0.036997424596295125
9,sql12,DEFECT,// This is here because addCompletionsAtListBegin() won't work when // schema info is still loading,yes,undetermined,0,0,0,no,0.040684871827971654
10,sql12,DEFECT,// This works only on JDK 1.5 // With JDK 1.4.x fonts will be bold for all SwingSet themes. // See also SwingSet2 demos in JDK 1.4 and JDK 1.5,yes,undetermined,0,0,0,no,0.040337942570058585
11,sql12,DEFECT,// These don't appear to work. // rowHeaderTableCol1.setResizable(true); // rowHeaderTableCol2.setResizable(true); // cornerTableCol1.setResizable(true); // cornerTableCol2.setResizable(true);,yes,undetermined,0,0,0,no,0.03922058402704329
12,sql12,DEFECT,"// If we are connecting to a database, then this is fine.  However, when // using MockObjects, this is problematic since there are many  // unimplemented methods in the MockObjects implementation that are  // required by this.",yes,undetermined,0,0,0,no,0.03755706693665458
13,sql12,DEFECT,"/*
				 * Issue: After importing the data, we could tell the user that
				 * it has been successfully imported.  This would give good
				 * positive feedback.  However, it would mean that they need
				 * to click on yet another button to dismiss that message.
				 * On the other hand, since the operation is synchronous,
				 * the user cannot proceed to do anything until it is done.
				 * If we assume that import usually works correctly unless
				 * they are shown an error message, then we do not need to
				 * display anything here.
				 */",yes,undetermined,0,0,0,no,0.03799050505786345
14,sql12,DEFECT,// TODO: This won't work when the column has values with quotes in them. // Use PreparedStatements instead.,yes,undetermined,0,0,0,no,0.9718130494754255
15,sql12,DEFECT,"/*
		 * TODO: When 1.4 is the earliest version supported, include
		 * the following line here:
		 * 	scrollPane.setWheelScrollingEnabled(true);
		 * The scroll-wheel function is important for ease of use, but the
		 * setWheelScrollingEnabled function is not available in java 1.3.
		 */",yes,undetermined,0,0,0,no,0.617532811635076
16,sql12,DEFECT,"// In case this is called by the AWT thread, log a message - this is most likey a bug",yes,undetermined,0,0,0,no,0.03865504815842299
17,sql12,DEFECT,"// Bug 2480365: It is very important to get the URI from the URL and not simply do  // new File(url.getFile()).  In the case where the path contains spaces, they get encoded as %20 in // the string returned from url.getFile().  java.io.File doesn't know how to deal with them  // (i.e. replace them with spaces) and the resulting File is rendered non-existent. ",yes,undetermined,0,0,0,no,0.03588921296471044
18,sql12,DEFECT,"// Cast to int required as Dimension::setSize(double,double) // doesn't appear to do anything in JDK1.2.2.",yes,undetermined,0,0,0,no,0.03209293560703161
19,sql12,DEFECT,// If we don't always show the scrollbars the whole DataTypePreferencesPanel is flickering like hell.,yes,undetermined,0,0,0,no,0.041100241856913744
20,sql12,DEFECT,// Bug #1757076 // always use false unless user specifies otherwise; this breaks // date editing in Derby (possibly DB2 as well),yes,undetermined,0,0,0,no,0.03893173450038149
21,sql12,DEFECT,// Some LAFs don't work under Java 6 or later.,yes,undetermined,0,0,0,no,0.04243406830892823
22,sql12,DEFECT,"// TODO: Setup title correctly. //		setTitle(getTitle() + "": "" + _session.getSessionSheet().getTitle());",yes,undetermined,0,0,0,no,0.8163586739615786
23,sql12,DEFECT,"// In case this is called by the AWT thread, log a message - this is most likey a bug",yes,undetermined,0,0,0,no,0.03865504815842299
24,sql12,DESIGN,// TODO: These 2 should be handled with an Iterator!!!,yes,undetermined,0,0,0,no,0.9999976699746866
25,sql12,DESIGN,// TODO verify this is correct,yes,undetermined,0,0,0,no,0.999999343633579
26,sql12,DESIGN,"// ??? For now, use the same renderer as everyone else. // ?? // ?? IN FUTURE: change this to use a new instance of renderer // ?? for this data type.",yes,undetermined,0,0,0,no,0.03585817794108536
27,sql12,DESIGN,// TODO: This should be handled with an Iterator!!!,yes,undetermined,0,0,0,no,0.9999976699746866
28,sql12,DESIGN,"/**
 * SQLFilterAction.java
 *
 * Created on March 22, 2003, 10:55 AM
 *
 * Adapted from SessionPropertiesAction.java by Colin Bell.
 *
 * TODO: CHange name to ContentsTabFilterAction
 */",yes,undetermined,0,0,0,no,0.726933028518933
29,sql12,DESIGN,// TODO: Do we need this one. */,yes,undetermined,0,0,0,no,0.9999999999999124
30,sql12,DESIGN,// JASON: Do we need these?,yes,undetermined,0,0,0,no,0.04124850419665785
31,sql12,DESIGN,// TODO: Do we need this one. */,yes,undetermined,0,0,0,no,0.9999999999999124
32,sql12,DESIGN,"//??? For now, use the same renderer as everyone else. //?? //?? IN FUTURE: change this to use a new instance of renederer //?? for this data type.",yes,undetermined,0,0,0,no,0.03525894266016083
33,sql12,DESIGN,// BAD - Converting a URL to a file this way is problematic when the file path contains spaces,yes,undetermined,0,0,0,no,0.03959208901370835
34,sql12,DESIGN,//JASON: Remove?? //_session.getSessionSheet().getSQLPanel().executeSQL(sql);,yes,undetermined,0,0,0,no,0.03911361780581093
35,sql12,DESIGN,// TODO: This is a nasty quick hack. Needs an API to do this.,yes,undetermined,0,0,0,no,0.9905156086101642
