,projectname,classification,commenttext,label,code,time,yes_vote,no_vote,svm_pred_0,svm_pred_0_proba,svm_pred_1,svm_pred_1_proba,svm_pred_2,svm_pred_2_proba,svm_pred_3,svm_pred_3_proba
0,jfreechart-1.0.19,DEFECT,// result = this.workingCalendar.getTimeInMillis(); // preceding code won't work with JDK 1.3,yes,undetermined,0,0,0,no,0.38959917158661955,no,0.36621595560480197,no,0.3626040026975266,no,0.37126733904288656
1,jfreechart-1.0.19,DEFECT,// TODO: Check this result...,yes,undetermined,0,0,0,yes,0.9901726054143811,yes,0.9914570881707517,yes,0.992476683805295,yes,0.9934526813480923
2,jfreechart-1.0.19,DEFECT,// TODO: Check this result...,yes,undetermined,0,0,0,yes,0.9901726054143811,yes,0.9914570881707517,yes,0.992476683805295,yes,0.9934526813480923
3,jfreechart-1.0.19,DEFECT,//return cal.getTimeInMillis(); // preceding code won't work with JDK 1.3,yes,undetermined,0,0,0,no,0.410142238589231,no,0.39034603529170253,no,0.3879248954778174,no,0.39717996373055237
4,jfreechart-1.0.19,DEFECT,// TODO: we didn't check the height yet,yes,undetermined,0,0,0,yes,0.972537933089831,yes,0.9865161162831884,yes,0.9881563408261289,yes,0.9895806074279329
5,jfreechart-1.0.19,DEFECT,"// FIXME: we've cloned the chart, but the dataset(s) aren't cloned // and we should do that",yes,undetermined,0,0,0,yes,0.6459458833130158,yes,0.6174181784274996,yes,0.6364939380043619,yes,0.6482244357508312
6,jfreechart-1.0.19,DEFECT,// todo: not serialized yet,yes,undetermined,0,0,0,yes,0.9612551933205923,yes,0.9864954738157304,yes,0.9881873284217741,yes,0.9896170005422185
7,jfreechart-1.0.19,DEFECT,// FIRST_MONDAY_AFTER_1900 = cal.getTime().getTime(); // preceding code won't work with JDK 1.3,yes,undetermined,0,0,0,no,0.4422350084519592,no,0.4115692578103338,no,0.41100086900962285,no,0.42116512313944404
8,jfreechart-1.0.19,DEFECT,// TODO: we didn't check the height yet,yes,undetermined,0,0,0,yes,0.972537933089831,yes,0.9865161162831884,yes,0.9881563408261289,yes,0.9895806074279329
9,jfreechart-1.0.19,DESIGN,// this may be negative,yes,undetermined,0,0,0,no,0.011435461733989396,no,0.01390444806589463,no,0.013079978651386841,no,0.01270207495973224
10,jfreechart-1.0.19,DESIGN,// TODO: to be implemented,yes,undetermined,0,0,0,yes,0.9999999985579451,yes,0.9999999980067478,yes,0.9999999987629339,yes,0.9999999992430008
11,jfreechart-1.0.19,DESIGN,// TODO:  the subplot areas needs to be moved out of the plot into the plot //        state,yes,undetermined,0,0,0,yes,0.9604136942734649,yes,0.9865095398553191,yes,0.9881562112189609,yes,0.9896084101099898
12,jfreechart-1.0.19,DESIGN,//TODO: shift block down to bottom,yes,undetermined,0,0,0,yes,0.9610901215376654,yes,0.9864976991283732,yes,0.9881688080558336,yes,0.9895939717504755
13,jfreechart-1.0.19,DESIGN,"// TODO: it might be a good idea to keep a reference to the color // specified in setPaint() or setColor(), rather than creating a // new object every time getPaint() is called.",yes,undetermined,0,0,0,yes,0.8300258860441742,yes,0.8398198187231259,yes,0.8457305089678462,yes,0.8561934103286515
14,jfreechart-1.0.19,DESIGN,// TODO: for now we are ignoring the height constraint,yes,undetermined,0,0,0,yes,0.9566563200081051,yes,0.9865188146503368,yes,0.988179260400518,yes,0.9896063863544606
15,jfreechart-1.0.19,DESIGN,// first determine the size of the chart rendering area... // TODO workout insets for SWT,yes,undetermined,0,0,0,yes,0.6598242497951092,yes,0.6069979787667865,yes,0.6077580742268865,yes,0.5979953387389251
16,jfreechart-1.0.19,DESIGN,// TODO: implement properly,yes,undetermined,0,0,0,yes,0.9999885747164309,yes,0.9999885916566849,yes,0.9999919746316055,yes,0.9999942425421169
17,jfreechart-1.0.19,DESIGN,// TODO: this must be wrong...,yes,undetermined,0,0,0,yes,0.9999919557132063,yes,0.9999900334887176,yes,0.9999928860144992,yes,0.9999949089664895
18,jfreechart-1.0.19,DESIGN,// TODO: we didn't check the width yet,yes,undetermined,0,0,0,yes,0.9007943025214443,yes,0.9865282526835844,yes,0.9881759898369583,yes,0.9896060993468243
19,jfreechart-1.0.19,DESIGN,// hack to ensure the newly created awt fonts will be rendered with the // same height as the swt one,yes,undetermined,0,0,0,yes,0.7180323988319509,yes,0.5515827678358807,yes,0.5613729544562596,yes,0.5688785784932839
20,jfreechart-1.0.19,DESIGN,//TODO: shift block right by half,yes,undetermined,0,0,0,yes,0.921092669322744,yes,0.9865186557627984,yes,0.9881737927419014,yes,0.9895998041874129
21,jfreechart-1.0.19,DESIGN,// FIXME: need a locale as well as a timezone,yes,undetermined,0,0,0,yes,0.9927723994369047,yes,0.9955223750716271,yes,0.9953863984305805,yes,0.9960293275174268
22,jfreechart-1.0.19,DESIGN,//TODO: shift block over to right,yes,undetermined,0,0,0,yes,0.9700827822952602,yes,0.9910835796295798,yes,0.9889571426177715,yes,0.9902565903865675
