2019-02-05 10:40:15,873 - INFO - rig - apache-ant-1.7.0
2019-02-05 10:40:24,186 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-05 10:40:24,187 - INFO - fastread - Total Yes: 131 | Total No: 3967
2019-02-05 10:40:24,718 - INFO - fastread - 0, 0  500
2019-02-05 10:40:31,157 - INFO - fastread - 30, 34  500
2019-02-05 10:40:35,626 - INFO - fastread - 35, 54  109
2019-02-05 10:40:40,438 - INFO - fastread - 41, 74  132
2019-02-05 10:40:45,117 - INFO - fastread - 52, 94  144
2019-02-05 10:40:49,577 - INFO - fastread - 58, 114  119
2019-02-05 10:40:54,137 - INFO - fastread - 65, 134  132
2019-02-05 10:40:58,713 - INFO - fastread - 69, 154  146
2019-02-05 10:41:03,335 - INFO - fastread - 74, 174  156
2019-02-05 10:41:08,038 - INFO - fastread - 77, 194  160
2019-02-05 10:41:12,699 - INFO - fastread - 79, 214  164
2019-02-05 10:41:17,336 - INFO - fastread - 81, 234  151
2019-02-05 10:41:21,909 - INFO - fastread - 81, 254  144
2019-02-05 10:41:26,302 - INFO - fastread - 85, 274  140
2019-02-05 10:41:30,909 - INFO - fastread - 85, 294  144
2019-02-05 10:41:35,372 - INFO - fastread - 85, 314  158
2019-02-05 10:41:39,832 - INFO - fastread - 89, 334  143
2019-02-05 10:41:44,316 - INFO - fastread - 89, 354  137
2019-02-05 10:41:48,541 - INFO - fastread - 90, 374  137
2019-02-05 10:41:53,090 - INFO - fastread - 90, 394  136
2019-02-05 10:41:57,466 - INFO - fastread - 91, 414  134
2019-02-05 10:42:01,938 - INFO - fastread - 92, 434  145
2019-02-05 10:42:06,445 - INFO - fastread - 93, 454  142
2019-02-05 10:42:10,789 - INFO - fastread - 93, 474  131
2019-02-05 10:42:15,367 - INFO - fastread - 94, 494  130
2019-02-05 10:42:19,723 - INFO - fastread - 94, 514  125
2019-02-05 10:42:24,405 - INFO - fastread - 97, 534  125
2019-02-05 10:42:29,034 - INFO - fastread - 97, 554  130
2019-02-05 10:42:33,662 - INFO - fastread - 97, 574  130
2019-02-05 10:42:38,314 - INFO - fastread - 99, 594  128
2019-02-05 10:42:42,764 - INFO - fastread - 100, 614  132
2019-02-05 10:42:47,449 - INFO - fastread - 101, 634  129
2019-02-05 10:42:51,961 - INFO - fastread - 102, 654  132
