2019-02-05 10:40:16,430 - INFO - rig - apache-jmeter-2.10
2019-02-05 10:40:25,301 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-05 10:40:25,302 - INFO - fastread - Total Yes: 374 | Total No: 7683
2019-02-05 10:40:25,907 - INFO - fastread - 0, 0  500
2019-02-05 10:41:24,740 - INFO - fastread - 275, 316  500
2019-02-05 10:41:34,623 - INFO - fastread - 279, 356  447
2019-02-05 10:41:44,980 - INFO - fastread - 280, 396  549
2019-02-05 10:41:55,633 - INFO - fastread - 283, 436  526
2019-02-05 10:42:06,323 - INFO - fastread - 286, 476  554
2019-02-05 10:42:17,145 - INFO - fastread - 290, 516  545
2019-02-05 10:42:27,968 - INFO - fastread - 294, 556  568
2019-02-05 10:42:38,497 - INFO - fastread - 297, 596  525
2019-02-05 10:42:49,056 - INFO - fastread - 297, 636  507
2019-02-05 10:42:59,581 - INFO - fastread - 311, 676  458
2019-02-05 10:43:10,448 - INFO - fastread - 312, 716  487
2019-02-05 10:43:20,556 - INFO - fastread - 314, 756  554
2019-02-05 10:43:30,809 - INFO - fastread - 314, 796  443
2019-02-05 10:43:40,925 - INFO - fastread - 320, 836  423
2019-02-05 10:43:51,177 - INFO - fastread - 321, 876  432
2019-02-05 10:44:01,194 - INFO - fastread - 324, 916  390
2019-02-05 10:44:11,142 - INFO - fastread - 324, 956  384
2019-02-05 10:44:21,135 - INFO - fastread - 326, 996  390
2019-02-05 10:44:31,245 - INFO - fastread - 326, 1036  378
2019-02-05 10:44:41,256 - INFO - fastread - 328, 1076  366
2019-02-05 10:44:51,221 - INFO - fastread - 329, 1116  371
2019-02-05 10:45:01,363 - INFO - fastread - 331, 1156  377
2019-02-05 10:45:11,420 - INFO - fastread - 335, 1196  364
2019-02-05 10:45:21,797 - INFO - fastread - 336, 1236  370
2019-02-05 10:45:32,226 - INFO - fastread - 342, 1276  373
2019-02-05 10:45:42,499 - INFO - fastread - 342, 1316  371
2019-02-05 10:45:52,943 - INFO - fastread - 343, 1356  414
2019-02-05 10:46:03,505 - INFO - fastread - 343, 1396  410
2019-02-05 10:46:13,869 - INFO - fastread - 344, 1436  412
2019-02-05 10:46:24,245 - INFO - fastread - 345, 1476  405
2019-02-05 10:46:34,933 - INFO - fastread - 346, 1516  423
2019-02-05 10:46:45,735 - INFO - fastread - 347, 1556  403
2019-02-05 10:46:56,352 - INFO - fastread - 351, 1596  403
2019-02-05 10:47:07,115 - INFO - fastread - 351, 1636  400
2019-02-05 10:47:19,081 - INFO - fastread - 352, 1676  395
2019-02-05 10:47:30,923 - INFO - fastread - 354, 1716  395
2019-02-05 10:47:41,529 - INFO - fastread - 354, 1756  395
2019-02-05 10:47:52,244 - INFO - fastread - 354, 1796  395
2019-02-05 10:48:03,288 - INFO - fastread - 354, 1836  390
2019-02-05 10:48:14,416 - INFO - fastread - 356, 1876  389
2019-02-05 10:48:25,509 - INFO - fastread - 358, 1916  388
2019-02-05 10:48:36,650 - INFO - fastread - 358, 1956  385
2019-02-05 10:48:47,775 - INFO - fastread - 358, 1996  383
2019-02-05 10:48:59,136 - INFO - fastread - 358, 2036  384
2019-02-05 10:49:10,412 - INFO - fastread - 358, 2076  383
2019-02-05 10:49:32,653 - INFO - fastread - 358, 2156  381
2019-02-05 10:49:45,798 - INFO - fastread - 359, 2196  378
2019-02-05 10:49:56,880 - INFO - fastread - 359, 2236  376
2019-02-05 10:50:08,222 - INFO - fastread - 360, 2276  377
2019-02-05 10:50:19,335 - INFO - fastread - 360, 2316  377
2019-02-05 10:50:30,478 - INFO - fastread - 361, 2356  375
2019-02-05 10:50:41,790 - INFO - fastread - 361, 2396  397
2019-02-05 10:50:53,125 - INFO - fastread - 362, 2436  390
2019-02-05 10:51:04,615 - INFO - fastread - 362, 2476  406
2019-02-05 10:51:15,999 - INFO - fastread - 363, 2516  394
2019-02-05 10:51:27,178 - INFO - fastread - 363, 2556  384
2019-02-05 10:51:38,922 - INFO - fastread - 363, 2596  398
2019-02-05 10:51:50,445 - INFO - fastread - 363, 2636  397
2019-02-05 10:52:01,854 - INFO - fastread - 363, 2676  389
2019-02-05 10:52:20,718 - INFO - fastread - 363, 2756  400
2019-02-05 10:52:39,697 - INFO - fastread - 364, 2836  398
2019-02-05 10:52:51,511 - INFO - fastread - 364, 2876  393
2019-02-05 10:53:03,508 - INFO - fastread - 364, 2916  397
2019-02-05 10:53:15,396 - INFO - fastread - 364, 2956  396
2019-02-05 10:53:27,458 - INFO - fastread - 364, 2996  391
2019-02-05 10:53:40,596 - INFO - fastread - 364, 3036  388
2019-02-05 10:54:00,594 - INFO - fastread - 364, 3116  387
2019-02-05 10:54:19,437 - INFO - fastread - 364, 3196  386
2019-02-05 10:54:38,654 - INFO - fastread - 364, 3276  383
2019-02-05 10:54:50,437 - INFO - fastread - 364, 3316  383
2019-02-05 10:54:50,476 - INFO - rig - ++++NEW CLF++++ ENSEMBLE_DT
2019-02-05 10:54:50,505 - INFO - ensemble - 10, 10
2019-02-05 10:54:50,511 - INFO - ensemble - 20, 20
2019-02-05 10:54:50,517 - INFO - ensemble - 30, 30
2019-02-05 10:54:50,523 - INFO - ensemble - 39, 40
2019-02-05 10:54:50,529 - INFO - ensemble - 48, 50
2019-02-05 10:54:50,535 - INFO - ensemble - 56, 60
2019-02-05 10:54:50,541 - INFO - ensemble - 65, 70
2019-02-05 10:54:50,547 - INFO - ensemble - 75, 80
2019-02-05 10:54:50,553 - INFO - ensemble - 84, 90
2019-02-05 10:54:50,559 - INFO - ensemble - 92, 100
2019-02-05 10:54:50,565 - INFO - ensemble - 99, 110
2019-02-05 10:54:50,571 - INFO - ensemble - 107, 120
2019-02-05 10:54:50,577 - INFO - ensemble - 117, 130
2019-02-05 10:54:50,583 - INFO - ensemble - 126, 140
2019-02-05 10:54:50,589 - INFO - ensemble - 133, 150
2019-02-05 10:54:50,595 - INFO - ensemble - 141, 160
2019-02-05 10:54:50,601 - INFO - ensemble - 149, 170
2019-02-05 10:54:50,607 - INFO - ensemble - 156, 180
2019-02-05 10:54:50,613 - INFO - ensemble - 165, 190
2019-02-05 10:54:50,619 - INFO - ensemble - 172, 200
2019-02-05 10:54:50,625 - INFO - ensemble - 179, 210
2019-02-05 10:54:50,632 - INFO - ensemble - 187, 220
2019-02-05 10:54:50,638 - INFO - ensemble - 194, 230
2019-02-05 10:54:50,644 - INFO - ensemble - 204, 240
2019-02-05 10:54:50,650 - INFO - ensemble - 213, 250
2019-02-05 10:54:50,656 - INFO - ensemble - 221, 260
2019-02-05 10:54:50,662 - INFO - ensemble - 230, 270
2019-02-05 10:54:50,669 - INFO - ensemble - 240, 280
2019-02-05 10:54:50,675 - INFO - ensemble - 250, 290
2019-02-05 10:54:50,681 - INFO - ensemble - 260, 300
2019-02-05 10:54:50,687 - INFO - ensemble - 270, 310
2019-02-05 10:54:50,693 - INFO - ensemble - 279, 320
2019-02-05 10:54:50,699 - INFO - ensemble - 282, 330
2019-02-05 10:54:50,706 - INFO - ensemble - 282, 340
2019-02-05 10:54:50,712 - INFO - ensemble - 284, 350
2019-02-05 10:54:50,718 - INFO - ensemble - 286, 360
2019-02-05 10:54:50,724 - INFO - ensemble - 289, 370
2019-02-05 10:54:50,731 - INFO - ensemble - 289, 380
2019-02-05 10:54:50,737 - INFO - ensemble - 290, 390
2019-02-05 10:54:50,743 - INFO - ensemble - 291, 400
2019-02-05 10:54:50,750 - INFO - ensemble - 291, 410
2019-02-05 10:54:50,756 - INFO - ensemble - 294, 420
2019-02-05 10:54:50,762 - INFO - ensemble - 296, 430
