2019-02-05 10:40:16,661 - INFO - rig - argouml
2019-02-05 10:40:25,615 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-05 10:40:25,615 - INFO - fastread - Total Yes: 1413 | Total No: 8039
2019-02-05 10:40:26,214 - INFO - fastread - 0, 0  500
2019-02-05 10:44:58,655 - INFO - fastread - 1245, 1457  500
2019-02-05 10:45:16,339 - INFO - fastread - 1248, 1504  2356
2019-02-05 10:45:35,271 - INFO - fastread - 1252, 1551  2051
2019-02-05 10:45:55,293 - INFO - fastread - 1257, 1598  1955
2019-02-05 10:46:20,334 - INFO - fastread - 1260, 1645  1912
2019-02-05 10:46:41,859 - INFO - fastread - 1262, 1692  1789
2019-02-05 10:47:03,752 - INFO - fastread - 1272, 1739  1661
2019-02-05 10:47:25,811 - INFO - fastread - 1277, 1786  1622
2019-02-05 10:47:47,216 - INFO - fastread - 1281, 1833  1547
2019-02-05 10:48:08,846 - INFO - fastread - 1288, 1880  1505
2019-02-05 10:48:31,043 - INFO - fastread - 1292, 1927  1490
2019-02-05 10:48:53,836 - INFO - fastread - 1293, 1974  1466
2019-02-05 10:49:16,913 - INFO - fastread - 1294, 2021  1448
2019-02-05 10:49:40,057 - INFO - fastread - 1296, 2068  1434
2019-02-05 10:50:03,525 - INFO - fastread - 1297, 2115  1426
2019-02-05 10:50:27,220 - INFO - fastread - 1300, 2162  1417
2019-02-05 10:50:51,102 - INFO - fastread - 1307, 2209  1411
2019-02-05 10:51:15,445 - INFO - fastread - 1310, 2256  1418
2019-02-05 10:51:40,134 - INFO - fastread - 1317, 2303  1413
2019-02-05 10:52:05,302 - INFO - fastread - 1318, 2350  1422
2019-02-05 10:52:30,240 - INFO - fastread - 1318, 2397  1412
2019-02-05 10:52:55,504 - INFO - fastread - 1319, 2444  1405
2019-02-05 10:53:20,948 - INFO - fastread - 1319, 2491  1400
2019-02-05 10:53:46,405 - INFO - fastread - 1321, 2538  1396
2019-02-05 10:54:12,108 - INFO - fastread - 1322, 2585  1395
2019-02-05 10:54:37,334 - INFO - fastread - 1324, 2632  1415
2019-02-05 10:55:02,054 - INFO - fastread - 1324, 2679  1460
2019-02-05 10:55:25,596 - INFO - fastread - 1327, 2726  1613
