2019-02-05 10:40:15,729 - INFO - rig - columba-1.4-src
2019-02-05 10:40:24,669 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-05 10:40:24,670 - INFO - fastread - Total Yes: 204 | Total No: 6264
2019-02-05 10:40:25,618 - INFO - fastread - 0, 0  500
2019-02-05 10:41:03,081 - INFO - fastread - 174, 185  500
2019-02-05 10:41:11,893 - INFO - fastread - 179, 217  326
2019-02-05 10:41:20,310 - INFO - fastread - 179, 249  350
2019-02-05 10:41:30,358 - INFO - fastread - 180, 281  429
2019-02-05 10:41:39,547 - INFO - fastread - 182, 313  435
2019-02-05 10:41:48,305 - INFO - fastread - 184, 345  479
2019-02-05 10:41:56,928 - INFO - fastread - 187, 377  405
2019-02-05 10:42:05,349 - INFO - fastread - 189, 409  416
2019-02-05 10:42:13,747 - INFO - fastread - 190, 441  399
2019-02-05 10:42:23,857 - INFO - fastread - 191, 473  379
2019-02-05 10:42:34,939 - INFO - fastread - 193, 505  372
2019-02-05 10:42:42,989 - INFO - fastread - 194, 537  379
2019-02-05 10:42:50,924 - INFO - fastread - 194, 569  351
2019-02-05 10:42:58,686 - INFO - fastread - 196, 601  334
2019-02-05 10:43:06,518 - INFO - fastread - 197, 633  333
2019-02-05 10:43:14,236 - INFO - fastread - 197, 665  321
2019-02-05 10:43:21,928 - INFO - fastread - 197, 697  291
2019-02-05 10:43:29,669 - INFO - fastread - 198, 729  293
2019-02-05 10:43:37,396 - INFO - fastread - 198, 761  286
2019-02-05 10:43:45,057 - INFO - fastread - 198, 793  279
2019-02-05 10:43:52,706 - INFO - fastread - 198, 825  270
2019-02-05 10:44:00,282 - INFO - fastread - 198, 857  270
2019-02-05 10:44:13,874 - INFO - fastread - 198, 921  259
2019-02-05 10:44:27,539 - INFO - fastread - 198, 985  249
2019-02-05 10:44:41,290 - INFO - fastread - 198, 1049  242
2019-02-05 10:44:48,675 - INFO - fastread - 199, 1081  238
2019-02-05 10:44:48,701 - INFO - rig - ++++NEW CLF++++ ENSEMBLE_DT
2019-02-05 10:44:48,726 - INFO - ensemble - 10, 10
2019-02-05 10:44:48,732 - INFO - ensemble - 20, 20
2019-02-05 10:44:48,737 - INFO - ensemble - 29, 30
2019-02-05 10:44:48,743 - INFO - ensemble - 38, 40
2019-02-05 10:44:48,748 - INFO - ensemble - 48, 50
2019-02-05 10:44:48,754 - INFO - ensemble - 58, 60
2019-02-05 10:44:48,760 - INFO - ensemble - 68, 70
2019-02-05 10:44:48,765 - INFO - ensemble - 78, 80
2019-02-05 10:44:48,771 - INFO - ensemble - 88, 90
2019-02-05 10:44:48,777 - INFO - ensemble - 98, 100
2019-02-05 10:44:48,782 - INFO - ensemble - 105, 110
2019-02-05 10:44:48,788 - INFO - ensemble - 115, 120
2019-02-05 10:44:48,794 - INFO - ensemble - 123, 130
2019-02-05 10:44:48,799 - INFO - ensemble - 129, 140
2019-02-05 10:44:48,805 - INFO - ensemble - 139, 150
2019-02-05 10:44:48,810 - INFO - ensemble - 149, 160
2019-02-05 10:44:48,816 - INFO - ensemble - 159, 170
2019-02-05 10:44:48,822 - INFO - ensemble - 169, 180
2019-02-05 10:44:48,827 - INFO - ensemble - 177, 190
2019-02-05 10:44:48,833 - INFO - ensemble - 181, 200
2019-02-05 10:44:48,839 - INFO - ensemble - 184, 210
2019-02-05 10:44:48,844 - INFO - ensemble - 185, 220
2019-02-05 10:44:48,850 - INFO - ensemble - 186, 230
2019-02-05 10:44:48,856 - INFO - ensemble - 186, 240
2019-02-05 10:44:48,862 - INFO - ensemble - 186, 250
2019-02-05 10:44:48,868 - INFO - ensemble - 186, 260
2019-02-05 10:44:48,873 - INFO - ensemble - 186, 270
2019-02-05 10:44:48,879 - INFO - ensemble - 186, 280
2019-02-05 10:44:48,885 - INFO - ensemble - 186, 290
2019-02-05 10:44:48,891 - INFO - ensemble - 186, 300
2019-02-05 10:44:48,897 - INFO - ensemble - 186, 310
2019-02-05 10:44:48,902 - INFO - ensemble - 186, 320
2019-02-05 10:44:48,908 - INFO - ensemble - 186, 330
2019-02-05 10:44:48,914 - INFO - ensemble - 186, 340
2019-02-05 10:44:48,920 - INFO - ensemble - 186, 350
2019-02-05 10:44:48,925 - INFO - ensemble - 186, 360
2019-02-05 10:44:48,931 - INFO - ensemble - 186, 370
2019-02-05 10:44:48,937 - INFO - ensemble - 186, 380
2019-02-05 10:44:48,943 - INFO - ensemble - 186, 390
2019-02-05 10:44:48,948 - INFO - ensemble - 188, 400
2019-02-05 10:44:48,954 - INFO - ensemble - 188, 410
2019-02-05 10:44:48,960 - INFO - ensemble - 188, 420
2019-02-05 10:44:48,966 - INFO - ensemble - 188, 430
2019-02-05 10:44:48,972 - INFO - ensemble - 188, 440
2019-02-05 10:44:48,978 - INFO - ensemble - 188, 450
2019-02-05 10:44:48,984 - INFO - ensemble - 189, 460
2019-02-05 10:44:48,989 - INFO - ensemble - 189, 470
2019-02-05 10:44:48,995 - INFO - ensemble - 190, 480
2019-02-05 10:44:49,001 - INFO - ensemble - 191, 490
2019-02-05 10:44:49,007 - INFO - ensemble - 192, 500
2019-02-05 10:44:49,013 - INFO - ensemble - 192, 510
2019-02-05 10:44:49,018 - INFO - ensemble - 192, 520
2019-02-05 10:44:49,024 - INFO - ensemble - 192, 530
2019-02-05 10:44:49,030 - INFO - ensemble - 193, 540
2019-02-05 10:44:49,036 - INFO - ensemble - 193, 550
2019-02-05 10:44:49,042 - INFO - ensemble - 193, 560
2019-02-05 10:44:49,048 - INFO - ensemble - 193, 570
2019-02-05 10:44:49,054 - INFO - ensemble - 193, 580
2019-02-05 10:44:49,060 - INFO - ensemble - 193, 590
2019-02-05 10:44:49,066 - INFO - ensemble - 193, 600
2019-02-05 10:44:49,072 - INFO - ensemble - 194, 610
2019-02-05 10:44:49,078 - INFO - ensemble - 194, 620
2019-02-05 10:44:49,083 - INFO - ensemble - 194, 630
2019-02-05 10:44:49,089 - INFO - ensemble - 194, 640
2019-02-05 10:44:49,095 - INFO - ensemble - 194, 650
2019-02-05 10:44:49,101 - INFO - ensemble - 194, 660
2019-02-05 10:44:49,107 - INFO - ensemble - 194, 670
2019-02-05 10:44:49,113 - INFO - ensemble - 194, 680
2019-02-05 10:44:49,119 - INFO - ensemble - 194, 690
2019-02-05 10:44:49,125 - INFO - ensemble - 194, 700
2019-02-05 10:44:49,131 - INFO - ensemble - 195, 710
2019-02-05 10:44:49,137 - INFO - ensemble - 195, 720
2019-02-05 10:44:49,143 - INFO - ensemble - 195, 730
2019-02-05 10:44:49,149 - INFO - ensemble - 195, 740
2019-02-05 10:44:49,155 - INFO - ensemble - 195, 750
2019-02-05 10:44:49,161 - INFO - ensemble - 195, 760
2019-02-05 10:44:49,167 - INFO - ensemble - 195, 770
2019-02-05 10:44:49,173 - INFO - ensemble - 195, 780
2019-02-05 10:44:49,179 - INFO - ensemble - 195, 790
2019-02-05 10:44:49,185 - INFO - ensemble - 195, 800
2019-02-05 10:44:49,191 - INFO - ensemble - 195, 810
2019-02-05 10:44:49,197 - INFO - ensemble - 195, 820
2019-02-05 10:44:49,203 - INFO - ensemble - 195, 830
2019-02-05 10:44:49,209 - INFO - ensemble - 195, 840
2019-02-05 10:44:49,215 - INFO - ensemble - 195, 850
2019-02-05 10:44:49,221 - INFO - ensemble - 195, 860
2019-02-05 10:44:49,227 - INFO - ensemble - 195, 870
2019-02-05 10:44:49,233 - INFO - ensemble - 195, 880
2019-02-05 10:44:49,239 - INFO - ensemble - 195, 890
2019-02-05 10:44:49,245 - INFO - ensemble - 195, 900
2019-02-05 10:44:49,251 - INFO - ensemble - 195, 910
2019-02-05 10:44:49,257 - INFO - ensemble - 195, 920
2019-02-05 10:44:49,263 - INFO - ensemble - 195, 930
2019-02-05 10:44:49,269 - INFO - ensemble - 195, 940
2019-02-05 10:44:49,276 - INFO - ensemble - 195, 950
2019-02-05 10:44:49,282 - INFO - ensemble - 195, 960
2019-02-05 10:44:49,288 - INFO - ensemble - 195, 970
