2019-02-05 10:40:16,170 - INFO - rig - sql12
2019-02-05 10:40:25,011 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-05 10:40:25,011 - INFO - fastread - Total Yes: 286 | Total No: 6929
2019-02-05 10:40:25,601 - INFO - fastread - 0, 0  500
2019-02-05 10:40:58,063 - INFO - fastread - 151, 160  500
2019-02-05 10:41:08,140 - INFO - fastread - 156, 196  576
2019-02-05 10:41:18,131 - INFO - fastread - 157, 232  648
2019-02-05 10:41:28,621 - INFO - fastread - 157, 268  765
2019-02-05 10:41:38,762 - INFO - fastread - 162, 304  874
2019-02-05 10:41:48,947 - INFO - fastread - 165, 340  815
2019-02-05 10:41:58,642 - INFO - fastread - 173, 376  782
2019-02-05 10:42:08,572 - INFO - fastread - 177, 412  766
2019-02-05 10:42:18,477 - INFO - fastread - 179, 448  694
2019-02-05 10:42:28,128 - INFO - fastread - 181, 484  677
2019-02-05 10:42:37,868 - INFO - fastread - 201, 520  665
2019-02-05 10:42:47,493 - INFO - fastread - 202, 556  645
2019-02-05 10:42:57,458 - INFO - fastread - 206, 592  631
2019-02-05 10:43:07,515 - INFO - fastread - 210, 628  602
2019-02-05 10:43:17,447 - INFO - fastread - 211, 664  596
2019-02-05 10:43:27,571 - INFO - fastread - 213, 700  564
2019-02-05 10:43:37,719 - INFO - fastread - 216, 736  550
2019-02-05 10:43:47,787 - INFO - fastread - 219, 772  517
2019-02-05 10:43:57,962 - INFO - fastread - 219, 808  510
2019-02-05 10:44:07,752 - INFO - fastread - 219, 844  495
2019-02-05 10:44:17,757 - INFO - fastread - 220, 880  462
2019-02-05 10:44:27,680 - INFO - fastread - 222, 916  453
2019-02-05 10:44:37,701 - INFO - fastread - 223, 952  431
2019-02-05 10:44:47,678 - INFO - fastread - 224, 988  414
2019-02-05 10:44:57,738 - INFO - fastread - 227, 1024  402
2019-02-05 10:45:07,592 - INFO - fastread - 227, 1060  351
2019-02-05 10:45:17,568 - INFO - fastread - 228, 1096  352
2019-02-05 10:45:27,628 - INFO - fastread - 231, 1132  345
2019-02-05 10:45:37,816 - INFO - fastread - 234, 1168  357
2019-02-05 10:45:47,957 - INFO - fastread - 235, 1204  344
2019-02-05 10:45:58,107 - INFO - fastread - 236, 1240  335
2019-02-05 10:46:08,354 - INFO - fastread - 238, 1276  344
2019-02-05 10:46:18,647 - INFO - fastread - 238, 1312  346
2019-02-05 10:46:29,031 - INFO - fastread - 239, 1348  339
2019-02-05 10:46:41,581 - INFO - fastread - 239, 1384  338
2019-02-05 10:46:51,632 - INFO - fastread - 240, 1420  325
2019-02-05 10:47:01,948 - INFO - fastread - 247, 1456  325
2019-02-05 10:47:12,226 - INFO - fastread - 247, 1492  341
2019-02-05 10:47:22,384 - INFO - fastread - 253, 1528  336
2019-02-05 10:47:32,728 - INFO - fastread - 253, 1564  340
2019-02-05 10:47:43,378 - INFO - fastread - 253, 1600  332
2019-02-05 10:47:53,831 - INFO - fastread - 253, 1636  325
2019-02-05 10:48:04,262 - INFO - fastread - 254, 1672  322
2019-02-05 10:48:14,763 - INFO - fastread - 255, 1708  323
2019-02-05 10:48:25,411 - INFO - fastread - 256, 1744  318
2019-02-05 10:48:36,118 - INFO - fastread - 257, 1780  315
2019-02-05 10:48:46,984 - INFO - fastread - 257, 1816  316
2019-02-05 10:48:57,487 - INFO - fastread - 259, 1852  313
2019-02-05 10:49:08,002 - INFO - fastread - 259, 1888  313
2019-02-05 10:49:18,726 - INFO - fastread - 263, 1924  311
2019-02-05 10:49:29,630 - INFO - fastread - 266, 1960  315
2019-02-05 10:49:40,890 - INFO - fastread - 267, 1996  315
2019-02-05 10:49:51,977 - INFO - fastread - 267, 2032  317
2019-02-05 10:50:03,168 - INFO - fastread - 267, 2068  312
2019-02-05 10:50:14,124 - INFO - fastread - 270, 2104  310
2019-02-05 10:50:25,441 - INFO - fastread - 270, 2140  318
2019-02-05 10:50:37,695 - INFO - fastread - 270, 2176  309
2019-02-05 10:50:49,019 - INFO - fastread - 270, 2212  311
2019-02-05 10:51:00,277 - INFO - fastread - 271, 2248  307
2019-02-05 10:51:11,601 - INFO - fastread - 272, 2284  307
2019-02-05 10:51:23,864 - INFO - fastread - 272, 2320  314
2019-02-05 10:51:35,262 - INFO - fastread - 272, 2356  308
2019-02-05 10:51:46,574 - INFO - fastread - 272, 2392  305
2019-02-05 10:51:57,952 - INFO - fastread - 272, 2428  309
2019-02-05 10:52:16,276 - INFO - fastread - 272, 2500  305
2019-02-05 10:52:34,634 - INFO - fastread - 272, 2572  306
2019-02-05 10:52:52,932 - INFO - fastread - 272, 2644  305
2019-02-05 10:53:04,693 - INFO - fastread - 272, 2680  304
2019-02-05 10:53:04,736 - INFO - rig - ++++NEW CLF++++ ENSEMBLE_DT
2019-02-05 10:53:04,763 - INFO - ensemble - 9, 10
2019-02-05 10:53:04,769 - INFO - ensemble - 18, 20
2019-02-05 10:53:04,775 - INFO - ensemble - 28, 30
2019-02-05 10:53:04,781 - INFO - ensemble - 37, 40
2019-02-05 10:53:04,787 - INFO - ensemble - 46, 50
2019-02-05 10:53:04,793 - INFO - ensemble - 55, 60
2019-02-05 10:53:04,799 - INFO - ensemble - 65, 70
2019-02-05 10:53:04,805 - INFO - ensemble - 74, 80
2019-02-05 10:53:04,811 - INFO - ensemble - 84, 90
2019-02-05 10:53:04,817 - INFO - ensemble - 94, 100
2019-02-05 10:53:04,822 - INFO - ensemble - 103, 110
2019-02-05 10:53:04,828 - INFO - ensemble - 113, 120
2019-02-05 10:53:04,834 - INFO - ensemble - 122, 130
2019-02-05 10:53:04,840 - INFO - ensemble - 131, 140
2019-02-05 10:53:04,846 - INFO - ensemble - 141, 150
2019-02-05 10:53:04,852 - INFO - ensemble - 151, 160
2019-02-05 10:53:04,858 - INFO - ensemble - 155, 170
2019-02-05 10:53:04,864 - INFO - ensemble - 155, 180
2019-02-05 10:53:04,870 - INFO - ensemble - 159, 190
2019-02-05 10:53:04,876 - INFO - ensemble - 160, 200
2019-02-05 10:53:04,882 - INFO - ensemble - 161, 210
2019-02-05 10:53:04,888 - INFO - ensemble - 163, 220
2019-02-05 10:53:04,894 - INFO - ensemble - 165, 230
2019-02-05 10:53:04,900 - INFO - ensemble - 168, 240
2019-02-05 10:53:04,906 - INFO - ensemble - 173, 250
2019-02-05 10:53:04,913 - INFO - ensemble - 175, 260
2019-02-05 10:53:04,919 - INFO - ensemble - 178, 270
2019-02-05 10:53:04,925 - INFO - ensemble - 179, 280
2019-02-05 10:53:04,930 - INFO - ensemble - 181, 290
2019-02-05 10:53:04,936 - INFO - ensemble - 181, 300
2019-02-05 10:53:04,942 - INFO - ensemble - 183, 310
2019-02-05 10:53:04,948 - INFO - ensemble - 183, 320
2019-02-05 10:53:04,955 - INFO - ensemble - 184, 330
2019-02-05 10:53:04,961 - INFO - ensemble - 185, 340
2019-02-05 10:53:04,967 - INFO - ensemble - 185, 350
2019-02-05 10:53:04,973 - INFO - ensemble - 186, 360
2019-02-05 10:53:04,979 - INFO - ensemble - 188, 370
2019-02-05 10:53:04,985 - INFO - ensemble - 188, 380
2019-02-05 10:53:04,991 - INFO - ensemble - 188, 390
2019-02-05 10:53:04,997 - INFO - ensemble - 188, 400
2019-02-05 10:53:05,003 - INFO - ensemble - 188, 410
2019-02-05 10:53:05,009 - INFO - ensemble - 189, 420
2019-02-05 10:53:05,015 - INFO - ensemble - 189, 430
2019-02-05 10:53:05,022 - INFO - ensemble - 189, 440
2019-02-05 10:53:05,028 - INFO - ensemble - 190, 450
2019-02-05 10:53:05,034 - INFO - ensemble - 190, 460
2019-02-05 10:53:05,040 - INFO - ensemble - 192, 470
2019-02-05 10:53:05,046 - INFO - ensemble - 192, 480
2019-02-05 10:53:05,052 - INFO - ensemble - 192, 490
2019-02-05 10:53:05,058 - INFO - ensemble - 194, 500
2019-02-05 10:53:05,064 - INFO - ensemble - 196, 510
2019-02-05 10:53:05,071 - INFO - ensemble - 196, 520
2019-02-05 10:53:05,077 - INFO - ensemble - 197, 530
2019-02-05 10:53:05,083 - INFO - ensemble - 198, 540
2019-02-05 10:53:05,089 - INFO - ensemble - 198, 550
2019-02-05 10:53:05,095 - INFO - ensemble - 198, 560
2019-02-05 10:53:05,101 - INFO - ensemble - 198, 570
2019-02-05 10:53:05,108 - INFO - ensemble - 200, 580
2019-02-05 10:53:05,114 - INFO - ensemble - 200, 590
2019-02-05 10:53:05,120 - INFO - ensemble - 200, 600
2019-02-05 10:53:05,126 - INFO - ensemble - 201, 610
2019-02-05 10:53:05,132 - INFO - ensemble - 201, 620
2019-02-05 10:53:05,139 - INFO - ensemble - 201, 630
2019-02-05 10:53:05,145 - INFO - ensemble - 202, 640
2019-02-05 10:53:05,151 - INFO - ensemble - 202, 650
2019-02-05 10:53:05,157 - INFO - ensemble - 202, 660
2019-02-05 10:53:05,163 - INFO - ensemble - 203, 670
2019-02-05 10:53:05,169 - INFO - ensemble - 203, 680
2019-02-05 10:53:05,175 - INFO - ensemble - 203, 690
2019-02-05 10:53:05,182 - INFO - ensemble - 203, 700
2019-02-05 10:53:05,188 - INFO - ensemble - 203, 710
2019-02-05 10:53:05,194 - INFO - ensemble - 203, 720
2019-02-05 10:53:05,200 - INFO - ensemble - 204, 730
2019-02-05 10:53:05,207 - INFO - ensemble - 204, 740
2019-02-05 10:53:05,213 - INFO - ensemble - 205, 750
2019-02-05 10:53:05,220 - INFO - ensemble - 205, 760
2019-02-05 10:53:05,226 - INFO - ensemble - 205, 770
2019-02-05 10:53:05,232 - INFO - ensemble - 205, 780
