2019-02-05 09:52:51,067 - INFO - rig - emf-2.4.1
2019-02-05 09:52:57,689 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-05 09:52:57,689 - INFO - fastread - Total Yes: 104 | Total No: 4285
2019-02-05 09:52:58,025 - INFO - fastread - 0, 0  475
2019-02-05 09:53:03,041 - INFO - fastread - 33, 46  475
2019-02-05 09:53:05,896 - INFO - fastread - 33, 67  95
2019-02-05 09:53:08,832 - INFO - fastread - 36, 88  107
2019-02-05 09:53:11,472 - INFO - fastread - 38, 109  103
2019-02-05 09:53:13,765 - INFO - fastread - 38, 130  126
2019-02-05 09:53:16,677 - INFO - fastread - 38, 151  116
2019-02-05 09:53:19,226 - INFO - fastread - 39, 172  110
2019-02-05 09:53:21,408 - INFO - fastread - 39, 193  103
2019-02-05 09:53:24,364 - INFO - fastread - 40, 214  96
2019-02-05 09:53:27,238 - INFO - fastread - 40, 235  103
2019-02-05 09:53:29,919 - INFO - fastread - 46, 256  101
2019-02-05 09:53:32,549 - INFO - fastread - 49, 277  107
2019-02-05 09:53:35,061 - INFO - fastread - 51, 298  115
2019-02-05 09:53:37,219 - INFO - fastread - 55, 319  121
2019-02-05 09:53:39,860 - INFO - fastread - 57, 340  129
2019-02-05 09:53:42,746 - INFO - fastread - 57, 361  139
2019-02-05 09:53:45,299 - INFO - fastread - 59, 382  112
2019-02-05 09:53:48,942 - INFO - fastread - 60, 403  125
2019-02-05 09:53:52,399 - INFO - fastread - 61, 424  111
2019-02-05 09:53:54,987 - INFO - fastread - 61, 445  110
2019-02-05 09:53:57,992 - INFO - fastread - 62, 466  106
2019-02-05 09:54:00,809 - INFO - fastread - 62, 487  106
2019-02-05 09:54:03,337 - INFO - fastread - 62, 508  109
2019-02-05 09:54:05,962 - INFO - fastread - 62, 529  109
2019-02-05 09:54:08,780 - INFO - fastread - 62, 550  101
2019-02-05 09:54:14,188 - INFO - fastread - 62, 592  104
2019-02-05 09:54:19,091 - INFO - fastread - 62, 634  105
2019-02-05 09:54:23,813 - INFO - fastread - 62, 676  111
2019-02-05 09:54:26,492 - INFO - fastread - 63, 697  118
2019-02-05 09:54:26,502 - INFO - rig - ++++NEW CLF++++ ENSEMBLE_DT
2019-02-05 09:54:26,504 - INFO - ensemble - 5, 10
2019-02-05 09:54:26,514 - INFO - ensemble - 9, 20
2019-02-05 09:54:26,514 - INFO - ensemble - 17, 30
2019-02-05 09:54:26,514 - INFO - ensemble - 27, 40
2019-02-05 09:54:26,524 - INFO - ensemble - 37, 50
2019-02-05 09:54:26,524 - INFO - ensemble - 42, 60
2019-02-05 09:54:26,535 - INFO - ensemble - 46, 70
2019-02-05 09:54:26,535 - INFO - ensemble - 49, 80
2019-02-05 09:54:26,544 - INFO - ensemble - 51, 90
2019-02-05 09:54:26,552 - INFO - ensemble - 53, 100
2019-02-05 09:54:26,555 - INFO - ensemble - 55, 110
2019-02-05 09:54:26,562 - INFO - ensemble - 58, 120
2019-02-05 09:54:26,564 - INFO - ensemble - 58, 130
2019-02-05 09:54:26,574 - INFO - ensemble - 59, 140
2019-02-05 09:54:26,575 - INFO - ensemble - 60, 150
2019-02-05 09:54:26,585 - INFO - ensemble - 60, 160
2019-02-05 09:54:26,585 - INFO - ensemble - 60, 170
2019-02-05 09:54:26,596 - INFO - ensemble - 60, 180
2019-02-05 09:54:26,597 - INFO - ensemble - 60, 190
2019-02-05 09:54:26,603 - INFO - ensemble - 61, 200
2019-02-05 09:54:26,605 - INFO - ensemble - 61, 210
2019-02-05 09:54:26,605 - INFO - ensemble - 61, 220
2019-02-05 09:54:26,605 - INFO - ensemble - 61, 230
2019-02-05 09:54:26,616 - INFO - ensemble - 61, 240
2019-02-05 09:54:26,616 - INFO - ensemble - 63, 250
2019-02-05 09:54:26,616 - INFO - ensemble - 63, 260
2019-02-05 09:54:26,625 - INFO - ensemble - 63, 270
2019-02-05 09:54:26,625 - INFO - ensemble - 63, 280
2019-02-05 09:54:26,625 - INFO - ensemble - 63, 290
2019-02-05 09:54:26,636 - INFO - ensemble - 63, 300
2019-02-05 09:54:26,636 - INFO - ensemble - 63, 310
2019-02-05 09:54:26,646 - INFO - ensemble - 63, 320
2019-02-05 09:54:26,654 - INFO - ensemble - 64, 330
2019-02-05 09:54:26,656 - INFO - ensemble - 65, 340
2019-02-05 09:54:26,664 - INFO - ensemble - 65, 350
2019-02-05 09:54:26,666 - INFO - ensemble - 65, 360
2019-02-05 09:54:26,675 - INFO - ensemble - 65, 370
2019-02-05 09:54:26,677 - INFO - ensemble - 65, 380
2019-02-05 09:54:26,677 - INFO - ensemble - 65, 390
2019-02-05 09:54:26,684 - INFO - ensemble - 66, 400
2019-02-05 09:54:26,686 - INFO - ensemble - 66, 410
2019-02-05 09:54:26,686 - INFO - ensemble - 66, 420
2019-02-05 09:54:26,696 - INFO - ensemble - 67, 430
2019-02-05 09:54:26,698 - INFO - ensemble - 68, 440
2019-02-05 09:54:26,703 - INFO - ensemble - 69, 450
2019-02-05 09:54:26,706 - INFO - ensemble - 70, 460
2019-02-05 09:54:26,707 - INFO - ensemble - 70, 470
2019-02-05 09:54:26,707 - INFO - ensemble - 70, 480
2019-02-05 09:54:26,718 - INFO - ensemble - 70, 490
2019-02-05 09:54:26,725 - INFO - ensemble - 70, 500
2019-02-05 09:54:26,727 - INFO - ensemble - 70, 510
2019-02-05 09:54:26,737 - INFO - ensemble - 70, 520
2019-02-05 09:54:26,740 - INFO - ensemble - 70, 530
2019-02-05 09:54:26,747 - INFO - ensemble - 70, 540
2019-02-05 09:54:26,755 - INFO - ensemble - 70, 550
2019-02-05 09:54:26,758 - INFO - ensemble - 70, 560
2019-02-05 09:54:26,767 - INFO - ensemble - 70, 570
2019-02-05 09:54:26,767 - INFO - ensemble - 70, 580
2019-02-05 09:54:26,779 - INFO - ensemble - 70, 590
2019-02-05 09:54:26,779 - INFO - ensemble - 71, 600
2019-02-05 09:54:26,788 - INFO - ensemble - 72, 610
2019-02-05 09:54:26,788 - INFO - ensemble - 72, 620
2019-02-05 09:54:26,800 - INFO - ensemble - 72, 630
2019-02-05 09:54:26,800 - INFO - ensemble - 73, 640
2019-02-05 09:54:26,806 - INFO - ensemble - 75, 650
2019-02-05 09:54:26,808 - INFO - ensemble - 76, 660
2019-02-05 09:54:26,808 - INFO - ensemble - 76, 670
2019-02-05 09:54:26,818 - INFO - ensemble - 76, 680
2019-02-05 09:54:26,818 - INFO - ensemble - 76, 690
2019-02-05 09:54:26,828 - INFO - ensemble - 76, 700
2019-02-05 09:54:26,828 - INFO - ensemble - 76, 710
2019-02-05 09:54:26,838 - INFO - ensemble - 76, 720
2019-02-05 09:54:26,839 - INFO - ensemble - 76, 730
2019-02-05 09:54:26,839 - INFO - ensemble - 76, 740
2019-02-05 09:54:26,846 - INFO - ensemble - 76, 750
2019-02-05 09:54:26,848 - INFO - ensemble - 76, 760
2019-02-05 09:54:26,848 - INFO - ensemble - 76, 770
2019-02-05 09:54:26,858 - INFO - ensemble - 76, 780
2019-02-05 09:54:26,860 - INFO - ensemble - 76, 790
2019-02-05 09:54:26,860 - INFO - ensemble - 76, 800
2019-02-05 09:54:26,867 - INFO - ensemble - 76, 810
2019-02-05 09:54:26,869 - INFO - ensemble - 76, 820
2019-02-05 09:54:26,869 - INFO - ensemble - 76, 830
2019-02-05 09:54:26,877 - INFO - ensemble - 76, 840
2019-02-05 09:54:26,879 - INFO - ensemble - 76, 850
2019-02-05 09:54:26,887 - INFO - ensemble - 76, 860
2019-02-05 09:54:26,889 - INFO - ensemble - 76, 870
2019-02-05 09:54:26,898 - INFO - ensemble - 76, 880
2019-02-05 09:54:26,900 - INFO - ensemble - 76, 890
2019-02-05 09:54:26,909 - INFO - ensemble - 76, 900
2019-02-05 09:54:26,909 - INFO - ensemble - 77, 910
2019-02-05 09:54:26,919 - INFO - ensemble - 77, 920
2019-02-05 09:54:26,920 - INFO - ensemble - 77, 930
2019-02-05 09:54:26,920 - INFO - ensemble - 77, 940
2019-02-05 09:54:26,929 - INFO - ensemble - 77, 950
2019-02-05 09:54:26,929 - INFO - ensemble - 77, 960
2019-02-05 09:54:26,929 - INFO - ensemble - 77, 970
2019-02-05 09:54:26,940 - INFO - ensemble - 77, 980
2019-02-05 09:54:26,948 - INFO - ensemble - 77, 990
2019-02-05 09:54:26,950 - INFO - ensemble - 77, 1000
2019-02-05 09:54:26,960 - INFO - ensemble - 77, 1010
2019-02-05 09:54:26,960 - INFO - ensemble - 77, 1020
2019-02-05 09:54:26,960 - INFO - ensemble - 78, 1030
2019-02-05 09:54:26,970 - INFO - ensemble - 78, 1040
2019-02-05 09:54:26,970 - INFO - ensemble - 78, 1050
2019-02-05 09:54:26,970 - INFO - ensemble - 78, 1060
2019-02-05 09:54:26,981 - INFO - ensemble - 78, 1070
2019-02-05 09:54:26,990 - INFO - ensemble - 78, 1080
2019-02-05 09:54:26,990 - INFO - ensemble - 78, 1090
2019-02-05 09:54:27,001 - INFO - ensemble - 78, 1100
2019-02-05 09:54:27,001 - INFO - ensemble - 78, 1110
2019-02-05 09:54:27,010 - INFO - ensemble - 78, 1120
2019-02-05 09:54:27,019 - INFO - ensemble - 78, 1130
2019-02-05 09:54:27,021 - INFO - ensemble - 78, 1140
2019-02-05 09:54:27,021 - INFO - ensemble - 78, 1150
2019-02-05 09:54:27,029 - INFO - ensemble - 78, 1160
2019-02-05 09:54:27,031 - INFO - ensemble - 78, 1170
2019-02-05 09:54:27,031 - INFO - ensemble - 78, 1180
2019-02-05 09:54:27,040 - INFO - ensemble - 78, 1190
2019-02-05 09:54:27,042 - INFO - ensemble - 78, 1200
2019-02-05 09:54:27,042 - INFO - ensemble - 78, 1210
