2019-02-05 09:18:09,394 - INFO - rig - jfreechart-1.0.19
2019-02-05 09:18:15,095 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-05 09:18:15,095 - INFO - fastread - Total Yes: 209 | Total No: 4199
2019-02-05 09:18:15,495 - INFO - fastread - 0, 0  475
2019-02-05 09:18:37,219 - INFO - fastread - 97, 135  475
2019-02-05 09:18:41,781 - INFO - fastread - 100, 157  171
2019-02-05 09:18:45,451 - INFO - fastread - 100, 179  175
2019-02-05 09:18:49,804 - INFO - fastread - 100, 201  193
2019-02-05 09:18:53,566 - INFO - fastread - 100, 223  177
2019-02-05 09:18:57,474 - INFO - fastread - 100, 245  167
2019-02-05 09:19:01,370 - INFO - fastread - 101, 267  190
2019-02-05 09:19:04,904 - INFO - fastread - 105, 289  174
2019-02-05 09:19:08,974 - INFO - fastread - 105, 311  185
2019-02-05 09:19:12,509 - INFO - fastread - 105, 333  158
2019-02-05 09:19:16,383 - INFO - fastread - 106, 355  148
2019-02-05 09:19:20,298 - INFO - fastread - 117, 377  165
2019-02-05 09:19:23,619 - INFO - fastread - 117, 399  160
2019-02-05 09:19:28,035 - INFO - fastread - 117, 421  157
2019-02-05 09:19:31,342 - INFO - fastread - 117, 443  152
2019-02-05 09:19:35,635 - INFO - fastread - 117, 465  145
2019-02-05 09:19:38,830 - INFO - fastread - 118, 487  144
2019-02-05 09:19:42,759 - INFO - fastread - 118, 509  141
2019-02-05 09:19:46,215 - INFO - fastread - 118, 531  139
2019-02-05 09:19:49,985 - INFO - fastread - 120, 553  138
2019-02-05 09:19:53,732 - INFO - fastread - 121, 575  141
2019-02-05 09:19:57,571 - INFO - fastread - 121, 597  137
2019-02-05 09:20:01,198 - INFO - fastread - 124, 619  139
2019-02-05 09:20:04,865 - INFO - fastread - 127, 641  139
2019-02-05 09:20:08,578 - INFO - fastread - 130, 663  143
2019-02-05 09:20:12,352 - INFO - fastread - 130, 685  147
2019-02-05 09:20:16,217 - INFO - fastread - 133, 707  145
2019-02-05 09:20:20,336 - INFO - fastread - 138, 729  148
2019-02-05 09:20:24,001 - INFO - fastread - 141, 751  152
2019-02-05 09:20:28,364 - INFO - fastread - 142, 773  153
2019-02-05 09:20:32,001 - INFO - fastread - 142, 795  164
