2019-02-05 13:15:58,730 - INFO - rig - apache-ant-1.7.0
2019-02-05 13:16:07,025 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-05 13:16:07,025 - INFO - fastread - Total Yes: 131 | Total No: 3967
2019-02-05 13:16:07,664 - INFO - fastread - 0, 0  475
2019-02-05 13:16:11,595 - INFO - fastread - 3, 20  475
2019-02-05 13:16:15,549 - INFO - fastread - 5, 40  475
2019-02-05 13:16:19,672 - INFO - fastread - 17, 60  46
2019-02-05 13:16:24,026 - INFO - fastread - 35, 80  56
2019-02-05 13:16:28,394 - INFO - fastread - 46, 100  70
2019-02-05 13:16:32,713 - INFO - fastread - 54, 120  92
2019-02-05 13:16:36,904 - INFO - fastread - 57, 140  92
2019-02-05 13:16:41,176 - INFO - fastread - 59, 160  91
2019-02-05 13:16:45,333 - INFO - fastread - 61, 180  93
2019-02-05 13:16:49,597 - INFO - fastread - 65, 200  90
2019-02-05 13:16:53,806 - INFO - fastread - 66, 220  95
2019-02-05 13:16:58,085 - INFO - fastread - 72, 240  95
2019-02-05 13:17:02,294 - INFO - fastread - 73, 260  106
2019-02-05 13:17:06,579 - INFO - fastread - 76, 280  100
2019-02-05 13:17:10,755 - INFO - fastread - 76, 300  100
2019-02-05 13:17:15,046 - INFO - fastread - 78, 320  102
2019-02-05 13:17:19,255 - INFO - fastread - 78, 340  103
2019-02-05 13:17:23,575 - INFO - fastread - 79, 360  102
2019-02-05 13:17:27,819 - INFO - fastread - 79, 380  104
2019-02-05 13:17:32,077 - INFO - fastread - 79, 400  103
2019-02-05 13:17:36,411 - INFO - fastread - 80, 420  101
2019-02-05 13:17:40,589 - INFO - fastread - 80, 440  104
2019-02-05 13:17:44,900 - INFO - fastread - 80, 460  100
2019-02-05 13:17:49,065 - INFO - fastread - 81, 480  102
2019-02-05 13:17:53,457 - INFO - fastread - 81, 500  103
2019-02-05 13:17:57,708 - INFO - fastread - 82, 520  105
2019-02-05 13:18:02,151 - INFO - fastread - 84, 540  104
2019-02-05 13:18:06,573 - INFO - fastread - 85, 560  107
2019-02-05 13:18:11,014 - INFO - fastread - 86, 580  105
2019-02-05 13:18:15,525 - INFO - fastread - 87, 600  107
2019-02-05 13:18:19,913 - INFO - fastread - 87, 620  108
2019-02-05 13:18:24,453 - INFO - fastread - 90, 640  104
2019-02-05 13:18:28,788 - INFO - fastread - 91, 660  110
2019-02-05 13:18:33,405 - INFO - fastread - 94, 680  111
2019-02-05 13:18:37,835 - INFO - fastread - 94, 700  114
2019-02-05 13:18:42,507 - INFO - fastread - 96, 720  114
2019-02-05 13:18:47,027 - INFO - fastread - 97, 740  114
2019-02-05 13:18:51,722 - INFO - fastread - 97, 760  115
2019-02-05 13:18:56,325 - INFO - fastread - 97, 780  114
2019-02-05 13:19:01,008 - INFO - fastread - 97, 800  115
2019-02-05 13:19:05,710 - INFO - fastread - 98, 820  115
2019-02-05 13:19:10,338 - INFO - fastread - 98, 840  115
2019-02-05 13:19:15,116 - INFO - fastread - 98, 860  114
2019-02-05 13:19:19,751 - INFO - fastread - 98, 880  114
2019-02-05 13:19:24,589 - INFO - fastread - 100, 900  114
2019-02-05 13:19:29,235 - INFO - fastread - 102, 920  118
2019-02-05 13:19:34,109 - INFO - fastread - 103, 940  119
2019-02-05 13:19:38,799 - INFO - fastread - 103, 960  121
2019-02-05 13:19:43,723 - INFO - fastread - 103, 980  120
2019-02-05 13:19:48,422 - INFO - fastread - 103, 1000  120
2019-02-05 13:19:56,963 - INFO - fastread - 103, 1040  118
2019-02-05 13:20:01,924 - INFO - fastread - 104, 1060  119
2019-02-05 13:20:06,767 - INFO - fastread - 104, 1080  120
2019-02-05 13:20:11,738 - INFO - fastread - 104, 1100  118
2019-02-05 13:20:16,615 - INFO - fastread - 105, 1120  118
2019-02-05 13:20:21,609 - INFO - fastread - 106, 1140  120
2019-02-05 13:20:26,533 - INFO - fastread - 108, 1160  121
2019-02-05 13:20:31,607 - INFO - fastread - 108, 1180  122
2019-02-05 13:20:36,596 - INFO - fastread - 108, 1200  121
2019-02-05 13:20:41,667 - INFO - fastread - 109, 1220  123
2019-02-05 13:20:46,679 - INFO - fastread - 109, 1240  121
2019-02-05 13:20:51,815 - INFO - fastread - 109, 1260  121
2019-02-05 13:20:56,861 - INFO - fastread - 109, 1280  121
2019-02-05 13:21:02,035 - INFO - fastread - 110, 1300  121
2019-02-05 13:21:07,073 - INFO - fastread - 110, 1320  122
2019-02-05 13:21:12,249 - INFO - fastread - 110, 1340  122
2019-02-05 13:21:17,259 - INFO - fastread - 111, 1360  122
2019-02-05 13:21:22,437 - INFO - fastread - 111, 1380  123
2019-02-05 13:21:27,430 - INFO - fastread - 113, 1400  122
2019-02-05 13:21:32,882 - INFO - fastread - 113, 1420  126
2019-02-05 13:21:37,918 - INFO - fastread - 113, 1440  126
2019-02-05 13:21:43,108 - INFO - fastread - 113, 1460  126
2019-02-05 13:21:51,759 - INFO - fastread - 113, 1500  126
2019-02-05 13:22:00,362 - INFO - fastread - 113, 1540  125
2019-02-05 13:22:09,001 - INFO - fastread - 113, 1580  126
2019-02-05 13:22:14,223 - INFO - fastread - 113, 1600  127
2019-02-05 13:22:14,223 - INFO - fastread - IGNORE apache-ant-1.7.0 NO IMPROVEMENT after 3 random loops. EXITING. Current estimate: 134
2019-02-05 13:22:14,245 - INFO - fastread - IGNORE apache-ant-1.7.0 | Total: 4098 | Percent Checked: 0.39 | Total Yes Data: 131 | Percent Yes Checked: 0.86
2019-02-05 13:54:43,124 - INFO - rig - apache-ant-1.7.0
2019-02-05 13:54:50,007 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-05 13:54:50,007 - INFO - rig - ++++NEW CLF++++ SGD
2019-02-05 13:54:50,007 - INFO - fastread - Total Yes: 131 | Total No: 3967
2019-02-05 13:54:50,219 - INFO - fastread - 6, 10
2019-02-05 13:54:50,219 - INFO - fastread - 15, 20
2019-02-05 13:54:50,229 - INFO - fastread - 23, 30
2019-02-05 13:54:50,229 - INFO - fastread - 30, 40
2019-02-05 13:54:50,239 - INFO - fastread - 36, 50
2019-02-05 13:54:50,239 - INFO - fastread - 42, 60
2019-02-05 13:54:50,247 - INFO - fastread - 47, 70
2019-02-05 13:54:50,259 - INFO - fastread - 54, 80
2019-02-05 13:54:50,259 - INFO - fastread - 59, 90
2019-02-05 13:54:50,267 - INFO - fastread - 61, 100
2019-02-05 13:54:50,269 - INFO - fastread - 67, 110
2019-02-05 13:54:50,269 - INFO - fastread - 70, 120
2019-02-05 13:54:50,287 - INFO - fastread - 72, 130
2019-02-05 13:54:50,289 - INFO - fastread - 72, 140
2019-02-05 13:54:50,289 - INFO - fastread - 72, 150
2019-02-05 13:54:50,300 - INFO - fastread - 73, 160
2019-02-05 13:54:50,300 - INFO - fastread - 74, 170
2019-02-05 13:54:50,308 - INFO - fastread - 76, 180
2019-02-05 13:54:50,310 - INFO - fastread - 76, 190
2019-02-05 13:54:50,318 - INFO - fastread - 80, 200
2019-02-05 13:54:50,320 - INFO - fastread - 80, 210
2019-02-05 13:54:50,320 - INFO - fastread - 80, 220
2019-02-05 13:54:50,330 - INFO - fastread - 81, 230
2019-02-05 13:54:50,330 - INFO - fastread - 86, 240
2019-02-05 13:54:50,330 - INFO - fastread - 88, 250
2019-02-05 13:54:50,340 - INFO - fastread - 88, 260
