2019-02-05 13:15:59,385 - INFO - rig - apache-jmeter-2.10
2019-02-05 13:16:08,115 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-05 13:16:08,115 - INFO - fastread - Total Yes: 374 | Total No: 7683
2019-02-05 13:16:09,060 - INFO - fastread - 0, 0  475
2019-02-05 13:16:18,839 - INFO - fastread - 2, 40  475
2019-02-05 13:16:26,317 - INFO - fastread - 5, 80  475
2019-02-05 13:16:34,183 - INFO - fastread - 26, 120  78
2019-02-05 13:16:42,723 - INFO - fastread - 47, 160  90
2019-02-05 13:16:51,579 - INFO - fastread - 63, 200  144
2019-02-05 13:17:00,374 - INFO - fastread - 101, 240  133
2019-02-05 13:17:09,336 - INFO - fastread - 140, 280  171
2019-02-05 13:17:18,027 - INFO - fastread - 172, 320  201
2019-02-05 13:17:27,038 - INFO - fastread - 211, 360  239
2019-02-05 13:17:36,468 - INFO - fastread - 243, 400  287
2019-02-05 13:17:46,107 - INFO - fastread - 254, 440  325
2019-02-05 13:17:55,887 - INFO - fastread - 268, 480  352
2019-02-05 13:18:05,663 - INFO - fastread - 272, 520  353
2019-02-05 13:18:15,445 - INFO - fastread - 276, 560  358
2019-02-05 13:18:25,285 - INFO - fastread - 284, 600  364
2019-02-05 13:18:35,268 - INFO - fastread - 297, 640  375
2019-02-05 13:18:45,160 - INFO - fastread - 302, 680  372
2019-02-05 13:18:55,067 - INFO - fastread - 304, 720  373
2019-02-05 13:19:05,168 - INFO - fastread - 309, 760  527
2019-02-05 13:19:15,310 - INFO - fastread - 315, 800  437
2019-02-05 13:19:25,357 - INFO - fastread - 317, 840  435
2019-02-05 13:19:35,317 - INFO - fastread - 317, 880  431
2019-02-05 13:19:45,186 - INFO - fastread - 318, 920  404
2019-02-05 13:19:55,228 - INFO - fastread - 318, 960  404
2019-02-05 13:20:05,183 - INFO - fastread - 318, 1000  380
2019-02-05 13:20:15,236 - INFO - fastread - 319, 1040  403
2019-02-05 13:20:25,368 - INFO - fastread - 320, 1080  396
2019-02-05 13:20:35,297 - INFO - fastread - 320, 1120  361
2019-02-05 13:20:45,344 - INFO - fastread - 321, 1160  361
2019-02-05 13:20:55,474 - INFO - fastread - 321, 1200  372
2019-02-05 13:21:05,629 - INFO - fastread - 322, 1240  365
2019-02-05 13:21:15,695 - INFO - fastread - 323, 1280  371
2019-02-05 13:21:25,826 - INFO - fastread - 324, 1320  364
2019-02-05 13:21:35,948 - INFO - fastread - 324, 1360  366
2019-02-05 13:21:46,061 - INFO - fastread - 325, 1400  360
2019-02-05 13:21:56,229 - INFO - fastread - 325, 1440  365
2019-02-05 13:22:06,439 - INFO - fastread - 325, 1480  360
2019-02-05 13:22:16,403 - INFO - fastread - 326, 1520  353
2019-02-05 13:22:25,939 - INFO - fastread - 326, 1560  357
2019-02-05 13:22:35,448 - INFO - fastread - 330, 1600  351
2019-02-05 13:22:45,061 - INFO - fastread - 336, 1640  352
2019-02-05 13:22:54,704 - INFO - fastread - 342, 1680  360
2019-02-05 13:23:04,280 - INFO - fastread - 342, 1720  363
2019-02-05 13:23:13,834 - INFO - fastread - 343, 1760  361
2019-02-05 13:23:23,472 - INFO - fastread - 343, 1800  358
2019-02-05 13:23:33,114 - INFO - fastread - 343, 1840  356
2019-02-05 13:23:42,752 - INFO - fastread - 343, 1880  355
2019-02-05 13:23:52,475 - INFO - fastread - 345, 1920  355
2019-02-05 13:24:02,159 - INFO - fastread - 354, 1960  348
2019-02-05 13:24:12,051 - INFO - fastread - 356, 2000  358
2019-02-05 13:24:21,939 - INFO - fastread - 356, 2040  358
2019-02-05 13:24:32,060 - INFO - fastread - 357, 2080  358
2019-02-05 13:24:42,065 - INFO - fastread - 358, 2120  358
2019-02-05 13:24:52,068 - INFO - fastread - 358, 2160  359
2019-02-05 13:25:02,089 - INFO - fastread - 358, 2200  358
2019-02-05 13:25:05,567 - INFO - fastread - IGNORE apache-jmeter-2.10 | Total: 8057 | Percent Checked: 0.27 | Total Yes Data: 374 | Percent Yes Checked: 0.96
2019-02-05 13:54:43,648 - INFO - rig - apache-jmeter-2.10
2019-02-05 13:54:50,834 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-05 13:54:50,834 - INFO - rig - ++++NEW CLF++++ SGD
2019-02-05 13:54:50,834 - INFO - fastread - Total Yes: 374 | Total No: 7683
2019-02-05 13:54:51,025 - INFO - fastread - 8, 10
2019-02-05 13:54:51,025 - INFO - fastread - 18, 20
2019-02-05 13:54:51,036 - INFO - fastread - 28, 30
2019-02-05 13:54:51,044 - INFO - fastread - 36, 40
2019-02-05 13:54:51,046 - INFO - fastread - 46, 50
2019-02-05 13:54:51,056 - INFO - fastread - 56, 60
2019-02-05 13:54:51,056 - INFO - fastread - 65, 70
2019-02-05 13:54:51,076 - INFO - fastread - 75, 80
2019-02-05 13:54:51,076 - INFO - fastread - 77, 90
2019-02-05 13:54:51,086 - INFO - fastread - 77, 100
2019-02-05 13:54:51,086 - INFO - fastread - 82, 110
2019-02-05 13:54:51,096 - INFO - fastread - 92, 120
2019-02-05 13:54:51,096 - INFO - fastread - 102, 130
2019-02-05 13:54:51,106 - INFO - fastread - 111, 140
2019-02-05 13:54:51,116 - INFO - fastread - 121, 150
2019-02-05 13:54:51,116 - INFO - fastread - 129, 160
2019-02-05 13:54:51,126 - INFO - fastread - 136, 170
2019-02-05 13:54:51,126 - INFO - fastread - 146, 180
2019-02-05 13:54:51,136 - INFO - fastread - 150, 190
2019-02-05 13:54:51,136 - INFO - fastread - 150, 200
2019-02-05 13:54:51,146 - INFO - fastread - 151, 210
2019-02-05 13:54:51,146 - INFO - fastread - 161, 220
2019-02-05 13:54:51,156 - INFO - fastread - 171, 230
2019-02-05 13:54:51,156 - INFO - fastread - 178, 240
2019-02-05 13:54:51,167 - INFO - fastread - 187, 250
2019-02-05 13:54:51,167 - INFO - fastread - 193, 260
2019-02-05 13:54:51,177 - INFO - fastread - 200, 270
2019-02-05 13:54:51,177 - INFO - fastread - 207, 280
2019-02-05 13:54:51,187 - INFO - fastread - 215, 290
2019-02-05 13:54:51,187 - INFO - fastread - 221, 300
2019-02-05 13:54:51,197 - INFO - fastread - 228, 310
2019-02-05 13:54:51,205 - INFO - fastread - 232, 320
2019-02-05 13:54:51,207 - INFO - fastread - 236, 330
2019-02-05 13:54:51,217 - INFO - fastread - 239, 340
2019-02-05 13:54:51,217 - INFO - fastread - 246, 350
2019-02-05 13:54:51,227 - INFO - fastread - 252, 360
2019-02-05 13:54:51,227 - INFO - fastread - 257, 370
2019-02-05 13:54:51,235 - INFO - fastread - 262, 380
2019-02-05 13:54:51,237 - INFO - fastread - 263, 390
2019-02-05 13:54:51,245 - INFO - fastread - 264, 400
2019-02-05 13:54:51,247 - INFO - fastread - 267, 410
2019-02-05 13:54:51,257 - INFO - fastread - 270, 420
2019-02-05 13:54:51,277 - INFO - fastread - 272, 430
2019-02-05 13:54:51,277 - INFO - fastread - 275, 440
2019-02-05 13:54:51,298 - INFO - fastread - 275, 450
2019-02-05 13:54:51,298 - INFO - fastread - 277, 460
2019-02-05 13:54:51,308 - INFO - fastread - 277, 470
2019-02-05 13:54:51,316 - INFO - fastread - 280, 480
2019-02-05 13:54:51,318 - INFO - fastread - 281, 490
2019-02-05 13:54:51,326 - INFO - fastread - 281, 500
2019-02-05 13:54:51,328 - INFO - fastread - 283, 510
2019-02-05 13:54:51,338 - INFO - fastread - 284, 520
2019-02-05 13:54:51,348 - INFO - fastread - 287, 530
2019-02-05 13:54:51,348 - INFO - fastread - 288, 540
2019-02-05 13:54:51,358 - INFO - fastread - 289, 550
2019-02-05 13:54:51,358 - INFO - fastread - 291, 560
2019-02-05 13:54:51,368 - INFO - fastread - 293, 570
