2019-02-05 13:15:59,607 - INFO - rig - argouml
2019-02-05 13:16:08,763 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-05 13:16:08,764 - INFO - fastread - Total Yes: 1413 | Total No: 8039
2019-02-05 13:16:09,419 - INFO - fastread - 0, 0  475
2019-02-05 13:16:18,951 - INFO - fastread - 3, 47  475
2019-02-05 13:16:28,621 - INFO - fastread - 10, 94  475
2019-02-05 13:16:39,309 - INFO - fastread - 47, 141  104
2019-02-05 13:16:51,127 - INFO - fastread - 78, 188  238
2019-02-05 13:17:03,240 - INFO - fastread - 101, 235  382
2019-02-05 13:17:15,372 - INFO - fastread - 128, 282  486
2019-02-05 13:17:27,744 - INFO - fastread - 147, 329  622
2019-02-05 13:17:40,488 - INFO - fastread - 183, 376  733
2019-02-05 13:17:53,461 - INFO - fastread - 226, 423  527
2019-02-05 13:18:06,054 - INFO - fastread - 270, 470  509
2019-02-05 13:18:20,529 - INFO - fastread - 315, 517  530
2019-02-05 13:18:33,730 - INFO - fastread - 360, 564  573
2019-02-05 13:18:46,977 - INFO - fastread - 402, 611  618
2019-02-05 13:19:00,392 - INFO - fastread - 429, 658  657
2019-02-05 13:19:13,920 - INFO - fastread - 465, 705  678
2019-02-05 13:19:27,798 - INFO - fastread - 509, 752  708
2019-02-05 13:19:42,670 - INFO - fastread - 551, 799  746
2019-02-05 13:19:56,849 - INFO - fastread - 593, 846  776
2019-02-05 13:20:16,682 - INFO - fastread - 631, 893  801
2019-02-05 13:20:31,021 - INFO - fastread - 672, 940  834
2019-02-05 13:20:45,321 - INFO - fastread - 714, 987  858
2019-02-05 13:21:00,141 - INFO - fastread - 747, 1034  889
2019-02-05 13:21:15,295 - INFO - fastread - 783, 1081  907
2019-02-05 13:21:30,618 - INFO - fastread - 820, 1128  941
2019-02-05 13:21:46,177 - INFO - fastread - 857, 1175  978
2019-02-05 13:22:02,050 - INFO - fastread - 881, 1222  1009
2019-02-05 13:22:18,289 - INFO - fastread - 910, 1269  1040
2019-02-05 13:22:34,781 - INFO - fastread - 945, 1316  1049
2019-02-05 13:22:51,809 - INFO - fastread - 982, 1363  1072
2019-02-05 13:23:09,234 - INFO - fastread - 1011, 1410  1105
2019-02-05 13:23:26,714 - INFO - fastread - 1043, 1457  1132
2019-02-05 13:23:44,755 - INFO - fastread - 1077, 1504  1168
2019-02-05 13:24:03,411 - INFO - fastread - 1103, 1551  1192
2019-02-05 13:24:25,176 - INFO - fastread - 1126, 1598  1219
2019-02-05 13:24:43,687 - INFO - fastread - 1150, 1645  1225
2019-02-05 13:25:02,849 - INFO - fastread - 1171, 1692  1232
2019-02-05 13:25:26,501 - INFO - fastread - 1190, 1739  1247
2019-02-05 13:25:45,469 - INFO - fastread - 1209, 1786  1267
2019-02-05 13:26:04,649 - INFO - fastread - 1227, 1833  1287
2019-02-05 13:26:24,351 - INFO - fastread - 1245, 1880  1287
