2019-02-05 13:15:59,759 - INFO - rig - hibernate-distribution-3.3.2.GA
2019-02-05 13:16:07,926 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-05 13:16:07,926 - INFO - fastread - Total Yes: 472 | Total No: 2496
2019-02-05 13:16:08,512 - INFO - fastread - 0, 0  475
2019-02-05 13:16:11,195 - INFO - fastread - 1, 14  475
2019-02-05 13:16:13,875 - INFO - fastread - 5, 28  475
2019-02-05 13:16:16,770 - INFO - fastread - 18, 42  39
2019-02-05 13:16:19,817 - INFO - fastread - 32, 56  65
2019-02-05 13:16:23,000 - INFO - fastread - 43, 70  114
2019-02-05 13:16:26,261 - INFO - fastread - 47, 84  154
2019-02-05 13:16:29,551 - INFO - fastread - 52, 98  164
2019-02-05 13:16:32,685 - INFO - fastread - 62, 112  120
2019-02-05 13:16:35,773 - INFO - fastread - 76, 126  113
2019-02-05 13:16:38,930 - INFO - fastread - 84, 140  139
2019-02-05 13:16:42,153 - INFO - fastread - 94, 154  140
2019-02-05 13:16:45,369 - INFO - fastread - 105, 168  139
2019-02-05 13:16:48,581 - INFO - fastread - 117, 182  152
2019-02-05 13:16:51,873 - INFO - fastread - 129, 196  164
2019-02-05 13:16:55,207 - INFO - fastread - 136, 210  184
2019-02-05 13:16:58,551 - INFO - fastread - 149, 224  197
2019-02-05 13:17:01,912 - INFO - fastread - 161, 238  210
2019-02-05 13:17:05,373 - INFO - fastread - 174, 252  225
2019-02-05 13:17:08,872 - INFO - fastread - 182, 266  245
2019-02-05 13:17:12,283 - INFO - fastread - 189, 280  246
2019-02-05 13:17:15,798 - INFO - fastread - 201, 294  262
2019-02-05 13:17:19,361 - INFO - fastread - 214, 308  279
2019-02-05 13:17:22,918 - INFO - fastread - 227, 322  297
2019-02-05 13:17:26,518 - INFO - fastread - 236, 336  319
2019-02-05 13:17:30,117 - INFO - fastread - 249, 350  330
2019-02-05 13:17:33,790 - INFO - fastread - 260, 364  353
2019-02-05 13:17:37,528 - INFO - fastread - 268, 378  370
2019-02-05 13:17:41,280 - INFO - fastread - 281, 392  384
2019-02-05 13:17:44,996 - INFO - fastread - 295, 406  406
2019-02-05 13:17:48,796 - INFO - fastread - 305, 420  423
