2019-02-05 13:15:58,529 - INFO - rig - jEdit-4.2
2019-02-05 13:16:07,372 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-05 13:16:07,373 - INFO - fastread - Total Yes: 256 | Total No: 10066
2019-02-05 13:16:07,945 - INFO - fastread - 0, 0  475
2019-02-05 13:16:18,306 - INFO - fastread - 2, 51  475
2019-02-05 13:16:28,853 - INFO - fastread - 4, 101  475
2019-02-05 13:16:39,316 - INFO - fastread - 5, 151  475
2019-02-05 13:16:50,826 - INFO - fastread - 19, 202  88
2019-02-05 13:17:02,323 - INFO - fastread - 38, 253  90
2019-02-05 13:17:13,921 - INFO - fastread - 68, 304  110
2019-02-05 13:17:25,684 - INFO - fastread - 95, 355  127
2019-02-05 13:17:37,258 - INFO - fastread - 108, 406  152
2019-02-05 13:17:48,676 - INFO - fastread - 122, 457  171
2019-02-05 13:18:00,319 - INFO - fastread - 141, 508  171
2019-02-05 13:18:13,550 - INFO - fastread - 154, 559  189
2019-02-05 13:18:25,076 - INFO - fastread - 158, 610  199
2019-02-05 13:18:36,840 - INFO - fastread - 165, 661  196
2019-02-05 13:18:48,562 - INFO - fastread - 173, 712  195
2019-02-05 13:19:00,306 - INFO - fastread - 182, 763  193
2019-02-05 13:19:11,995 - INFO - fastread - 191, 814  198
2019-02-05 13:19:26,210 - INFO - fastread - 198, 865  205
2019-02-05 13:19:37,835 - INFO - fastread - 205, 916  211
2019-02-05 13:19:49,028 - INFO - fastread - 205, 967  228
2019-02-05 13:20:00,429 - INFO - fastread - 205, 1018  223
2019-02-05 13:20:11,869 - INFO - fastread - 205, 1069  219
2019-02-05 13:20:32,100 - INFO - fastread - 205, 1171  214
2019-02-05 13:20:43,005 - INFO - fastread - 206, 1222  214
2019-02-05 13:20:53,631 - INFO - fastread - 206, 1273  212
2019-02-05 13:21:04,546 - INFO - fastread - 210, 1324  218
2019-02-05 13:21:15,763 - INFO - fastread - 211, 1375  223
2019-02-05 13:21:26,713 - INFO - fastread - 218, 1426  219
2019-02-05 13:21:37,566 - INFO - fastread - 220, 1477  228
2019-02-05 13:21:48,845 - INFO - fastread - 220, 1528  229
2019-02-05 13:22:00,171 - INFO - fastread - 222, 1579  231
2019-02-05 13:22:11,054 - INFO - fastread - 225, 1630  231
2019-02-05 13:22:22,398 - INFO - fastread - 228, 1681  238
2019-02-05 13:22:34,034 - INFO - fastread - 232, 1732  236
2019-02-05 13:22:45,323 - INFO - fastread - 235, 1783  247
2019-02-05 13:22:56,808 - INFO - fastread - 235, 1834  246
2019-02-05 13:23:08,940 - INFO - fastread - 236, 1885  246
2019-02-05 13:23:25,671 - INFO - fastread - 237, 1936  247
2019-02-05 13:23:42,393 - INFO - fastread - 239, 1987  250
2019-02-05 13:23:53,829 - INFO - fastread - 242, 2038  256
2019-02-05 13:24:07,836 - INFO - fastread - 243, 2089  266
2019-02-05 13:24:19,766 - INFO - fastread - 243, 2140  263
2019-02-05 13:24:37,670 - INFO - fastread - 247, 2191  261
2019-02-05 13:24:50,994 - INFO - fastread - 248, 2242  266
2019-02-05 13:25:03,367 - INFO - fastread - 249, 2293  267
2019-02-05 13:25:15,122 - INFO - fastread - 249, 2344  266
2019-02-05 13:25:27,232 - INFO - fastread - 250, 2395  266
2019-02-05 13:25:38,985 - INFO - fastread - 250, 2446  268
2019-02-05 13:25:56,350 - INFO - fastread - 251, 2497  269
2019-02-05 13:26:08,248 - INFO - fastread - 251, 2548  270
2019-02-05 13:26:20,106 - INFO - fastread - 251, 2599  271
2019-02-05 13:26:32,016 - INFO - fastread - 251, 2650  272
2019-02-05 13:26:52,529 - INFO - fastread - 251, 2752  272
2019-02-05 13:27:13,056 - INFO - fastread - 251, 2854  274
2019-02-05 13:27:33,651 - INFO - fastread - 251, 2956  283
2019-02-05 13:27:45,767 - INFO - fastread - 251, 3007  275
2019-02-05 13:27:45,767 - INFO - fastread - IGNORE jEdit-4.2 NO IMPROVEMENT after 3 random loops. EXITING. Current estimate: 290
2019-02-05 13:27:45,802 - INFO - fastread - IGNORE jEdit-4.2 | Total: 10322 | Percent Checked: 0.29 | Total Yes Data: 256 | Percent Yes Checked: 0.98
2019-02-05 13:54:42,700 - INFO - rig - jEdit-4.2
2019-02-05 13:54:49,360 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-05 13:54:49,360 - INFO - rig - ++++NEW CLF++++ SGD
2019-02-05 13:54:49,361 - INFO - fastread - Total Yes: 256 | Total No: 10066
2019-02-05 13:54:49,531 - INFO - fastread - 9, 10
2019-02-05 13:54:49,537 - INFO - fastread - 18, 20
2019-02-05 13:54:49,544 - INFO - fastread - 27, 30
2019-02-05 13:54:49,551 - INFO - fastread - 31, 40
2019-02-05 13:54:49,557 - INFO - fastread - 37, 50
2019-02-05 13:54:49,562 - INFO - fastread - 44, 60
2019-02-05 13:54:49,568 - INFO - fastread - 52, 70
2019-02-05 13:54:49,573 - INFO - fastread - 58, 80
2019-02-05 13:54:49,579 - INFO - fastread - 61, 90
2019-02-05 13:54:49,584 - INFO - fastread - 69, 100
2019-02-05 13:54:49,590 - INFO - fastread - 77, 110
2019-02-05 13:54:49,597 - INFO - fastread - 82, 120
2019-02-05 13:54:49,602 - INFO - fastread - 89, 130
2019-02-05 13:54:49,608 - INFO - fastread - 96, 140
2019-02-05 13:54:49,614 - INFO - fastread - 103, 150
2019-02-05 13:54:49,620 - INFO - fastread - 110, 160
2019-02-05 13:54:49,626 - INFO - fastread - 114, 170
2019-02-05 13:54:49,633 - INFO - fastread - 117, 180
2019-02-05 13:54:49,639 - INFO - fastread - 119, 190
2019-02-05 13:54:49,644 - INFO - fastread - 127, 200
2019-02-05 13:54:49,650 - INFO - fastread - 132, 210
2019-02-05 13:54:49,656 - INFO - fastread - 136, 220
2019-02-05 13:54:49,662 - INFO - fastread - 138, 230
2019-02-05 13:54:49,668 - INFO - fastread - 140, 240
2019-02-05 13:54:49,673 - INFO - fastread - 144, 250
2019-02-05 13:54:49,679 - INFO - fastread - 145, 260
2019-02-05 13:54:49,685 - INFO - fastread - 147, 270
2019-02-05 13:54:49,691 - INFO - fastread - 150, 280
2019-02-05 13:54:49,697 - INFO - fastread - 152, 290
2019-02-05 13:54:49,703 - INFO - fastread - 158, 300
2019-02-05 13:54:49,709 - INFO - fastread - 164, 310
2019-02-05 13:54:49,715 - INFO - fastread - 169, 320
2019-02-05 13:54:49,723 - INFO - fastread - 173, 330
2019-02-05 13:54:49,730 - INFO - fastread - 175, 340
2019-02-05 13:54:49,736 - INFO - fastread - 175, 350
2019-02-05 13:54:49,743 - INFO - fastread - 177, 360
2019-02-05 13:54:49,748 - INFO - fastread - 181, 370
2019-02-05 13:54:49,754 - INFO - fastread - 181, 380
2019-02-05 13:54:49,760 - INFO - fastread - 184, 390
2019-02-05 13:54:49,766 - INFO - fastread - 190, 400
2019-02-05 13:54:49,773 - INFO - fastread - 191, 410
2019-02-05 13:54:49,779 - INFO - fastread - 191, 420
2019-02-05 13:54:49,784 - INFO - fastread - 191, 430
2019-02-05 13:54:49,790 - INFO - fastread - 192, 440
2019-02-05 13:54:49,796 - INFO - fastread - 194, 450
2019-02-05 13:54:49,803 - INFO - fastread - 197, 460
2019-02-05 13:54:49,809 - INFO - fastread - 200, 470
2019-02-05 13:54:49,816 - INFO - fastread - 201, 480
2019-02-05 13:54:49,826 - INFO - fastread - 201, 490
2019-02-05 13:54:49,832 - INFO - fastread - 201, 500
2019-02-05 13:54:49,838 - INFO - fastread - 201, 510
2019-02-05 13:54:49,844 - INFO - fastread - 201, 520
2019-02-05 13:54:49,850 - INFO - fastread - 201, 530
2019-02-05 13:54:49,856 - INFO - fastread - 201, 540
2019-02-05 13:54:49,862 - INFO - fastread - 203, 550
2019-02-05 13:54:49,868 - INFO - fastread - 203, 560
2019-02-05 13:54:49,875 - INFO - fastread - 205, 570
2019-02-05 13:54:49,881 - INFO - fastread - 207, 580
2019-02-05 13:54:49,887 - INFO - fastread - 209, 590
2019-02-05 13:54:49,893 - INFO - fastread - 210, 600
2019-02-05 13:54:49,900 - INFO - fastread - 211, 610
2019-02-05 13:54:49,905 - INFO - fastread - 212, 620
2019-02-05 13:54:49,912 - INFO - fastread - 213, 630
2019-02-05 13:54:49,918 - INFO - fastread - 215, 640
2019-02-05 13:54:49,923 - INFO - fastread - 217, 650
2019-02-05 13:54:49,930 - INFO - fastread - 217, 660
2019-02-05 13:54:49,935 - INFO - fastread - 217, 670
2019-02-05 13:54:49,941 - INFO - fastread - 217, 680
2019-02-05 13:54:49,946 - INFO - fastread - 220, 690
2019-02-05 13:54:49,951 - INFO - fastread - 221, 700
2019-02-05 13:54:49,957 - INFO - fastread - 221, 710
2019-02-05 13:54:49,965 - INFO - fastread - 223, 720
2019-02-05 13:54:49,967 - INFO - fastread - 224, 730
2019-02-05 13:54:49,977 - INFO - fastread - 224, 740
2019-02-05 13:54:49,977 - INFO - fastread - 224, 750
2019-02-05 13:54:49,987 - INFO - fastread - 224, 760
2019-02-05 13:54:49,995 - INFO - fastread - 225, 770
2019-02-05 13:54:49,997 - INFO - fastread - 225, 780
2019-02-05 13:54:50,007 - INFO - fastread - 225, 790
2019-02-05 13:54:50,007 - INFO - fastread - 225, 800
2019-02-05 13:54:50,017 - INFO - fastread - 225, 810
2019-02-05 13:54:50,025 - INFO - fastread - 225, 820
2019-02-05 13:54:50,027 - INFO - fastread - 225, 830
2019-02-05 13:54:50,035 - INFO - fastread - 225, 840
2019-02-05 13:54:50,037 - INFO - fastread - 225, 850
2019-02-05 13:54:50,047 - INFO - fastread - 225, 860
2019-02-05 13:54:50,047 - INFO - fastread - 225, 870
2019-02-05 13:54:50,057 - INFO - fastread - 225, 880
2019-02-05 13:54:50,057 - INFO - fastread - 225, 890
2019-02-05 13:54:50,068 - INFO - fastread - 226, 900
2019-02-05 13:54:50,076 - INFO - fastread - 226, 910
2019-02-05 13:54:50,078 - INFO - fastread - 226, 920
2019-02-05 13:54:50,088 - INFO - fastread - 226, 930
2019-02-05 13:54:50,096 - INFO - fastread - 227, 940
2019-02-05 13:54:50,098 - INFO - fastread - 229, 950
2019-02-05 13:54:50,108 - INFO - fastread - 229, 960
2019-02-05 13:54:50,116 - INFO - fastread - 229, 970
2019-02-05 13:54:50,118 - INFO - fastread - 229, 980
2019-02-05 13:54:50,128 - INFO - fastread - 229, 990
2019-02-05 13:54:50,136 - INFO - fastread - 229, 1000
2019-02-05 13:54:50,138 - INFO - fastread - 229, 1010
2019-02-05 13:54:50,148 - INFO - fastread - 229, 1020
2019-02-05 13:54:50,158 - INFO - fastread - 229, 1030
2019-02-05 13:54:50,158 - INFO - fastread - 229, 1040
2019-02-05 13:54:50,168 - INFO - fastread - 229, 1050
2019-02-05 13:54:50,179 - INFO - fastread - 229, 1060
2019-02-05 13:54:50,179 - INFO - fastread - 229, 1070
2019-02-05 13:54:50,189 - INFO - fastread - 229, 1080
2019-02-05 13:54:50,197 - INFO - fastread - 229, 1090
2019-02-05 13:54:50,199 - INFO - fastread - 229, 1100
2019-02-05 13:54:50,207 - INFO - fastread - 229, 1110
2019-02-05 13:54:50,209 - INFO - fastread - 229, 1120
2019-02-05 13:54:50,219 - INFO - fastread - 229, 1130
2019-02-05 13:54:50,227 - INFO - fastread - 229, 1140
2019-02-05 13:54:50,229 - INFO - fastread - 229, 1150
2019-02-05 13:54:50,239 - INFO - fastread - 229, 1160
2019-02-05 13:54:50,239 - INFO - fastread - 229, 1170
2019-02-05 13:54:50,249 - INFO - fastread - 229, 1180
2019-02-05 13:54:50,249 - INFO - fastread - 229, 1190
2019-02-05 13:54:50,259 - INFO - fastread - 229, 1200
2019-02-05 13:54:50,269 - INFO - fastread - 229, 1210
2019-02-05 13:54:50,269 - INFO - fastread - 229, 1220
2019-02-05 13:54:50,279 - INFO - fastread - 229, 1230
2019-02-05 13:54:50,287 - INFO - fastread - 229, 1240
2019-02-05 13:54:50,289 - INFO - fastread - 229, 1250
2019-02-05 13:54:50,300 - INFO - fastread - 229, 1260
2019-02-05 13:54:50,300 - INFO - fastread - 229, 1270
2019-02-05 13:54:50,310 - INFO - fastread - 229, 1280
2019-02-05 13:54:50,318 - INFO - fastread - 229, 1290
2019-02-05 13:54:50,320 - INFO - fastread - 229, 1300
2019-02-05 13:54:50,330 - INFO - fastread - 229, 1310
2019-02-05 13:54:50,338 - INFO - fastread - 229, 1320
2019-02-05 13:54:50,340 - INFO - fastread - 229, 1330
2019-02-05 13:54:50,350 - INFO - fastread - 229, 1340
2019-02-05 13:54:50,350 - INFO - fastread - 229, 1350
2019-02-05 13:54:50,360 - INFO - fastread - 229, 1360
2019-02-05 13:54:50,368 - INFO - fastread - 229, 1370
2019-02-05 13:54:50,370 - INFO - fastread - 229, 1380
2019-02-05 13:54:50,380 - INFO - fastread - 229, 1390
2019-02-05 13:54:50,388 - INFO - fastread - 229, 1400
2019-02-05 13:54:50,390 - INFO - fastread - 229, 1410
2019-02-05 13:54:50,398 - INFO - fastread - 229, 1420
