2019-02-07 13:22:43,676 - INFO - rig - apache-ant-1.7.0
2019-02-07 13:22:52,040 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 13:22:52,040 - INFO - fastread - Total Yes: 131 | Total No: 3967
2019-02-07 13:22:52,744 - INFO - fastread - 0, 0  475
2019-02-07 13:22:58,118 - INFO - fastread - 18, 20  475
2019-02-07 13:23:03,187 - INFO - fastread - 21, 40  84
2019-02-07 13:23:08,196 - INFO - fastread - 29, 60  91
2019-02-07 13:23:13,267 - INFO - fastread - 39, 80  96
2019-02-07 13:23:18,367 - INFO - fastread - 44, 100  99
2019-02-07 13:23:23,036 - INFO - fastread - 48, 120  125
2019-02-07 13:23:27,780 - INFO - fastread - 51, 140  133
2019-02-07 13:23:32,472 - INFO - fastread - 55, 160  123
2019-02-07 13:23:37,156 - INFO - fastread - 60, 180  121
2019-02-07 13:23:41,867 - INFO - fastread - 62, 200  116
2019-02-07 13:23:46,602 - INFO - fastread - 63, 220  126
2019-02-07 13:23:51,158 - INFO - fastread - 67, 240  120
2019-02-07 13:23:55,855 - INFO - fastread - 68, 260  118
2019-02-07 13:24:00,328 - INFO - fastread - 73, 280  123
2019-02-07 13:24:04,829 - INFO - fastread - 77, 300  117
2019-02-07 13:24:09,451 - INFO - fastread - 77, 320  119
2019-02-07 13:24:13,940 - INFO - fastread - 80, 340  115
2019-02-07 13:24:18,499 - INFO - fastread - 81, 360  118
2019-02-07 13:24:23,022 - INFO - fastread - 82, 380  118
2019-02-07 13:24:27,699 - INFO - fastread - 82, 400  119
2019-02-07 13:24:32,113 - INFO - fastread - 83, 420  116
2019-02-07 13:24:36,784 - INFO - fastread - 83, 440  117
2019-02-07 13:24:41,494 - INFO - fastread - 84, 460  118
2019-02-07 13:24:46,126 - INFO - fastread - 84, 480  114
2019-02-07 13:24:50,884 - INFO - fastread - 86, 500  116
2019-02-07 13:24:55,685 - INFO - fastread - 88, 520  118
2019-02-07 13:25:00,505 - INFO - fastread - 88, 540  125
2019-02-07 13:25:05,092 - INFO - fastread - 88, 560  119
2019-02-07 13:25:10,079 - INFO - fastread - 89, 580  119
2019-02-07 13:25:14,684 - INFO - fastread - 90, 600  121
2019-02-07 13:25:19,573 - INFO - fastread - 91, 620  116
2019-02-07 13:25:24,442 - INFO - fastread - 91, 640  120
2019-02-07 13:25:29,283 - INFO - fastread - 91, 660  121
2019-02-07 13:25:34,134 - INFO - fastread - 92, 680  118
2019-02-07 13:25:39,112 - INFO - fastread - 92, 700  121
2019-02-07 13:25:43,932 - INFO - fastread - 92, 720  117
2019-02-07 13:25:48,920 - INFO - fastread - 94, 740  119
2019-02-07 13:25:53,872 - INFO - fastread - 95, 760  119
2019-02-07 13:25:58,748 - INFO - fastread - 97, 780  118
2019-02-07 13:26:03,903 - INFO - fastread - 98, 800  122
2019-02-07 13:26:08,802 - INFO - fastread - 99, 820  120
2019-02-07 13:26:13,865 - INFO - fastread - 99, 840  123
2019-02-07 13:26:19,002 - INFO - fastread - 99, 860  121
2019-02-07 13:26:24,111 - INFO - fastread - 99, 880  124
2019-02-07 13:26:29,124 - INFO - fastread - 99, 900  123
2019-02-07 13:26:34,394 - INFO - fastread - 100, 920  125
2019-02-07 13:26:39,350 - INFO - fastread - 100, 940  127
2019-02-07 13:26:44,518 - INFO - fastread - 100, 960  123
2019-02-07 13:26:49,695 - INFO - fastread - 101, 980  125
2019-02-07 13:26:54,794 - INFO - fastread - 102, 1000  124
2019-02-07 13:26:59,853 - INFO - fastread - 103, 1020  125
2019-02-07 13:27:05,227 - INFO - fastread - 104, 1040  125
2019-02-07 13:27:10,277 - INFO - fastread - 104, 1060  123
2019-02-07 13:27:15,581 - INFO - fastread - 104, 1080  124
2019-02-07 13:27:20,838 - INFO - fastread - 104, 1100  124
2019-02-07 13:27:26,023 - INFO - fastread - 104, 1120  124
2019-02-07 13:27:39,019 - INFO - fastread - 106, 1177  124
2019-02-07 13:27:44,491 - INFO - fastread - 106, 1197  129
2019-02-07 13:27:49,576 - INFO - fastread - 106, 1217  126
2019-02-07 13:27:55,004 - INFO - fastread - 106, 1237  128
2019-02-07 13:28:01,769 - INFO - fastread - 107, 1257  127
2019-02-07 13:28:07,174 - INFO - fastread - 107, 1277  128
2019-02-07 13:28:12,324 - INFO - fastread - 107, 1297  125
2019-02-07 13:28:17,858 - INFO - fastread - 108, 1317  127
2019-02-07 13:28:23,151 - INFO - fastread - 108, 1337  128
2019-02-07 13:28:28,557 - INFO - fastread - 109, 1357  129
2019-02-07 13:28:33,982 - INFO - fastread - 112, 1377  128
2019-02-07 13:28:39,552 - INFO - fastread - 112, 1397  133
2019-02-07 13:28:44,810 - INFO - fastread - 113, 1417  133
2019-02-07 13:28:51,176 - INFO - fastread - 113, 1437  134
2019-02-07 13:28:59,055 - INFO - fastread - 113, 1457  132
2019-02-07 13:29:05,068 - INFO - fastread - 113, 1477  130
2019-02-07 13:29:10,505 - INFO - fastread - 113, 1497  132
2019-02-07 13:29:23,624 - INFO - fastread - 113, 1551  131
2019-02-07 13:29:29,057 - INFO - fastread - 114, 1571  134
2019-02-07 13:29:34,548 - INFO - fastread - 115, 1591  133
2019-02-07 13:29:40,062 - INFO - fastread - 115, 1611  133
2019-02-07 13:29:45,743 - INFO - fastread - 115, 1631  134
2019-02-07 13:29:51,084 - INFO - fastread - 115, 1651  135
2019-02-07 13:29:56,828 - INFO - fastread - 116, 1671  134
2019-02-07 13:30:02,321 - INFO - fastread - 116, 1691  135
2019-02-07 13:30:07,861 - INFO - fastread - 117, 1711  135
2019-02-07 13:30:13,464 - INFO - fastread - 118, 1731  134
2019-02-07 13:30:19,341 - INFO - fastread - 118, 1751  133
2019-02-07 13:30:24,985 - INFO - fastread - 118, 1771  133
2019-02-07 13:30:30,895 - INFO - fastread - 118, 1791  134
2019-02-07 13:30:36,575 - INFO - fastread - 119, 1811  134
2019-02-07 13:30:42,523 - INFO - fastread - 120, 1831  134
2019-02-07 13:30:48,296 - INFO - fastread - 122, 1851  138
2019-02-07 13:30:54,300 - INFO - fastread - 122, 1871  138
2019-02-07 13:31:00,112 - INFO - fastread - 125, 1891  138
2019-02-07 13:31:06,072 - INFO - fastread - 127, 1911  145
2019-02-07 13:31:11,879 - INFO - fastread - 127, 1931  151
2019-02-07 13:31:17,994 - INFO - fastread - 127, 1951  145
2019-02-07 13:31:23,951 - INFO - fastread - 127, 1971  145
2019-02-07 13:31:29,955 - INFO - fastread - 127, 1991  145
2019-02-07 13:31:43,667 - INFO - fastread - 128, 2044  147
2019-02-07 13:31:49,884 - INFO - fastread - 128, 2064  148
2019-02-07 13:31:55,761 - INFO - fastread - 128, 2084  147
2019-02-07 13:32:02,055 - INFO - fastread - 128, 2104  148
2019-02-07 13:32:08,065 - INFO - fastread - 128, 2124  145
2019-02-07 13:32:14,370 - INFO - fastread - 128, 2144  145
2019-02-07 13:32:28,290 - INFO - fastread - 128, 2194  144
2019-02-07 13:32:42,264 - INFO - fastread - 128, 2244  143
2019-02-07 13:32:48,637 - INFO - fastread - 129, 2264  143
2019-02-07 13:32:54,727 - INFO - fastread - 129, 2284  146
2019-02-07 13:33:01,116 - INFO - fastread - 129, 2304  146
2019-02-07 13:33:07,275 - INFO - fastread - 129, 2324  145
2019-02-07 13:33:13,678 - INFO - fastread - 129, 2344  147
2019-02-07 13:33:28,079 - INFO - fastread - 129, 2394  142
2019-02-07 13:33:42,545 - INFO - fastread - 129, 2445  144
2019-02-07 13:33:57,007 - INFO - fastread - 129, 2492  144
2019-02-07 13:34:03,411 - INFO - fastread - 129, 2512  148
2019-02-07 13:34:03,412 - INFO - fastread - IGNORE apache-ant-1.7.0 NO IMPROVEMENT after 3 random loops. EXITING. Current estimate: 156
2019-02-07 13:34:03,437 - INFO - fastread - IGNORE apache-ant-1.7.0 | Total: 4098 | Percent Checked: 0.61 | Total Yes Data: 131 | Percent Yes Checked: 0.98
2019-02-07 13:34:03,438 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 13:34:03,438 - INFO - quickread - Total Yes: 131 | Total No: 3967
2019-02-07 13:34:04,045 - INFO - quickread - 0, 0  475
2019-02-07 13:34:08,056 - INFO - quickread - 18, 20  475
2019-02-07 13:34:12,720 - INFO - quickread - 28, 40  78
2019-02-07 13:34:17,424 - INFO - quickread - 42, 60  79
2019-02-07 13:34:22,044 - INFO - quickread - 51, 80  87
2019-02-07 13:34:26,513 - INFO - quickread - 57, 100  95
2019-02-07 13:34:30,938 - INFO - quickread - 63, 120  100
2019-02-07 13:34:35,357 - INFO - quickread - 68, 140  103
2019-02-07 13:34:39,676 - INFO - quickread - 69, 160  102
2019-02-07 13:34:43,973 - INFO - quickread - 74, 180  94
2019-02-07 13:34:48,180 - INFO - quickread - 78, 200  97
2019-02-07 13:34:52,455 - INFO - quickread - 81, 220  98
2019-02-07 13:34:56,625 - INFO - quickread - 86, 240  97
2019-02-07 13:35:00,863 - INFO - quickread - 88, 260  102
2019-02-07 13:35:05,057 - INFO - quickread - 89, 280  99
2019-02-07 13:35:09,211 - INFO - quickread - 89, 300  96
2019-02-07 13:35:13,371 - INFO - quickread - 91, 320  94
2019-02-07 13:35:17,505 - INFO - quickread - 91, 340  95
2019-02-07 13:35:21,644 - INFO - quickread - 91, 360  93
2019-02-07 13:35:25,752 - INFO - quickread - 94, 380  92
2019-02-07 13:35:29,842 - INFO - quickread - 94, 400  95
2019-02-07 13:35:33,858 - INFO - quickread - 94, 420  94
2019-02-07 13:35:37,926 - INFO - quickread - 97, 440  94
