2019-02-07 13:22:44,425 - INFO - rig - argouml
2019-02-07 13:22:53,670 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 13:22:53,671 - INFO - fastread - Total Yes: 1413 | Total No: 8039
2019-02-07 13:22:54,302 - INFO - fastread - 0, 0  475
2019-02-07 13:26:29,293 - INFO - fastread - 999, 1168  475
2019-02-07 13:26:44,983 - INFO - fastread - 1032, 1215  1838
2019-02-07 13:27:00,951 - INFO - fastread - 1070, 1262  1816
2019-02-07 13:27:16,915 - INFO - fastread - 1105, 1309  1786
2019-02-07 13:27:33,144 - INFO - fastread - 1149, 1356  1821
2019-02-07 13:27:49,716 - INFO - fastread - 1187, 1403  1860
2019-02-07 13:28:06,840 - INFO - fastread - 1224, 1450  1894
2019-02-07 13:28:24,686 - INFO - fastread - 1232, 1497  1923
2019-02-07 13:28:42,728 - INFO - fastread - 1237, 1544  1869
2019-02-07 13:29:01,244 - INFO - fastread - 1240, 1591  1842
2019-02-07 13:29:19,509 - INFO - fastread - 1245, 1638  1808
2019-02-07 13:29:37,391 - INFO - fastread - 1253, 1685  1747
2019-02-07 13:29:55,502 - INFO - fastread - 1257, 1732  1767
2019-02-07 13:30:14,057 - INFO - fastread - 1262, 1779  1697
2019-02-07 13:30:32,757 - INFO - fastread - 1265, 1826  1685
2019-02-07 13:30:51,504 - INFO - fastread - 1272, 1873  1676
2019-02-07 13:31:10,545 - INFO - fastread - 1275, 1920  1611
2019-02-07 13:31:29,835 - INFO - fastread - 1279, 1967  1585
2019-02-07 13:31:48,505 - INFO - fastread - 1286, 2014  1574
2019-02-07 13:32:07,824 - INFO - fastread - 1299, 2061  1573
2019-02-07 13:32:27,030 - INFO - fastread - 1303, 2108  1561
2019-02-07 13:32:46,481 - INFO - fastread - 1307, 2155  1534
2019-02-07 13:33:05,866 - INFO - fastread - 1309, 2202  1520
2019-02-07 13:33:25,029 - INFO - fastread - 1310, 2249  1480
2019-02-07 13:33:44,589 - INFO - fastread - 1312, 2296  1476
2019-02-07 13:34:04,259 - INFO - fastread - 1316, 2343  1459
2019-02-07 13:34:24,080 - INFO - fastread - 1318, 2390  1461
2019-02-07 13:34:44,094 - INFO - fastread - 1318, 2437  1431
2019-02-07 13:35:03,969 - INFO - fastread - 1319, 2484  1414
2019-02-07 13:35:24,123 - INFO - fastread - 1322, 2531  1424
2019-02-07 13:35:44,335 - INFO - fastread - 1322, 2578  1410
2019-02-07 13:36:04,398 - INFO - fastread - 1324, 2625  1392
2019-02-07 13:36:24,443 - INFO - fastread - 1325, 2672  1400
2019-02-07 13:36:44,919 - INFO - fastread - 1325, 2719  1388
2019-02-07 13:37:05,360 - INFO - fastread - 1325, 2766  1373
2019-02-07 13:37:25,869 - INFO - fastread - 1325, 2813  1372
2019-02-07 13:37:46,683 - INFO - fastread - 1330, 2860  1383
2019-02-07 13:38:07,429 - INFO - fastread - 1332, 2907  1387
2019-02-07 13:38:28,405 - INFO - fastread - 1333, 2954  1378
2019-02-07 13:38:49,276 - INFO - fastread - 1334, 3001  1364
2019-02-07 13:39:10,461 - INFO - fastread - 1335, 3048  1369
2019-02-07 13:39:31,767 - INFO - fastread - 1335, 3095  1364
2019-02-07 13:39:52,981 - INFO - fastread - 1336, 3142  1360
2019-02-07 13:40:14,442 - INFO - fastread - 1336, 3189  1361
2019-02-07 13:40:35,946 - INFO - fastread - 1336, 3236  1352
2019-02-07 13:40:57,610 - INFO - fastread - 1336, 3283  1351
2019-02-07 13:41:19,063 - INFO - fastread - 1336, 3330  1351
2019-02-07 13:41:57,162 - INFO - fastread - 1336, 3460  1347
2019-02-07 13:42:35,366 - INFO - fastread - 1336, 3589  1336
2019-02-07 13:42:49,263 - INFO - fastread - IGNORE argouml | Total: 9452 | Percent Checked: 0.38 | Total Yes Data: 1413 | Percent Yes Checked: 0.95
2019-02-07 13:42:49,264 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 13:42:49,264 - INFO - quickread - Total Yes: 1413 | Total No: 8039
2019-02-07 13:42:49,830 - INFO - quickread - 0, 0  475
2019-02-07 13:46:14,533 - INFO - quickread - 999, 1168  475
2019-02-07 13:46:24,124 - INFO - quickread - 1034, 1215  1830
2019-02-07 13:46:33,438 - INFO - quickread - 1076, 1262  1765
2019-02-07 13:46:42,840 - INFO - quickread - 1113, 1309  1710
2019-02-07 13:46:52,240 - INFO - quickread - 1147, 1356  1682
2019-02-07 13:47:01,691 - INFO - quickread - 1174, 1403  1659
2019-02-07 13:47:11,255 - INFO - quickread - 1196, 1450  1641
2019-02-07 13:47:20,688 - INFO - quickread - 1214, 1497  1613
2019-02-07 13:47:30,075 - INFO - quickread - 1233, 1544  1577
2019-02-07 13:47:39,412 - INFO - quickread - 1240, 1591  1566
2019-02-07 13:47:48,710 - INFO - quickread - 1253, 1638  1520
2019-02-07 13:47:57,907 - INFO - quickread - 1259, 1685  1500
2019-02-07 13:48:07,165 - INFO - quickread - 1269, 1732  1466
2019-02-07 13:48:16,290 - INFO - quickread - 1275, 1779  1451
2019-02-07 13:48:25,348 - INFO - quickread - 1280, 1826  1425
2019-02-07 13:48:35,058 - INFO - quickread - 1283, 1873  1403
2019-02-07 13:48:43,943 - INFO - quickread - 1288, 1920  1383
2019-02-07 13:48:52,759 - INFO - quickread - 1292, 1967  1371
2019-02-07 13:49:03,919 - INFO - quickread - 1297, 2014  1361
2019-02-07 13:49:12,662 - INFO - quickread - 1300, 2061  1355
2019-02-07 13:49:21,288 - INFO - quickread - 1302, 2108  1346
2019-02-07 13:49:29,961 - INFO - quickread - 1305, 2155  1337
2019-02-07 13:49:38,494 - INFO - quickread - 1308, 2202  1331
2019-02-07 13:49:52,489 - INFO - quickread - 1313, 2249  1327
2019-02-07 13:50:06,567 - INFO - quickread - 1314, 2296  1329
2019-02-07 13:50:16,208 - INFO - quickread - 1317, 2343  1322
2019-02-07 13:50:24,692 - INFO - quickread - 1319, 2390  1320
2019-02-07 13:50:25,201 - INFO - quickread - IGNORE argouml | Total: 9452 | Percent Checked: 0.25 | Total Yes Data: 1413 | Percent Yes Checked: 0.93
2019-02-07 13:50:25,202 - INFO - rig - ++++NEW CLF++++ ENSEMBLE_DT
2019-02-07 13:50:25,231 - INFO - ensemble - 8, 10
2019-02-07 13:50:25,237 - INFO - ensemble - 16, 20
2019-02-07 13:50:25,243 - INFO - ensemble - 23, 30
2019-02-07 13:50:25,249 - INFO - ensemble - 30, 40
2019-02-07 13:50:25,255 - INFO - ensemble - 40, 50
2019-02-07 13:50:25,261 - INFO - ensemble - 47, 60
2019-02-07 13:50:25,267 - INFO - ensemble - 55, 70
2019-02-07 13:50:25,273 - INFO - ensemble - 63, 80
2019-02-07 13:50:25,279 - INFO - ensemble - 72, 90
2019-02-07 13:50:25,285 - INFO - ensemble - 81, 100
2019-02-07 13:50:25,291 - INFO - ensemble - 88, 110
2019-02-07 13:50:25,297 - INFO - ensemble - 96, 120
2019-02-07 13:50:25,303 - INFO - ensemble - 105, 130
2019-02-07 13:50:25,309 - INFO - ensemble - 112, 140
2019-02-07 13:50:25,315 - INFO - ensemble - 118, 150
2019-02-07 13:50:25,321 - INFO - ensemble - 128, 160
2019-02-07 13:50:25,327 - INFO - ensemble - 137, 170
2019-02-07 13:50:25,333 - INFO - ensemble - 144, 180
2019-02-07 13:50:25,340 - INFO - ensemble - 153, 190
2019-02-07 13:50:25,346 - INFO - ensemble - 160, 200
2019-02-07 13:50:25,352 - INFO - ensemble - 169, 210
2019-02-07 13:50:25,358 - INFO - ensemble - 177, 220
2019-02-07 13:50:25,364 - INFO - ensemble - 186, 230
2019-02-07 13:50:25,370 - INFO - ensemble - 194, 240
2019-02-07 13:50:25,376 - INFO - ensemble - 202, 250
2019-02-07 13:50:25,382 - INFO - ensemble - 210, 260
2019-02-07 13:50:25,388 - INFO - ensemble - 219, 270
2019-02-07 13:50:25,394 - INFO - ensemble - 227, 280
2019-02-07 13:50:25,400 - INFO - ensemble - 236, 290
2019-02-07 13:50:25,407 - INFO - ensemble - 245, 300
2019-02-07 13:50:25,413 - INFO - ensemble - 254, 310
2019-02-07 13:50:25,419 - INFO - ensemble - 263, 320
2019-02-07 13:50:25,425 - INFO - ensemble - 271, 330
2019-02-07 13:50:25,431 - INFO - ensemble - 280, 340
2019-02-07 13:50:25,437 - INFO - ensemble - 290, 350
2019-02-07 13:50:25,444 - INFO - ensemble - 297, 360
2019-02-07 13:50:25,450 - INFO - ensemble - 306, 370
2019-02-07 13:50:25,456 - INFO - ensemble - 313, 380
2019-02-07 13:50:25,462 - INFO - ensemble - 322, 390
2019-02-07 13:50:25,468 - INFO - ensemble - 331, 400
2019-02-07 13:50:25,474 - INFO - ensemble - 338, 410
2019-02-07 13:50:25,480 - INFO - ensemble - 346, 420
2019-02-07 13:50:25,487 - INFO - ensemble - 355, 430
2019-02-07 13:50:25,493 - INFO - ensemble - 364, 440
2019-02-07 13:50:25,499 - INFO - ensemble - 373, 450
2019-02-07 13:50:25,505 - INFO - ensemble - 380, 460
2019-02-07 13:50:25,511 - INFO - ensemble - 388, 470
2019-02-07 13:50:25,517 - INFO - ensemble - 397, 480
2019-02-07 13:50:25,524 - INFO - ensemble - 406, 490
2019-02-07 13:50:25,530 - INFO - ensemble - 412, 500
2019-02-07 13:50:25,536 - INFO - ensemble - 422, 510
2019-02-07 13:50:25,542 - INFO - ensemble - 430, 520
2019-02-07 13:50:25,548 - INFO - ensemble - 438, 530
2019-02-07 13:50:25,554 - INFO - ensemble - 448, 540
2019-02-07 13:50:25,561 - INFO - ensemble - 456, 550
2019-02-07 13:50:25,567 - INFO - ensemble - 466, 560
2019-02-07 13:50:25,573 - INFO - ensemble - 474, 570
2019-02-07 13:50:25,579 - INFO - ensemble - 483, 580
2019-02-07 13:50:25,585 - INFO - ensemble - 491, 590
2019-02-07 13:50:25,592 - INFO - ensemble - 500, 600
2019-02-07 13:50:25,598 - INFO - ensemble - 508, 610
2019-02-07 13:50:25,604 - INFO - ensemble - 516, 620
2019-02-07 13:50:25,610 - INFO - ensemble - 524, 630
2019-02-07 13:50:25,617 - INFO - ensemble - 532, 640
2019-02-07 13:50:25,623 - INFO - ensemble - 541, 650
2019-02-07 13:50:25,629 - INFO - ensemble - 548, 660
2019-02-07 13:50:25,635 - INFO - ensemble - 558, 670
2019-02-07 13:50:25,641 - INFO - ensemble - 567, 680
2019-02-07 13:50:25,648 - INFO - ensemble - 576, 690
2019-02-07 13:50:25,654 - INFO - ensemble - 581, 700
2019-02-07 13:50:25,660 - INFO - ensemble - 590, 710
2019-02-07 13:50:25,666 - INFO - ensemble - 600, 720
2019-02-07 13:50:25,673 - INFO - ensemble - 608, 730
2019-02-07 13:50:25,679 - INFO - ensemble - 618, 740
2019-02-07 13:50:25,685 - INFO - ensemble - 626, 750
2019-02-07 13:50:25,691 - INFO - ensemble - 634, 760
2019-02-07 13:50:25,698 - INFO - ensemble - 643, 770
2019-02-07 13:50:25,704 - INFO - ensemble - 653, 780
2019-02-07 13:50:25,710 - INFO - ensemble - 661, 790
2019-02-07 13:50:25,717 - INFO - ensemble - 669, 800
2019-02-07 13:50:25,723 - INFO - ensemble - 678, 810
2019-02-07 13:50:25,729 - INFO - ensemble - 687, 820
2019-02-07 13:50:25,735 - INFO - ensemble - 697, 830
2019-02-07 13:50:25,742 - INFO - ensemble - 704, 840
2019-02-07 13:50:25,748 - INFO - ensemble - 713, 850
2019-02-07 13:50:25,754 - INFO - ensemble - 723, 860
2019-02-07 13:50:25,761 - INFO - ensemble - 731, 870
2019-02-07 13:50:25,767 - INFO - ensemble - 740, 880
2019-02-07 13:50:25,773 - INFO - ensemble - 750, 890
2019-02-07 13:50:25,779 - INFO - ensemble - 760, 900
2019-02-07 13:50:25,786 - INFO - ensemble - 770, 910
2019-02-07 13:50:25,792 - INFO - ensemble - 780, 920
2019-02-07 13:50:25,798 - INFO - ensemble - 790, 930
2019-02-07 13:50:25,805 - INFO - ensemble - 799, 940
