2019-02-07 13:22:44,561 - INFO - rig - hibernate-distribution-3.3.2.GA
2019-02-07 13:22:52,853 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 13:22:52,853 - INFO - fastread - Total Yes: 472 | Total No: 2496
2019-02-07 13:22:53,418 - INFO - fastread - 0, 0  475
2019-02-07 13:23:49,634 - INFO - fastread - 288, 299  475
2019-02-07 13:23:53,708 - INFO - fastread - 294, 313  492
2019-02-07 13:23:57,879 - INFO - fastread - 307, 327  529
2019-02-07 13:24:02,007 - INFO - fastread - 321, 341  531
2019-02-07 13:24:06,238 - INFO - fastread - 334, 355  537
2019-02-07 13:24:10,559 - INFO - fastread - 345, 369  553
2019-02-07 13:24:14,836 - INFO - fastread - 347, 383  553
2019-02-07 13:24:19,138 - INFO - fastread - 352, 397  542
2019-02-07 13:24:23,480 - INFO - fastread - 356, 411  536
2019-02-07 13:24:27,771 - INFO - fastread - 359, 425  533
2019-02-07 13:24:32,161 - INFO - fastread - 361, 439  526
2019-02-07 13:24:36,537 - INFO - fastread - 364, 453  514
2019-02-07 13:24:40,944 - INFO - fastread - 368, 467  513
2019-02-07 13:24:45,466 - INFO - fastread - 372, 481  511
2019-02-07 13:24:49,909 - INFO - fastread - 378, 495  519
2019-02-07 13:24:54,419 - INFO - fastread - 379, 509  520
2019-02-07 13:24:58,868 - INFO - fastread - 381, 523  500
2019-02-07 13:25:03,395 - INFO - fastread - 383, 537  497
2019-02-07 13:25:07,937 - INFO - fastread - 383, 551  494
2019-02-07 13:25:12,456 - INFO - fastread - 388, 565  478
2019-02-07 13:25:17,044 - INFO - fastread - 393, 579  492
2019-02-07 13:25:21,690 - INFO - fastread - 397, 593  494
2019-02-07 13:25:26,376 - INFO - fastread - 404, 607  503
2019-02-07 13:25:31,081 - INFO - fastread - 406, 621  495
2019-02-07 13:25:35,794 - INFO - fastread - 411, 635  489
2019-02-07 13:25:40,513 - INFO - fastread - 411, 649  502
2019-02-07 13:25:45,206 - INFO - fastread - 411, 663  492
2019-02-07 13:25:49,864 - INFO - fastread - 415, 677  473
2019-02-07 13:25:54,561 - INFO - fastread - 418, 691  476
2019-02-07 13:25:59,300 - INFO - fastread - 421, 705  481
2019-02-07 13:26:04,049 - INFO - fastread - 424, 719  481
2019-02-07 13:26:08,764 - INFO - fastread - 427, 733  475
2019-02-07 13:26:13,519 - INFO - fastread - 428, 747  480
2019-02-07 13:26:18,304 - INFO - fastread - 430, 761  475
2019-02-07 13:26:23,071 - INFO - fastread - 430, 775  463
2019-02-07 13:26:27,853 - INFO - fastread - 430, 789  460
