2019-02-07 14:26:17,893 - INFO - rig - columba-1.4-src
2019-02-07 14:26:24,697 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 14:26:24,697 - INFO - fastread - Total Yes: 204 | Total No: 6264
2019-02-07 14:26:25,109 - INFO - fastread - 0, 0  475
2019-02-07 14:26:50,120 - INFO - fastread - 127, 138  475
2019-02-07 14:26:56,808 - INFO - fastread - 147, 170  216
2019-02-07 14:27:03,936 - INFO - fastread - 152, 202  250
2019-02-07 14:27:10,976 - INFO - fastread - 154, 234  239
2019-02-07 14:27:17,952 - INFO - fastread - 161, 266  238
2019-02-07 14:27:24,309 - INFO - fastread - 165, 298  228
2019-02-07 14:27:31,061 - INFO - fastread - 166, 330  228
2019-02-07 14:27:37,855 - INFO - fastread - 168, 362  226
2019-02-07 14:27:44,695 - INFO - fastread - 177, 394  229
2019-02-07 14:27:51,227 - INFO - fastread - 186, 426  244
2019-02-07 14:27:57,631 - INFO - fastread - 189, 458  251
2019-02-07 14:28:03,970 - INFO - fastread - 191, 490  238
2019-02-07 14:28:10,694 - INFO - fastread - 192, 522  240
2019-02-07 14:28:17,694 - INFO - fastread - 192, 554  233
2019-02-07 14:28:24,012 - INFO - fastread - 192, 586  228
2019-02-07 14:28:30,283 - INFO - fastread - 192, 618  228
2019-02-07 14:28:36,421 - INFO - fastread - 192, 650  227
2019-02-07 14:28:42,475 - INFO - fastread - 193, 682  224
2019-02-07 14:28:48,625 - INFO - fastread - 194, 714  225
2019-02-07 14:28:54,624 - INFO - fastread - 195, 746  228
2019-02-07 14:29:00,823 - INFO - fastread - 196, 778  224
2019-02-07 14:29:07,039 - INFO - fastread - 196, 810  220
2019-02-07 14:29:13,291 - INFO - fastread - 196, 842  225
2019-02-07 14:29:19,101 - INFO - fastread - 197, 874  221
2019-02-07 14:29:25,111 - INFO - fastread - 197, 906  224
2019-02-07 14:29:31,398 - INFO - fastread - 198, 938  222
2019-02-07 14:29:37,592 - INFO - fastread - 199, 970  223
2019-02-07 14:29:43,722 - INFO - fastread - 200, 1002  219
2019-02-07 14:29:49,653 - INFO - fastread - 200, 1034  225
2019-02-07 14:29:55,256 - INFO - fastread - 200, 1066  221
2019-02-07 14:30:01,423 - INFO - fastread - 202, 1098  221
2019-02-07 14:30:06,846 - INFO - fastread - 203, 1130  223
2019-02-07 14:30:13,033 - INFO - fastread - 203, 1162  226
2019-02-07 14:30:18,558 - INFO - fastread - 203, 1194  227
2019-02-07 14:30:24,414 - INFO - fastread - 203, 1226  222
