2019-02-07 14:26:18,207 - INFO - rig - jEdit-4.2
2019-02-07 14:26:25,030 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 14:26:25,030 - INFO - fastread - Total Yes: 256 | Total No: 10066
2019-02-07 14:26:25,536 - INFO - fastread - 0, 0  475
2019-02-07 14:26:33,094 - INFO - fastread - 38, 40  475
2019-02-07 14:26:44,468 - INFO - fastread - 48, 91  137
2019-02-07 14:26:55,531 - INFO - fastread - 57, 142  151
2019-02-07 14:27:06,338 - INFO - fastread - 82, 193  149
2019-02-07 14:27:17,668 - INFO - fastread - 103, 244  171
2019-02-07 14:27:27,682 - INFO - fastread - 121, 295  257
2019-02-07 14:27:37,661 - INFO - fastread - 139, 346  193
2019-02-07 14:27:47,463 - INFO - fastread - 152, 397  190
2019-02-07 14:27:57,299 - INFO - fastread - 163, 448  199
2019-02-07 14:28:07,105 - INFO - fastread - 175, 499  218
2019-02-07 14:28:17,441 - INFO - fastread - 183, 550  236
2019-02-07 14:28:27,082 - INFO - fastread - 188, 601  221
2019-02-07 14:28:36,624 - INFO - fastread - 194, 652  215
2019-02-07 14:28:45,805 - INFO - fastread - 195, 703  227
2019-02-07 14:28:55,271 - INFO - fastread - 198, 754  214
2019-02-07 14:29:04,853 - INFO - fastread - 202, 805  218
2019-02-07 14:29:14,238 - INFO - fastread - 203, 856  234
2019-02-07 14:29:23,799 - INFO - fastread - 206, 907  223
2019-02-07 14:29:33,110 - INFO - fastread - 206, 958  223
2019-02-07 14:29:42,716 - INFO - fastread - 207, 1009  224
2019-02-07 14:29:51,654 - INFO - fastread - 207, 1060  219
2019-02-07 14:30:01,443 - INFO - fastread - 208, 1111  215
2019-02-07 14:30:09,745 - INFO - fastread - 211, 1162  223
2019-02-07 14:30:18,507 - INFO - fastread - 215, 1213  232
2019-02-07 14:30:27,487 - INFO - fastread - 215, 1264  230
2019-02-07 14:30:36,030 - INFO - fastread - 223, 1315  231
2019-02-07 14:30:45,573 - INFO - fastread - 227, 1366  269
2019-02-07 14:30:55,423 - INFO - fastread - 227, 1417  275
2019-02-07 14:31:04,025 - INFO - fastread - 229, 1468  261
2019-02-07 14:31:13,668 - INFO - fastread - 232, 1519  242
2019-02-07 14:31:23,465 - INFO - fastread - 234, 1570  274
2019-02-07 14:31:33,041 - INFO - fastread - 234, 1621  279
2019-02-07 14:31:43,110 - INFO - fastread - 234, 1672  244
2019-02-07 14:31:52,538 - INFO - fastread - 234, 1723  274
2019-02-07 14:32:02,349 - INFO - fastread - 235, 1774  263
2019-02-07 14:32:13,071 - INFO - fastread - 236, 1825  267
2019-02-07 14:32:22,969 - INFO - fastread - 236, 1876  273
2019-02-07 14:32:33,997 - INFO - fastread - 237, 1927  271
2019-02-07 14:32:44,430 - INFO - fastread - 238, 1978  276
