2019-02-07 14:26:17,893 - INFO - rig - jfreechart-1.0.19
2019-02-07 14:26:24,433 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 14:26:24,433 - INFO - fastread - Total Yes: 209 | Total No: 4199
2019-02-07 14:26:24,747 - INFO - fastread - 0, 0  475
2019-02-07 14:26:32,255 - INFO - fastread - 40, 43  475
2019-02-07 14:26:36,974 - INFO - fastread - 58, 65  108
2019-02-07 14:26:41,689 - INFO - fastread - 61, 87  118
2019-02-07 14:26:46,211 - INFO - fastread - 66, 109  116
2019-02-07 14:26:50,747 - INFO - fastread - 66, 131  120
2019-02-07 14:26:55,449 - INFO - fastread - 68, 153  119
2019-02-07 14:26:59,599 - INFO - fastread - 69, 175  121
2019-02-07 14:27:03,955 - INFO - fastread - 70, 197  130
2019-02-07 14:27:08,239 - INFO - fastread - 72, 219  128
2019-02-07 14:27:12,657 - INFO - fastread - 77, 241  124
2019-02-07 14:27:16,801 - INFO - fastread - 84, 263  129
2019-02-07 14:27:20,888 - INFO - fastread - 90, 285  133
2019-02-07 14:27:24,775 - INFO - fastread - 97, 307  134
2019-02-07 14:27:28,632 - INFO - fastread - 105, 329  133
2019-02-07 14:27:32,581 - INFO - fastread - 114, 351  148
2019-02-07 14:27:36,853 - INFO - fastread - 117, 373  148
2019-02-07 14:27:40,844 - INFO - fastread - 119, 395  151
2019-02-07 14:27:44,916 - INFO - fastread - 124, 417  151
2019-02-07 14:27:48,806 - INFO - fastread - 126, 439  151
2019-02-07 14:27:52,756 - INFO - fastread - 126, 461  152
2019-02-07 14:27:56,942 - INFO - fastread - 127, 483  151
2019-02-07 14:28:00,728 - INFO - fastread - 127, 505  152
2019-02-07 14:28:04,606 - INFO - fastread - 128, 527  151
2019-02-07 14:28:08,692 - INFO - fastread - 130, 549  152
2019-02-07 14:28:12,901 - INFO - fastread - 131, 571  151
2019-02-07 14:28:17,088 - INFO - fastread - 131, 593  152
2019-02-07 14:28:21,079 - INFO - fastread - 133, 615  151
