2019-02-07 14:26:18,459 - INFO - rig - sql12
2019-02-07 14:26:25,000 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 14:26:25,000 - INFO - fastread - Total Yes: 286 | Total No: 6929
2019-02-07 14:26:25,455 - INFO - fastread - 0, 0  475
2019-02-07 14:26:49,310 - INFO - fastread - 130, 137  475
2019-02-07 14:26:56,727 - INFO - fastread - 147, 173  384
2019-02-07 14:27:04,510 - INFO - fastread - 152, 209  492
2019-02-07 14:27:12,725 - INFO - fastread - 156, 245  465
2019-02-07 14:27:20,556 - INFO - fastread - 159, 281  447
2019-02-07 14:27:28,104 - INFO - fastread - 164, 317  423
2019-02-07 14:27:35,686 - INFO - fastread - 165, 353  400
2019-02-07 14:27:43,601 - INFO - fastread - 169, 389  394
2019-02-07 14:27:51,115 - INFO - fastread - 173, 425  378
2019-02-07 14:27:58,166 - INFO - fastread - 176, 461  365
2019-02-07 14:28:05,557 - INFO - fastread - 178, 497  363
2019-02-07 14:28:13,371 - INFO - fastread - 185, 533  358
2019-02-07 14:28:20,889 - INFO - fastread - 206, 569  357
2019-02-07 14:28:29,220 - INFO - fastread - 212, 605  356
2019-02-07 14:28:38,032 - INFO - fastread - 214, 641  347
2019-02-07 14:28:46,759 - INFO - fastread - 215, 677  343
2019-02-07 14:28:55,564 - INFO - fastread - 216, 713  324
2019-02-07 14:29:04,720 - INFO - fastread - 217, 749  326
2019-02-07 14:29:13,715 - INFO - fastread - 218, 785  324
2019-02-07 14:29:22,416 - INFO - fastread - 220, 821  320
2019-02-07 14:29:31,449 - INFO - fastread - 224, 857  305
2019-02-07 14:29:40,569 - INFO - fastread - 228, 893  314
2019-02-07 14:29:49,370 - INFO - fastread - 229, 929  306
2019-02-07 14:29:58,109 - INFO - fastread - 231, 965  314
2019-02-07 14:30:06,556 - INFO - fastread - 233, 1001  305
2019-02-07 14:30:15,673 - INFO - fastread - 235, 1037  301
2019-02-07 14:30:23,462 - INFO - fastread - 237, 1073  302
2019-02-07 14:30:32,130 - INFO - fastread - 238, 1109  302
2019-02-07 14:30:41,573 - INFO - fastread - 240, 1145  305
2019-02-07 14:30:49,914 - INFO - fastread - 242, 1181  297
2019-02-07 14:30:58,997 - INFO - fastread - 244, 1217  297
2019-02-07 14:31:07,727 - INFO - fastread - 244, 1253  297
2019-02-07 14:31:16,313 - INFO - fastread - 254, 1289  294
2019-02-07 14:31:26,259 - INFO - fastread - 257, 1325  300
2019-02-07 14:31:35,847 - INFO - fastread - 258, 1361  301
2019-02-07 14:31:44,931 - INFO - fastread - 258, 1397  304
2019-02-07 14:31:54,411 - INFO - fastread - 258, 1433  296
2019-02-07 14:32:04,077 - INFO - fastread - 259, 1469  295
2019-02-07 14:32:14,369 - INFO - fastread - 262, 1505  294
2019-02-07 14:32:24,109 - INFO - fastread - 263, 1541  298
2019-02-07 14:32:34,311 - INFO - fastread - 264, 1577  290
2019-02-07 14:32:44,328 - INFO - fastread - 265, 1613  296
2019-02-07 14:32:54,661 - INFO - fastread - 265, 1649  289
2019-02-07 15:10:04,322 - INFO - rig - sql12
2019-02-07 15:10:07,331 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 15:10:07,331 - INFO - fastread - Total Yes: 286 | Total No: 6929
2019-02-07 15:10:07,530 - INFO - fastread - 0, 0  475
2019-02-07 15:10:15,537 - INFO - fastread - 124, 131  475
2019-02-07 15:10:18,549 - INFO - fastread - 138, 167  365
2019-02-07 15:10:21,641 - INFO - fastread - 148, 203  468
2019-02-07 15:10:24,839 - INFO - fastread - 155, 239  473
2019-02-07 15:10:28,023 - INFO - fastread - 157, 275  445
2019-02-07 15:10:31,291 - INFO - fastread - 160, 311  431
2019-02-07 15:10:34,584 - INFO - fastread - 163, 347  436
2019-02-07 15:10:37,859 - INFO - fastread - 167, 383  390
2019-02-07 15:10:41,118 - INFO - fastread - 171, 419  388
2019-02-07 15:10:44,422 - INFO - fastread - 172, 455  376
2019-02-07 15:10:47,659 - INFO - fastread - 177, 491  356
2019-02-07 15:10:50,941 - INFO - fastread - 197, 527  362
2019-02-07 15:10:54,300 - INFO - fastread - 201, 563  369
2019-02-07 15:10:57,597 - INFO - fastread - 206, 599  348
2019-02-07 15:11:00,972 - INFO - fastread - 208, 635  351
2019-02-07 15:11:04,373 - INFO - fastread - 212, 671  343
2019-02-07 15:11:07,773 - INFO - fastread - 215, 707  335
2019-02-07 15:11:11,231 - INFO - fastread - 218, 743  323
2019-02-07 15:11:14,693 - INFO - fastread - 218, 779  331
2019-02-07 15:11:18,169 - INFO - fastread - 219, 815  313
2019-02-07 15:11:21,673 - INFO - fastread - 219, 851  309
2019-02-07 15:11:25,214 - INFO - fastread - 220, 887  315
2019-02-07 15:11:29,013 - INFO - fastread - 220, 923  297
2019-02-07 15:11:33,333 - INFO - fastread - 221, 959  292
2019-02-07 15:11:37,609 - INFO - fastread - 221, 995  291
2019-02-07 15:11:41,837 - INFO - fastread - 223, 1031  285
2019-02-07 15:11:46,087 - INFO - fastread - 223, 1067  285
2019-02-07 15:11:50,617 - INFO - fastread - 226, 1103  282
2019-02-07 15:11:54,499 - INFO - fastread - 226, 1139  284
2019-02-07 15:11:58,191 - INFO - fastread - 230, 1175  276
2019-02-07 15:12:02,107 - INFO - fastread - 231, 1211  286
2019-02-07 15:12:06,203 - INFO - fastread - 233, 1247  280
2019-02-07 15:12:10,360 - INFO - fastread - 236, 1283  284
2019-02-07 15:12:14,459 - INFO - fastread - 238, 1319  283
2019-02-07 15:12:18,427 - INFO - fastread - 249, 1355  285
2019-02-07 15:12:22,372 - INFO - fastread - 252, 1391  294
2019-02-07 15:12:26,385 - INFO - fastread - 252, 1427  289
2019-02-07 15:12:30,424 - INFO - fastread - 253, 1463  289
2019-02-07 15:12:34,431 - INFO - fastread - 255, 1499  291
2019-02-07 15:12:38,621 - INFO - fastread - 255, 1535  295
2019-02-07 15:12:42,808 - INFO - fastread - 255, 1571  291
2019-02-07 15:12:46,995 - INFO - fastread - 256, 1607  288
2019-02-07 15:12:51,053 - INFO - fastread - 258, 1643  290
2019-02-07 15:12:55,267 - INFO - fastread - 258, 1679  286
2019-02-07 15:12:59,420 - INFO - fastread - 262, 1715  285
2019-02-07 15:13:03,633 - INFO - fastread - 266, 1751  287
2019-02-07 15:13:08,131 - INFO - fastread - 267, 1787  288
2019-02-07 15:13:12,620 - INFO - fastread - 267, 1823  291
2019-02-07 15:13:16,929 - INFO - fastread - 267, 1859  289
2019-02-07 15:13:21,409 - INFO - fastread - 269, 1895  289
2019-02-07 15:13:25,992 - INFO - fastread - 269, 1931  287
2019-02-07 15:13:30,510 - INFO - fastread - 269, 1967  292
2019-02-07 15:13:35,111 - INFO - fastread - 269, 2003  288
