2019-02-07 16:03:12,758 - INFO - rig - apache-jmeter-2.10
2019-02-07 16:03:20,272 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 16:03:20,272 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 16:03:20,272 - INFO - quickread - Total Yes: 374 | Total No: 7683
2019-02-07 16:03:21,126 - INFO - quickread - 0, 0  475
2019-02-07 16:03:28,450 - INFO - quickread - 37, 40  475
2019-02-07 16:03:36,923 - INFO - quickread - 67, 80  240
2019-02-07 16:03:45,741 - INFO - quickread - 103, 120  353
2019-02-07 16:03:54,511 - INFO - quickread - 142, 160  311
2019-02-07 16:04:02,542 - INFO - quickread - 160, 200  303
2019-02-07 16:04:10,484 - INFO - quickread - 182, 240  282
2019-02-07 16:04:18,317 - INFO - quickread - 207, 280  264
2019-02-07 16:04:26,235 - INFO - quickread - 230, 320  252
2019-02-07 16:04:34,418 - INFO - quickread - 248, 360  272
2019-02-07 16:04:42,429 - INFO - quickread - 266, 400  295
2019-02-07 16:04:50,471 - INFO - quickread - 277, 440  322
2019-02-07 16:04:58,473 - INFO - quickread - 284, 480  329
2019-02-07 16:05:06,201 - INFO - quickread - 289, 520  330
2019-02-07 16:05:14,035 - INFO - quickread - 292, 560  328
2019-02-07 16:05:21,893 - INFO - quickread - 294, 600  322
2019-02-07 16:05:29,652 - INFO - quickread - 299, 640  316
2019-02-07 16:05:37,911 - INFO - quickread - 302, 680  320
2019-02-07 16:05:46,383 - INFO - quickread - 304, 720  320
2019-02-07 16:05:54,503 - INFO - quickread - 306, 760  318
2019-02-07 16:06:02,405 - INFO - quickread - 307, 800  319
2019-02-07 16:06:10,259 - INFO - quickread - 308, 840  316
2019-02-07 16:06:18,351 - INFO - quickread - 308, 880  315
2019-02-07 16:06:26,555 - INFO - quickread - 309, 920  313
2019-02-07 16:06:34,331 - INFO - quickread - 312, 960  312
2019-02-07 16:06:42,545 - INFO - quickread - 315, 1000  316
2019-02-07 16:06:50,251 - INFO - quickread - 324, 1040  321
2019-02-07 16:06:58,463 - INFO - quickread - 326, 1080  334
2019-02-07 16:07:06,416 - INFO - quickread - 330, 1120  332
2019-02-07 16:07:14,558 - INFO - quickread - 332, 1160  336
2019-02-07 16:07:22,795 - INFO - quickread - 333, 1200  336
2019-02-07 16:07:30,825 - INFO - quickread - 333, 1240  335
2019-02-07 16:07:38,471 - INFO - quickread - 335, 1280  333
2019-02-07 16:07:45,940 - INFO - quickread - 335, 1320  335
2019-02-07 16:07:54,148 - INFO - quickread - 341, 1360  333
2019-02-07 16:08:01,774 - INFO - quickread - 346, 1400  342
2019-02-07 16:08:10,220 - INFO - quickread - 346, 1440  347
2019-02-07 16:08:18,528 - INFO - quickread - 347, 1480  345
2019-02-07 16:08:27,600 - INFO - quickread - 350, 1520  345
2019-02-07 16:08:34,661 - INFO - quickread - 350, 1560  348
2019-02-07 16:09:03,272 - INFO - quickread - 351, 1670  346
2019-02-07 16:09:10,467 - INFO - quickread - 351, 1710  347
2019-02-07 16:09:37,292 - INFO - quickread - 352, 1817  345
2019-02-07 16:09:44,226 - INFO - quickread - 352, 1857  346
2019-02-07 16:10:08,637 - INFO - quickread - 353, 1958  345
2019-02-07 16:10:14,340 - INFO - quickread - 355, 1998  345
2019-02-07 16:10:20,007 - INFO - quickread - 355, 2038  347
2019-02-07 16:10:43,253 - INFO - quickread - 357, 2140  346
2019-02-07 16:10:48,441 - INFO - quickread - 357, 2180  348
2019-02-07 16:11:08,337 - INFO - quickread - 357, 2276  348
2019-02-07 16:11:27,891 - INFO - quickread - 364, 2369  347
2019-02-07 16:11:33,363 - INFO - quickread - 364, 2409  356
2019-02-07 16:11:53,480 - INFO - quickread - 364, 2500  355
2019-02-07 16:12:17,266 - INFO - quickread - 365, 2625  353
2019-02-07 16:12:21,683 - INFO - quickread - 365, 2665  354
2019-02-07 16:12:43,652 - INFO - quickread - 365, 2786  353
2019-02-07 16:13:01,967 - INFO - quickread - 365, 2905  352
2019-02-07 16:13:01,967 - INFO - quickread - IGNORE apache-jmeter-2.10 NO IMPROVEMENT after 3 random loops. EXITING. Current estimate: 371
2019-02-07 16:13:01,995 - INFO - quickread - IGNORE apache-jmeter-2.10 | Total: 8057 | Percent Checked: 0.36 | Total Yes Data: 374 | Percent Yes Checked: 0.98
2019-02-07 16:13:01,995 - INFO - rig - ++++NEW CLF++++ SGD
2019-02-07 16:13:01,995 - INFO - fastread - Total Yes: 374 | Total No: 7683
2019-02-07 16:13:02,129 - INFO - fastread - 8, 10
2019-02-07 16:13:02,139 - INFO - fastread - 18, 20
2019-02-07 16:13:02,139 - INFO - fastread - 28, 30
2019-02-07 16:13:02,139 - INFO - fastread - 36, 40
2019-02-07 16:13:02,149 - INFO - fastread - 46, 50
2019-02-07 16:13:02,149 - INFO - fastread - 56, 60
2019-02-07 16:13:02,149 - INFO - fastread - 65, 70
2019-02-07 16:13:02,159 - INFO - fastread - 75, 80
2019-02-07 16:13:02,159 - INFO - fastread - 77, 90
2019-02-07 16:13:02,168 - INFO - fastread - 77, 100
2019-02-07 16:13:02,170 - INFO - fastread - 82, 110
2019-02-07 16:13:02,180 - INFO - fastread - 92, 120
2019-02-07 16:13:02,188 - INFO - fastread - 102, 130
2019-02-07 16:13:02,190 - INFO - fastread - 111, 140
2019-02-07 16:13:02,190 - INFO - fastread - 121, 150
2019-02-07 16:13:02,200 - INFO - fastread - 129, 160
2019-02-07 16:13:02,200 - INFO - fastread - 136, 170
2019-02-07 16:13:02,208 - INFO - fastread - 146, 180
2019-02-07 16:13:02,210 - INFO - fastread - 150, 190
2019-02-07 16:13:02,210 - INFO - fastread - 150, 200
2019-02-07 16:13:02,218 - INFO - fastread - 151, 210
2019-02-07 16:13:02,220 - INFO - fastread - 161, 220
2019-02-07 16:13:02,220 - INFO - fastread - 171, 230
2019-02-07 16:13:02,230 - INFO - fastread - 178, 240
2019-02-07 16:13:02,230 - INFO - fastread - 187, 250
2019-02-07 16:13:02,230 - INFO - fastread - 193, 260
2019-02-07 16:13:02,240 - INFO - fastread - 200, 270
2019-02-07 16:13:02,240 - INFO - fastread - 207, 280
2019-02-07 16:13:02,248 - INFO - fastread - 215, 290
2019-02-07 16:13:02,251 - INFO - fastread - 221, 300
2019-02-07 16:13:02,251 - INFO - fastread - 228, 310
2019-02-07 16:13:02,259 - INFO - fastread - 232, 320
2019-02-07 16:13:02,261 - INFO - fastread - 236, 330
2019-02-07 16:13:02,261 - INFO - fastread - 239, 340
2019-02-07 16:13:02,269 - INFO - fastread - 246, 350
2019-02-07 16:13:02,271 - INFO - fastread - 252, 360
2019-02-07 16:13:02,271 - INFO - fastread - 257, 370
2019-02-07 16:13:02,279 - INFO - fastread - 262, 380
2019-02-07 16:13:02,281 - INFO - fastread - 263, 390
2019-02-07 16:13:02,281 - INFO - fastread - 264, 400
2019-02-07 16:13:02,291 - INFO - fastread - 267, 410
2019-02-07 16:13:02,291 - INFO - fastread - 270, 420
2019-02-07 16:13:02,291 - INFO - fastread - 272, 430
2019-02-07 16:13:02,301 - INFO - fastread - 275, 440
2019-02-07 16:13:02,301 - INFO - fastread - 275, 450
2019-02-07 16:13:02,309 - INFO - fastread - 277, 460
2019-02-07 16:13:02,311 - INFO - fastread - 277, 470
2019-02-07 16:13:02,311 - INFO - fastread - 280, 480
2019-02-07 16:13:02,321 - INFO - fastread - 281, 490
2019-02-07 16:13:02,321 - INFO - fastread - 281, 500
2019-02-07 16:13:02,321 - INFO - fastread - 283, 510
2019-02-07 16:13:02,331 - INFO - fastread - 284, 520
2019-02-07 16:13:02,331 - INFO - fastread - 287, 530
2019-02-07 16:13:02,339 - INFO - fastread - 288, 540
2019-02-07 16:13:02,341 - INFO - fastread - 289, 550
2019-02-07 16:13:02,341 - INFO - fastread - 291, 560
2019-02-07 16:13:02,352 - INFO - fastread - 293, 570
2019-02-07 16:13:02,352 - INFO - fastread - 294, 580
2019-02-07 16:13:02,362 - INFO - fastread - 297, 590
2019-02-07 16:13:02,370 - INFO - fastread - 298, 600
2019-02-07 16:13:02,372 - INFO - fastread - 305, 610
2019-02-07 16:13:02,382 - INFO - fastread - 308, 620
2019-02-07 16:13:02,382 - INFO - fastread - 309, 630
2019-02-07 16:13:02,392 - INFO - fastread - 309, 640
2019-02-07 16:13:02,392 - INFO - fastread - 310, 650
2019-02-07 16:13:02,400 - INFO - fastread - 310, 660
2019-02-07 16:13:02,402 - INFO - fastread - 311, 670
2019-02-07 16:13:02,402 - INFO - fastread - 311, 680
2019-02-07 16:13:02,412 - INFO - fastread - 313, 690
2019-02-07 16:13:02,412 - INFO - fastread - 313, 700
2019-02-07 16:13:02,412 - INFO - fastread - 313, 710
