2019-02-07 16:03:11,500 - INFO - rig - jfreechart-1.0.19
2019-02-07 16:03:18,315 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 16:03:18,323 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 16:03:18,323 - INFO - quickread - Total Yes: 209 | Total No: 4199
2019-02-07 16:03:18,882 - INFO - quickread - 0, 0  475
2019-02-07 16:03:22,218 - INFO - quickread - 20, 22  475
2019-02-07 16:03:26,511 - INFO - quickread - 36, 44  106
2019-02-07 16:03:30,802 - INFO - quickread - 56, 66  139
2019-02-07 16:03:35,012 - INFO - quickread - 72, 88  111
2019-02-07 16:03:38,747 - INFO - quickread - 83, 110  104
2019-02-07 16:03:42,777 - INFO - quickread - 95, 132  111
2019-02-07 16:03:46,663 - INFO - quickread - 97, 154  134
2019-02-07 16:03:50,676 - INFO - quickread - 100, 176  125
2019-02-07 16:03:54,445 - INFO - quickread - 107, 198  122
2019-02-07 16:03:58,459 - INFO - quickread - 109, 220  137
2019-02-07 16:04:02,279 - INFO - quickread - 113, 242  134
2019-02-07 16:04:06,009 - INFO - quickread - 115, 264  139
2019-02-07 16:04:09,859 - INFO - quickread - 117, 286  136
2019-02-07 16:04:13,638 - INFO - quickread - 117, 308  136
2019-02-07 16:04:17,377 - INFO - quickread - 119, 330  132
2019-02-07 16:04:21,335 - INFO - quickread - 119, 352  133
2019-02-07 16:04:25,163 - INFO - quickread - 119, 374  129
2019-02-07 16:04:28,893 - INFO - quickread - 122, 396  127
2019-02-07 16:04:32,816 - INFO - quickread - 124, 418  132
2019-02-07 16:04:36,775 - INFO - quickread - 125, 440  133
2019-02-07 16:04:40,456 - INFO - quickread - 136, 462  133
2019-02-07 16:04:44,371 - INFO - quickread - 142, 484  153
2019-02-07 16:04:48,334 - INFO - quickread - 142, 506  159
2019-02-07 16:04:52,002 - INFO - quickread - 142, 528  152
2019-02-07 16:04:55,986 - INFO - quickread - 145, 550  149
2019-02-07 16:04:59,850 - INFO - quickread - 145, 572  152
2019-02-07 16:05:03,623 - INFO - quickread - 145, 594  150
2019-02-07 16:05:07,493 - INFO - quickread - 145, 616  148
2019-02-07 16:05:11,475 - INFO - quickread - 145, 638  147
2019-02-07 16:05:15,158 - INFO - quickread - 145, 660  146
2019-02-07 16:05:34,097 - INFO - quickread - 146, 735  145
2019-02-07 16:05:37,746 - INFO - quickread - 146, 757  146
2019-02-07 16:05:41,787 - INFO - quickread - 149, 779  146
2019-02-07 16:05:45,754 - INFO - quickread - 149, 801  150
2019-02-07 16:05:49,682 - INFO - quickread - 149, 823  149
2019-02-07 16:05:53,575 - INFO - quickread - 149, 845  149
2019-02-07 16:06:12,518 - INFO - quickread - 151, 923  148
2019-02-07 16:06:16,415 - INFO - quickread - 151, 945  151
2019-02-07 16:06:20,464 - INFO - quickread - 151, 967  150
2019-02-07 16:06:38,606 - INFO - quickread - 152, 1042  150
2019-02-07 16:06:42,751 - INFO - quickread - 172, 1064  151
2019-02-07 16:06:46,541 - INFO - quickread - 194, 1086  176
2019-02-07 16:06:50,526 - INFO - quickread - 209, 1108  195
2019-02-07 16:06:54,555 - INFO - quickread - 209, 1130  203
2019-02-07 16:07:12,617 - INFO - quickread - 209, 1199  200
2019-02-07 16:07:30,926 - INFO - quickread - 209, 1264  200
2019-02-07 16:07:30,926 - INFO - quickread - IGNORE jfreechart-1.0.19 NO IMPROVEMENT after 3 random loops. EXITING. Current estimate: 211
2019-02-07 16:07:30,954 - INFO - quickread - IGNORE jfreechart-1.0.19 | Total: 4408 | Percent Checked: 0.29 | Total Yes Data: 209 | Percent Yes Checked: 1.0
2019-02-07 16:07:30,954 - INFO - rig - ++++NEW CLF++++ SGD
2019-02-07 16:07:30,954 - INFO - fastread - Total Yes: 209 | Total No: 4199
2019-02-07 16:07:31,229 - INFO - fastread - 10, 10
2019-02-07 16:07:31,247 - INFO - fastread - 18, 20
2019-02-07 16:07:31,249 - INFO - fastread - 28, 30
2019-02-07 16:07:31,249 - INFO - fastread - 37, 40
2019-02-07 16:07:31,257 - INFO - fastread - 44, 50
2019-02-07 16:07:31,260 - INFO - fastread - 50, 60
2019-02-07 16:07:31,260 - INFO - fastread - 59, 70
2019-02-07 16:07:31,280 - INFO - fastread - 63, 80
2019-02-07 16:07:31,280 - INFO - fastread - 69, 90
2019-02-07 16:07:31,290 - INFO - fastread - 76, 100
2019-02-07 16:07:31,290 - INFO - fastread - 83, 110
2019-02-07 16:07:31,310 - INFO - fastread - 90, 120
2019-02-07 16:07:31,318 - INFO - fastread - 94, 130
2019-02-07 16:07:31,320 - INFO - fastread - 98, 140
2019-02-07 16:07:31,320 - INFO - fastread - 99, 150
2019-02-07 16:07:31,330 - INFO - fastread - 102, 160
2019-02-07 16:07:31,330 - INFO - fastread - 103, 170
2019-02-07 16:07:31,338 - INFO - fastread - 103, 180
2019-02-07 16:07:31,340 - INFO - fastread - 107, 190
2019-02-07 16:07:31,340 - INFO - fastread - 111, 200
2019-02-07 16:07:31,350 - INFO - fastread - 113, 210
2019-02-07 16:07:31,350 - INFO - fastread - 115, 220
2019-02-07 16:07:31,358 - INFO - fastread - 117, 230
2019-02-07 16:07:31,360 - INFO - fastread - 117, 240
2019-02-07 16:07:31,368 - INFO - fastread - 117, 250
2019-02-07 16:07:31,371 - INFO - fastread - 117, 260
2019-02-07 16:07:31,371 - INFO - fastread - 118, 270
2019-02-07 16:07:31,381 - INFO - fastread - 120, 280
2019-02-07 16:07:31,381 - INFO - fastread - 126, 290
2019-02-07 16:07:31,391 - INFO - fastread - 130, 300
