2019-02-07 16:03:12,526 - INFO - rig - jruby-1.4.0
2019-02-07 16:03:19,922 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 16:03:19,922 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 16:03:19,922 - INFO - quickread - Total Yes: 622 | Total No: 4275
2019-02-07 16:03:20,702 - INFO - quickread - 0, 0  475
2019-02-07 16:03:25,206 - INFO - quickread - 20, 24  475
2019-02-07 16:03:30,700 - INFO - quickread - 41, 48  201
2019-02-07 16:03:36,288 - INFO - quickread - 53, 72  284
2019-02-07 16:03:42,003 - INFO - quickread - 76, 96  310
2019-02-07 16:03:47,597 - INFO - quickread - 100, 120  313
2019-02-07 16:03:53,541 - INFO - quickread - 120, 144  327
2019-02-07 16:03:59,035 - INFO - quickread - 142, 168  327
2019-02-07 16:04:04,786 - INFO - quickread - 162, 192  355
2019-02-07 16:04:10,294 - INFO - quickread - 185, 216  366
2019-02-07 16:04:15,744 - INFO - quickread - 203, 240  381
2019-02-07 16:04:21,335 - INFO - quickread - 227, 264  391
2019-02-07 16:04:26,215 - INFO - quickread - 246, 288  412
2019-02-07 16:04:31,151 - INFO - quickread - 266, 312  425
2019-02-07 16:04:36,329 - INFO - quickread - 290, 336  440
2019-02-07 16:04:41,071 - INFO - quickread - 314, 360  474
2019-02-07 16:04:46,177 - INFO - quickread - 338, 384  481
2019-02-07 16:04:51,131 - INFO - quickread - 359, 408  477
2019-02-07 16:04:56,187 - INFO - quickread - 383, 432  499
2019-02-07 16:05:01,091 - INFO - quickread - 403, 456  523
2019-02-07 16:05:06,125 - INFO - quickread - 423, 480  546
2019-02-07 16:05:11,108 - INFO - quickread - 436, 504  566
2019-02-07 16:05:15,924 - INFO - quickread - 449, 528  573
2019-02-07 16:05:21,072 - INFO - quickread - 464, 552  579
2019-02-07 16:05:25,973 - INFO - quickread - 478, 576  593
2019-02-07 16:05:31,010 - INFO - quickread - 491, 600  611
2019-02-07 16:05:36,266 - INFO - quickread - 502, 624  624
2019-02-07 16:05:41,777 - INFO - quickread - 515, 648  629
2019-02-07 16:05:46,838 - INFO - quickread - 525, 672  649
