2019-02-07 17:17:50,401 - INFO - rig - apache-ant-1.7.0
2019-02-07 17:17:54,198 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 17:17:54,198 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 17:17:54,198 - INFO - quickread - Total Yes: 131 | Total No: 3967
2019-02-07 17:17:54,560 - INFO - quickread - 0, 0  475
2019-02-07 17:17:55,794 - INFO - quickread - 18, 20  475
2019-02-07 17:17:57,475 - INFO - quickread - 28, 40  129
2019-02-07 17:17:59,171 - INFO - quickread - 42, 60  130
2019-02-07 17:18:00,830 - INFO - quickread - 53, 80  126
2019-02-07 17:18:02,351 - INFO - quickread - 57, 100  139
2019-02-07 17:18:03,980 - INFO - quickread - 63, 120  123
2019-02-07 17:18:05,547 - INFO - quickread - 68, 140  122
2019-02-07 17:18:07,031 - INFO - quickread - 70, 160  122
2019-02-07 17:18:08,420 - INFO - quickread - 73, 180  108
2019-02-07 17:18:09,815 - INFO - quickread - 78, 200  104
2019-02-07 17:18:11,196 - INFO - quickread - 81, 220  108
2019-02-07 17:18:12,543 - INFO - quickread - 86, 240  105
2019-02-07 17:18:14,130 - INFO - quickread - 89, 260  107
2019-02-07 17:18:15,686 - INFO - quickread - 90, 280  106
2019-02-07 17:18:17,005 - INFO - quickread - 90, 300  102
2019-02-07 17:18:18,302 - INFO - quickread - 91, 320  96
2019-02-07 17:18:19,628 - INFO - quickread - 92, 340  95
2019-02-07 17:18:20,971 - INFO - quickread - 92, 360  95
2019-02-07 17:18:22,261 - INFO - quickread - 95, 380  94
2019-02-07 17:18:23,549 - INFO - quickread - 95, 400  97
2019-02-07 17:18:24,821 - INFO - quickread - 96, 420  96
2019-02-07 17:18:26,208 - INFO - quickread - 98, 440  96
2019-02-07 17:18:27,699 - INFO - quickread - 99, 460  99
2019-02-07 17:18:29,022 - INFO - quickread - 100, 480  100
2019-02-07 17:18:30,308 - INFO - quickread - 101, 500  101
2019-02-07 17:18:31,638 - INFO - quickread - 103, 520  102
2019-02-07 17:18:32,932 - INFO - quickread - 104, 540  104
2019-02-07 17:18:34,206 - INFO - quickread - 104, 560  105
2019-02-07 17:18:35,505 - INFO - quickread - 105, 580  105
2019-02-07 17:18:36,807 - INFO - quickread - 107, 600  106
2019-02-07 17:18:38,106 - INFO - quickread - 107, 620  109
2019-02-07 17:18:39,403 - INFO - quickread - 107, 640  108
2019-02-07 17:18:40,672 - INFO - quickread - 107, 660  107
2019-02-07 17:18:41,929 - INFO - quickread - 107, 680  107
2019-02-07 17:18:48,395 - INFO - quickread - 109, 750  106
2019-02-07 17:18:49,693 - INFO - quickread - 109, 770  109
2019-02-07 17:18:50,977 - INFO - quickread - 109, 790  109
2019-02-07 17:18:58,500 - INFO - quickread - 109, 854  109
2019-02-07 17:19:05,739 - INFO - quickread - 109, 923  108
2019-02-07 17:19:05,740 - INFO - quickread - IGNORE apache-ant-1.7.0 NO IMPROVEMENT after 3 random loops. EXITING. Current estimate: 114
2019-02-07 17:19:05,748 - INFO - quickread - IGNORE apache-ant-1.7.0 | Total: 4098 | Percent Checked: 0.23 | Total Yes Data: 131 | Percent Yes Checked: 0.83
2019-02-07 17:19:05,749 - INFO - rig - ++++NEW CLF++++ SGD
2019-02-07 17:19:05,749 - INFO - fastread - Total Yes: 131 | Total No: 3967
2019-02-07 17:19:06,544 - INFO - fastread - 15, 20  310
2019-02-07 17:19:06,905 - INFO - fastread - 30, 40  436
2019-02-07 17:19:07,284 - INFO - fastread - 42, 60  527
2019-02-07 17:19:07,574 - INFO - fastread - 54, 80  568
2019-02-07 17:19:07,847 - INFO - fastread - 61, 100  600
2019-02-07 17:19:08,042 - INFO - fastread - 70, 120  606
2019-02-07 17:19:08,249 - INFO - fastread - 72, 140  605
2019-02-07 17:19:08,457 - INFO - fastread - 73, 160  603
2019-02-07 17:19:08,661 - INFO - fastread - 76, 180  603
2019-02-07 17:19:08,874 - INFO - fastread - 80, 200  604
2019-02-07 17:19:09,075 - INFO - fastread - 80, 220  602
2019-02-07 17:19:09,268 - INFO - fastread - 86, 240  605
2019-02-07 17:19:09,488 - INFO - fastread - 88, 260  604
2019-02-07 17:19:09,705 - INFO - fastread - 89, 280  602
2019-02-07 17:19:09,916 - INFO - fastread - 89, 300  599
2019-02-07 17:19:10,132 - INFO - fastread - 91, 320  598
2019-02-07 17:19:10,360 - INFO - fastread - 93, 340  597
2019-02-07 17:19:10,623 - INFO - fastread - 94, 360  596
2019-02-07 17:19:10,959 - INFO - fastread - 95, 380  594
2019-02-07 17:19:11,173 - INFO - fastread - 96, 400  549
2019-02-07 17:19:11,365 - INFO - fastread - 97, 420  539
2019-02-07 17:19:11,524 - INFO - fastread - 100, 440  550
2019-02-07 17:19:11,685 - INFO - fastread - 101, 460  548
2019-02-07 17:19:11,863 - INFO - fastread - 103, 480  547
2019-02-07 17:19:12,036 - INFO - fastread - 105, 500  541
2019-02-07 17:19:12,171 - INFO - fastread - 105, 520  533
2019-02-07 17:19:12,311 - INFO - fastread - 105, 540  529
2019-02-07 17:19:12,474 - INFO - fastread - 105, 560  525
2019-02-07 17:19:12,680 - INFO - fastread - 105, 580  522
2019-02-07 17:19:12,930 - INFO - fastread - 105, 600  508
2019-02-07 17:19:13,125 - INFO - fastread - 106, 620  496
2019-02-07 17:19:13,335 - INFO - fastread - 106, 640  488
2019-02-07 17:19:13,483 - INFO - fastread - 108, 660  479
2019-02-07 17:19:13,647 - INFO - fastread - 108, 680  475
2019-02-07 17:19:13,811 - INFO - fastread - 109, 700  473
2019-02-07 17:19:13,945 - INFO - fastread - 110, 720  468
2019-02-07 17:19:14,081 - INFO - fastread - 112, 740  467
2019-02-07 17:19:14,224 - INFO - fastread - 112, 760  464
2019-02-07 17:19:14,401 - INFO - fastread - 112, 780  461
2019-02-07 17:19:14,571 - INFO - fastread - 112, 800  456
2019-02-07 17:19:14,821 - INFO - fastread - 114, 820  456
2019-02-07 17:19:14,993 - INFO - fastread - 114, 840  439
2019-02-07 17:19:15,146 - INFO - fastread - 114, 860  430
2019-02-07 17:19:15,294 - INFO - fastread - 115, 880  426
2019-02-07 17:19:15,449 - INFO - fastread - 115, 900  422
2019-02-07 17:19:15,605 - INFO - fastread - 115, 920  419
2019-02-07 17:19:15,748 - INFO - fastread - 115, 940  415
2019-02-07 17:19:15,932 - INFO - fastread - 115, 960  411
2019-02-07 17:19:16,071 - INFO - fastread - 115, 980  401
2019-02-07 17:19:16,197 - INFO - fastread - 116, 1000  398
2019-02-07 17:19:16,320 - INFO - fastread - 116, 1020  392
2019-02-07 17:19:16,468 - INFO - fastread - 118, 1040  394
2019-02-07 17:19:16,610 - INFO - fastread - 118, 1060  389
2019-02-07 17:19:16,731 - INFO - fastread - 118, 1080  384
2019-02-07 17:19:16,896 - INFO - fastread - 118, 1100  380
2019-02-07 17:19:17,018 - INFO - fastread - 118, 1120  373
2019-02-07 17:19:17,161 - INFO - fastread - 118, 1140  370
2019-02-07 17:19:17,270 - INFO - fastread - 118, 1160  363
2019-02-07 17:19:17,391 - INFO - fastread - 118, 1180  360
2019-02-07 17:19:17,512 - INFO - fastread - 118, 1200  356
2019-02-07 17:19:17,644 - INFO - fastread - 118, 1220  353
2019-02-07 17:19:17,751 - INFO - fastread - 120, 1240  353
2019-02-07 17:19:17,912 - INFO - fastread - 120, 1260  349
2019-02-07 17:19:18,036 - INFO - fastread - 120, 1280  342
2019-02-07 17:19:18,133 - INFO - fastread - 120, 1300  339
2019-02-07 17:19:18,256 - INFO - fastread - 120, 1320  335
2019-02-07 17:19:18,367 - INFO - fastread - 120, 1340  331
2019-02-07 17:19:18,484 - INFO - fastread - 120, 1360  328
2019-02-07 17:19:18,592 - INFO - fastread - 120, 1380  324
2019-02-07 17:19:18,690 - INFO - fastread - 120, 1400  322
2019-02-07 17:19:18,781 - INFO - fastread - 120, 1420  316
2019-02-07 17:19:18,885 - INFO - fastread - 120, 1440  314
2019-02-07 17:19:18,974 - INFO - fastread - 121, 1460  312
2019-02-07 17:19:19,088 - INFO - fastread - 121, 1480  309
2019-02-07 17:19:19,183 - INFO - fastread - 121, 1500  305
2019-02-07 17:19:19,281 - INFO - fastread - 121, 1520  304
2019-02-07 17:19:19,370 - INFO - fastread - 121, 1540  301
2019-02-07 17:19:19,464 - INFO - fastread - 121, 1560  297
2019-02-07 17:19:19,560 - INFO - fastread - 122, 1580  296
2019-02-07 17:19:19,651 - INFO - fastread - 122, 1600  293
2019-02-07 17:19:19,743 - INFO - fastread - 122, 1620  289
2019-02-07 17:19:19,824 - INFO - fastread - 123, 1640  288
2019-02-07 17:19:19,916 - INFO - fastread - 123, 1660  286
2019-02-07 17:19:20,009 - INFO - fastread - 123, 1680  283
2019-02-07 17:19:20,130 - INFO - fastread - 123, 1700  281
2019-02-07 17:19:20,220 - INFO - fastread - 123, 1720  278
2019-02-07 17:19:20,310 - INFO - fastread - 124, 1740  277
2019-02-07 17:19:20,382 - INFO - fastread - 124, 1760  274
2019-02-07 17:19:20,468 - INFO - fastread - 124, 1780  272
2019-02-07 17:19:20,537 - INFO - fastread - 125, 1800  271
2019-02-07 17:19:20,619 - INFO - fastread - 125, 1820  269
2019-02-07 17:19:20,710 - INFO - fastread - 126, 1840  268
2019-02-07 17:19:20,778 - INFO - fastread - 126, 1860  266
2019-02-07 17:19:20,852 - INFO - fastread - 126, 1880  264
2019-02-07 17:19:20,934 - INFO - fastread - 126, 1900  262
2019-02-07 17:19:21,007 - INFO - fastread - 126, 1920  259
2019-02-07 17:19:21,066 - INFO - fastread - 126, 1940  256
2019-02-07 17:19:21,131 - INFO - fastread - 126, 1960  254
2019-02-07 17:19:21,211 - INFO - fastread - 126, 1980  252
2019-02-07 17:19:21,279 - INFO - fastread - 127, 2000  252
2019-02-07 17:19:21,349 - INFO - fastread - 127, 2020  250
2019-02-07 17:19:21,423 - INFO - fastread - 127, 2040  248
2019-02-07 17:19:21,486 - INFO - fastread - 127, 2060  246
2019-02-07 17:19:21,545 - INFO - fastread - 127, 2080  244
2019-02-07 17:19:21,606 - INFO - fastread - 127, 2100  242
2019-02-07 17:19:21,676 - INFO - fastread - 127, 2120  241
2019-02-07 17:19:21,759 - INFO - fastread - 127, 2140  239
2019-02-07 17:19:21,819 - INFO - fastread - 127, 2160  236
2019-02-07 17:19:21,890 - INFO - fastread - 127, 2180  235
2019-02-07 17:19:21,941 - INFO - fastread - 128, 2200  234
2019-02-07 17:19:21,994 - INFO - fastread - 129, 2220  233
2019-02-07 17:19:22,052 - INFO - fastread - 129, 2240  231
2019-02-07 17:19:22,126 - INFO - fastread - 129, 2260  230
2019-02-07 17:19:22,193 - INFO - fastread - 129, 2280  228
2019-02-07 17:19:22,263 - INFO - fastread - 129, 2300  227
2019-02-07 17:19:22,314 - INFO - fastread - 129, 2320  225
2019-02-07 17:19:22,364 - INFO - fastread - 129, 2340  223
2019-02-07 17:19:22,434 - INFO - fastread - 129, 2360  222
2019-02-07 17:19:22,524 - INFO - fastread - 129, 2380  220
2019-02-07 17:19:22,597 - INFO - fastread - 129, 2400  218
